# sss file
-1.57080 1.57080
-1.57080 1.57080
124.28407 127.04334
125.34615 125.98127
244.33674 245.75171
244.13884 245.86263
243.97701 245.92635
243.82467 245.95948
243.69588 245.96507
243.55150 245.94641
243.40862 245.90344
243.27007 245.84119
243.10766 245.74670
242.95664 245.64199
242.78521 245.50752
242.59570 245.34321
242.39633 245.15512
242.34648 245.10575
245.40913 248.16840
245.60898 248.36068
245.80198 248.53179
245.97835 248.67391
246.13443 248.78581
246.30235 248.88781
246.44519 248.95583
246.59178 249.00389
246.71920 249.02523
246.85172 249.02579
246.99001 249.00284
247.13708 248.95389
247.31538 248.86537
247.39940 248.81437
250.46206 251.87703
250.26416 251.98795
250.10232 252.05166
249.94999 252.08480
249.82120 252.09038
249.67682 252.07173
249.53394 252.02876
249.39539 251.96651
249.23297 251.87201
249.08195 251.76731
248.91053 251.63284
248.72102 251.46853
248.52164 251.28044
248.47179 251.23106
251.53445 254.29372
251.73430 254.48600
251.92730 254.65710
252.10366 254.79922
252.25975 254.91113
252.42767 255.01312
252.57050 255.08114
252.71710 255.12921
252.84452 255.15055
252.97704 255.15110
253.11533 255.12816
253.26240 255.07921
253.44070 254.99069
253.52472 254.93968
256.58738 258.00234
256.38948 258.11327
256.22764 258.17698
256.07530 258.21011
255.94651 258.21570
255.80213 258.19705
255.65925 258.15407
255.52071 258.09182
255.35829 257.99733
255.20727 257.89262
255.03585 257.75816
254.84634 257.59385
254.64696 257.40575
254.59711 257.35638
257.65977 260.41904
257.85961 260.61132
258.05261 260.78242
258.22898 260.92454
258.38507 261.03644
258.55299 261.13844
258.69582 261.20646
258.84241 261.25453
258.96984 261.27586
259.10236 261.27642
259.24065 261.25347
259.38772 261.20452
259.56602 261.11601
259.65003 261.06500
262.71269 264.12766
262.51479 264.23858
262.35295 264.30229
262.20062 264.33543
262.07183 264.34102
261.92745 264.32236
261.78457 264.27939
261.64602 264.21714
261.48361 264.12265
261.33259 264.01794
261.16116 263.88347
260.97165 263.71916
260.77228 263.53107
260.72243 263.48169
263.78508 266.54435
263.98493 266.73663
264.17793 266.90774
264.35429 267.04986
264.51038 267.16176
264.67830 267.26376
264.82114 267.33178
264.96773 267.37984
265.09515 267.40118
265.22767 267.40173
265.36596 267.37879
265.51303 267.32984
265.69133 267.24132
265.77535 267.19032
268.83801 270.25298
268.64011 270.36390
268.47827 270.42761
268.32594 270.46074
268.19714 270.46633
268.05277 270.44768
267.90989 270.40471
267.77134 270.34245
267.60892 270.24796
267.45790 270.14326
267.28648 270.00879
267.09697 269.84448
266.89759 269.65638
266.84774 269.60701
269.91040 272.66967
270.11024 272.86195
270.30325 273.03305
270.47961 273.17517
270.63570 273.28707
270.80362 273.38907
270.94645 273.45709
271.09305 273.50516
271.22047 273.52649
271.35299 273.52705
271.49128 273.50411
271.63835 273.45516
271.81665 273.36664
271.90067 273.31563
274.96333 276.37829
274.76542 276.48921
274.60359 276.55293
274.45125 276.58606
274.32246 276.59165
274.17808 276.57300
274.03520 276.53002
273.89665 276.46777
273.73424 276.37328
273.58322 276.26857
273.41180 276.13411
273.22228 275.96980
273.02291 275.78170
272.97306 275.73233
276.03572 278.79498
276.23556 278.98727
276.42856 279.15837
276.60493 279.30049
276.76102 279.41239
276.92894 279.51439
277.07177 279.58241
277.21836 279.63047
277.34579 279.65181
277.47831 279.65237
277.61659 279.62942
277.76366 279.58047
277.94196 279.49195
278.02598 279.44095
281.08864 282.50361
280.89074 282.61453
280.72890 282.67824
280.57657 282.71138
280.44778 282.71697
280.30340 282.69831
280.16052 282.65534
280.02197 282.59309
279.85955 282.49859
279.70853 282.39389
279.53711 282.25942
279.34760 282.09511
279.14823 281.90702
279.09837 281.85764
282.16103 284.92030
282.36088 285.11258
282.55388 285.28369
282.73024 285.42581
282.88633 285.53771
283.05425 285.63970
283.19708 285.70773
283.34368 285.75579
283.47110 285.77713
283.60362 285.77768
283.74191 285.75474
283.88898 285.70579
284.06728 285.61727
284.15130 285.56627
287.21396 288.62892
287.01606 288.73985
286.85422 288.80356
286.70189 288.83669
286.57309 288.84228
286.42871 288.82363
286.28583 288.78065
286.14729 288.71840
285.98487 288.62391
285.83385 288.51921
285.66243 288.38474
285.47292 288.22043
285.27354 288.03233
285.22369 287.98296
288.28635 291.04562
288.48619 291.23790
288.67920 291.40900
288.85556 291.55112
289.01165 291.66302
289.17957 291.76502
289.32240 291.83304
289.46900 291.88111
289.59642 291.90244
289.72894 291.90300
289.86723 291.88005
290.01430 291.83110
290.19260 291.74259
290.27662 291.69158
293.33927 294.75424
293.14137 294.86516
292.97954 294.92888
292.82720 294.96201
292.69841 294.96760
292.55403 294.94895
292.41115 294.90597
292.27260 294.84372
292.11019 294.74923
291.95917 294.64452
291.78774 294.51006
291.59823 294.34575
291.39886 294.15765
291.34901 294.10828
294.41167 297.17093
294.61151 297.36322
294.80451 297.53432
294.98088 297.67644
295.13697 297.78834
295.30489 297.89034
295.44772 297.95836
295.59431 298.00642
295.72174 298.02776
295.85426 298.02832
295.99254 298.00537
296.13961 297.95642
296.31791 297.86790
296.40193 297.81690
299.46459 300.87956
299.26669 300.99048
299.10485 301.05419
298.95252 301.08733
298.82373 301.09291
298.67935 301.07426
298.53647 301.03129
298.39792 300.96904
298.23550 300.87454
298.08448 300.76984
297.91306 300.63537
297.72355 300.47106
297.52418 300.28297
297.47432 300.23359
300.53698 303.29625
300.73683 303.48853
300.92983 303.65963
301.10619 303.80176
301.26228 303.91366
301.43020 304.01565
301.57303 304.08367
301.71963 304.13174
301.84705 304.15308
301.97957 304.15363
302.11786 304.13069
302.26493 304.08174
302.44323 303.99322
302.52725 303.94222
305.58991 307.00487
305.39201 307.11580
305.23017 307.17951
305.07783 307.21264
304.94904 307.21823
304.80466 307.19958
304.66178 307.15660
304.52324 307.09435
304.36082 306.99986
304.20980 306.89516
304.03838 306.76069
303.84887 306.59638
303.64949 306.40828
303.59964 306.35891
306.66230 309.42157
306.86214 309.61385
307.05514 309.78495
307.23151 309.92707
307.38760 310.03897
307.55552 310.14097
307.69835 310.20899
307.84494 310.25706
307.97237 310.27839
308.10489 310.27895
308.24318 310.25600
308.39025 310.20705
308.56855 310.11854
308.65257 310.06753
311.71522 313.13019
311.51732 313.24111
311.35549 313.30482
311.20315 313.33796
311.07436 313.34355
310.92998 313.32489
310.78710 313.28192
310.64855 313.21967
310.48614 313.12518
310.33512 313.02047
310.16369 312.88600
309.97418 312.72169
309.77481 312.53360
309.72496 312.48422
312.78761 315.54688
312.98746 315.73916
313.18046 315.91027
313.35683 316.05239
313.51291 316.16429
313.68083 316.26629
313.82367 316.33431
313.97026 316.38237
314.09768 316.40371
314.23020 316.40427
314.36849 316.38132
314.51556 316.33237
314.69386 316.24385
314.77788 316.19285
317.84054 319.25551
317.64264 319.36643
317.48080 319.43014
317.32847 319.46328
