# sss file
-0.69693 2.96467
-0.83689 2.98030
-0.99999 2.99254
-1.18361 3.00045
-1.37917 3.00343
-1.57297 3.00112
-1.75123 2.99370
-1.90529 2.98194
-2.03276 2.96669
-2.13555 2.94874
-2.21741 2.92873
-2.24551 2.92022
-2.35601 2.93666
-2.48152 2.95057
-2.62177 2.96139
-2.77426 2.96853
-2.93371 2.97161
-3.09254 2.97026
-3.24309 2.96476
-3.37929 2.95530
-3.49813 2.94255
-3.59911 2.92709
-3.68343 2.90939
-3.75316 2.88992
-3.79403 2.87567
-3.88576 2.89264
-3.98785 2.90765
-4.10050 2.92022
-4.22304 2.93009
-4.35337 2.93666
-4.48808 2.93975
-4.62260 2.93917
-4.75217 2.93492
-4.87281 2.92738
-4.98171 2.91664
-5.07775 2.90329
-5.16092 2.88760
-5.23211 2.87014
-5.29244 2.85101
-5.34253 2.83108
-5.42130 2.84839
-5.50759 2.86412
-5.60172 2.87800
-5.70342 2.88953
-5.81197 2.89854
-5.92579 2.90474
-6.04254 2.90794
-6.15917 2.90784
-6.27266 2.90464
-6.38018 2.89845
-6.47954 2.88934
-6.56949 2.87771
-6.64963 2.86393
-6.71998 2.84810
-6.78124 2.83069
-6.83416 2.81190
-6.87962 2.79190
-6.89091 2.78624
-6.96030 2.80400
-7.03531 2.82028
-7.11624 2.83497
-7.20307 2.84781
-7.29557 2.85859
-7.39290 2.86694
-7.49397 2.87286
-7.59701 2.87606
-7.70001 2.87645
-7.80082 2.87402
-7.89745 2.86888
-7.98821 2.86112
-8.07195 2.85092
-8.14811 2.83867
-8.21646 2.82446
-8.27720 2.80858
-8.33073 2.79122
-8.37760 2.77256
-8.41847 2.75288
-8.43919 2.74122
-8.50141 2.75925
-8.56799 2.77598
-8.63921 2.79142
-8.71504 2.80517
-8.79548 2.81726
-8.88009 2.82729
-8.96834 2.83527
-9.05922 2.84091
-9.15149 2.84411
-9.24375 2.84489
-9.33435 2.84305
-9.42190 2.83877
-9.50514 2.83215
-9.58300 2.82320
-9.65494 2.81229
-9.72057 2.79942
-9.77988 2.78487
-9.83309 2.76894
-9.88042 2.75161
-9.92236 2.73317
-9.95925 2.71361
-9.98742 2.69608
-10.04400 2.71430
-10.10409 2.73150
-10.16781 2.74739
-10.23529 2.76199
-10.30646 2.77500
-10.38119 2.78634
-10.45917 2.79591
-10.53986 2.80351
-10.62245 2.80897
-10.70603 2.81219
-10.78952 2.81317
-10.87182 2.81190
-10.95175 2.80829
-11.02837 2.80254
-11.10088 2.79473
-11.16860 2.78487
-11.23125 2.77324
-11.28870 2.76003
-11.34087 2.74524
-11.38798 2.72914
-11.43026 2.71184
-11.46797 2.69342
-11.50150 2.67407
-11.53117 2.65389
-11.53549 2.65062
-11.58758 2.66913
-11.64248 2.68662
-11.70031 2.70298
-11.76120 2.71814
-11.82516 2.73199
-11.89213 2.74445
-11.96187 2.75523
-12.03412 2.76434
-12.10839 2.77158
-12.18410 2.77686
-12.26054 2.78018
-12.33684 2.78136
-12.41218 2.78048
-12.48570 2.77754
-12.55659 2.77256
-12.62419 2.76561
-12.68798 2.75680
-12.74758 2.74622
-12.80282 2.73405
-12.85361 2.72040
-12.90001 2.70544
-12.94216 2.68928
-12.98016 2.67190
-13.01436 2.65359
-13.04493 2.63435
-13.07213 2.61426
-13.08347 2.60500
-13.13180 2.62362
-13.18250 2.64140
-13.23565 2.65825
-13.29130 2.67398
-13.34947 2.68849
-13.41013 2.70170
-13.47323 2.71351
-13.53856 2.72384
-13.60585 2.73258
-13.67468 2.73955
-13.74461 2.74475
-13.81500 2.74798
-13.88532 2.74945
-13.95476 2.74886
-14.02276 2.74641
-14.08865 2.74210
-14.15187 2.73592
-14.21196 2.72796
-14.26865 2.71843
-14.32160 2.70722
-14.37078 2.69461
-14.41617 2.68069
-14.45775 2.66547
-14.49568 2.64913
-14.53015 2.63187
-14.56126 2.61357
-14.58921 2.59432
-14.61429 2.57442
-14.63126 2.55898
-14.67656 2.57793
-14.72380 2.59602
-14.77304 2.61317
-14.82436 2.62928
-14.87783 2.64437
-14.93343 2.65835
-14.99108 2.67101
-15.05072 2.68237
-15.11211 2.69224
-15.17506 2.70062
-15.23923 2.70741
-15.30417 2.71243
-15.36948 2.71578
-15.43464 2.71735
-15.49912 2.71715
-15.56232 2.71509
-15.62383 2.71135
-15.68313 2.70584
-15.73983 2.69865
-15.79366 2.68987
-15.84436 2.67961
-15.89183 2.66795
-15.93600 2.65498
-15.97680 2.64070
-16.01434 2.62531
-16.04873 2.60888
-16.08009 2.59152
-16.10853 2.57322
-16.13420 2.55407
-16.15734 2.53425
-16.17804 2.51366
-16.17890 2.51265
-16.22160 2.53183
-16.26590 2.55015
-16.31197 2.56771
-16.35971 2.58423
-16.40929 2.59981
-16.46067 2.61436
-16.51384 2.62779
-16.56872 2.64001
-16.62520 2.65092
-16.68310 2.66043
-16.74225 2.66854
-16.80236 2.67516
-16.86302 2.68010
-16.92393 2.68346
-16.98470 2.68523
-17.04481 2.68523
-17.10388 2.68356
-17.16152 2.68030
-17.21729 2.67536
-17.27090 2.66884
-17.32206 2.66082
-17.37060 2.65141
-17.41627 2.64051
-17.45908 2.62839
-17.49898 2.61506
-17.53592 2.60051
-17.57006 2.58503
-17.60136 2.56841
-17.63000 2.55095
-17.65609 2.53264
