# sss file
-1.57080 3.14159
1.57080 3.14159
2.12903 1.98175
2.36822 1.51416
1.95202 1.51416
1.72363 1.98175
1.68011 1.98197
1.91956 1.51388
1.50336 1.51388
1.27483 1.98175
1.34781 1.98197
1.50945 1.65870
1.76762 1.66076
1.66907 1.85786
1.47447 1.85786
1.66907 1.85786
1.76762 1.66076
1.50945 1.65870
1.34781 1.98197
1.23143 1.98175
1.47076 1.51388
1.05456 1.51388
0.82603 1.98175
1.15821 1.98197
1.31985 1.65870
1.05962 1.66076
0.96107 1.85786
1.15567 1.85786
0.96107 1.85786
1.05962 1.66076
1.31985 1.65870
1.15821 1.98197
0.78263 1.98175
1.02182 1.51416
0.60562 1.51416
0.37723 1.98175
0.45021 1.98197
0.61185 1.65870
0.87002 1.66076
0.77147 1.85786
0.57687 1.85786
0.77147 1.85786
0.87002 1.66076
0.61185 1.65870
0.45021 1.98197
0.33383 1.98175
0.57302 1.51416
0.15682 1.51416
-0.07157 1.98175
0.26061 1.98197
0.42225 1.65870
0.16202 1.66076
0.06347 1.85786
0.25807 1.85786
0.06347 1.85786
0.16202 1.66076
0.42225 1.65870
0.26061 1.98197
-0.11497 1.98175
0.12422 1.51416
-0.29184 1.51388
-0.52037 1.98175
-0.44739 1.98197
-0.28575 1.65870
-0.02758 1.66076
-0.12613 1.85786
-0.32073 1.85786
-0.12613 1.85786
-0.02758 1.66076
-0.28575 1.65870
-0.44739 1.98197
-0.56377 1.98175
-0.32458 1.51416
-0.74078 1.51416
-0.96917 1.98175
-0.63699 1.98197
-0.47535 1.65870
-0.73558 1.66076
-0.83413 1.85786
-0.63953 1.85786
-0.83413 1.85786
-0.73201 1.66102
-0.47535 1.65870
-0.63699 1.98197
-1.01257 1.98175
-0.77338 1.51416
-1.18944 1.51388
-1.41797 1.98175
-1.34499 1.98197
-1.18335 1.65870
-0.92518 1.66076
-1.02373 1.85786
-1.21833 1.85786
-1.02373 1.85786
-0.92518 1.66076
-1.18335 1.65870
-1.34499 1.98197
-1.46137 1.98175
-1.22218 1.51416
-1.63824 1.51388
-1.86677 1.98175
-1.53459 1.98197
-1.37295 1.65870
-1.63318 1.66076
-1.73173 1.85786
-1.53713 1.85786
-1.73173 1.85786
-1.63318 1.66076
-1.37295 1.65870
-1.53459 1.98197
-1.91017 1.98175
-1.67098 1.51416
-2.08704 1.51388
-2.31557 1.98175
-2.24259 1.98197
-2.08095 1.65870
-1.82278 1.66076
-1.92133 1.85786
-2.11593 1.85786
-1.92133 1.85786
-1.82278 1.66076
-2.08095 1.65870
-2.24259 1.98197
-2.35897 1.98175
-2.11964 1.51388
-2.53584 1.51388
-2.76989 1.98197
-2.43219 1.98197
-2.27055 1.65870
-2.53078 1.66076
-2.62933 1.85786
-2.43473 1.85786
-2.62933 1.85786
-2.53078 1.66076
-2.27055 1.65870
-2.43219 1.98197
-2.80777 1.98175
-2.56844 1.51388
-2.98464 1.51388
-3.21317 1.98175
-3.14019 1.98197
-2.97855 1.65870
-2.72038 1.66076
-2.81893 1.85786
-3.01353 1.85786
-2.81893 1.85786
-2.72038 1.66076
-2.97855 1.65870
-3.14019 1.98197
-3.25657 1.98175
-3.01738 1.51416
-3.43344 1.51388
-3.66197 1.98175
-3.32979 1.98197
-3.16815 1.65870
-3.42838 1.66076
-3.52693 1.85786
-3.33233 1.85786
-3.52693 1.85786
-3.42838 1.66076
-3.16815 1.65870
-3.32979 1.98197
-3.70537 1.98175
-3.46604 1.51388
-3.87658 1.51416
-4.11077 1.98175
-4.03938 1.98515
-3.87615 1.65870
-3.61798 1.66076
-3.71653 1.85786
-3.91113 1.85786
-3.71653 1.85786
-3.61798 1.66076
-3.87615 1.65870
-4.03779 1.98197
-4.22739 1.98197
-4.06575 1.65870
-4.32598 1.66076
-4.42453 1.85786
-4.22993 1.85786
-4.42453 1.85786
-4.32241 1.66102
-4.06575 1.65870
-4.22739 1.98197
-4.29979 1.98197
-4.37479 1.98197
-4.44039 1.98197
-4.50299 1.98197
-4.58139 1.98197
-4.64859 1.98197
-4.77619 1.98197
-4.85999 1.98197
-4.93529 1.98197
-5.00837 1.98175
-5.12499 1.98197
-5.30029 1.98197
-5.47339 1.98197
-5.62119 1.98197
-5.77719 1.98197
-5.95589 1.98197
-6.11179 1.98197
-6.26569 1.98197
-6.45379 1.98197
-6.61449 1.98197
-6.82169 1.98197
-7.06739 1.98197
-7.32499 1.98197
-7.56319 1.98197
-7.74059 1.98197
-8.00549 1.98197
-8.24439 1.98197
-8.48529 1.98197
-8.67924 1.98288
-8.87669 1.98197
-9.17539 1.98197
-9.38769 1.98197
-9.51819 1.98197
-9.73039 1.98197
-10.02309 1.98197
-10.25789 1.98197
-10.30839 1.98197
-10.35794 1.98288
-10.41579 1.98197
-9.97362 1.09743
-9.97453 1.09925
-9.97513 1.10107
-9.97546 1.10252
-9.97550 1.10361
-9.97517 1.10433
-9.97437 1.10433
-9.97320 1.10361
-9.97168 1.10216
-9.96997 1.10034
-9.96810 1.09780
-9.96596 1.09451
-9.96373 1.09086
-9.96143 1.08645
-9.95932 1.08204
-9.95760 1.07760
-9.95589 1.07278
-9.95484 1.06868
-9.95398 1.06457
-9.95380 1.06119
-9.95427 1.05894
-9.95542 1.05743
