# sss file
-1.57080 3.14159
-1.27822 2.52912
-1.26292 2.52924
-1.24779 2.52909
-1.21055 2.52858
-1.16966 2.52418
-1.12451 2.51354
-1.08469 2.50568
-1.04724 2.49279
-1.00841 2.48164
-0.97053 2.46900
-0.93375 2.45497
-0.89818 2.43963
-0.86389 2.42305
-0.83092 2.40532
-0.79930 2.38652
-0.76902 2.36674
-0.74007 2.34603
-0.71242 2.32447
-0.68602 2.30212
-0.66084 2.27905
-0.63682 2.25530
-0.62837 2.24652
-0.61413 2.23083
-0.59267 2.20572
-0.57228 2.18006
-0.55292 2.15391
-0.53453 2.12731
-0.51704 2.10030
-0.50042 2.07292
-0.48460 2.04520
-0.46955 2.01717
-0.45521 1.98887
-0.44156 1.96031
-0.42854 1.93152
-0.41612 1.90253
-0.40428 1.87336
-0.39297 1.84403
-0.38217 1.81455
-0.37185 1.78495
-0.36199 1.75525
-0.35256 1.72545
-0.34355 1.69558
-0.33493 1.66565
-0.32668 1.63568
-0.31879 1.60569
-0.31125 1.57567
-0.30403 1.54566
-0.29714 1.51566
-0.29055 1.48569
-0.28427 1.45577
-0.27827 1.42591
-0.27256 1.39612
-0.26713 1.36642
-0.26196 1.33683
-0.25707 1.30736
-0.25244 1.27804
-0.24808 1.24888
-0.24398 1.21990
-0.24015 1.19113
-0.23659 1.16258
-0.23330 1.13429
-0.23028 1.10627
-0.22755 1.07856
-0.22511 1.05119
-0.22297 1.02419
-0.22114 0.99760
-0.21964 0.97146
-0.21848 0.94580
-0.21767 0.92068
-0.21725 0.89615
-0.21722 0.87226
-0.21761 0.84907
-0.21846 0.82664
-0.21978 0.80504
-0.22161 0.78435
-0.22398 0.76464
-0.22694 0.74598
-0.23051 0.72848
-0.23474 0.71221
-0.23967 0.69726
-0.24533 0.68373
-0.25178 0.67169
-0.25904 0.66124
-0.26715 0.65245
-0.27614 0.64539
-0.28604 0.64012
-0.29687 0.63669
-0.30863 0.63512
-0.32134 0.63543
-0.33498 0.63762
-0.34954 0.64166
-0.36500 0.64753
-0.38134 0.65516
-0.39851 0.66451
-0.41648 0.67549
-0.43520 0.68803
-0.45463 0.70204
-0.47472 0.71744
-0.49541 0.73413
-0.51667 0.75202
-0.53844 0.77103
-0.56068 0.79107
-0.58334 0.81208
-0.60638 0.83396
-0.62976 0.85664
-0.65344 0.88007
-0.67738 0.90418
-0.70156 0.92891
-0.72594 0.95421
-0.75048 0.98003
-0.77517 1.00633
-0.79997 1.03306
-0.82485 1.06019
-0.84980 1.08767
-0.87479 1.11549
-0.89979 1.14360
-0.92479 1.17198
-0.94977 1.20060
-0.97469 1.22945
-0.99955 1.25849
-1.02431 1.28770
-1.04897 1.31707
-1.07350 1.34658
-1.09787 1.37621
-1.12208 1.40594
-1.14609 1.43576
-1.16988 1.46564
-1.19344 1.49558
-1.21673 1.52556
-1.23974 1.55556
-1.26243 1.58558
-1.28478 1.61559
-1.30677 1.64558
-1.32836 1.67554
-1.34952 1.70545
-1.37022 1.73529
-1.39041 1.76506
-1.41008 1.79473
-1.42916 1.82429
-1.44763 1.85373
-1.46543 1.88301
-1.48251 1.91212
-1.49883 1.94105
-1.51432 1.96976
-1.52892 1.99824
-1.54257 2.02646
-1.55520 2.05439
-1.56674 2.08200
-1.57710 2.10926
-1.58619 2.13614
-1.59394 2.16259
-1.60024 2.18859
-1.60499 2.21407
-1.60809 2.23899
-1.60818 2.24004
-1.58175 2.23957
-1.55418 2.23912
-1.52664 2.23869
-1.49913 2.23830
-1.47164 2.23794
-1.44417 2.23761
-1.41673 2.23731
-1.38931 2.23704
-1.36192 2.23681
-1.33455 2.23661
-1.30720 2.23644
-1.27987 2.23630
-1.25256 2.23620
-1.22527 2.23613
-1.19799 2.23610
-1.17074 2.23609
-1.14350 2.23612
-1.13762 2.23613
-1.11634 2.23632
-1.08811 2.23412
-1.05900 2.22921
-1.02937 2.22164
-0.99960 2.21149
-0.97001 2.19890
-0.94090 2.18399
-0.91252 2.16692
-0.88509 2.14786
-0.85878 2.12698
-0.83372 2.10447
-0.81001 2.08050
-0.78771 2.05527
-0.76687 2.02894
-0.74750 2.00169
-0.72962 1.97370
-0.71321 1.94514
-0.69825 1.91615
-0.68474 1.88690
-0.67264 1.85754
-0.66192 1.82822
-0.65257 1.79907
-0.64456 1.77024
-0.63787 1.74187
-0.63249 1.71409
-0.62838 1.68703
-0.62556 1.66082
-0.62399 1.63559
-0.62369 1.61146
-0.62463 1.58856
-0.62683 1.56700
-0.63027 1.54690
-0.63496 1.52837
-0.64089 1.51151
-0.64807 1.49643
-0.65648 1.48321
-0.66613 1.47193
-0.67699 1.46266
-0.68905 1.45547
-0.70230 1.45039
-0.71352 1.44791
-0.71699 1.44803
-0.73420 1.45070
-0.75298 1.45685
-0.77317 1.46639
-0.79457 1.47918
-0.81695 1.49505
-0.84009 1.51379
-0.86371 1.53515
-0.88754 1.55887
-0.91128 1.58464
-0.93464 1.61214
-0.95728 1.64106
-0.97890 1.67104
-0.99916 1.70173
-1.01773 1.73277
-1.03429 1.76379
-1.04852 1.79442
-1.06013 1.82428
-1.06884 1.85299
-1.07442 1.88017
-1.07668 1.90545
-1.07548 1.92846
-1.07077 1.94887
-1.06256 1.96635
-1.05097 1.98061
-1.03619 1.99142
-1.01852 1.99858
-0.99831 2.00197
-0.98661 2.00222
-0.97603 2.00158
-0.95177 1.99633
-0.92620 1.98596
-0.90027 1.97083
-0.87481 1.95144
-0.85059 1.92840
-0.82824 1.90243
-0.80826 1.87430
-0.79104 1.84482
-0.77685 1.81479
-0.76589 1.78503
-0.75829 1.75631
-0.75411 1.72939
-0.75338 1.70496
-0.75606 1.68364
-0.76209 1.66600
-0.77135 1.65248
-0.78368 1.64346
-0.79884 1.63916
-0.80797 1.63884
-0.81675 1.64013
-0.83905 1.65272
-0.86270 1.67639
-0.88304 1.70659
-0.89582 1.73743
-0.89812 1.76286
-0.88930 1.77780
-0.87773 1.78030
-0.87488 1.77120
-0.85594 1.76106
-0.85737 1.77010
-0.86838 1.78995
-0.89190 1.81237
-0.91205 1.81503
-0.91743 1.79646
-0.91160 1.77837
-0.90526 1.76674
-0.88385 1.73853
-0.85995 1.71892
-0.83905 1.71240
-0.82566 1.72049
-0.82258 1.74132
-0.83057 1.77011
-0.83299 1.77540
-0.84781 1.80032
-0.87023 1.82675
-0.89478 1.84561
-0.91791 1.85415
-0.93602 1.85112
-0.94619 1.83696
-0.94685 1.81375
-0.93804 1.78484
-0.93423 1.77662
-0.92302 1.75409
-0.90319 1.72410
-0.88015 1.69768
-0.85625 1.67735
-0.83376 1.66506
-0.81467 1.66197
-0.80059 1.66839
-0.79267 1.68369
-0.79154 1.70643
-0.79736 1.73442
-0.80973 1.76494
-0.81482 1.77454
-0.82557 1.79557
-0.84490 1.82491
-0.86758 1.85090
-0.89216 1.87168
-0.91688 1.88569
-0.93979 1.89186
-0.95896 1.88970
-0.97274 1.87938
-0.97995 1.86171
-0.98006 1.83802
-0.97320 1.81005
-0.96009 1.77981
-0.95766 1.77521
-0.94400 1.74899
-0.92447 1.71867
-0.90229 1.69032
-0.87869 1.66533
-0.85485 1.64489
-0.83191 1.63000
-0.81091 1.62139
