# sss file
-1.57080 3.14159
-1.57080 3.14159
18.53200 0.63512
638.45753 3.13897
636.17256 3.14159
639.32089 3.12803
639.42289 2.92402
639.41783 2.87911
639.35277 2.84418
639.18805 2.79431
639.14158 2.76207
639.13474 2.71739
639.14029 2.70382
639.14988 2.65678
639.12582 2.61822
639.05617 2.56258
639.04332 2.52760
639.05682 2.47806
639.07520 2.41930
639.06510 2.36631
639.05393 2.31423
639.06923 2.25771
639.07613 2.24310
639.10446 2.17025
639.12351 2.06055
639.15163 1.99392
639.19379 1.89641
639.23415 1.78322
639.26272 1.72266
639.32832 1.57975
639.39395 1.43577
639.40429 1.41497
639.33676 1.55968
639.27164 1.70466
639.26272 1.72266
639.34003 1.57975
639.41837 1.43577
639.42884 1.41497
639.35165 1.55968
639.27179 1.70466
639.26272 1.72266
639.21681 1.82676
639.17764 1.93805
639.15163 1.99392
639.20698 1.89641
639.27980 1.78322
639.31180 1.72266
639.37741 1.57975
639.44304 1.43577
639.45338 1.41497
639.38585 1.55968
639.32073 1.70466
639.31180 1.72266
639.38911 1.57975
639.46746 1.43577
639.47792 1.41497
639.40074 1.55968
639.32088 1.70466
639.31180 1.72266
639.25361 1.82676
639.18149 1.93805
639.15163 1.99392
639.12047 2.07080
639.10178 2.18010
639.07613 2.24310
639.12065 2.17025
639.21130 2.06055
639.24980 1.99392
639.29197 1.89641
639.33233 1.78322
639.36089 1.72266
639.42650 1.57975
639.49213 1.43577
639.50247 1.41497
639.43494 1.55968
639.36982 1.70466
639.36089 1.72266
639.43820 1.57975
639.51654 1.43577
639.52701 1.41497
639.44982 1.55968
639.36996 1.70466
639.36089 1.72266
639.31498 1.82676
639.27581 1.93805
639.24980 1.99392
639.30516 1.89641
639.37798 1.78322
639.40998 1.72266
639.47558 1.57975
639.54122 1.43577
639.55155 1.41497
639.48403 1.55968
639.41890 1.70466
639.40998 1.72266
639.48729 1.57975
639.56563 1.43577
639.57610 1.41497
639.49891 1.55968
639.41905 1.70466
639.40998 1.72266
639.35179 1.82676
639.27967 1.93805
639.24980 1.99392
639.20409 2.07080
639.11348 2.18010
639.07613 2.24310
639.05479 2.30477
639.06009 2.35292
639.07550 2.41028
639.06327 2.46413
639.05682 2.47806
639.09721 2.41930
639.16030 2.36631
639.22355 2.31423
639.26476 2.25771
639.27248 2.24310
639.30081 2.17025
639.31986 2.06055
639.34798 1.99392
639.39014 1.89641
639.43050 1.78322
639.45907 1.72266
639.52467 1.57975
639.59030 1.43577
639.60064 1.41497
639.53311 1.55968
639.46799 1.70466
639.45907 1.72266
639.53638 1.57975
639.61472 1.43577
639.62519 1.41497
639.54800 1.55968
639.46814 1.70466
639.45907 1.72266
639.41316 1.82676
639.37399 1.93805
639.34798 1.99392
639.40333 1.89641
639.47615 1.78322
639.50815 1.72266
639.57376 1.57975
639.63939 1.43577
639.64973 1.41497
639.58220 1.55968
639.51708 1.70466
639.50815 1.72266
639.58546 1.57975
639.66381 1.43577
639.67427 1.41497
639.59709 1.55968
639.51722 1.70466
639.50815 1.72266
639.44996 1.82676
639.37784 1.93805
639.34798 1.99392
639.31682 2.07080
639.29813 2.18010
639.27248 2.24310
639.31700 2.17025
639.40765 2.06055
639.44615 1.99392
639.48832 1.89641
639.52868 1.78322
639.55724 1.72266
639.62285 1.57975
639.68848 1.43577
639.69882 1.41497
639.63129 1.55968
639.56617 1.70466
639.55724 1.72266
639.63455 1.57975
639.71289 1.43577
639.72336 1.41497
639.64617 1.55968
639.56631 1.70466
639.55724 1.72266
639.51133 1.82676
639.47216 1.93805
639.44615 1.99392
639.50151 1.89641
639.57433 1.78322
639.60633 1.72266
639.67193 1.57975
639.73756 1.43577
639.74790 1.41497
639.68038 1.55968
639.61525 1.70466
639.60633 1.72266
639.68364 1.57975
639.76198 1.43577
639.77245 1.41497
639.69526 1.55968
639.61540 1.70466
639.60633 1.72266
639.54814 1.82676
639.47602 1.93805
639.44615 1.99392
639.40044 2.07080
639.30983 2.18010
639.27248 2.24310
639.23214 2.30477
639.17869 2.35292
639.10593 2.41028
639.06431 2.46413
639.05682 2.47806
639.04332 2.52760
639.05617 2.56258
639.13876 2.63176
639.15058 2.66685
639.14029 2.70382
639.17774 2.65678
639.24037 2.61822
639.36566 2.56258
639.41348 2.52760
639.44952 2.47806
639.46790 2.41930
639.45779 2.36631
639.44663 2.31423
639.46193 2.25771
639.46883 2.24310
639.49716 2.17025
639.51620 2.06055
639.54433 1.99392
639.58649 1.89641
639.62685 1.78322
639.65542 1.72266
639.72102 1.57975
639.78665 1.43577
639.79699 1.41497
639.72946 1.55968
639.66434 1.70466
639.65542 1.72266
639.73273 1.57975
639.81107 1.43577
639.82153 1.41497
639.74435 1.55968
639.66449 1.70466
639.65542 1.72266
639.60951 1.82676
639.57034 1.93805
639.54433 1.99392
639.59968 1.89641
639.67250 1.78322
639.70450 1.72266
639.77011 1.57975
639.83574 1.43577
639.84608 1.41497
639.77855 1.55968
639.71343 1.70466
639.70450 1.72266
639.78181 1.57975
639.86016 1.43577
639.87062 1.41497
639.79344 1.55968
639.71357 1.70466
639.70450 1.72266
639.64631 1.82676
639.57419 1.93805
639.54433 1.99392
639.51317 2.07080
639.49448 2.18010
639.46883 2.24310
