# sss file
-1.57080 3.14159
-1.54928 3.12176
-0.62718 1.25437
-0.62738 1.25437
-0.62765 1.25469
-0.62791 1.25502
-0.62817 1.25534
-0.62843 1.25567
-0.62886 1.25632
-0.62902 1.25664
-0.62945 1.25729
-0.62977 1.25794
-0.62999 1.25859
-0.63016 1.25891
-0.63038 1.25956
-0.63060 1.26021
-0.63056 1.26053
-0.63069 1.26118
-0.63065 1.26150
-0.63051 1.26182
-0.63037 1.26215
-0.63023 1.26247
-0.62993 1.26247
-0.62980 1.26279
-0.62940 1.26279
-0.62893 1.26247
-0.62853 1.26247
-0.62807 1.26215
-0.62751 1.26182
-0.62689 1.26118
-0.62616 1.26053
-0.62554 1.25988
-0.62492 1.25923
-0.62413 1.25826
-0.62318 1.25697
-0.62250 1.25599
-0.62165 1.25469
-0.62090 1.25339
-0.61998 1.25177
-0.61933 1.25047
-0.61852 1.24884
-0.61770 1.24720
-0.61699 1.24557
-0.61653 1.24426
-0.61591 1.24263
-0.61529 1.24099
-0.61477 1.23935
-0.61442 1.23803
-0.61416 1.23672
-0.61374 1.23507
-0.61374 1.23409
-0.61368 1.23277
-0.61369 1.23178
-0.61389 1.23079
-0.61426 1.23013
-0.61480 1.22980
-0.61533 1.22947
-0.61597 1.22914
-0.61677 1.22914
-0.61773 1.22947
-0.61870 1.22980
-0.61983 1.23046
-0.62112 1.23145
-0.62232 1.23244
-0.62361 1.23343
-0.62497 1.23474
-0.62650 1.23639
-0.62802 1.23803
-0.62944 1.23968
-0.63102 1.24164
-0.63267 1.24394
-0.63421 1.24623
-0.63592 1.24884
-0.63752 1.25144
-0.63902 1.25404
-0.64058 1.25697
-0.64198 1.25956
-0.64333 1.26247
-0.64459 1.26537
-0.64584 1.26827
-0.64688 1.27116
-0.64793 1.27405
-0.64871 1.27661
-0.64939 1.27917
-0.64996 1.28173
-0.65044 1.28427
-0.65075 1.28650
-0.65080 1.28841
-0.65075 1.29031
-0.65055 1.29189
-0.65008 1.29316
-0.64951 1.29443
-0.64863 1.29506
-0.64765 1.29569
-0.64650 1.29601
-0.64505 1.29569
-0.64359 1.29537
-0.64187 1.29474
-0.64010 1.29379
-0.63826 1.29253
-0.63617 1.29094
-0.63402 1.28904
-0.63171 1.28682
-0.62934 1.28427
-0.62706 1.28173
-0.62473 1.27885
-0.62223 1.27565
-0.61992 1.27245
-0.61730 1.26859
-0.61486 1.26473
-0.61253 1.26085
-0.61012 1.25664
-0.60791 1.25242
-0.60579 1.24818
-0.60377 1.24394
-0.60184 1.23968
-0.60010 1.23540
-0.59846 1.23112
-0.59691 1.22682
-0.59562 1.22284
-0.59452 1.21885
-0.59359 1.21518
-0.59285 1.21150
-0.59237 1.20815
-0.59216 1.20512
-0.59222 1.20243
-0.59253 1.20007
-0.59312 1.19804
-0.59388 1.19635
-0.59507 1.19533
-0.59626 1.19432
-0.59789 1.19398
-0.59959 1.19398
-0.60156 1.19432
-0.60370 1.19500
-0.60591 1.19601
-0.60855 1.19770
-0.61127 1.19973
-0.61405 1.20209
-0.61716 1.20512
-0.62017 1.20815
-0.62342 1.21184
-0.62689 1.21618
-0.63026 1.22051
-0.63368 1.22516
-0.63706 1.23013
-0.64034 1.23507
-0.64383 1.24066
-0.64695 1.24590
-0.65012 1.25144
-0.65325 1.25729
-0.65610 1.26279
-0.65880 1.26859
-0.66123 1.27405
-0.66371 1.27981
-0.66571 1.28523
-0.66751 1.29063
-0.66905 1.29569
-0.67021 1.30042
-0.67101 1.30482
-0.67161 1.30921
-0.67178 1.31297
-0.67170 1.31640
-0.67126 1.31951
-0.67055 1.32231
-0.66970 1.32479
-0.66843 1.32665
-0.66674 1.32789
-0.66491 1.32882
-0.66266 1.32913
-0.66026 1.32913
-0.65740 1.32820
-0.65438 1.32696
-0.65115 1.32510
-0.64761 1.32262
-0.64411 1.31982
-0.64030 1.31640
-0.63627 1.31234
-0.63228 1.30796
-0.62813 1.30325
-0.62395 1.29790
-0.61986 1.29253
-0.61555 1.28650
-0.61152 1.28045
-0.60743 1.27405
-0.60335 1.26731
-0.59956 1.26053
-0.59570 1.25339
-0.59211 1.24623
-0.58881 1.23902
-0.58569 1.23178
-0.58292 1.22483
-0.58032 1.21785
-0.57792 1.21083
-0.57586 1.20411
-0.57405 1.19770
-0.57270 1.19160
-0.57161 1.18581
-0.57094 1.18069
-0.57047 1.17554
-0.57043 1.17106
-0.57083 1.16726
-0.57160 1.16380
-0.57271 1.16102
-0.57427 1.15893
-0.57627 1.15754
-0.57872 1.15684
-0.58142 1.15684
