# sss file
-1.57080 3.14159
-1.57080 3.14159
630.61896 0.63512
630.59109 0.85374
630.60516 1.00204
630.64809 1.10489
630.71430 1.17111
630.80026 1.20439
630.90321 1.20613
631.02092 1.17640
631.15192 1.11396
631.29613 1.01548
631.45633 0.87297
631.64269 0.66465
631.66616 0.63512
631.55531 0.76806
631.47959 0.97813
631.44645 1.10946
631.41882 1.33655
631.41503 1.49304
631.43428 1.62447
631.47621 1.73338
631.53151 1.81070
631.60391 1.87094
631.69252 1.91349
631.76481 1.93266
631.77260 1.99087
631.78714 1.99947
631.81085 1.98672
631.82755 1.96129
631.82738 1.94113
631.84949 1.92080
631.85967 1.89414
631.85089 1.87965
631.83200 1.88520
631.77610 1.92721
631.76481 1.93266
631.76300 1.93232
631.77125 1.99403
631.78598 2.00319
631.81032 1.99103
631.82857 1.96535
631.82966 1.94188
631.82932 1.94129
631.85222 1.92043
631.86340 1.89288
631.85575 1.87656
631.83418 1.88201
631.77267 1.92791
631.76300 1.93232
631.76108 1.93194
631.76981 1.99738
631.78491 2.00709
631.80989 1.99540
631.82964 1.96932
631.83268 1.94414
631.83137 1.94145
631.85498 1.92020
631.86727 1.89174
631.86078 1.87346
631.83926 1.87690
631.83649 1.87863
631.77133 1.92728
631.76108 1.93194
631.75905 1.93153
631.76830 2.00093
631.78360 2.01122
631.80935 2.00005
631.83052 1.97387
631.83568 1.94689
631.83356 1.94161
631.85786 1.92000
631.87130 1.89048
631.86605 1.87040
631.84510 1.87146
631.83894 1.87504
631.76991 1.92662
631.75905 1.93153
631.75690 1.93110
631.76353 1.97263
631.76669 2.00468
631.78232 2.01555
631.80878 2.00490
631.83128 1.97876
631.83864 1.95031
631.83587 1.94178
631.86098 1.91966
631.87547 1.88936
631.87154 1.86735
631.85121 1.86600
631.84153 1.87123
631.76654 1.92695
631.75690 1.93110
631.75463 1.93063
631.76159 1.97471
631.76500 2.00865
631.78081 2.02012
631.80779 2.01026
631.83184 1.98415
631.84148 1.95417
631.83834 1.94195
631.86428 1.91928
631.87985 1.88798
631.87712 1.86418
631.85742 1.86057
631.84428 1.86719
631.76484 1.92626
631.75463 1.93063
631.75223 1.93012
631.75924 1.96964
631.76320 2.01286
631.77936 2.02493
631.80704 2.01565
631.83250 1.98954
631.84423 1.95823
631.84095 1.94212
631.86773 1.91891
631.88442 1.88663
631.88297 1.86103
631.86406 1.85504
631.84719 1.86290
631.76152 1.92632
631.75223 1.93012
631.74970 1.92957
631.75704 1.97153
631.76131 2.01731
631.77776 2.03000
631.80631 2.02126
631.83309 1.99526
631.84690 1.96281
631.84373 1.94229
631.87131 1.91860
631.88914 1.88542
631.88912 1.85800
631.87129 1.84941
631.85027 1.85833
631.77165 1.91843
631.74970 1.92957
631.74702 1.92897
631.75471 1.97353
631.75930 2.02202
631.77609 2.03534
631.80531 2.02728
631.83346 2.00150
631.84941 1.96827
631.84668 1.94245
631.87509 1.91825
631.89407 1.88415
631.89548 1.85493
631.87861 1.84377
631.85355 1.85349
631.77027 1.91722
631.74702 1.92897
631.74418 1.92832
631.75194 1.96895
631.75719 2.02701
631.77446 2.04098
631.80431 2.03356
631.83394 2.00785
631.85188 1.97380
631.85119 1.94499
631.84982 1.94261
631.87923 1.91769
631.89924 1.88274
631.90202 1.85165
631.88632 1.83807
631.85822 1.84753
631.85701 1.84835
631.76561 1.91796
631.74418 1.92832
631.74119 1.92762
631.74930 1.97079
631.75495 2.03229
631.77255 2.04690
631.80301 2.04028
631.83396 2.01502
631.85412 1.98029
631.85615 1.94903
631.85315 1.94277
631.88338 1.91735
631.90456 1.88155
631.90891 1.84869
631.89449 1.83234
631.86679 1.83902
631.86069 1.84288
631.76389 1.91670
631.74119 1.92762
631.73804 1.92687
631.74619 1.96681
631.75259 2.03788
631.77069 2.05317
631.80202 2.04712
631.83414 2.02229
631.85630 1.98708
631.86094 1.95346
631.85670 1.94292
631.88769 1.91706
631.91003 1.88052
631.91603 1.84571
631.90321 1.82666
631.87604 1.83030
631.86458 1.83707
631.75927 1.91706
631.73804 1.92687
631.73470 1.92604
631.74321 1.96849
631.75010 2.04379
631.76851 2.05973
631.80039 2.05459
631.83402 2.03018
631.85826 1.99462
631.86570 1.95897
631.86046 1.94306
631.89251 1.91643
631.91589 1.87911
631.92341 1.84268
631.91205 1.82088
631.88546 1.82163
631.86871 1.83090
631.75718 1.91573
631.73470 1.92604
631.73119 1.92515
631.73974 1.96494
631.74746 2.05004
631.76639 2.06668
631.79911 2.06221
631.83413 2.03815
631.86040 2.00206
631.87032 1.96449
631.86447 1.94318
631.89752 1.91584
631.92208 1.87748
631.93106 1.83929
631.92109 1.81497
631.89524 1.81287
631.87308 1.82434
631.76553 1.90769
631.73119 1.92515
631.72748 1.92418
631.73607 1.96189
631.74469 2.05665
631.76392 2.07394
631.79746 2.07035
631.83362 2.04707
631.86194 2.01100
631.87482 1.97180
631.86872 1.94329
631.90284 1.91516
631.92860 1.87572
631.93903 1.83574
631.93047 1.80890
631.90570 1.80389
631.87772 1.81737
631.76026 1.90810
631.72748 1.92418
631.72356 1.92312
631.73250 1.96324
631.74176 2.06365
631.76151 2.08164
631.79588 2.07882
631.83340 2.05607
631.86375 2.01978
631.87927 1.97900
