# sss file
-1.57080 3.14159
-1.57080 3.14159
628.00097 0.63512
628.01502 0.78763
628.06214 0.87769
628.13441 0.92499
628.23271 0.93297
628.34858 0.90009
628.48824 0.82043
628.65029 0.68449
628.69910 0.63512
628.71315 0.78763
628.76027 0.87769
628.83255 0.92499
628.93085 0.93297
629.04672 0.90009
629.18637 0.82043
629.34843 0.68449
629.39723 0.63512
629.41128 0.78763
629.45840 0.87769
629.53068 0.92499
629.62898 0.93297
629.74485 0.90009
629.88450 0.82043
630.04656 0.68449
630.09537 0.63512
630.10941 0.78763
630.15653 0.87769
630.22881 0.92499
630.32711 0.93297
630.44298 0.90009
630.58263 0.82043
630.74469 0.68449
630.79350 0.63512
630.80755 0.78763
630.85467 0.87769
630.92694 0.92499
631.02524 0.93297
631.14111 0.90009
631.28076 0.82043
631.44282 0.68449
631.49163 0.63512
631.50568 0.78763
631.55280 0.87769
631.62507 0.92499
631.72337 0.93297
631.83924 0.90009
631.97890 0.82043
632.14095 0.68449
632.18976 0.63512
632.20381 0.78763
632.25093 0.87769
632.32320 0.92499
632.42150 0.93297
632.53737 0.90009
632.67703 0.82043
632.83908 0.68449
632.88789 0.63512
632.90194 0.78763
632.94906 0.87769
633.02134 0.92499
633.11964 0.93297
633.23551 0.90009
633.37516 0.82043
633.53722 0.68449
633.58602 0.63512
633.60007 0.78763
633.64719 0.87769
633.71947 0.92499
633.81777 0.93297
633.93364 0.90009
634.07329 0.82043
634.23535 0.68449
634.28416 0.63512
634.26881 0.71040
634.27594 0.83476
634.31724 0.92510
634.38248 0.97396
634.47217 0.98709
634.57950 0.96249
634.70390 0.89824
634.83955 0.79290
634.95738 0.66983
634.98229 0.63512
634.96694 0.71040
634.97407 0.83476
635.01537 0.92510
635.08061 0.97396
635.17030 0.98709
635.27763 0.96249
635.40203 0.89824
635.53768 0.79290
635.65551 0.66983
635.68042 0.63512
635.66507 0.71040
635.67220 0.83476
635.71350 0.92510
635.77874 0.97396
635.86843 0.98709
635.97576 0.96249
636.10017 0.89824
636.23581 0.79290
636.35365 0.66983
636.37855 0.63512
636.36320 0.71040
636.37033 0.83476
636.41163 0.92510
636.47687 0.97396
636.56656 0.98709
636.67389 0.96249
636.79830 0.89824
636.93394 0.79290
637.05178 0.66983
637.07668 0.63512
637.06134 0.71040
637.06846 0.83476
637.10977 0.92510
637.17500 0.97396
637.26469 0.98709
637.37202 0.96249
637.49643 0.89824
637.63207 0.79290
637.74991 0.66983
637.77481 0.63512
637.75947 0.71040
637.76660 0.83476
637.80790 0.92510
637.87314 0.97396
637.96283 0.98709
638.07015 0.96249
638.19456 0.89824
638.33021 0.79290
638.44804 0.66983
638.47295 0.63512
638.45760 0.71040
638.46473 0.83476
638.50603 0.92510
638.57127 0.97396
638.66096 0.98709
638.76829 0.96249
638.89269 0.89824
639.02834 0.79290
639.14617 0.66983
639.17108 0.63512
639.15573 0.71040
639.16286 0.83476
639.20416 0.92510
639.26940 0.97396
639.35909 0.98709
639.46642 0.96249
639.59082 0.89824
639.72647 0.79290
639.84430 0.66983
639.86921 0.63512
639.85386 0.71040
639.86099 0.83476
639.90229 0.92510
639.96753 0.97396
640.05722 0.98709
640.16455 0.96249
640.28896 0.89824
640.42460 0.79290
640.54244 0.66983
640.56734 0.63512
640.54606 0.69871
640.53216 0.81483
640.55052 0.92540
640.59823 0.99703
640.66839 1.03259
640.75928 1.03394
640.86425 1.00091
640.98353 0.93147
641.10586 0.82960
641.21263 0.71233
641.26286 0.63989
641.26547 0.63512
641.24419 0.69871
641.23029 0.81483
641.24866 0.92540
641.29636 0.99703
641.36652 1.03259
641.45742 1.03394
641.56238 1.00091
641.68166 0.93147
641.80399 0.82960
641.91077 0.71233
641.96099 0.63989
641.96360 0.63512
641.94232 0.69871
641.92842 0.81483
641.94679 0.92540
641.99449 0.99703
642.06465 1.03259
642.15555 1.03394
642.26051 1.00091
642.37979 0.93147
642.50212 0.82960
642.60890 0.71233
642.65912 0.63989
642.66174 0.63512
642.64045 0.69871
642.62655 0.81483
642.64492 0.92540
642.69263 0.99703
642.76278 1.03259
642.85368 1.03394
642.95864 1.00091
643.07792 0.93147
643.20025 0.82960
643.30703 0.71233
643.35725 0.63989
643.35987 0.63512
643.33858 0.69871
643.32468 0.81483
643.34305 0.92540
643.39076 0.99703
643.46091 1.03259
643.55181 1.03394
643.65677 1.00091
643.77606 0.93147
643.89838 0.82960
644.00516 0.71233
644.05539 0.63989
644.05800 0.63512
644.03672 0.69871
644.02282 0.81483
644.04118 0.92540
644.08889 0.99703
644.15904 1.03259
644.24994 1.03394
644.35490 1.00091
644.47419 0.93147
644.59652 0.82960
644.70329 0.71233
644.75352 0.63989
644.75613 0.63512
644.73485 0.69871
644.72095 0.81483
644.73931 0.92540
644.78702 0.99703
644.85718 1.03259
644.94808 1.03394
645.05304 1.00091
645.17232 0.93147
645.29465 0.82960
645.40142 0.71233
645.45165 0.63989
645.45426 0.63512
645.43298 0.69871
645.41908 0.81483
645.43745 0.92540
645.48515 0.99703
645.55531 1.03259
645.64621 1.03394
645.75117 1.00091
645.87045 0.93147
645.99278 0.82960
646.09956 0.71233
646.14978 0.63989
646.15239 0.63512
646.13111 0.69871
646.11721 0.81483
