# sss file
-1.57080 3.14159
0.10539 2.92922
0.11140 2.92619
0.10009 2.95323
0.08106 2.99448
0.07953 2.99793
0.06687 3.02726
0.06039 3.04342
0.04725 3.08951
3.10623 3.11814
3.17833 3.04515
3.19878 3.01044
3.22365 2.96490
3.23656 2.94069
3.27241 2.87178
3.30914 2.79992
3.32857 2.76185
3.34512 2.72915
3.36813 2.68375
3.39548 2.62943
3.42180 2.57719
3.43999 2.54102
3.45998 2.50125
3.48568 2.45024
3.50863 2.40453
3.52716 2.36749
3.55790 2.30621
3.58286 2.25649
3.60282 2.21677
3.62579 2.17081
3.65038 2.12183
3.67047 2.08166
3.68752 2.04757
3.70344 2.01592
3.71750 1.98780
3.74052 1.94175
3.75876 1.90528
3.74515 1.91029
3.72912 1.94175
3.70560 1.98780
3.69147 2.01566
3.67524 2.04732
3.65767 2.08166
3.63708 2.12183
3.61212 2.17057
3.58832 2.21677
3.56776 2.25649
3.54211 2.30597
3.51017 2.36726
3.49075 2.40430
3.46658 2.45024
3.43959 2.50102
3.41819 2.54102
3.39872 2.57697
3.37009 2.62921
3.33974 2.68353
3.31373 2.72893
3.29459 2.76142
3.27135 2.79970
3.22463 2.87134
3.17247 2.94026
3.15097 2.96425
3.10090 3.00979
3.04597 3.04407
2.61607 3.11426
0.28951 3.08757
0.19152 3.04256
0.17970 3.02640
0.16946 2.99728
0.16898 2.99383
0.16891 2.95258
0.17202 2.93095
0.17341 2.92598
0.23353 2.92294
0.23346 2.92987
0.23716 2.95128
0.25565 2.99210
0.25833 2.99534
0.28998 3.02424
0.31851 3.03997
0.50538 3.08283
2.30527 3.10587
2.91956 3.04148
3.00597 3.00785
3.07983 2.96274
3.10962 2.93896
3.17746 2.87047
3.23399 2.79883
3.26092 2.76076
3.28266 2.72827
3.31177 2.68286
3.34492 2.62877
3.37584 2.57652
3.39671 2.54057
3.41942 2.50057
3.44781 2.44978
3.47306 2.40407
3.49329 2.36702
3.52643 2.30574
3.55299 2.25601
3.57416 2.21628
3.59844 2.17033
3.62401 2.12158
3.64522 2.08116
3.66297 2.04706
3.67950 2.01541
3.69393 1.98755
3.71785 1.94149
3.72446 1.92869
3.72040 1.93340
3.69637 1.96046
3.68238 1.98703
3.66765 2.01490
3.65082 2.04656
3.63267 2.08066
3.61105 2.12109
3.58478 2.16984
3.55990 2.21580
3.53813 2.25553
3.51078 2.30503
3.47654 2.36633
3.45541 2.40338
3.42915 2.44910
3.39926 2.49989
3.37526 2.53967
3.35308 2.57585
3.31996 2.62788
3.28381 2.68198
3.25181 2.72717
3.22737 2.75966
3.19683 2.79773
3.13093 2.86873
3.04790 2.93680
3.01012 2.96036
2.91479 3.00462
2.80181 3.03717
2.12544 3.09532
0.68513 3.07594
0.43897 3.03566
0.39621 3.02058
0.34533 2.99254
0.34096 2.98908
0.30505 2.94891
0.29484 2.92792
0.29212 2.91796
0.34789 2.91082
0.35504 2.92533
0.37126 2.94588
0.42280 2.98520
0.42878 2.98844
0.49579 3.01562
0.54936 3.03028
0.82823 3.06733
2.01754 3.08391
2.69571 3.03157
2.82935 3.00030
2.94334 2.95712
2.98822 2.93377
3.08542 2.86656
3.16041 2.79599
3.19444 2.75813
3.22148 2.72563
3.25637 2.68065
3.29522 2.62676
3.33054 2.57473
3.35402 2.53877
3.37931 2.49898
3.41061 2.44818
3.43807 2.40246
3.45990 2.36540
3.49534 2.30433
3.52349 2.25482
3.54576 2.21508
3.57135 2.16911
3.59822 2.12035
3.62022 2.08016
3.63880 2.04580
3.66006 2.00649
3.61377 2.06866
3.60792 2.07916
3.58552 2.11936
3.55803 2.16814
3.53184 2.21412
3.50909 2.25363
3.48003 2.30315
3.44337 2.36447
3.42085 2.40130
3.39228 2.44704
3.35959 2.49762
3.33309 2.53742
3.30842 2.57316
3.27080 2.62520
3.22926 2.67888
3.19146 2.72387
3.16223 2.75594
3.12471 2.79358
3.04103 2.86374
2.93086 2.93009
2.87959 2.95301
2.75014 2.99491
2.60176 3.02489
1.94827 3.07185
0.94158 3.05764
0.64930 3.02359
0.58780 3.00979
0.50806 2.98369
0.50068 2.98045
0.40861 2.91558
0.58505 2.97851
0.67205 3.00289
0.73868 3.01583
1.03205 3.04730
1.90151 3.05958
2.51974 3.01713
2.67757 2.98865
2.81938 2.94804
2.87602 2.92576
2.99786 2.86048
3.08972 2.79096
3.13034 2.75352
3.16207 2.72145
3.20245 2.67689
3.24690 2.62320
3.28640 2.57159
3.31249 2.53561
3.34018 2.49603
3.37418 2.44544
3.40374 2.39992
3.42716 2.36307
3.46482 2.30197
3.49468 2.25244
3.51804 2.21292
3.54494 2.16692
3.55407 2.15105
3.48042 2.25315
3.47326 2.26267
3.44982 2.30055
3.41108 2.36144
3.38695 2.39830
3.35628 2.44383
3.32089 2.49422
3.29199 2.53381
3.26483 2.56935
3.22311 2.62097
3.17617 2.67446
3.13309 2.71881
3.09926 2.75067
3.05556 2.78768
2.95622 2.85656
2.82391 2.92078
2.76279 2.94242
2.61163 2.98174
2.44865 3.00850
1.86866 3.04708
1.36836 3.04708
2.38537 2.99966
2.55231 2.97397
2.70993 2.93615
2.77483 2.91493
2.91600 2.85200
3.02221 2.78418
3.06881 2.74738
3.10484 2.71573
3.15041 2.67159
3.19984 2.61852
3.24345 2.56710
3.27182 2.53155
3.30191 2.49217
