# sss file
-1.57080 3.14159
-1.42290 3.14159
0.00000 3.14159
-1.52800 3.10359
-1.36512 2.73524
-1.35580 2.71641
-1.35298 2.71077
-1.27840 2.56041
-1.18278 2.36816
-1.08292 2.16804
-1.07581 2.15382
-1.06834 2.13869
-1.05920 2.12740
-1.04437 2.12175
-0.97524 2.12088
-0.93974 2.12088
-0.73043 2.12066
-0.63082 2.12044
-0.50301 2.12022
-0.32620 2.12000
-0.20579 2.11979
-0.05578 2.11957
0.05342 2.11957
0.14362 2.11935
0.22222 2.11935
0.30283 2.11913
0.38055 2.11870
0.43933 2.09333
0.48148 2.06225
0.50449 2.01563
0.50760 1.98719
0.46035 1.97470
0.42195 1.97470
0.35435 1.97470
0.26804 1.97492
0.15944 1.97492
0.04322 1.97515
-0.02748 1.97515
-0.15269 1.97538
-0.27630 1.97561
-0.36002 1.97583
-0.44882 1.97583
-0.57683 1.97606
-0.68994 1.97629
-0.80856 1.97652
-0.91626 1.97652
-0.96627 1.97674
-0.97333 1.96466
-0.97477 1.95253
-0.96443 1.93066
-0.88925 1.78010
-0.77243 1.54625
-0.67120 1.34359
-0.58456 1.17032
-0.56211 1.13263
-0.53475 1.09670
-0.51193 1.07686
-0.46743 1.07686
-0.39433 1.07686
-0.29834 1.07649
-0.13136 1.07612
-0.03067 1.07575
0.08573 1.07575
0.21121 1.07538
0.30620 1.07501
0.38850 1.07501
0.54198 1.07463
0.68007 1.07426
0.80405 1.07389
0.89705 1.07389
0.96963 1.07054
1.08704 1.07352
1.17953 1.07315
1.25273 1.07315
1.33763 1.07315
1.44953 1.07315
1.56371 1.07278
1.64821 1.07278
1.73221 1.07278
1.80391 1.07278
1.88411 1.07278
1.94983 1.07315
2.04893 1.07315
2.13143 1.07315
2.28753 1.07315
2.36454 1.07352
2.44794 1.07352
2.51245 1.07389
2.53787 1.08167
2.54924 1.09852
2.53017 1.15265
2.48922 1.22757
2.43094 1.29491
2.39924 1.29491
2.33860 1.29460
2.27870 1.29460
2.16870 1.29460
2.03946 1.29428
1.90856 1.29428
1.79826 1.29428
1.67626 1.29428
1.54746 1.29428
1.44406 1.29428
1.29746 1.29428
1.17376 1.29428
1.08620 1.29460
1.00942 1.28575
0.92400 1.29460
0.85240 1.29460
0.78074 1.29491
0.65474 1.29491
0.57959 1.29523
0.46053 1.29554
0.36143 1.29554
0.31367 1.29586
0.25587 1.29586
0.16561 1.29617
0.09381 1.29617
0.03661 1.29617
-0.01554 1.29649
-0.06844 1.29649
-0.12510 1.29680
-0.19300 1.29680
-0.29886 1.29712
-0.35906 1.29712
-0.41176 1.29712
-0.45062 1.29743
-0.51072 1.29743
-0.54545 1.30590
-0.57994 1.33748
-0.61300 1.38160
-0.63745 1.44511
-0.64359 1.47417
-0.63635 1.48769
-0.61913 1.48965
-0.54943 1.48965
-0.46669 1.48937
-0.38959 1.48937
-0.27235 1.48909
-0.16591 1.48881
-0.09181 1.48881
-0.00357 1.48853
0.11197 1.48825
0.20137 1.48825
0.28731 1.48797
0.37731 1.48797
0.49095 1.48769
0.55645 1.48769
0.64319 1.48741
0.72330 1.48601
0.74954 1.49832
0.76244 1.51692
0.75845 1.55711
0.73333 1.59835
0.69784 1.63851
0.65593 1.66153
0.57073 1.66153
0.47620 1.66179
0.39680 1.66179
0.32458 1.66205
0.26098 1.66205
0.16345 1.66230
0.10115 1.66230
0.02212 1.66256
-0.08298 1.66256
-0.16711 1.66282
-0.24534 1.66308
-0.33974 1.66308
-0.44957 1.66333
-0.50777 1.66333
-0.58780 1.66359
