# sss file
-1.57080 3.14159
-1.54066 3.08133
-1.69688 3.08056
-2.06098 3.07195
-2.28537 3.05874
-2.44365 3.04189
-2.55228 3.02235
-2.64769 2.99379
-2.69457 2.97134
-2.70789 2.96078
-2.69932 2.92444
-2.63849 2.88958
-2.54874 2.85909
-2.44415 2.83511
-2.43080 2.83259
-2.36909 2.82097
-2.29813 2.80527
-2.24783 2.79245
-2.20251 2.77982
-2.14058 2.76016
-2.07857 2.73774
-2.02293 2.71506
-1.96042 2.68624
-1.90676 2.65832
-1.86163 2.63247
-1.84210 2.62040
-1.80869 2.59899
-1.76587 2.56934
-1.74359 2.55297
-1.72538 2.53897
-1.70777 2.52654
-1.65449 2.49838
-1.59610 2.47939
-1.53815 2.47109
-1.48477 2.47413
-1.48267 2.47454
-1.44034 2.48849
-1.40824 2.51267
-1.39239 2.54477
-1.39605 2.58130
-1.40569 2.59919
-1.42281 2.61862
-1.47351 2.65142
-1.54473 2.67465
-1.62555 2.68369
-1.69299 2.67839
-1.69760 2.67760
-1.74078 2.66836
-1.75130 2.66580
-1.76873 2.66147
-1.81894 2.64708
-1.86163 2.63247
-1.90954 2.61268
-1.97556 2.57732
-2.01899 2.54678
-2.04996 2.51991
-2.06969 2.49938
-2.09265 2.47150
-2.10562 2.45284
-2.11055 2.44511
-2.11777 2.42554
-2.11242 2.38823
-2.08851 2.34941
-2.05131 2.31361
-2.01497 2.28973
-2.00939 2.28658
-1.97915 2.26931
-1.97387 2.26614
-1.93216 2.24072
-1.90973 2.22646
-1.87744 2.20487
-1.84310 2.18100
-1.81029 2.15699
-1.77095 2.12669
-1.73515 2.09790
-1.70335 2.07110
-1.68912 2.05885
-1.66393 2.03645
-1.63047 2.00574
-1.62952 2.00484
-1.60510 1.98160
-1.59744 1.97427
-1.57158 1.95195
-1.53285 1.92830
-1.49690 1.91781
-1.46735 1.92131
-1.45108 1.93295
-1.44802 1.93644
-1.43582 1.94964
-1.43450 1.95080
-1.40532 1.97725
-1.38415 1.99369
-1.36511 2.00642
-1.34037 2.02113
-1.32288 2.03015
-1.31030 2.03600
-1.28920 2.04520
-1.26567 2.05393
-1.24285 2.06130
-1.22165 2.06710
-1.22165 2.06710
-1.21938 2.06776
-1.19862 2.07244
-1.19367 2.07355
-1.17201 2.08242
-1.15256 2.10452
-1.14547 2.13674
-1.15190 2.17539
-1.16406 2.20251
-1.17229 2.21579
-1.20593 2.25345
-1.24939 2.28258
-1.29749 2.29938
-1.34243 2.30106
-1.34622 2.30043
-1.37671 2.28721
-1.39471 2.26023
-1.39435 2.22390
-1.37730 2.18359
-1.36291 2.16263
-1.35343 2.15025
-1.33586 2.12713
-1.30805 2.08951
-1.29283 2.06865
-1.27091 2.03802
-1.24708 2.00415
-1.22412 1.97083
-1.19613 1.92947
-1.17017 1.89033
-1.14673 1.85446
-1.13606 1.83791
-1.11697 1.80815
-1.09133 1.76766
-1.08482 1.75725
-1.06577 1.72674
-1.06552 1.72624
-1.03374 1.68227
-0.99773 1.64527
-0.96247 1.62033
-0.93200 1.61080
-0.92090 1.61160
-0.90951 1.61742
-0.89706 1.63952
-0.89601 1.67482
-0.90641 1.71842
-0.92412 1.75924
-0.92752 1.76543
-0.95765 1.81009
-0.99348 1.84656
-1.03100 1.87020
-1.06492 1.87803
-1.07332 1.87685
-1.08610 1.87400
-1.09746 1.87091
-1.10489 1.86877
-1.12703 1.86187
-1.14673 1.85446
-1.17008 1.84416
-1.20537 1.82513
-1.23115 1.80791
-1.25132 1.79203
-1.26518 1.77975
-1.28253 1.76246
-1.28875 1.75551
-1.29727 1.74554
-1.30022 1.74104
-1.30652 1.71083
-1.29862 1.66863
-1.27800 1.61980
-1.24788 1.57035
-1.24056 1.56032
-1.21269 1.52658
-1.17682 1.49364
-1.14491 1.47582
-1.12022 1.47525
-1.10932 1.48404
-1.10528 1.49195
-1.10174 1.52409
-1.10959 1.56737
-1.12808 1.61637
-1.15576 1.66553
-1.15792 1.66863
-1.17733 1.69685
-1.18631 1.70982
-1.20552 1.73704
-1.23828 1.78295
-1.25621 1.80742
-1.28158 1.84176
-1.30266 1.86972
-1.32522 1.89905
-1.34442 1.92364
-1.36272 1.94664
-1.38883 1.97885
-1.41160 2.00620
-1.43636 2.03533
-1.45895 2.06130
-1.47655 2.08109
-1.48944 2.09548
-1.50516 2.11112
-1.54611 2.14002
-1.58894 2.15568
-1.62714 2.15568
-1.65412 2.14024
-1.65421 2.14002
-1.66706 2.12472
-1.67132 2.11924
-1.67642 2.11244
-1.69105 2.09150
-1.70335 2.07110
-1.71700 2.04520
-1.73531 2.00143
-1.74706 1.96532
-1.75484 1.93388
-1.75958 1.91055
-1.76457 1.87874
-1.76676 1.85972
-1.76776 1.84872
-1.76738 1.82996
-1.75604 1.78688
-1.73265 1.74029
-1.70069 1.69558
-1.66764 1.66087
-1.66563 1.65906
-1.64168 1.63716
-1.63526 1.63113
-1.60132 1.59883
-1.58257 1.58034
-1.55542 1.55323
-1.52575 1.52270
-1.49702 1.49223
-1.46155 1.45350
-1.42853 1.41626
-1.39845 1.38150
-1.38475 1.36551
-1.36001 1.33583
-1.32662 1.29483
-1.30308 1.26537
-1.29279 1.25237
-1.27061 1.22602
-1.23540 1.19339
-1.20760 1.18039
-1.19028 1.18896
-1.18502 1.21165
-1.18514 1.21768
-1.19203 1.26245
-1.20994 1.31687
-1.23724 1.37488
-1.27058 1.42857
-1.28018 1.44137
-1.30696 1.47212
-1.34175 1.50011
-1.37063 1.50907
-1.38951 1.49842
-1.39490 1.47979
-1.39563 1.47326
-1.39720 1.45120
-1.39722 1.45004
-1.39760 1.44021
-1.39858 1.41037
-1.39845 1.38150
-1.39718 1.34476
-1.39241 1.28241
-1.38627 1.23034
-1.37936 1.18451
-1.37330 1.14980
-1.36388 1.10176
-1.36273 1.09627
-1.35530 1.06239
-1.35369 1.05558
-1.33845 1.00629
-1.30647 0.93154
-1.26289 0.84797
-1.21289 0.76459
-1.18203 0.71866
-1.16360 0.69321
-1.11861 0.64183
-1.10728 0.63757
-1.09716 0.63512
-1.09122 0.64364
-1.09815 0.69490
-1.10456 0.71812
-1.12077 0.76715
-1.15415 0.85029
-1.19445 0.93409
-1.23714 1.00827
-1.26970 1.05520
-1.27577 1.06315
-1.30220 1.09700
-1.30570 1.10140
-1.32959 1.13137
-1.36987 1.18074
-1.39150 1.20660
-1.42184 1.24189
-1.44671 1.27021
-1.47283 1.29927
-1.49466 1.32311
-1.51533 1.34507
-1.54454 1.37548
-1.56965 1.40090
-1.59665 1.42769
-1.62085 1.45091
-1.62272 1.45264
-1.64648 1.47496
-1.65282 1.48064
-1.67805 1.50011
-1.70753 1.51046
-1.72693 1.50067
-1.73360 1.47240
-1.72975 1.44311
-1.72598 1.42857
-1.70529 1.37458
-1.67454 1.31687
-1.63783 1.26245
