# sss file
-1.57080 3.14159
-1.57080 3.14159
0.00952 3.12255
0.01905 3.10351
0.02857 3.08446
0.03810 3.06541
0.04763 3.04635
0.05716 3.02728
0.06670 3.00820
0.07625 2.98911
0.08580 2.97001
0.09478 2.95203
0.09536 2.95088
0.10493 2.93175
0.11451 2.91259
0.12409 2.89341
0.13369 2.87421
0.14321 2.85518
0.15284 2.83592
0.16248 2.81664
0.17213 2.79733
0.18181 2.77799
0.19053 2.76055
0.19150 2.75861
0.20120 2.73919
0.21093 2.71974
0.22068 2.70025
0.23045 2.68071
0.24024 2.66113
0.25005 2.64150
0.25989 2.62182
0.26975 2.60209
0.27776 2.58607
0.27117 2.58785
0.24122 2.59596
0.23553 2.59755
0.19928 2.60644
0.16224 2.61472
0.12450 2.62261
0.08615 2.62970
0.04720 2.63619
0.00766 2.64209
-0.03230 2.64720
-0.07256 2.65152
-0.11292 2.65505
-0.14500 2.65740
-0.15370 2.65799
-0.19437 2.66015
-0.23486 2.66152
-0.27525 2.66211
-0.31526 2.66191
-0.35457 2.66074
-0.39349 2.65897
-0.43161 2.65642
-0.46884 2.65309
-0.50518 2.64916
-0.53121 2.64562
-0.54042 2.64425
-0.57467 2.63875
-0.60762 2.63265
-0.63948 2.62576
-0.66994 2.61827
-0.69919 2.61019
-0.72695 2.60130
-0.75360 2.59201
-0.76944 2.58607
-0.78282 2.58983
-0.81846 2.59913
-0.84323 2.60525
-0.85491 2.60802
-0.89205 2.61630
-0.92989 2.62399
-0.96844 2.63108
-1.00749 2.63737
-1.04704 2.64307
-1.08709 2.64798
-1.12745 2.65230
-1.16802 2.65583
-1.20859 2.65858
-1.23418 2.65976
-1.24927 2.66054
-1.28976 2.66172
-1.33005 2.66211
-1.36996 2.66172
-1.40927 2.66054
-1.44799 2.65858
-1.48592 2.65583
-1.52305 2.65250
-1.55919 2.64818
-1.59423 2.64327
-1.61396 2.64012
-1.62828 2.63776
-1.66094 2.63127
-1.69249 2.62438
-1.72275 2.61670
-1.75171 2.60841
-1.77936 2.59972
-1.80571 2.59023
-1.81664 2.58607
-1.83671 2.59161
-1.87255 2.60091
-1.90910 2.60959
-1.92857 2.61394
-1.94644 2.61788
-1.98438 2.62537
-2.02303 2.63226
-2.06218 2.63855
-2.10183 2.64405
-2.14198 2.64896
-2.18224 2.65289
-2.22291 2.65642
-2.26359 2.65897
-2.30417 2.66074
-2.32326 2.66132
-2.34456 2.66172
-2.38485 2.66211
-2.42466 2.66152
-2.46387 2.66015
-2.50249 2.65819
-2.54022 2.65524
-2.57716 2.65171
-2.61310 2.64739
-2.64794 2.64228
-2.68179 2.63658
-2.69542 2.63383
-2.71425 2.63009
-2.74560 2.62300
-2.77556 2.61512
-2.80432 2.60683
-2.83167 2.59794
-2.85782 2.58845
-2.86384 2.58607
-2.89060 2.59339
-2.92664 2.60268
-2.96339 2.61137
-3.00073 2.61926
-3.01461 2.62202
-3.03887 2.62675
-3.07762 2.63344
-3.11687 2.63953
-3.15662 2.64504
-3.19677 2.64975
-3.23714 2.65367
-3.27771 2.65681
-3.31848 2.65936
-3.35907 2.66093
-3.39946 2.66191
-3.41205 2.66211
-3.43965 2.66211
-3.47936 2.66132
-3.51848 2.65995
-3.55690 2.65760
-3.59453 2.65466
-3.63126 2.65093
-3.66701 2.64641
-3.70175 2.64130
-3.73520 2.63540
-3.76746 2.62871
-3.77567 2.62694
-3.79861 2.62162
-3.82837 2.61374
-3.85683 2.60525
-3.88398 2.59616
-3.90973 2.58647
-3.91104 2.58607
-3.94459 2.59517
-3.98073 2.60426
-4.01767 2.61295
-4.05522 2.62084
-4.09346 2.62812
-4.10135 2.62950
-4.13231 2.63481
-4.17156 2.64071
-4.21141 2.64602
-4.25157 2.65053
-4.29203 2.65426
-4.33270 2.65740
-4.37338 2.65976
-4.41396 2.66132
-4.45436 2.66191
-4.49436 2.66191
-4.50056 2.66191
-4.53396 2.66113
-4.57298 2.65956
-4.61130 2.65721
-4.64883 2.65407
-4.68537 2.65014
-4.72081 2.64543
-4.75536 2.64012
-4.78871 2.63422
-4.82077 2.62753
-4.85152 2.62005
-4.85453 2.61926
-4.88108 2.61216
-4.90924 2.60347
-4.93619 2.59438
-4.95824 2.58607
-4.96313 2.58746
-4.99858 2.59695
-5.03492 2.60604
-5.07186 2.61433
-5.10961 2.62221
-5.14785 2.62930
-5.18690 2.63599
-5.18870 2.63619
-5.22625 2.64170
-5.26630 2.64700
-5.30646 2.65132
-5.34702 2.65505
-5.38770 2.65799
-5.42837 2.66015
-5.46886 2.66152
-5.50925 2.66211
-5.54916 2.66191
-5.58847 2.66093
-5.58867 2.66093
-5.62758 2.65917
-5.66571 2.65662
-5.70314 2.65348
-5.73938 2.64936
-5.77482 2.64464
-5.80897 2.63914
-5.84212 2.63304
-5.87388 2.62615
-5.90453 2.61867
-5.93219 2.61117
-5.93379 2.61058
-5.96175 2.60189
-5.98840 2.59260
-6.00554 2.58607
-6.00261 2.59181
-5.99280 2.60881
-5.98178 2.62556
-5.96925 2.64189
-5.95539 2.65819
-5.93973 2.67406
-5.92245 2.68970
-5.90548 2.70337
-5.90316 2.70493
-5.88187 2.71994
-5.85827 2.73433
-5.83226 2.74852
-5.80365 2.76210
