# sss file
-1.57080 3.14159
-0.38510 3.12639
-1.17392 3.12451
-1.96275 3.12263
-2.74272 3.12084
-2.75156 3.12075
-3.47477 3.11961
-3.54038 3.11887
-4.21262 3.11828
-4.32920 3.11699
-4.95579 3.11687
-5.11802 3.11511
-5.70375 3.11543
-5.90684 3.11322
-6.45595 3.11391
-6.69566 3.11134
-7.21191 3.11237
-7.48449 3.10946
-7.97116 3.11077
-8.27331 3.10758
-8.73329 3.10916
-9.06213 3.10570
-9.49795 3.10751
-9.85095 3.10382
-10.26484 3.10583
-10.63977 3.10194
-11.03367 3.10414
-11.40952 3.10044
-11.42859 3.10006
-11.80424 3.10243
-12.16849 3.09912
-12.21742 3.09817
-12.57634 3.10072
-12.92923 3.09779
-13.00624 3.09629
-13.34978 3.09897
-13.69158 3.09641
-13.79506 3.09441
-14.12443 3.09722
-14.45550 3.09498
-14.58387 3.09253
-14.90017 3.09548
-15.22087 3.09354
-15.37269 3.09065
-15.67686 3.09371
-15.98760 3.09205
-16.16151 3.08877
-16.45442 3.09192
-16.75560 3.09055
-16.95033 3.08688
-17.23277 3.09015
-17.52479 3.08903
-17.73916 3.08500
-18.01180 3.08835
-18.29507 3.08747
-18.52798 3.08312
-18.79150 3.08656
-19.06639 3.08592
-19.31475 3.08130
-19.31680 3.08124
-19.57176 3.08476
-19.83866 3.08432
-20.08257 3.08000
-20.10562 3.07936
-20.35256 3.08295
-20.61182 3.08270
-20.85125 3.07867
-20.89444 3.07748
-21.13383 3.08114
-21.38582 3.08109
-21.62074 3.07732
-21.68326 3.07559
-21.91554 3.07932
-22.16059 3.07945
-22.39102 3.07595
-22.47208 3.07371
-22.69766 3.07749
-22.93608 3.07780
-23.16205 3.07455
-23.26090 3.07183
-23.48014 3.07567
-23.71223 3.07613
-23.93380 3.07312
-24.04972 3.06995
-24.26298 3.07384
-24.48902 3.07445
-24.70625 3.07168
-24.83854 3.06807
-25.04613 3.07202
-25.26640 3.07278
-25.47935 3.07021
-25.62736 3.06618
-25.82958 3.07019
-26.04431 3.07107
-26.25309 3.06873
-26.41618 3.06430
-26.61328 3.06835
-26.82275 3.06938
-27.02741 3.06723
-27.20500 3.06242
-27.39724 3.06653
-27.60166 3.06767
-27.80231 3.06571
-27.98440 3.06088
-27.99382 3.06054
-28.18144 3.06468
-28.38102 3.06594
-28.57775 3.06417
-28.75756 3.05957
-28.78265 3.05865
-28.96585 3.06284
-29.16080 3.06421
-29.35371 3.06261
-29.53122 3.05823
-29.57147 3.05677
-29.75047 3.06099
-29.94098 3.06248
-30.13017 3.06105
-30.30533 3.05688
-30.36028 3.05489
-30.53526 3.05915
-30.72152 3.06073
-30.90711 3.05947
-31.07991 3.05550
-31.14910 3.05300
-31.32025 3.05730
-31.50242 3.05898
-31.68448 3.05787
-31.85493 3.05411
-31.93792 3.05112
-32.10540 3.05546
-32.28365 3.05723
-32.46228 3.05628
-32.63039 3.05270
-32.72674 3.04924
-32.89069 3.05359
-33.06518 3.05546
-33.24048 3.05466
-33.40626 3.05127
-33.51557 3.04736
-33.67613 3.05175
-33.84700 3.05369
-34.01907 3.05304
-34.18251 3.04983
-34.30439 3.04547
-34.46172 3.04990
-34.62911 3.05192
-34.79803 3.05141
-34.95917 3.04836
-35.09320 3.04359
-35.24743 3.04804
-35.41148 3.05015
-35.57734 3.04975
-35.73619 3.04688
-35.88097 3.04174
-35.88202 3.04171
-36.03327 3.04620
-36.19408 3.04836
-36.35698 3.04810
-36.51358 3.04540
-36.65702 3.04045
-36.67084 3.03982
-36.81922 3.04433
-36.97694 3.04659
-37.13695 3.04644
-37.29131 3.04389
-37.43338 3.03912
-37.45966 3.03794
-37.60526 3.04247
-37.76000 3.04481
-37.91721 3.04477
-38.06938 3.04237
-38.21005 3.03779
-38.24848 3.03606
-38.39143 3.04062
-38.54327 3.04302
-38.69778 3.04309
-38.84777 3.04085
-38.98703 3.03642
-39.03731 3.03417
-39.17768 3.03876
-39.32674 3.04121
-39.47860 3.04140
-39.62646 3.03931
-39.76431 3.03505
-39.82612 3.03229
-39.96402 3.03689
-40.11040 3.03942
-40.25969 3.03971
-40.40545 3.03775
-40.54188 3.03366
-40.61494 3.03040
-40.75045 3.03503
-40.89424 3.03762
-41.04105 3.03802
-41.18474 3.03619
-41.31974 3.03225
-41.40376 3.02852
-41.53696 3.03316
-41.67824 3.03581
-41.82263 3.03630
-41.96430 3.03461
-42.09787 3.03084
-42.19258 3.02664
-42.32356 3.03130
-42.46241 3.03400
-42.60446 3.03459
-42.74415 3.03303
-42.87626 3.02940
-42.98140 3.02475
-43.11022 3.02943
-43.24674 3.03219
-43.38650 3.03288
-43.52423 3.03143
-43.65491 3.02795
-43.77021 3.02287
-43.89695 3.02757
-44.03120 3.03039
-44.16874 3.03115
-44.30457 3.02983
-44.43383 3.02650
-44.55285 3.02131
-44.55904 3.02098
-44.68376 3.02570
-44.81582 3.02858
-44.95121 3.02943
-45.08514 3.02822
-45.21298 3.02502
-45.33113 3.01999
-45.34786 3.01910
-45.47063 3.02384
-45.60056 3.02675
-45.73384 3.02768
-45.86595 3.02660
-45.99239 3.02355
-46.10961 3.01866
-46.13668 3.01721
-46.25756 3.02197
-46.38543 3.02494
-46.51668 3.02595
-46.64698 3.02498
-46.77201 3.02205
-46.88832 3.01733
-46.92549 3.01533
-47.04455 3.02011
-47.17042 3.02312
-47.29969 3.02422
-47.42822 3.02334
-47.55186 3.02055
-47.66725 3.01596
-47.71431 3.01344
-47.83159 3.01824
-47.95551 3.02129
-48.08286 3.02247
-48.20965 3.02169
-48.33193 3.01902
-48.44638 3.01459
