# sss file
-1.57080 3.14159
-1.23027 2.46054
-1.22643 2.45285
-1.23027 2.46054
-1.55926 3.11853
0.00000 3.14159
-3.13940 3.13721
-2.80097 2.46034
-2.79723 2.45285
-2.79996 2.45832
-3.14045 3.13931
0.00000 3.14159
0.00181 3.13797
0.34296 2.45569
0.34437 2.45285
0.34063 2.46034
0.00000 3.14159
1.57300 3.13721
1.90194 2.47932
1.91517 2.45285
1.84479 2.45103
1.81387 2.50185
1.54615 2.45650
1.59444 2.40832
1.54205 2.38929
1.63670 2.29220
1.68404 2.30932
0.71904 2.30932
0.78350 2.29220
0.78065 2.34131
0.78105 2.38929
0.70964 2.40832
0.70975 2.45650
0.63267 2.47327
0.55431 2.48657
0.56359 2.43663
0.55431 2.48657
0.47539 2.49603
0.39667 2.50185
0.41659 2.45103
0.34437 2.45285
0.37011 2.40137
0.39611 2.34937
0.45934 2.34772
0.43753 2.39974
0.37011 2.40137
0.30433 2.39974
0.33454 2.34772
0.27502 2.34275
0.30844 2.29052
0.34127 2.23767
0.39424 2.24212
0.34127 2.23767
0.37394 2.18391
0.40629 2.12961
0.45393 2.13375
0.48408 2.07824
0.53102 2.07957
0.57928 2.07824
0.55393 2.13375
0.52930 2.18820
0.47595 2.18971
0.42410 2.18820
0.45393 2.13375
0.40629 2.12961
0.43867 2.07426
0.47111 2.01799
0.51449 2.02181
0.47111 2.01799
0.50375 1.96070
0.53656 1.90229
0.57618 1.90603
0.60769 1.84622
0.64709 1.84742
0.68769 1.84622
0.65938 1.90603
0.61720 1.90720
0.64709 1.84742
0.67767 1.78625
0.71668 1.78503
0.74666 1.72229
0.78532 1.71877
0.82501 1.71297
0.79797 1.77546
0.82501 1.71297
0.86559 1.70463
0.90679 1.69422
0.88257 1.75647
0.92582 1.74355
0.90427 1.80405
0.88423 1.86314
0.83788 1.87665
0.81769 1.93442
0.77013 1.94575
0.72325 1.95450
0.74710 1.89619
0.70276 1.90229
0.72928 1.84264
0.75680 1.78160
0.79797 1.77546
0.75680 1.78160
0.78532 1.71877
0.81488 1.65444
0.85326 1.64848
0.88277 1.58227
0.92080 1.57421
0.95966 1.56368
0.93252 1.62996
0.89249 1.64041
0.92080 1.57421
0.95057 1.50547
0.98848 1.49484
1.01889 1.42363
1.05678 1.41044
1.09521 1.39538
1.06657 1.46686
1.09521 1.39538
1.13466 1.37748
1.17477 1.35726
1.14757 1.42945
1.18904 1.40691
1.16478 1.47624
1.14243 1.54274
1.09942 1.56477
1.05676 1.58468
1.08088 1.51825
1.10670 1.44941
1.14757 1.42945
1.17477 1.35726
1.21549 1.33463
1.25706 1.30948
1.23106 1.38227
1.25706 1.30948
1.29926 1.28168
1.34237 1.25107
1.31718 1.32505
1.36116 1.29248
1.33894 1.36332
1.31909 1.43062
1.27435 1.46230
1.29451 1.39538
1.33894 1.36332
1.38372 1.32876
1.36432 1.39656
1.41006 1.35969
1.39340 1.42479
1.37916 1.48669
1.33262 1.52295
1.37916 1.48669
1.36695 1.54629
1.35727 1.60307
1.30972 1.63937
1.30159 1.69422
1.25344 1.72831
1.20511 1.76018
1.21489 1.70463
1.20511 1.76018
1.15674 1.78992
1.10821 1.81738
1.11989 1.76141
1.07247 1.78625
1.08714 1.72831
1.10381 1.66838
1.14897 1.64406
1.10381 1.66838
1.12211 1.60678
1.14243 1.54274
1.18598 1.51825
1.20745 1.45171
1.25070 1.42479
1.29451 1.39538
1.27435 1.46230
1.22996 1.49147
1.25070 1.42479
1.27389 1.35483
1.31718 1.32505
1.34237 1.25107
1.38610 1.21780
1.43066 1.18167
1.40578 1.25724
1.43066 1.18167
1.47609 1.14242
1.52252 1.09976
1.49735 1.17790
1.54441 1.13358
1.52225 1.20810
1.50318 1.27784
1.45630 1.32039
1.41006 1.35969
1.42939 1.29121
1.45123 1.21914
1.49735 1.17790
1.52252 1.09976
1.57007 1.05365
1.61897 1.00327
1.59268 1.08544
1.61897 1.00327
1.66962 0.94837
1.72191 0.88859
1.69311 0.97678
1.74587 0.91527
1.72015 0.99929
1.69871 1.07618
1.64822 1.13216
1.66878 1.05744
1.72015 0.99929
1.77342 0.93576
1.75076 1.01549
1.80438 0.95004
1.78419 1.02641
1.76760 1.09720
1.71608 1.15785
1.76760 1.09720
1.75444 1.16272
1.74414 1.22412
1.69406 1.28168
1.68704 1.33832
1.63809 1.39181
1.58970 1.44220
1.59608 1.38705
1.54787 1.43526
1.55676 1.37748
1.56817 1.31666
1.61673 1.26694
1.63094 1.20171
1.68082 1.14735
1.73165 1.08950
1.71608 1.15785
1.73165 1.08950
1.78419 1.02641
1.83863 0.95834
1.82068 1.03183
1.87559 0.96123
1.85988 1.03183
1.84760 1.09720
1.79524 1.16272
1.80632 1.09976
1.85988 1.03183
1.91543 0.95834
1.90179 1.02641
1.95798 0.95004
1.94616 1.01549
1.93751 1.07618
1.88422 1.14735
1.93751 1.07618
1.93202 1.13216
1.92927 1.18406
1.87781 1.25237
1.87853 1.29974
1.82884 1.36332
1.77989 1.42363
1.77816 1.37748
1.77852 1.32876
1.82873 1.26694
1.87964 1.20171
1.87781 1.25237
1.92927 1.18406
1.92904 1.23272
1.93138 1.27784
1.88153 1.34415
1.93138 1.27784
1.93570 1.32039
1.94256 1.35969
1.89420 1.42479
1.90392 1.46116
1.85682 1.52295
1.81007 1.58227
1.79915 1.54629
1.84656 1.48669
1.85682 1.52295
1.86938 1.55664
1.82309 1.61603
1.83838 1.64744
1.79289 1.70463
1.74701 1.76018
1.73064 1.72831
1.74701 1.76018
1.70102 1.81375
1.65454 1.86552
1.63708 1.83304
1.58962 1.88255
1.57439 1.84742
1.56184 1.81012
1.60979 1.76141
1.62219 1.79822
1.57439 1.84742
1.52579 1.89502
1.51310 1.85720
1.46386 1.90229
1.45382 1.86195
1.44630 1.81980
1.49547 1.77546
1.44630 1.81980
1.44147 1.77546
1.43894 1.72931
1.48757 1.68607
1.48717 1.63806
1.53545 1.59269
1.58374 1.54493
1.58425 1.59269
1.53599 1.64041
1.53545 1.59269
1.53723 1.54274
1.58548 1.49484
1.58970 1.44220
1.63809 1.39181
1.68704 1.33832
1.68249 1.39181
1.68704 1.33832
1.73666 1.28168
1.78707 1.22146
1.78146 1.27688
1.83223 1.21413
1.82873 1.26694
1.82757 1.31666
1.77816 1.37748
1.72927 1.43526
1.72928 1.38705
1.73167 1.33586
1.78146 1.27688
1.78707 1.22146
1.83838 1.15785
1.89125 1.08950
1.88422 1.14735
1.89125 1.08950
1.94616 1.01549
2.00322 0.93576
1.99295 0.99929
2.05117 0.91527
2.04251 0.97678
2.03691 1.03338
1.98211 1.11137
1.98608 1.05744
2.04251 0.97678
2.10191 0.88859
2.09442 0.94837
2.15541 0.85518
2.14903 0.91354
2.14571 0.96699
2.08867 1.05365
2.14571 0.96699
2.14556 1.01549
2.14786 1.06008
2.09389 1.14242
2.10006 1.18167
2.04928 1.25724
1.99982 1.32876
1.99179 1.29121
1.94256 1.35969
1.93570 1.32039
1.93138 1.27784
1.98205 1.20810
1.98076 1.16167
2.03428 1.08544
2.09007 1.00327
2.08867 1.05365
2.09007 1.00327
2.14903 0.91354
2.21207 0.81426
2.20618 0.87203
2.27210 0.76520
2.26670 0.82241
2.26511 0.87339
2.20456 0.97108
2.20397 0.92386
2.26670 0.82241
2.33622 0.70637
2.33096 0.76367
