# sss file
-1.57080 3.14159
-1.57080 3.14159
-1.72031 3.08158
-1.55915 2.75927
-1.61568 2.67280
-1.64083 2.56358
-1.63888 2.42380
-1.62980 2.36200
-1.62326 2.21082
-1.61439 2.15166
-1.60292 1.99193
-1.59261 1.92858
-1.53836 1.70984
-1.53146 1.68661
-1.44052 1.41497
-1.32316 1.09049
-1.13138 0.63512
-1.32316 1.09049
-1.05957 0.63512
-1.32316 1.09049
-1.44052 1.41497
-1.23340 1.09049
-1.04162 0.63512
-1.23340 1.09049
-0.96981 0.63512
-1.23340 1.09049
-1.44052 1.41497
-1.53146 1.68661
-1.35076 1.41497
-1.23340 1.09049
-1.04162 0.63512
-1.23340 1.09049
-0.96981 0.63512
-1.23340 1.09049
-1.35076 1.41497
-1.14364 1.09049
-0.95186 0.63512
-1.14364 1.09049
-0.88006 0.63512
-1.14364 1.09049
-1.35076 1.41497
-1.53146 1.68661
-1.58843 1.90772
-1.59261 1.92858
-1.42812 1.70984
-1.41178 1.68661
-1.32084 1.41497
-1.20348 1.09049
-1.01170 0.63512
-1.20348 1.09049
-0.93989 0.63512
-1.20348 1.09049
-1.32084 1.41497
-1.11372 1.09049
-0.92194 0.63512
-1.11372 1.09049
-0.85014 0.63512
-1.11372 1.09049
-1.32084 1.41497
-1.41178 1.68661
-1.23108 1.41497
-1.11372 1.09049
-0.92194 0.63512
-1.11372 1.09049
-0.85014 0.63512
-1.11372 1.09049
-1.23108 1.41497
-1.02396 1.09049
-0.83218 0.63512
-1.02396 1.09049
-0.76038 0.63512
-1.02396 1.09049
-1.23108 1.41497
-1.41178 1.68661
-1.57593 1.90772
-1.59261 1.92858
-1.61305 2.09329
-1.61439 2.15166
-1.46612 1.99193
-1.41309 1.92858
-1.35884 1.70984
-1.35194 1.68661
-1.26100 1.41497
-1.14364 1.09049
-0.95186 0.63512
-1.14364 1.09049
-0.88006 0.63512
-1.14364 1.09049
-1.26100 1.41497
-1.05388 1.09049
-0.86210 0.63512
-1.05388 1.09049
-0.79030 0.63512
-1.05388 1.09049
-1.26100 1.41497
-1.35194 1.68661
-1.17124 1.41497
-1.05388 1.09049
-0.86210 0.63512
-1.05388 1.09049
-0.79030 0.63512
-1.05388 1.09049
-1.17124 1.41497
-0.96412 1.09049
-0.77234 0.63512
-0.96412 1.09049
-0.70054 0.63512
-0.96412 1.09049
-1.17124 1.41497
-1.35194 1.68661
-1.40891 1.90772
-1.41309 1.92858
-1.24860 1.70984
-1.23226 1.68661
-1.14132 1.41497
-1.02396 1.09049
-0.83218 0.63512
-1.02396 1.09049
-0.76038 0.63512
-1.02396 1.09049
-1.14132 1.41497
-0.93420 1.09049
-0.74242 0.63512
-0.93420 1.09049
-0.67062 0.63512
-0.93420 1.09049
-1.14132 1.41497
-1.23226 1.68661
-1.05156 1.41497
-0.93420 1.09049
-0.74242 0.63512
-0.93420 1.09049
-0.67062 0.63512
-0.93420 1.09049
-1.05156 1.41497
-0.84444 1.09049
-0.65266 0.63512
-0.84444 1.09049
-0.58086 0.63512
-0.84444 1.09049
-1.05156 1.41497
-1.23226 1.68661
-1.39641 1.90772
-1.41309 1.92858
-1.55736 2.09329
-1.61439 2.15166
-1.63065 2.30642
-1.62980 2.36200
-1.48515 2.21082
-1.43487 2.15166
-1.42340 1.99193
-1.41309 1.92858
-1.35884 1.70984
-1.35194 1.68661
-1.26100 1.41497
-1.14364 1.09049
-0.95186 0.63512
-1.14364 1.09049
-0.88006 0.63512
-1.14364 1.09049
-1.26100 1.41497
-1.05388 1.09049
-0.86210 0.63512
-1.05388 1.09049
-0.79030 0.63512
-1.05388 1.09049
-1.26100 1.41497
-1.35194 1.68661
-1.17124 1.41497
-1.05388 1.09049
-0.86210 0.63512
-1.05388 1.09049
-0.79030 0.63512
-1.05388 1.09049
-1.17124 1.41497
-0.96412 1.09049
-0.77234 0.63512
-0.96412 1.09049
-0.70054 0.63512
-0.96412 1.09049
-1.17124 1.41497
-1.35194 1.68661
-1.40891 1.90772
-1.41309 1.92858
-1.24860 1.70984
-1.23226 1.68661
-1.14132 1.41497
-1.02396 1.09049
-0.83218 0.63512
-1.02396 1.09049
-0.76038 0.63512
-1.02396 1.09049
-1.14132 1.41497
-0.93420 1.09049
-0.74242 0.63512
-0.93420 1.09049
-0.67062 0.63512
-0.93420 1.09049
-1.14132 1.41497
-1.23226 1.68661
-1.05156 1.41497
-0.93420 1.09049
-0.74242 0.63512
-0.93420 1.09049
-0.67062 0.63512
-0.93420 1.09049
-1.05156 1.41497
-0.84444 1.09049
-0.65266 0.63512
-0.84444 1.09049
-0.58086 0.63512
-0.84444 1.09049
-1.05156 1.41497
-1.23226 1.68661
-1.39641 1.90772
-1.41309 1.92858
-1.43353 2.09329
-1.43487 2.15166
-1.28660 1.99193
-1.23357 1.92858
-1.17932 1.70984
-1.17242 1.68661
-1.08148 1.41497
-0.96412 1.09049
-0.77234 0.63512
-0.96412 1.09049
-0.70054 0.63512
-0.96412 1.09049
-1.08148 1.41497
-0.87436 1.09049
-0.68258 0.63512
-0.87436 1.09049
-0.61078 0.63512
-0.87436 1.09049
-1.08148 1.41497
-1.17242 1.68661
-0.99172 1.41497
-0.87436 1.09049
-0.68258 0.63512
-0.87436 1.09049
