# sss file
-1.57080 3.14159
-1.57001 3.14002
-1.56352 3.12703
-1.56293 3.12585
-1.55899 3.11798
-1.55456 3.10912
-1.54531 3.09062
-1.53655 3.07310
-1.52976 3.05952
-1.52434 3.04868
-1.51686 3.03371
-1.50897 3.01794
-1.50020 3.00039
-1.49240 2.98480
-1.48302 2.96605
-1.46879 2.93758
-1.45196 2.90393
-1.43314 2.85828
-1.40655 2.80630
-1.38376 2.76151
-1.37192 2.73824
-1.35976 2.71411
-1.34817 2.69133
-1.33090 2.66181
-1.33120 2.66201
-1.33131 2.66241
-1.33111 2.66262
-1.33091 2.66302
-1.33031 2.66323
-1.32951 2.66323
-1.32871 2.66343
-1.32761 2.66323
-1.32651 2.66302
-1.32541 2.66262
-1.32441 2.66221
-1.32340 2.66160
-1.32250 2.66079
-1.32189 2.66019
-1.32149 2.65938
-1.32138 2.65857
-1.32168 2.65775
-1.32247 2.65694
-1.32367 2.65634
-1.32516 2.65573
-1.32706 2.65532
-1.32926 2.65512
-1.33176 2.65512
-1.33426 2.65512
-1.33686 2.65553
-1.33957 2.65613
-1.34217 2.65674
-1.34468 2.65775
-1.34709 2.65917
-1.34900 2.66059
-1.35041 2.66221
-1.35132 2.66383
-1.35173 2.66545
-1.35164 2.66727
-1.35095 2.66889
-1.34956 2.67031
-1.34756 2.67173
-1.34477 2.67274
-1.34137 2.67355
-1.33748 2.67415
-1.33298 2.67415
-1.32828 2.67375
-1.32347 2.67314
-1.31877 2.67213
-1.31406 2.67072
-1.30985 2.66910
-1.30604 2.66727
-1.30272 2.66505
-1.30021 2.66262
-1.29849 2.65998
-1.29777 2.65735
-1.29816 2.65492
-1.29914 2.65228
-1.30112 2.65005
-1.30401 2.64802
-1.30760 2.64619
-1.31189 2.64477
-1.31718 2.64396
-1.32288 2.64356
-1.32908 2.64356
-1.33548 2.64416
-1.34199 2.64518
-1.34840 2.64680
-1.35462 2.64883
-1.36043 2.65127
-1.36565 2.65411
-1.36997 2.65735
-1.37320 2.66059
-1.37542 2.66424
-1.37644 2.66788
-1.37616 2.67132
-1.37468 2.67476
-1.37180 2.67779
-1.36761 2.68062
-1.36202 2.68285
-1.35513 2.68446
-1.34734 2.68547
-1.33874 2.68568
-1.32984 2.68527
-1.32063 2.68406
-1.31172 2.68244
-1.30311 2.68002
-1.29529 2.67699
-1.28837 2.67335
-1.28275 2.66930
-1.27852 2.66505
-1.27570 2.66059
-1.27417 2.65593
-1.27413 2.65147
-1.27560 2.64721
-1.27868 2.64335
-1.28315 2.63970
-1.28923 2.63685
-1.29651 2.63462
-1.30470 2.63299
-1.31379 2.63218
-1.32329 2.63197
-1.33329 2.63258
-1.34340 2.63401
-1.35362 2.63624
-1.36345 2.63929
-1.37247 2.64295
-1.38081 2.64741
-1.38804 2.65228
-1.39387 2.65735
-1.39831 2.66282
-1.40094 2.66829
-1.40168 2.67375
-1.40010 2.67901
-1.39623 2.68386
-1.39005 2.68810
-1.38187 2.69173
-1.37198 2.69436
-1.36069 2.69638
-1.34819 2.69718
-1.33509 2.69718
-1.32139 2.69577
-1.30787 2.69335
-1.29506 2.68992
-1.28334 2.68568
-1.27291 2.68062
-1.26408 2.67496
-1.25715 2.66889
-1.25241 2.66241
-1.24987 2.65593
-1.24982 2.64964
-1.25178 2.64356
-1.25583 2.63787
-1.26159 2.63279
-1.26916 2.62831
-1.27843 2.62485
-1.28910 2.62221
-1.30099 2.62058
-1.31389 2.62017
-1.32739 2.62078
-1.34111 2.62241
-1.35493 2.62506
-1.36856 2.62872
-1.38140 2.63340
-1.39324 2.63888
-1.40379 2.64518
-1.41274 2.65208
-1.41979 2.65917
-1.42463 2.66667
-1.42678 2.67415
-1.42602 2.68143
-1.42205 2.68810
-1.41518 2.69436
-1.40540 2.69960
-1.39312 2.70384
-1.37863 2.70706
-1.36214 2.70867
-1.34434 2.70887
-1.32593 2.70767
-1.30752 2.70484
-1.28991 2.70061
-1.27358 2.69537
-1.25905 2.68911
-1.24692 2.68204
-1.23738 2.67415
-1.23073 2.66586
-1.22698 2.65755
-1.22602 2.64924
-1.22756 2.64112
-1.23180 2.63360
-1.23834 2.62669
-1.24739 2.62078
-1.25865 2.61610
-1.27171 2.61243
-1.28619 2.60998
-1.30178 2.60855
-1.31828 2.60876
-1.33529 2.61019
-1.35262 2.61304
-1.36966 2.61712
-1.38621 2.62261
-1.40186 2.62913
-1.41622 2.63665
-1.42879 2.64498
-1.43915 2.65370
