# sss file
-1.57080 3.14159
4.64340 3.14159
6.28396 3.12248
6.29362 3.10336
6.30318 3.08425
6.31274 3.06512
6.32230 3.04599
6.33187 3.02685
6.34145 3.00770
6.35103 2.98854
6.36062 2.96936
6.36753 2.95555
6.37061 2.95017
6.38132 2.93096
6.39193 2.91173
6.40236 2.89248
6.41270 2.87321
6.42294 2.85391
6.43311 2.83458
6.44329 2.81523
6.45338 2.79584
6.46349 2.77642
6.47351 2.75697
6.48356 2.73748
6.49362 2.71795
6.50351 2.69858
6.51362 2.67896
6.52365 2.65930
6.52897 2.64887
6.51633 2.64354
6.49065 2.63229
6.46678 2.62024
6.44733 2.60955
6.44612 2.60717
6.43794 2.58971
6.43080 2.57221
6.42487 2.55426
6.41977 2.53627
6.41917 2.53426
6.41569 2.51802
6.41224 2.49972
6.40972 2.48116
6.40783 2.46254
6.40657 2.44366
6.40592 2.42736
6.40534 2.42491
6.40104 2.40713
6.39756 2.38908
6.39452 2.37096
6.39222 2.35257
6.39055 2.33411
6.39065 2.33390
6.39374 2.31411
6.39739 2.29382
6.40128 2.27364
6.40551 2.25337
6.40907 2.23725
6.41071 2.23279
6.41857 2.21146
6.42648 2.19024
6.43465 2.16889
6.44289 2.14743
6.45128 2.12584
6.45319 2.12102
6.46295 2.10390
6.47549 2.08182
6.48799 2.05982
6.50058 2.03744
6.50257 2.03385
6.50596 2.01627
6.51032 1.99496
6.51505 1.97350
6.51996 1.95189
6.52514 1.93012
6.53061 1.90818
6.53648 1.88583
6.54255 1.86330
6.54578 1.85185
6.54901 1.84058
6.55577 1.81767
6.56295 1.79430
6.57022 1.77096
6.57783 1.74714
6.58319 1.73063
6.58816 1.72309
6.60421 1.69878
6.62042 1.67395
6.63645 1.64911
6.65275 1.62371
6.65522 1.61975
6.66700 1.59720
6.68089 1.57061
6.69500 1.54339
6.70941 1.51579
6.72391 1.48778
6.73849 1.45962
6.73864 1.45933
6.75219 1.43042
6.76584 1.40133
6.77989 1.37141
6.79433 1.34095
6.80906 1.30988
6.82395 1.27849
6.83935 1.24610
6.85512 1.21297
6.87139 1.17902
6.87999 1.16102
6.88873 1.14454
6.90753 1.10874
6.92696 1.07188
6.94668 1.03423
6.96726 0.99489
6.98857 0.95407
7.01050 0.91200
7.03361 0.86758
7.04263 0.85014
7.04912 0.82856
7.06040 0.79220
7.07297 0.75366
7.07510 0.74740
7.05179 0.78922
7.02564 0.83613
7.00089 0.88023
6.97701 0.92279
6.95410 0.96360
6.93177 1.00327
6.91042 1.04117
6.88958 1.07823
6.86931 1.11418
6.84964 1.14912
6.83053 1.18314
6.81178 1.21665
6.79358 1.24905
6.77577 1.28106
6.75831 1.31239
6.74125 1.34310
6.72459 1.37322
6.70830 1.40281
6.69221 1.43217
6.67662 1.46076
6.66121 1.48919
6.64635 1.51690
6.63156 1.54449
6.61715 1.57169
6.60303 1.59853
6.58929 1.62502
6.57594 1.65093
6.56271 1.67678
6.54983 1.70234
6.53729 1.72761
6.52499 1.75262
6.51302 1.77737
6.50137 1.80187
6.48993 1.82613
6.47891 1.85017
6.46820 1.87400
6.45791 1.89738
6.44790 1.92080
6.43820 1.94380
6.42899 1.96662
6.42007 1.98927
6.41152 2.01175
6.40326 2.03408
6.39559 2.05602
6.38839 2.07783
6.38145 2.09949
6.37520 2.12080
6.36931 2.14199
6.36388 2.16305
6.35901 2.18378
6.35470 2.20440
6.35105 2.22470
6.34795 2.24490
6.34551 2.26479
6.34371 2.28458
6.34276 2.30387
6.34246 2.32308
6.34290 2.34221
6.34428 2.36084
6.34650 2.37920
6.34966 2.39729
6.35385 2.41511
6.35907 2.43266
6.36532 2.44996
6.37280 2.46680
6.38151 2.48318
6.39144 2.49932
6.40280 2.51501
6.41557 2.53026
6.42987 2.54507
6.44567 2.55925
6.46320 2.57300
6.48233 2.58633
6.50328 2.59884
6.52593 2.61093
6.55049 2.62221
6.57686 2.63289
6.60512 2.64275
6.63519 2.65182
6.66725 2.65989
6.70092 2.66737
6.73637 2.67386
6.77342 2.67936
