# sss file
-1.57080 3.14159
-3.07207 3.00273
-2.95206 3.00231
-2.84683 3.00105
-2.71106 2.99812
-2.59077 2.99455
-2.41541 2.98741
-2.13712 2.97104
-1.93122 2.95444
-1.78518 2.94056
-1.65563 2.92646
-1.52213 2.91046
-1.41829 2.89718
-1.30158 2.88136
-1.18967 2.86573
-1.05695 2.84670
-0.97964 2.83549
-0.83607 2.81493
-0.68878 2.79455
-0.55647 2.77754
-0.48110 2.76860
-0.53390 2.77520
-0.62155 2.78690
-0.76080 2.80559
-0.87846 2.82172
-0.95404 2.83167
-0.96921 2.80941
-0.96340 2.77179
-0.93660 2.73960
-0.89693 2.70986
-0.84547 2.68154
-0.78304 2.65527
-0.73243 2.63865
-0.71528 2.65635
-0.69050 2.67380
-0.65479 2.69099
-0.61920 2.70300
-0.58805 2.71051
-0.55395 2.71650
-0.51351 2.72121
-0.55395 2.71650
-0.60383 2.70686
-0.65479 2.69099
-0.69050 2.67380
-0.71109 2.65959
-0.73624 2.63368
-0.75069 2.60379
-0.75485 2.57290
-0.75049 2.54099
-0.74139 2.51398
-0.73295 2.49570
-0.75987 2.47934
-0.77933 2.46206
-0.80313 2.42285
-0.80925 2.36349
-0.79764 2.31347
-0.77645 2.26590
-0.75135 2.22410
-0.75907 2.21195
-0.77363 2.16247
-0.76640 2.08821
-0.73877 2.01355
-0.69824 1.94088
-0.64068 1.86037
-0.58317 1.79375
-0.52745 1.73850
-0.47406 1.69312
-0.43516 1.66473
-0.40518 1.64597
-0.37086 1.62791
-0.34492 1.61723
-0.31740 1.60941
-0.29730 1.60621
-0.26795 1.60650
-0.25410 1.60941
-0.23587 1.61694
-0.22021 1.62762
-0.20416 1.64511
-0.19460 1.66019
-0.18560 1.68080
-0.17861 1.70622
-0.17370 1.73959
-0.17259 1.77358
-0.17560 1.81800
-0.18238 1.86037
-0.18973 1.89125
-0.19857 1.92154
-0.18515 1.92970
-0.16659 1.94418
-0.15287 1.95833
-0.14006 1.97593
-0.13086 1.99193
-0.12415 2.00611
-0.11648 2.02837
-0.10921 2.06001
-0.10601 2.08603
-0.10541 2.11762
-0.10621 2.13462
-0.08722 2.13725
-0.06391 2.14202
-0.04651 2.14702
-0.02796 2.15392
-0.01040 2.16200
0.00484 2.17052
0.01408 2.17643
0.02592 2.18517
0.03955 2.19670
0.05481 2.21218
0.07488 2.23785
0.08878 2.26105
0.10249 2.29262
0.09531 2.27698
0.08167 2.24946
0.06458 2.22503
0.04354 2.20093
0.02592 2.18517
0.01740 2.17880
0.03059 2.16602
0.04830 2.15059
0.08559 2.12361
0.11938 2.10463
0.14986 2.09208
0.18065 2.08409
0.20617 2.08167
0.22980 2.08361
0.24795 2.08869
0.23069 2.11281
0.21237 2.14107
0.19294 2.17573
0.17859 2.20703
0.16884 2.23412
0.16430 2.25039
0.16884 2.23412
0.18586 2.19129
0.20268 2.15844
0.23069 2.11281
0.25474 2.07973
0.29685 2.02911
0.33236 1.99168
0.36116 1.96387
0.38696 1.94088
0.39558 1.91285
0.41185 1.87131
0.44149 1.81163
0.47681 1.75297
0.52474 1.68473
0.56022 1.63997
0.60456 1.58927
0.61931 1.54719
0.65167 1.47267
0.68975 1.39950
0.74105 1.31310
0.81984 1.19651
0.87571 1.12279
0.92491 1.06319
0.97529 1.00823
1.03105 0.95631
1.06747 0.93005
1.10105 0.91690
1.13204 0.91832
1.15116 0.94488
1.15810 0.99120
1.15645 1.03731
1.14681 1.10417
1.12904 1.18232
1.10579 1.26042
1.07641 1.34197
1.05005 1.40470
1.01882 1.46955
0.98146 1.53668
0.94812 1.58516
0.94212 1.63595
0.93318 1.68024
0.92085 1.72531
0.90962 1.75896
0.89512 1.79616
0.86301 1.86298
0.83282 1.91336
0.81366 1.94088
0.81694 1.97091
0.81738 2.00263
0.81323 2.04754
0.80800 2.07560
0.80218 2.09884
0.79409 2.12481
0.78482 2.14917
0.76381 2.19317
0.74805 2.21990
0.72647 2.25085
0.71119 2.26983
0.73724 2.23552
0.75592 2.20656
0.76894 2.18352
0.78940 2.13701
0.79948 2.10824
0.80495 2.08869
0.82485 2.08409
0.85367 2.08167
0.87939 2.08482
0.91505 2.10270
0.93161 2.12218
0.94242 2.14917
0.94530 2.17880
0.89944 2.19952
0.85088 2.22503
0.82000 2.24320
0.78874 2.26313
0.76821 2.27698
0.80451 2.25317
0.85088 2.22503
0.89944 2.19952
0.93785 2.18210
0.98364 2.16413
1.02147 2.15226
1.06155 2.14250
1.08764 2.13773
1.11309 2.13462
1.15984 2.08772
1.22055 2.03551
1.26446 2.00288
1.31565 1.96991
1.35137 1.95025
1.39163 1.93174
1.41863 1.92154
1.48278 1.83703
1.55246 1.76167
1.60572 1.71315
1.66655 1.66671
1.70217 1.64425
1.76341 1.61579
1.79507 1.60766
1.82063 1.60534
1.84382 1.60795
1.86601 1.61579
1.88251 1.62618
1.89562 1.63997
1.91205 1.66529
1.92569 1.70622
1.93159 1.75542
1.92935 1.81269
1.91593 1.88634
1.89532 1.95076
1.87003 2.00735
1.83429 2.06781
1.79829 2.11522
1.75503 2.16033
1.71762 2.19176
1.66843 2.22433
1.65591 2.25757
1.61828 2.32443
1.59184 2.35851
1.55230 2.39820
1.50164 2.43692
1.43930 2.47159
1.37885 2.49570
1.35462 2.53617
1.31980 2.57660
1.27533 2.61355
1.22079 2.64643
1.14098 2.68003
1.08320 2.69700
1.01885 2.71051
0.96871 2.71779
0.91815 2.72250
0.88880 2.72399
0.94342 2.72036
1.05137 2.70386
1.11249 2.68863
1.16631 2.67078
1.19842 2.65635
1.23527 2.63865
1.27357 2.65786
1.30194 2.67831
