# sss file
-1.57080 3.14159
-1.57080 3.14159
-1.03750 3.12220
-0.55223 2.15166
-0.41637 2.07914
-0.26593 1.97933
-0.12305 1.86439
0.01429 1.73462
0.16777 1.56700
0.34184 1.34866
0.44259 1.20922
0.55640 1.19289
0.68457 1.14325
0.82629 1.05783
0.98305 0.93064
1.16167 0.74611
1.25324 0.63512
1.22530 0.85733
1.24067 1.00704
1.28579 1.10994
1.35489 1.17503
1.44430 1.20600
1.48979 1.20922
1.42762 1.45018
1.39876 1.63244
1.39356 1.79207
1.40961 1.91546
1.44696 2.02402
1.50810 2.11698
1.54216 2.15166
1.05689 3.12220
2.23517 3.14159
-0.51390 3.12220
-0.02863 2.15166
0.10722 2.07914
0.25767 1.97933
0.40055 1.86439
0.53789 1.73462
0.69137 1.56700
0.86543 1.34866
0.96619 1.20922
1.08000 1.19289
1.20816 1.14325
1.34989 1.05783
1.50665 0.93064
1.68527 0.74611
1.77683 0.63512
1.74890 0.85733
1.76427 1.00704
1.80939 1.10994
1.87848 1.17503
1.96790 1.20600
2.01338 1.20922
1.95122 1.45018
1.92236 1.63244
1.91716 1.79207
1.93321 1.91546
1.97056 2.02402
2.03170 2.11698
2.06576 2.15166
1.58049 3.12220
-0.64318 3.14159
0.00969 3.12220
0.49496 2.15166
0.63082 2.07914
0.78127 1.97933
0.92415 1.86439
1.06149 1.73462
1.21497 1.56700
1.38903 1.34866
1.48979 1.20922
1.60360 1.19289
1.73176 1.14325
1.87349 1.05783
2.03025 0.93064
2.20887 0.74611
2.30043 0.63512
2.27250 0.85733
2.28786 1.00704
2.33299 1.10994
2.40208 1.17503
2.49150 1.20600
2.53698 1.20922
2.47482 1.45018
2.44596 1.63244
2.44076 1.79207
2.45680 1.91546
2.49416 2.02402
2.55530 2.11698
2.58936 2.15166
2.10409 3.12220
3.98455 3.14159
6.81648 3.12220
7.30175 2.15166
7.43761 2.07914
7.58805 1.97933
7.73093 1.86439
7.86827 1.73462
8.02175 1.56700
8.19582 1.34866
8.29657 1.20922
8.41038 1.19289
8.53855 1.14325
8.68027 1.05783
8.83703 0.93064
9.01565 0.74611
9.10722 0.63512
9.07928 0.85733
9.09465 1.00704
9.13977 1.10994
9.20887 1.17503
9.29828 1.20600
9.34377 1.20922
9.28160 1.45018
9.25274 1.63244
9.24755 1.79207
9.26359 1.91546
9.30095 2.02402
9.36208 2.11698
9.39614 2.15166
8.91087 3.12220
9.55391 3.14159
13.62326 3.12220
14.10853 2.15166
14.24439 2.07914
14.39483 1.97933
14.53772 1.86439
14.67506 1.73462
14.82854 1.56700
15.00260 1.34866
15.10335 1.20922
15.21717 1.19289
15.34533 1.14325
15.48705 1.05783
15.64382 0.93064
15.82244 0.74611
15.91400 0.63512
15.88607 0.85733
15.90143 1.00704
15.94655 1.10994
16.01565 1.17503
16.10506 1.20600
16.15055 1.20922
16.08839 1.45018
16.05953 1.63244
16.05433 1.79207
16.07037 1.91546
16.10773 2.02402
16.16887 2.11698
16.20293 2.15166
15.71766 3.12220
16.23886 3.14159
14.14686 3.12220
14.63213 2.15166
14.76799 2.07914
14.91843 1.97933
15.06132 1.86439
15.19865 1.73462
15.35213 1.56700
15.52620 1.34866
15.62695 1.20922
15.74077 1.19289
15.86893 1.14325
16.01065 1.05783
16.16742 0.93064
16.34604 0.74611
16.43760 0.63512
16.40966 0.85733
16.42503 1.00704
16.47015 1.10994
16.53925 1.17503
16.62866 1.20600
16.67415 1.20922
16.61199 1.45018
16.58312 1.63244
16.57793 1.79207
16.59397 1.91546
16.63133 2.02402
16.69247 2.11698
16.72653 2.15166
16.24126 3.12220
16.84210 3.14159
14.67046 3.12220
15.15573 2.15166
15.29159 2.07914
15.44203 1.97933
15.58491 1.86439
15.72225 1.73462
15.87573 1.56700
16.04980 1.34866
16.15055 1.20922
16.26436 1.19289
16.39253 1.14325
16.53425 1.05783
16.69101 0.93064
16.86963 0.74611
16.96120 0.63512
16.93326 0.85733
16.94863 1.00704
16.99375 1.10994
17.06285 1.17503
17.15226 1.20600
17.19775 1.20922
17.13559 1.45018
17.10672 1.63244
17.10153 1.79207
17.11757 1.91546
17.15493 2.02402
17.21606 2.11698
17.25012 2.15166
16.76485 3.12220
17.02421 3.14159
15.19406 3.12220
15.67933 2.15166
15.81519 2.07914
15.96563 1.97933
16.10851 1.86439
16.24585 1.73462
16.39933 1.56700
16.57340 1.34866
16.67415 1.20922
16.78796 1.19289
16.91613 1.14325
17.05785 1.05783
17.21461 0.93064
17.39323 0.74611
17.48480 0.63512
17.45686 0.85733
17.47223 1.00704
17.51735 1.10994
17.58645 1.17503
17.67586 1.20600
17.72135 1.20922
17.65919 1.45018
17.63032 1.63244
17.62513 1.79207
17.64117 1.91546
17.67853 2.02402
17.73966 2.11698
17.77372 2.15166
17.28845 3.12220
17.25450 3.14159
15.71766 3.12220
16.20293 2.15166
16.33879 2.07914
16.48923 1.97933
16.63211 1.86439
16.76945 1.73462
16.92293 1.56700
17.09700 1.34866
17.19775 1.20922
17.31156 1.19289
17.43973 1.14325
17.58145 1.05783
17.73821 0.93064
17.91683 0.74611
18.00840 0.63512
17.98046 0.85733
17.99583 1.00704
18.04095 1.10994
18.11005 1.17503
18.19946 1.20600
18.24495 1.20922
