# sss file
-1.57080 3.14159
-1.57080 3.14159
-1.29930 3.12220
-0.81403 2.15166
-0.67817 2.07914
-0.52773 1.97933
-0.38485 1.86439
-0.24751 1.73462
-0.09403 1.56700
0.08004 1.34866
0.18079 1.20922
0.29460 1.19289
0.42277 1.14325
0.56449 1.05783
0.72125 0.93064
0.89987 0.74611
0.99144 0.63512
0.96350 0.85733
0.97887 1.00704
1.02399 1.10994
1.09309 1.17503
1.18250 1.20600
1.22799 1.20922
1.16582 1.45018
1.13696 1.63244
1.13176 1.79207
1.14781 1.91546
1.18516 2.02402
1.24630 2.11698
1.28036 2.15166
0.79509 3.12220
-0.05258 3.14159
-1.03750 3.12220
-0.55223 2.15166
-0.41637 2.07914
-0.26593 1.97933
-0.12305 1.86439
0.01429 1.73462
0.16777 1.56700
0.34184 1.34866
0.44259 1.20922
0.55640 1.19289
0.68457 1.14325
0.82629 1.05783
0.98305 0.93064
1.16167 0.74611
1.25324 0.63512
1.22530 0.85733
1.24067 1.00704
1.28579 1.10994
1.35489 1.17503
1.44430 1.20600
1.48979 1.20922
1.42762 1.45018
1.39876 1.63244
1.39356 1.79207
1.40961 1.91546
1.44696 2.02402
1.50810 2.11698
1.54216 2.15166
1.05689 3.12220
4.34426 3.14159
5.50748 3.12220
5.99275 2.15166
6.12861 2.07914
6.27905 1.97933
6.42194 1.86439
6.55927 1.73462
6.71275 1.56700
6.88682 1.34866
6.98757 1.20922
7.10139 1.19289
7.22955 1.14325
7.37127 1.05783
7.52804 0.93064
7.70666 0.74611
7.79822 0.63512
7.77028 0.85733
7.78565 1.00704
7.83077 1.10994
7.89987 1.17503
7.98928 1.20600
8.03477 1.20922
7.97261 1.45018
7.94375 1.63244
7.93855 1.79207
7.95459 1.91546
7.99195 2.02402
8.05309 2.11698
8.08715 2.15166
7.60188 3.12220
9.43024 3.14159
12.05247 3.12220
12.53774 2.15166
12.67359 2.07914
12.82404 1.97933
12.96692 1.86439
13.10426 1.73462
13.25774 1.56700
13.43180 1.34866
13.53256 1.20922
13.64637 1.19289
13.77454 1.14325
13.91626 1.05783
14.07302 0.93064
14.25164 0.74611
14.34321 0.63512
14.31527 0.85733
14.33064 1.00704
14.37576 1.10994
14.44485 1.17503
14.53427 1.20600
14.57975 1.20922
14.51759 1.45018
14.48873 1.63244
14.48353 1.79207
14.49958 1.91546
14.53693 2.02402
14.59807 2.11698
14.63213 2.15166
14.14686 3.12220
15.19228 3.14159
12.31427 3.12220
12.79954 2.15166
12.93539 2.07914
13.08584 1.97933
13.22872 1.86439
13.36606 1.73462
13.51954 1.56700
13.69360 1.34866
13.79436 1.20922
13.90817 1.19289
14.03633 1.14325
14.17806 1.05783
14.33482 0.93064
14.51344 0.74611
14.60500 0.63512
14.57707 0.85733
14.59244 1.00704
14.63756 1.10994
14.70665 1.17503
14.79607 1.20600
14.84155 1.20922
14.77939 1.45018
14.75053 1.63244
14.74533 1.79207
14.76138 1.91546
14.79873 2.02402
14.85987 2.11698
14.89393 2.15166
14.40866 3.12220
15.17653 3.14159
12.57606 3.12220
13.06133 2.15166
13.19719 2.07914
13.34764 1.97933
13.49052 1.86439
13.62786 1.73462
13.78134 1.56700
13.95540 1.34866
14.05616 1.20922
14.16997 1.19289
14.29813 1.14325
14.43986 1.05783
14.59662 0.93064
14.77524 0.74611
14.86680 0.63512
14.83887 0.85733
14.85424 1.00704
14.89936 1.10994
14.96845 1.17503
15.05787 1.20600
15.10335 1.20922
15.04119 1.45018
15.01233 1.63244
15.00713 1.79207
15.02318 1.91546
15.06053 2.02402
15.12167 2.11698
15.15573 2.15166
14.67046 3.12220
15.14389 3.14159
12.83786 3.12220
13.32313 2.15166
13.45899 2.07914
13.60944 1.97933
13.75232 1.86439
13.88966 1.73462
14.04314 1.56700
14.21720 1.34866
14.31796 1.20922
14.43177 1.19289
14.55993 1.14325
14.70166 1.05783
14.85842 0.93064
15.03704 0.74611
15.12860 0.63512
15.10067 0.85733
15.11603 1.00704
15.16116 1.10994
15.23025 1.17503
15.31967 1.20600
15.36515 1.20922
15.30299 1.45018
15.27413 1.63244
15.26893 1.79207
15.28497 1.91546
15.32233 2.02402
15.38347 2.11698
15.41753 2.15166
14.93226 3.12220
15.15542 3.14159
13.09966 3.12220
13.58493 2.15166
13.72079 2.07914
13.87124 1.97933
14.01412 1.86439
14.15146 1.73462
14.30494 1.56700
14.47900 1.34866
14.57975 1.20922
14.69357 1.19289
14.82173 1.14325
14.96345 1.05783
15.12022 0.93064
15.29884 0.74611
15.39040 0.63512
15.36247 0.85733
15.37783 1.00704
15.42296 1.10994
15.49205 1.17503
15.58147 1.20600
15.62695 1.20922
15.56479 1.45018
15.53593 1.63244
15.53073 1.79207
15.54677 1.91546
15.58413 2.02402
15.64527 2.11698
15.67933 2.15166
15.19406 3.12220
15.29226 3.14159
13.36146 3.12220
13.84673 2.15166
13.98259 2.07914
14.13303 1.97933
14.27592 1.86439
14.41326 1.73462
14.56674 1.56700
14.74080 1.34866
14.84155 1.20922
14.95537 1.19289
15.08353 1.14325
15.22525 1.05783
15.38202 0.93064
15.56064 0.74611
15.65220 0.63512
15.62427 0.85733
15.63963 1.00704
15.68475 1.10994
15.75385 1.17503
15.84326 1.20600
