# sss file
-1.57080 3.14159
-1.57080 3.14159
-3.42799 1.80678
-3.41775 1.79210
-3.40979 1.77838
-3.37005 1.68250
-3.35053 1.65447
-3.27270 1.55721
-3.27388 1.56237
-3.29369 1.64017
-3.30790 1.67979
-3.32929 1.71579
-3.34223 1.73225
-3.39471 1.76902
-3.42153 1.80806
-3.41635 1.80729
-3.33837 1.75333
-3.31645 1.72510
-3.28895 1.67790
-3.27182 1.62884
-3.25161 1.54742
-3.24470 1.51219
-3.24820 1.50099
-3.37760 1.66239
-3.39402 1.69625
-3.44170 1.81139
-3.44341 1.83943
-3.42416 1.83613
-3.33362 1.77344
-3.30312 1.73384
-3.26973 1.67546
-3.24974 1.61689
-3.22909 1.53178
-3.22078 1.48556
-3.22998 1.45277
-3.38475 1.64651
-3.41568 1.70457
-3.47152 1.84044
-3.47151 1.84323
-3.46579 1.87017
-3.43153 1.86465
-3.32850 1.79339
-3.28941 1.74202
-3.25023 1.67247
-3.22765 1.60430
-3.20680 1.51601
-3.19661 1.45762
-3.21074 1.40289
-3.39100 1.62939
-3.43669 1.71099
-3.50198 1.86616
-3.49698 1.88417
-3.49021 1.90082
-3.43841 1.89263
-3.32264 1.81268
-3.27510 1.74939
-3.23067 1.66893
-3.20534 1.59108
-3.18436 1.49951
-3.17247 1.42893
-3.19044 1.35149
-3.19960 1.36401
-3.39663 1.61186
-3.45739 1.71659
-3.52951 1.88541
-3.52972 1.88964
-3.51886 1.91392
-3.50753 1.92966
-3.44486 1.92032
-3.31605 1.83130
-3.26044 1.75648
-3.21072 1.66485
-3.18314 1.57749
-3.16164 1.48227
-3.14822 1.39945
-3.16754 1.31067
-3.17076 1.30072
-3.20295 1.34470
-3.40171 1.59362
-3.47752 1.72085
-3.55393 1.89586
-3.55528 1.91417
-3.53620 1.96040
-3.45088 1.94776
-3.30887 1.84955
-3.24541 1.76302
-3.19057 1.65994
-3.16081 1.56323
-3.13908 1.46457
-3.12396 1.36912
-3.14324 1.27587
-3.15081 1.24923
-3.20565 1.32451
-3.40616 1.57493
-3.49748 1.72457
-3.57838 1.90577
-3.58102 1.93823
-3.55358 1.98915
-3.45647 1.97493
-3.30098 1.86716
-3.22978 1.76876
-3.17037 1.65474
-3.13834 1.54829
-3.11639 1.44638
-3.09955 1.33789
-3.11872 1.24023
-3.12989 1.19618
-3.20802 1.30404
-3.41004 1.55548
-3.51704 1.72748
-3.60278 1.91515
-3.60703 1.96186
-3.57080 2.01739
-3.57042 2.01763
-3.46141 2.00163
-3.29261 1.88441
-3.21378 1.77396
-3.14985 1.64871
-3.11597 1.53294
-3.09365 1.42770
-3.07512 1.30603
-3.09366 1.20333
-3.10751 1.14062
-3.20971 1.28263
-3.41323 1.53527
-3.53630 1.72961
-3.62721 1.92401
-3.63333 1.98506
-3.58778 2.04515
-3.58671 2.04562
-3.46595 2.02810
-3.28343 1.90106
-3.19742 1.77864
-3.12929 1.64238
-3.09334 1.51689
-3.07080 1.40819
-3.05031 1.27282
-3.06840 1.16540
-3.08367 1.08253
-3.21088 1.26056
-3.41587 1.51454
-3.55526 1.73093
-3.65158 1.93236
-3.65990 2.00761
-3.60610 2.07221
-3.60299 2.07338
-3.46996 2.05412
-3.27356 1.91712
-3.18070 1.78279
-3.10840 1.63521
-3.07080 1.50040
-3.04777 1.38814
-3.02542 1.23885
-3.04257 1.12635
-3.05753 1.02767
-3.05682 1.01943
-3.21150 1.23780
-3.41804 1.49329
-3.57386 1.73172
-3.67589 1.94019
-3.68678 2.02976
-3.62529 2.09858
-3.61937 2.10114
-3.47337 2.07993
-3.26310 1.93260
-3.16371 1.78642
-3.08757 1.62773
-3.04823 1.48347
-3.02476 1.36752
-2.99996 1.20333
-3.01623 1.08566
-3.02962 0.98544
-3.02507 0.94814
-3.21149 1.21397
-3.41965 1.47149
-3.59229 1.73199
-3.70016 1.94751
-3.71396 2.05152
-3.64633 2.12407
-3.63563 2.12845
-3.47616 2.10532
-3.25186 1.94751
-3.14613 1.78926
-3.06640 1.61939
-3.02534 1.46547
-3.00150 1.34600
-2.97442 1.16723
-2.98928 1.04355
-3.00072 0.94105
-2.99031 0.87103
-3.01997 0.91674
-3.21096 1.18972
-3.42051 1.44882
-3.61023 1.73146
-3.72436 1.95433
-3.74166 2.07291
-3.67538 2.14616
-3.65198 2.15556
-3.47846 2.13053
-3.23993 1.96186
-3.12842 1.79185
-3.04503 1.61047
-3.00265 1.44730
-2.97829 1.32418
-2.94818 1.12937
-2.96162 0.99984
-2.97101 0.89462
-2.95212 0.78744
-3.01617 0.88714
-3.20965 1.16430
-3.42103 1.42585
-3.62800 1.73040
-3.74840 1.96040
-3.76965 2.09370
-3.68662 2.17564
-3.66823 2.18247
-3.48008 2.15556
-3.22745 1.97590
-3.11010 1.79339
-3.02371 1.60122
-2.97966 1.42832
-2.95489 1.30138
-2.92167 1.09034
-2.93303 0.95386
-2.93997 0.84534
-2.90892 0.69385
-3.01155 0.85609
-3.20770 1.13800
-3.42078 1.40195
-3.64527 1.72855
-3.77239 1.96598
-3.79795 2.11390
-3.70662 2.19925
-3.64445 2.21009
-3.65915 2.39969
-4.83551 3.09582
-2.65854 1.78668
-2.65381 1.77162
-2.64799 1.75779
-2.59135 1.66130
