# sss file
-1.57080 3.14159
1.67280 3.14159
0.26421 3.13038
-0.22089 3.11917
-0.69038 3.10796
-1.13758 3.09656
-1.59787 3.08535
-2.04478 3.07356
-2.49398 3.06196
-2.72003 3.05626
-2.94298 3.05036
-3.16334 3.04427
-3.38549 3.03838
-3.61003 3.03286
-3.83438 3.02715
-4.05663 3.02125
-4.27727 3.01535
-4.50002 3.00964
-4.72475 3.00430
-4.94939 2.99878
-5.17234 2.99288
-5.39438 2.98716
-5.61852 2.98163
-5.84424 2.97649
-6.06978 2.97096
-6.29362 2.96504
-6.51696 2.95913
-6.74219 2.95379
-6.96793 2.94825
-7.19296 2.94252
-7.41701 2.93641
-7.64224 2.93087
-7.86787 2.92533
-8.09250 2.91941
-8.31624 2.91329
-8.54087 2.90755
-8.76570 2.90181
-8.98984 2.89587
-9.21298 2.88956
-9.43710 2.88400
-9.66133 2.87825
-9.88505 2.87231
-10.10789 2.86617
-10.33170 2.86061
-10.55592 2.85504
-10.77955 2.84909
-11.00267 2.84314
-11.22668 2.83776
-11.45129 2.83237
-11.67540 2.82660
-11.89892 2.82064
-12.12332 2.81525
-12.34823 2.80985
-12.57284 2.80407
-12.79675 2.79810
-13.02145 2.79250
-13.24675 2.78729
-13.47135 2.78131
-13.69536 2.77513
-13.92006 2.76952
-14.14506 2.76391
-14.36966 2.75791
-14.59326 2.75152
-14.81766 2.74571
-15.04235 2.74009
-15.26654 2.73408
-15.48974 2.72748
-15.71382 2.72185
-15.93811 2.71621
-16.16199 2.71018
-16.38518 2.70376
-16.60906 2.69812
-16.83313 2.69247
-17.05671 2.68623
-17.28059 2.68057
-17.50485 2.67510
-17.72882 2.66924
-17.95259 2.66318
-18.05349 2.66357
-18.16859 2.66377
-18.25768 2.66416
-18.35798 2.66416
-18.43009 2.66338
-18.50752 2.66103
-18.57129 2.66377
-18.58399 2.66357
-18.59399 2.66338
-18.60919 2.66357
-18.60396 2.64772
-18.59459 2.62319
-18.58389 2.59858
-18.57194 2.57388
-18.55895 2.54909
-18.54501 2.52421
-18.53022 2.49924
-18.51478 2.47435
-18.49858 2.44936
-18.48173 2.42406
-18.46452 2.39904
-18.44665 2.37369
-18.42841 2.34842
-18.40981 2.32323
-18.39085 2.29789
-18.37150 2.27241
-18.35179 2.24699
-18.33191 2.22162
-18.31175 2.19610
-18.29131 2.17062
-18.27058 2.14497
-18.24968 2.11935
-18.22869 2.09377
-18.20730 2.06800
-18.18593 2.04225
-18.16426 2.01653
-18.14261 1.99082
-18.12065 1.96489
-18.09858 1.93897
-18.07642 1.91305
-18.05406 1.88712
-18.03169 1.86118
-18.00910 1.83499
-17.98651 1.80902
-17.96369 1.78278
-17.94086 1.75651
-17.91780 1.73020
-17.89485 1.70409
-17.87174 1.67768
-17.84851 1.65122
-17.82514 1.62468
-17.80164 1.59808
-17.77823 1.57166
-17.75465 1.54489
-17.73105 1.51830
-17.70727 1.49134
-17.68347 1.46454
-17.65947 1.43733
-17.63544 1.41028
-17.61135 1.38310
-17.58733 1.35606
-17.56298 1.32856
-17.53870 1.30120
-17.51417 1.27334
-17.48960 1.24559
-17.46508 1.21797
-17.44029 1.18978
-17.41554 1.16169
-17.39057 1.13333
-17.36545 1.10470
-17.34036 1.07612
-17.31501 1.04722
-17.28958 1.01797
-17.26407 0.98873
-17.23814 0.95868
-17.21240 0.92900
-17.18621 0.89842
-17.15987 0.86774
-17.13347 0.83695
-17.10687 0.80553
-17.07981 0.77342
-17.05703 0.74627
-17.06211 0.75301
-17.09177 0.79234
-17.12079 0.83038
-17.14937 0.86774
-17.16280 0.88521
-17.17652 0.90104
-17.20256 0.93112
-17.22827 0.96074
-17.25407 0.99033
