# sss file
-1.57080 3.14159
-1.57080 3.14159
-3.30772 3.11784
-3.30639 3.11518
-2.68755 3.10530
-2.60214 3.10207
-2.17962 3.09504
-2.11677 3.09314
-1.72720 3.08820
-1.54106 3.08211
-1.34530 3.08059
-1.06298 3.07337
-0.99839 3.07299
-0.67506 3.06653
-0.64139 3.06538
-0.37681 3.06101
-0.33534 3.05968
-0.09644 3.05569
-0.04738 3.05416
0.17218 3.05264
0.40540 3.04580
0.42131 3.04599
0.66785 3.04389
0.88997 3.03666
0.89497 3.03666
1.12125 3.03590
1.33629 3.02981
1.39313 3.02734
1.54193 3.02753
1.74654 3.02372
1.88749 3.01801
1.93710 3.01839
2.12987 3.01725
2.31473 3.01173
2.37606 3.00888
2.49196 3.00888
2.66908 3.00564
2.77958 3.00145
2.83789 3.00183
3.00775 3.00050
3.17172 2.99516
3.21587 2.99307
3.33078 2.99345
3.49021 2.99078
3.62118 2.98563
3.64318 2.98563
3.79502 2.98316
3.86567 2.98087
3.94298 2.98144
4.09124 2.97992
4.23542 2.97496
4.26348 2.97343
4.37657 2.97305
4.51669 2.96962
4.56095 2.96790
4.65363 2.96733
4.78905 2.96371
4.80163 2.96314
4.92234 2.96352
5.05558 2.96085
5.15578 2.95684
5.18478 2.95684
5.31375 2.95570
5.44055 2.95150
5.45054 2.95111
5.56534 2.95111
5.68998 2.94844
5.76840 2.94520
5.81131 2.94558
5.93279 2.94482
6.05301 2.94119
6.09656 2.93909
6.16960 2.94081
6.28801 2.94138
6.40676 2.93909
6.52284 2.93393
6.59024 2.92973
6.63338 2.93145
6.74544 2.93393
6.86013 2.93374
6.97446 2.93087
7.08583 2.92533
7.18018 2.91845
7.19169 2.91902
7.29647 2.92266
7.40480 2.92380
7.51426 2.92227
7.62227 2.91807
7.72652 2.91176
7.77952 2.90736
7.82616 2.90927
7.92752 2.91157
8.03101 2.91137
8.13465 2.90870
8.23604 2.90372
8.32539 2.89722
8.33340 2.89760
8.42917 2.90085
8.52779 2.90162
8.62726 2.90028
8.72578 2.89645
8.82174 2.89032
8.86726 2.88668
8.91448 2.88764
9.00818 2.88783
9.10234 2.88592
9.19545 2.88170
9.21722 2.88036
9.28517 2.88285
9.37670 2.88419
9.46939 2.88343
9.56202 2.88036
9.65281 2.87519
9.71041 2.87078
9.74043 2.87173
9.82816 2.87308
9.91715 2.87231
10.00598 2.86943
10.09338 2.86445
10.10836 2.86349
10.17819 2.86521
10.26430 2.86560
10.35096 2.86387
10.43699 2.86023
10.50309 2.85581
10.52091 2.85658
10.60365 2.85831
10.68784 2.85811
10.77239 2.85581
10.85601 2.85159
10.90104 2.84851
10.93736 2.84928
11.01877 2.84967
11.10083 2.84813
11.18246 2.84448
11.22041 2.84218
11.26204 2.84333
11.34174 2.84371
11.42212 2.84237
11.50235 2.83891
11.54550 2.83641
11.58051 2.83737
11.65853 2.83814
11.73741 2.83699
11.81624 2.83391
11.88916 2.82949
11.89386 2.82968
11.96959 2.83122
12.04658 2.83083
12.12394 2.82853
12.20056 2.82449
12.21364 2.82372
12.27526 2.82468
12.35075 2.82410
12.42640 2.82160
12.48644 2.81852
12.50124 2.81871
12.57505 2.81890
12.64942 2.81736
12.72365 2.81390
12.73044 2.81351
12.74133 2.79173
12.75341 2.76759
12.76551 2.74339
12.77764 2.71913
12.78980 2.69481
12.80199 2.67042
12.81422 2.64596
12.82649 2.62142
12.83880 2.59680
12.85115 2.57210
12.86355 2.54731
12.87599 2.52242
12.88848 2.49743
12.90103 2.47234
12.91363 2.44714
12.92629 2.42183
12.93595 2.40251
12.92977 2.40026
12.91891 2.39598
12.89905 2.40271
12.87076 2.41248
12.87726 2.41248
12.91026 2.41309
12.94356 2.41309
12.97706 2.41268
12.98496 2.41248
12.96734 2.40312
12.94456 2.39108
12.92626 2.38148
12.91974 2.38373
12.88511 2.39557
12.85010 2.40760
12.81480 2.41959
12.80458 2.42304
12.82817 2.42406
12.86146 2.42507
12.89506 2.42568
12.92896 2.42568
12.96296 2.42548
12.99706 2.42487
13.03147 2.42365
13.03998 2.42345
13.02245 2.41411
12.99955 2.40189
12.97677 2.38986
12.95430 2.37800
12.93353 2.36713
12.93122 2.36795
12.89719 2.37943
12.86266 2.39129
12.82794 2.40312
12.79264 2.41533
12.75695 2.42751
12.74151 2.43278
12.76051 2.43379
12.79379 2.43561
12.82739 2.43703
12.86148 2.43784
12.89558 2.43845
12.93008 2.43845
12.96478 2.43804
12.99958 2.43723
13.03449 2.43602
13.06960 2.43440
13.09321 2.43318
13.08544 2.42913
13.06203 2.41675
13.03903 2.40454
13.01624 2.39251
12.99367 2.38066
12.97141 2.36877
12.94926 2.35727
12.94073 2.35275
12.92023 2.35974
12.88638 2.37123
12.85225 2.38291
12.81772 2.39476
12.78281 2.40658
12.74741 2.41878
12.71162 2.43095
12.68106 2.44128
12.68626 2.44168
12.71944 2.44431
12.75303 2.44654
12.78692 2.44835
12.82122 2.44957
12.85581 2.45058
12.89061 2.45098
12.92571 2.45098
12.96101 2.45058
12.99642 2.44977
13.03202 2.44856
13.06763 2.44694
13.10344 2.44472
13.13925 2.44229
13.14506 2.44168
13.12512 2.43136
13.10151 2.41919
13.07831 2.40699
13.05542 2.39496
13.03284 2.38311
