# sss file
-1.57080 3.14159
-1.57080 3.14159
-1.07583 2.15166
-1.05926 2.27750
-1.02212 2.37670
-0.97030 2.45221
-0.89471 2.51973
-0.79065 2.57723
-0.65467 2.62202
-0.48732 2.65113
-0.29584 2.66197
-0.09374 2.65344
0.10406 2.62642
0.28703 2.58336
0.45093 2.52724
0.59613 2.46081
0.72520 2.38617
0.86314 2.28784
1.00686 2.16289
1.13797 2.02791
1.26133 1.88276
1.27143 2.00913
1.30318 2.12263
1.35052 2.20897
1.41926 2.28393
1.51167 2.34577
1.62863 2.39232
1.76842 2.42140
1.92594 2.43131
2.09337 2.42140
2.26224 2.39232
2.42575 2.34577
2.57999 2.28393
2.72370 2.20897
2.85738 2.12263
3.00262 2.00913
3.13910 1.88276
3.11557 2.04780
3.11459 2.18137
3.13712 2.30482
3.18098 2.40168
3.23990 2.47481
3.32412 2.53937
3.43817 2.59311
3.58454 2.63320
3.76076 2.65669
3.95732 2.66135
4.15954 2.64670
4.35343 2.61422
4.53048 2.56665
4.68819 2.50696
4.82790 2.43769
4.97582 2.34460
5.10720 2.24260
5.20735 2.15166
5.31575 2.08369
5.42189 2.03309
5.52200 2.00221
5.61326 1.99252
5.69360 2.00449
5.73589 2.02188
5.78119 2.03584
5.83526 2.03518
5.89487 2.01995
5.95668 1.99087
6.01780 1.94926
6.07600 1.89683
6.12981 1.83547
6.17838 1.76714
6.23436 1.66845
6.17838 1.76714
6.12981 1.83547
6.07600 1.89683
6.01780 1.94926
5.95668 1.99087
5.89487 2.01995
5.83526 2.03518
5.78119 2.03584
5.73589 2.02188
5.66289 1.99712
5.57797 1.99380
5.48288 2.01208
5.37997 2.05108
5.27242 2.10895
5.20735 2.15166
5.35172 2.14112
5.50124 2.10991
5.65125 2.05912
5.79856 1.99022
5.94161 1.90460
6.08023 1.80323
6.21527 1.68642
6.23436 1.66845
6.09971 1.78749
5.96168 1.89107
5.81928 1.97899
5.67251 2.05036
5.52273 2.10382
5.37289 2.13791
5.22746 2.15145
5.20735 2.15166
5.30144 2.16134
5.38452 2.18997
5.45539 2.23645
5.51269 2.29899
5.55434 2.37527
5.57042 2.42648
5.59349 2.47573
5.63934 2.51578
5.70780 2.54391
5.79512 2.55784
5.89389 2.55628
5.99485 2.53939
6.08970 2.50868
6.17303 2.46658
6.24253 2.41583
6.26256 2.39744
6.19777 2.45049
6.11893 2.49578
6.02748 2.53058
5.92775 2.55231
5.82722 2.55907
5.73511 2.55022
5.65975 2.52661
5.60618 2.49024
5.57568 2.44375
5.57042 2.42648
5.53974 2.34328
5.49151 2.27218
5.42858 2.21582
5.35268 2.17630
5.26506 2.15515
5.20735 2.15166
5.25662 2.23805
5.32830 2.31301
5.42495 2.37461
5.54755 2.42052
5.66819 2.44508
5.80227 2.45600
5.94494 2.45274
6.09065 2.43547
6.23440 2.40501
6.26256 2.39744
6.11970 2.43040
5.97401 2.45039
5.83029 2.45649
5.69406 2.44838
5.57042 2.42648
5.46296 2.39178
5.35765 2.33513
5.27788 2.26439
5.22147 2.18163
5.20735 2.15166
5.23065 2.23397
5.23352 2.32689
5.21746 2.40585
5.18039 2.48583
5.13509 2.54426
5.07126 2.59911
4.98580 2.64773
4.95218 2.66201
4.63143 2.79861
3.96446 3.12275
4.91149 3.14159
3.96446 3.12275
4.63143 2.79861
4.95218 2.66201
5.04530 2.61615
5.11604 2.56306
5.16715 2.50557
5.21038 2.42588
5.23120 2.34636
5.23299 2.25183
5.21346 2.16709
5.20735 2.15166
4.72189 3.12259
5.56541 3.14159
4.72189 3.12259
5.20735 2.15166
5.15575 2.23562
5.10475 2.29464
5.04259 2.34790
4.96956 2.39304
4.88746 2.42758
4.80013 2.44928
4.71347 2.45652
4.63447 2.44871
4.56947 2.42648
4.47071 2.38538
4.36271 2.35934
4.24596 2.34912
4.12105 2.35503
3.98879 2.37691
3.90637 2.39744
4.04251 2.36628
4.17195 2.35073
4.29368 2.35127
4.40699 2.36789
4.51135 2.40007
4.56947 2.42648
4.63447 2.44871
4.71347 2.45652
4.80013 2.44928
4.88746 2.42758
4.96956 2.39304
5.04259 2.34790
5.10475 2.29464
5.15575 2.23562
5.20735 2.15166
5.07170 2.23805
4.92507 2.31301
4.76681 2.37461
4.59830 2.42052
4.45310 2.44508
4.30810 2.45600
4.16869 2.45274
4.04025 2.43547
3.92696 2.40501
3.90637 2.39744
4.01627 2.43040
4.14197 2.45039
4.27959 2.45649
4.42393 2.44838
4.56947 2.42648
4.71163 2.39178
4.87359 2.33513
5.02411 2.26439
5.16327 2.18163
5.20735 2.15166
5.14016 2.19169
5.07002 2.21965
5.00059 2.23402
4.93622 2.23393
4.88130 2.21939
4.83930 2.19126
4.81232 2.15110
4.80091 2.10086
4.80438 2.04267
4.80860 2.02188
4.82170 1.93974
4.82067 1.84650
4.80191 1.76871
4.76648 1.71098
4.71522 1.67698
4.66356 1.66845
4.72669 1.68175
4.77486 1.72073
4.80702 1.78280
4.82234 1.86408
4.81964 1.95978
4.80860 2.02188
4.80048 2.08224
4.80680 2.13537
4.82858 2.17912
4.86572 2.21146
4.91667 2.23066
4.97834 2.23561
5.04659 2.22601
5.11695 2.20244
5.18546 2.16623
5.20735 2.15166
5.07353 2.14112
