# sss file
-1.57080 3.14159
-1.57080 3.14159
5.12281 2.32074
4.72189 3.12259
7.62635 3.14159
4.74730 3.13760
11.70600 2.32074
11.30507 3.12259
14.06179 3.14159
11.03199 3.13760
18.28919 2.32074
17.88826 3.12259
14.34669 3.14159
11.03349 3.13760
18.58919 2.32074
18.18826 3.12259
15.33286 3.14159
11.03499 3.13760
18.88919 2.32074
18.48826 3.12259
15.52731 3.14159
11.03649 3.13760
19.18919 2.32074
18.78826 3.12259
16.86644 3.14159
17.52018 3.11888
25.77237 2.32074
25.37145 3.12259
29.78561 3.14159
32.33460 2.91492
38.63874 2.32074
38.23782 3.12259
42.08660 3.14159
42.72392 3.11414
51.50511 2.32074
51.10419 3.12259
54.88721 3.14159
56.41331 3.01943
64.37148 2.32074
63.97056 3.12259
67.30089 3.14159
68.39281 3.09918
83.52104 2.32074
83.12011 3.12259
86.12592 3.14159
86.83573 3.10626
96.38741 2.32074
95.98648 3.12259
98.42906 3.14159
99.18093 3.12446
109.25378 2.32074
108.85285 3.12259
111.27971 3.14159
112.03399 3.10332
122.12015 2.32074
121.71922 3.12259
123.68784 3.14159
124.37888 3.12062
134.98652 2.32074
134.58560 3.12259
136.44634 3.14159
137.24315 3.09992
147.85289 2.32074
147.45197 3.12259
142.98821 3.14159
146.63071 2.88458
154.43608 2.32074
154.03515 3.12259
155.65488 3.14159
156.45630 3.07741
167.30245 2.32074
166.90152 3.12259
167.93479 3.14159
169.09695 3.07410
180.16882 2.32074
179.76789 3.12259
180.57652 3.14159
183.58286 2.95176
193.03519 2.32074
192.63426 3.12259
193.15245 3.14159
196.35419 2.94331
205.90156 2.32074
205.50063 3.12259
205.85882 3.14159
208.07715 2.99993
218.76793 2.32074
218.36700 3.12259
218.57876 3.14159
217.56479 3.12259
218.72722 0.79774
218.60033 1.15451
218.53376 1.39928
218.50093 1.58330
218.49086 1.74424
218.50139 1.86888
218.53162 1.97917
218.58366 2.07470
218.64724 2.14392
218.72923 2.20021
218.82949 2.24220
218.94643 2.26856
219.07679 2.27829
219.21602 2.27098
219.35915 2.24694
219.50177 2.20710
219.64074 2.15276
219.77435 2.08531
219.92288 1.99165
220.06418 1.88312
220.19989 1.76025
220.35100 1.60152
220.52102 1.39570
220.69946 1.15013
220.85456 0.91384
220.75169 1.23331
220.69988 1.46022
220.67916 1.63217
220.68149 1.78229
220.70347 1.89757
220.74575 1.99803
220.81010 2.08293
220.88383 2.14222
220.97478 2.18784
221.08186 2.21858
221.20259 2.23347
221.33328 2.23196
221.46961 2.21410
221.60743 2.18054
221.74348 2.13232
221.89727 2.05916
222.04452 1.96946
222.18547 1.86451
222.32140 1.74481
222.47313 1.58928
222.62480 1.41084
222.80255 1.17356
223.02841 0.83112
223.11035 0.69627
222.97382 1.07746
222.90650 1.32830
222.87482 1.51360
222.86648 1.67366
222.87836 1.79631
222.90918 1.90375
222.96034 1.99586
223.03310 2.07171
223.12791 2.12986
223.24366 2.16864
223.37722 2.18664
223.52354 2.18309
223.67668 2.15814
223.83112 2.11282
223.98286 2.04868
224.12975 1.96734
224.27129 1.87013
224.40814 1.75773
224.56080 1.61038
224.71271 1.44062
224.88897 1.21539
225.08368 0.93306
225.15763 0.81708
225.03369 1.16837
224.96847 1.41103
224.93657 1.59388
224.92740 1.75397
224.93879 1.87799
224.97002 1.98770
225.02324 2.08264
225.08799 2.15129
225.17130 2.20693
225.27296 2.24818
225.39128 2.27368
225.52287 2.28246
225.66308 2.27413
225.80687 2.24906
225.94985 2.20822
226.08893 2.15293
226.22249 2.08461
226.37084 1.99001
226.51191 1.88063
226.64742 1.75694
226.79840 1.59726
226.96842 1.39022
227.14720 1.14298
227.30307 0.90446
227.19960 1.22555
227.14771 1.45294
227.12705 1.62500
227.12944 1.77504
227.15142 1.89015
227.19359 1.99038
227.25764 2.07502
227.34479 2.14264
227.43782 2.18568
227.54645 2.21373
227.66804 2.22590
227.79882 2.22173
227.93457 2.20140
228.07132 2.16558
228.20607 2.11535
228.35831 2.04010
228.50420 1.94853
228.64411 1.84177
228.77939 1.72018
228.93095 1.56215
229.08316 1.38043
229.26286 1.13737
229.49527 0.78033
229.55157 0.68699
229.41267 1.07206
229.34408 1.32448
229.30899 1.53221
229.30255 1.69039
229.31618 1.81164
229.34891 1.91775
229.40221 2.00850
229.47732 2.08289
229.57460 2.13939
229.69278 2.17634
229.82848 2.19233
229.97645 2.18666
230.13063 2.15959
230.28554 2.11222
230.43733 2.04618
230.58403 1.96308
230.72526 1.86423
230.86183 1.75024
231.01429 1.60105
231.16624 1.42924
231.34308 1.20097
231.56391 0.87551
231.58895 0.83590
231.46794 1.18190
231.40413 1.42243
231.37325 1.60407
231.36509 1.76324
231.37744 1.88656
231.40976 1.99560
231.46426 2.08983
231.53024 2.15782
231.61489 2.21271
231.71793 2.25310
231.83755 2.27764
231.97025 2.28537
232.11128 2.27596
232.25555 2.24981
232.39871 2.20793
232.53775 2.15168
232.67113 2.08248
232.81920 1.98695
232.96000 1.87670
233.09529 1.75216
233.24612 1.59148
233.41621 1.38310
233.59545 1.13393
233.75233 0.89275
233.64784 1.21612
233.59564 1.44430
233.57483 1.61667
233.57710 1.76681
233.59891 1.88189
233.64077 1.98204
