# sss file
-1.57080 3.14159
-1.57080 3.14159
-2.61333 3.12336
-2.42978 2.75626
-2.34083 2.74665
-2.24532 2.75406
-2.16035 2.78022
-2.09767 2.82507
-2.08065 2.87560
-2.11676 2.92424
-2.22399 2.96801
-2.35094 2.99230
-2.53233 3.01028
-2.76065 3.01947
-3.00050 3.01829
-3.20645 3.00741
-3.41083 2.97830
-3.51093 2.94078
-3.54955 2.88543
-3.52225 2.81407
-3.42458 2.71601
-3.26277 2.59765
-3.05202 2.46765
-2.82569 2.34561
-2.61018 2.24460
-2.40750 2.16457
-2.21777 2.10508
-2.02596 2.06290
-1.84688 2.04237
-1.66590 2.04216
-1.48228 2.06375
-1.26995 2.11362
-1.17287 2.14341
-1.15950 2.27067
-1.12573 2.37131
-1.06484 2.46278
-0.98764 2.53027
-0.88110 2.58761
-0.74166 2.63203
-0.57007 2.66043
-0.37425 2.67018
-0.16866 2.66025
0.03121 2.63170
0.21490 2.58715
0.24926 2.57660
0.30813 2.56585
0.36091 2.56990
0.41137 2.59135
0.44411 2.63372
0.44115 2.68643
0.40228 2.73592
0.32931 2.77919
0.22309 2.81342
0.08896 2.83593
-0.05939 2.84476
-0.20193 2.83960
-0.32095 2.82202
-0.40810 2.79476
-0.47622 2.74822
-0.50062 2.69484
-0.48914 2.62371
-0.43756 2.53693
-0.34888 2.43816
-0.21377 2.31931
-0.05413 2.20122
0.10527 2.09979
0.25935 2.01610
0.41980 1.94519
0.56944 1.89653
0.70795 1.86966
0.83583 1.86349
0.96440 1.87844
1.09297 1.91712
1.23134 1.98594
1.39068 2.09464
1.44530 2.13665
1.47223 2.25683
1.51877 2.35015
1.57808 2.41990
1.65958 2.48083
1.76612 2.53105
1.89868 2.56831
2.05477 2.59038
2.22748 2.59563
2.40673 2.58364
2.58243 2.55536
2.74746 2.51272
2.80965 2.49217
2.86403 2.48211
2.91279 2.49020
2.94372 2.51028
2.96011 2.53742
2.96198 2.57393
2.93517 2.62628
2.87909 2.67254
2.79752 2.71001
2.69559 2.73647
2.58212 2.75031
2.46918 2.75107
2.36870 2.73960
2.28866 2.71779
2.21790 2.67666
2.18447 2.62640
2.18294 2.55658
2.21229 2.48356
2.27300 2.39587
2.36399 2.29717
2.48105 2.19230
2.61850 2.08707
2.77016 1.98811
2.91577 1.90946
3.05267 1.85191
3.17962 1.81556
3.29632 1.79989
3.41329 1.80518
3.52863 1.83535
3.64157 1.89281
3.75300 1.97816
3.88842 2.11465
4.02784 2.27234
4.08117 2.36241
4.14686 2.42896
4.23510 2.48613
4.34809 2.53198
4.48575 2.56430
4.64437 2.58110
4.81630 2.58115
4.99173 2.56444
5.16177 2.53220
5.32067 2.48643
5.46617 2.42931
5.57301 2.37678
5.61678 2.36178
5.66048 2.36356
5.69015 2.37950
5.70740 2.40458
5.71237 2.43982
5.69508 2.49260
5.65469 2.54135
5.59492 2.58324
5.51920 2.61614
5.43237 2.63844
5.34107 2.64922
5.25298 2.64840
5.15229 2.63073
5.07949 2.59749
5.03650 2.55292
5.01999 2.50081
5.02870 2.42955
5.06106 2.35523
5.12056 2.26573
5.20728 2.16447
5.31819 2.05637
5.44836 1.94763
5.57770 1.85488
5.70219 1.77981
5.83192 1.71845
5.95088 1.68094
6.05840 1.66704
6.15459 1.67562
6.24828 1.70873
6.33787 1.76944
6.42297 1.85898
6.51027 1.98595
6.61818 2.18264
6.67986 2.30164
6.75678 2.37807
6.84263 2.43138
6.94947 2.47353
7.07659 2.50277
7.22062 2.51759
7.37570 2.51712
7.53458 2.50138
7.69060 2.47130
7.83904 2.42842
7.97757 2.37447
8.13017 2.29742
8.20127 2.25453
8.24211 2.23814
8.27486 2.23924
8.29992 2.25449
8.31325 2.27995
8.31446 2.31606
8.29427 2.36999
8.25471 2.41938
8.20010 2.46137
8.13418 2.49405
8.06133 2.51612
7.98669 2.52696
7.89366 2.52417
7.81760 2.50360
7.76428 2.46858
7.73453 2.42278
7.72597 2.36957
7.73949 2.29669
7.77322 2.22037
7.83204 2.12802
7.91647 2.02316
8.02395 1.91110
8.13565 1.81050
8.26020 1.71393
8.37922 1.63730
8.48987 1.58228
8.59045 1.54977
8.68021 1.53970
8.76726 1.55363
8.84174 1.59160
8.91080 1.65730
8.97323 1.75231
9.02879 1.87636
9.08129 2.03918
9.13606 2.26532
9.17293 2.44454
9.26065 2.50380
9.37465 2.55181
9.51545 2.58618
9.67945 2.60465
9.85837 2.60577
10.04115 2.58944
10.21766 2.55697
10.38151 2.51056
10.53039 2.45260
10.66478 2.38523
10.80953 2.29423
10.89784 2.22832
10.93389 2.20865
10.96659 2.20435
10.99435 2.21404
11.01199 2.23528
11.01901 2.26885
11.00739 2.32189
10.97645 2.37278
10.93027 2.41815
10.87194 2.45573
10.80488 2.48391
10.73327 2.50165
10.63907 2.50843
10.55636 2.49681
10.49296 2.46928
10.45203 2.42921
10.43285 2.37998
10.43510 2.31003
10.46009 2.23483
10.51138 2.14213
10.59022 2.03522
10.68073 1.93338
10.79062 1.82660
10.91537 1.72211
11.03602 1.63707
11.14902 1.57367
11.25217 1.53327
11.34430 1.51625
11.43339 1.52393
11.50908 1.55741
11.57839 1.62016
11.63516 1.70531
11.68535 1.81820
11.73165 1.96939
