# sss file
-1.57080 3.14159
-3.13552 3.12943
-1.41492 2.76484
-3.13552 3.12943
-3.12944 3.11727
-1.44742 2.76484
-1.48002 2.76484
-3.12336 3.10511
-3.11727 3.09295
-1.51272 2.76484
-1.54552 2.76484
-3.11119 3.08078
-3.10511 3.06862
-1.57852 2.76484
-1.61172 2.76484
-3.09902 3.05645
-3.09294 3.04427
-1.64522 2.76484
-1.67902 2.76484
-3.08685 3.03210
-3.08076 3.01992
-1.71312 2.76484
-1.74772 2.76484
-3.07467 3.00773
-3.06857 2.99554
-1.78272 2.76484
-1.81822 2.76484
-3.06247 2.98335
-3.05637 2.97115
-1.85442 2.76484
-1.89122 2.76484
-3.05027 2.95894
-3.04416 2.94672
-1.92882 2.76484
-1.96732 2.76484
-3.03805 2.93450
-3.03194 2.92227
-2.00672 2.76484
-2.04742 2.76484
-3.02582 2.91004
-3.01969 2.89779
-2.08932 2.76484
-2.13292 2.76484
-3.01357 2.88553
-3.00743 2.87327
-2.17822 2.76484
-2.22582 2.76484
-3.00130 2.86099
-2.99515 2.84871
-2.27612 2.76484
-2.32982 2.76484
-2.98900 2.83641
-2.98285 2.82410
-2.38782 2.76484
-2.45162 2.76484
-2.97669 2.81178
-2.97052 2.79945
-2.52402 2.76484
-2.61032 2.76484
-2.96435 2.78710
-2.95817 2.77474
-2.72582 2.76484
-2.98572 2.76484
-4.70632 3.12943
-4.70024 3.11727
-3.01822 2.76484
-3.05082 2.76484
-4.69416 3.10511
-4.68807 3.09295
-3.08352 2.76484
-3.11632 2.76484
-4.68199 3.08078
-4.67591 3.06862
-3.14932 2.76484
-3.18252 2.76484
-4.66982 3.05645
-4.66374 3.04427
-3.21602 2.76484
-3.24982 2.76484
-4.65765 3.03210
-4.65156 3.01992
-3.28392 2.76484
-3.31852 2.76484
-4.64547 3.00773
-4.63937 2.99554
-3.35352 2.76484
-3.38902 2.76484
-4.63327 2.98335
-4.62717 2.97115
-3.42522 2.76484
-3.46202 2.76484
-4.62107 2.95894
-4.61496 2.94672
-3.49962 2.76484
-3.53802 2.76484
-4.60885 2.93450
-4.60274 2.92227
-3.57752 2.76484
-3.61822 2.76484
-4.59662 2.91004
-4.59049 2.89779
-3.66012 2.76484
-3.70372 2.76484
-4.58437 2.88553
-4.57823 2.87327
-3.74902 2.76484
-3.79662 2.76484
-4.57210 2.86099
-4.56595 2.84871
-3.84692 2.76484
-3.90062 2.76484
-4.55980 2.83641
-4.55365 2.82410
-3.95852 2.76484
-4.02242 2.76484
-4.54749 2.81178
-4.54132 2.79945
-4.09482 2.76484
-4.18112 2.76484
-4.53515 2.78710
-4.52897 2.77474
-4.29662 2.76484
-4.55652 2.76484
-6.27712 3.12943
-6.27104 3.11727
-4.58902 2.76484
-4.62162 2.76484
-6.26496 3.10511
-6.25887 3.09295
-4.65432 2.76484
-4.68712 2.76484
-6.25279 3.08078
-6.24671 3.06862
-4.72012 2.76484
-4.75332 2.76484
-6.24062 3.05645
-6.23454 3.04427
-4.78682 2.76484
-4.82062 2.76484
-6.22845 3.03210
-6.22236 3.01992
-4.85472 2.76484
-4.88932 2.76484
-6.21627 3.00773
-6.21017 2.99554
-4.92432 2.76484
-4.95982 2.76484
-6.20407 2.98335
-6.19797 2.97115
-4.99602 2.76484
-5.03282 2.76484
-6.19187 2.95894
-6.18576 2.94672
-5.07042 2.76484
-5.10882 2.76484
-6.17965 2.93450
-6.17354 2.92227
-5.14832 2.76484
-5.18902 2.76484
-6.16742 2.91004
-6.16129 2.89779
-5.23092 2.76484
-5.27452 2.76484
-6.15517 2.88553
-6.14903 2.87327
-5.31982 2.76484
-5.36742 2.76484
-6.14290 2.86099
-6.13675 2.84871
-5.41772 2.76484
-5.47142 2.76484
-6.13060 2.83641
-6.12445 2.82410
-5.52932 2.76484
-5.59322 2.76484
-6.11829 2.81178
-6.11212 2.79945
-5.66562 2.76484
-5.75192 2.76484
-6.10595 2.78710
-6.09977 2.77474
-5.86742 2.76484
-6.12732 2.76484
-7.84792 3.12943
-7.84184 3.11727
-6.15982 2.76484
-6.19242 2.76484
-7.83576 3.10511
-7.82967 3.09295
-6.22512 2.76484
-6.25792 2.76484
-7.82359 3.08078
-7.81751 3.06862
-6.29092 2.76484
-6.32412 2.76484
-7.81142 3.05645
-7.80534 3.04427
-6.35762 2.76484
-6.39142 2.76484
-7.79925 3.03210
-7.79316 3.01992
-6.42552 2.76484
-6.46012 2.76484
-7.78707 3.00773
-7.78097 2.99554
-6.49512 2.76484
-6.53062 2.76484
-7.77487 2.98335
-7.76877 2.97115
-6.56682 2.76484
-6.60362 2.76484
-7.76267 2.95894
-7.75656 2.94672
-6.64122 2.76484
-6.67962 2.76484
-7.75045 2.93450
-7.74434 2.92227
-6.71912 2.76484
-6.75972 2.76484
-7.73822 2.91004
-7.73209 2.89779
-6.80172 2.76484
-6.84532 2.76484
-7.72597 2.88553
-7.71983 2.87327
-6.89062 2.76484
-6.93822 2.76484
-7.71370 2.86099
-7.70755 2.84871
-6.98852 2.76484
-7.04212 2.76484
-7.70140 2.83641
-7.69525 2.82410
-7.10012 2.76484
-7.16402 2.76484
-7.68909 2.81178
-7.68292 2.79945
-7.23642 2.76484
-7.32272 2.76484
-7.67675 2.78710
-7.67057 2.77474
-7.43822 2.76484
-7.66593 2.76525
-7.60582 2.64525
-6.03502 2.64525
-4.46422 2.64525
-2.89342 2.64525
-1.32262 2.64525
-1.26276 2.52552
-1.06538 2.13076
-1.09668 2.13076
-1.29172 2.52084
-1.32312 2.52084
-1.12808 2.13076
-1.15948 2.13076
-1.35452 2.52084
-1.38592 2.52084
-1.19088 2.13076
-1.22228 2.13076
-1.41732 2.52084
-1.44872 2.52084
-1.25378 2.13076
-1.28518 2.13076
-1.48012 2.52084
-1.51152 2.52084
-1.31658 2.13076
-1.34798 2.13076
-1.54292 2.52084
-1.57432 2.52084
-1.37938 2.13076
-1.41078 2.13076
-1.60572 2.52084
-1.63712 2.52084
-1.44218 2.13076
-1.47358 2.13076
-1.66852 2.52084
-1.69992 2.52084
-1.50498 2.13076
-1.53638 2.13076
-1.73132 2.52084
-1.76282 2.52105
-1.56778 2.13076
-1.59928 2.13076
-1.79422 2.52105
-1.82562 2.52105
-1.63068 2.13076
-1.66208 2.13076
-1.85712 2.52105
-1.88852 2.52105
-1.69348 2.13076
-1.72488 2.13076
-1.91992 2.52105
-1.95132 2.52105
-1.75628 2.13076
-1.78768 2.13076
-1.98272 2.52105
-2.01412 2.52105
-1.81908 2.13076
-1.85058 2.13076
-2.04552 2.52105
-2.07692 2.52105
-1.88198 2.13076
-1.91338 2.13076
-2.10832 2.52105
-2.13972 2.52105
-1.94478 2.13076
-1.97618 2.13076
-2.17122 2.52105
-2.20262 2.52105
-2.00758 2.13076
-2.03910 2.13099
-2.23402 2.52105
-2.26542 2.52105
-2.07050 2.13099
-2.10200 2.13099
-2.29682 2.52105
-2.32833 2.52126
-2.13340 2.13099
-2.16480 2.13099
-2.35973 2.52126
-2.39113 2.52126
-2.19620 2.13099
-2.22760 2.13099
-2.42263 2.52126
-2.45403 2.52126
-2.25900 2.13099
-2.29050 2.13099
-2.48543 2.52126
-2.51683 2.52126
-2.32190 2.13099
-2.35330 2.13099
-2.54823 2.52126
-2.57963 2.52126
-2.38470 2.13099
-2.41610 2.13099
