# sss file
-1.57080 3.14159
-3.03388 3.13561
-3.03090 3.12964
-3.02791 3.12366
-3.02492 3.11767
-3.02192 3.11168
-3.01894 3.10572
-3.01595 3.09973
-3.01295 3.09375
-3.00997 3.08778
-3.00698 3.08179
-3.00398 3.07580
-3.00099 3.06981
-2.99800 3.06385
-2.99501 3.05785
-2.99201 3.05186
-2.98903 3.04589
-2.98603 3.03990
-2.98303 3.03391
-2.98004 3.02791
-2.97705 3.02194
-2.97405 3.01594
-2.97105 3.00994
-2.96806 3.00396
-2.96506 2.99796
-2.96206 2.99196
-2.95906 2.98596
-2.95607 2.97998
-2.95306 2.97397
-2.95006 2.96796
-2.94707 2.96197
-2.94406 2.95596
-2.94106 2.94995
-2.93805 2.94394
-2.93505 2.93794
-2.93204 2.93193
-2.92903 2.92591
-2.92603 2.91991
-2.92302 2.91388
-2.92001 2.90786
-2.91699 2.90183
-2.91399 2.89582
-2.91097 2.88979
-2.90796 2.88375
-2.90495 2.87774
-2.90193 2.87170
-2.89891 2.86566
-2.89589 2.85961
-2.89287 2.85359
-2.88985 2.84754
-2.88682 2.84149
-2.88381 2.83545
-2.88078 2.82939
-2.87775 2.82333
-2.87471 2.81727
-2.87169 2.81122
-2.86866 2.80515
-2.86562 2.79908
-2.86259 2.79303
-2.85955 2.78695
-2.85651 2.78087
-2.85347 2.77478
-2.85044 2.76871
-2.84739 2.76262
-2.84434 2.75652
-2.84130 2.75044
-2.83825 2.74434
-2.83520 2.73823
-2.83214 2.73212
-2.82909 2.72603
-2.82603 2.71991
-2.82297 2.71379
-2.81992 2.70768
-2.81685 2.70155
-2.81379 2.69541
-2.81072 2.68927
-2.80766 2.68315
-2.80458 2.67700
-2.80150 2.67085
-2.79844 2.66471
-2.79536 2.65855
-2.79227 2.65238
-2.78919 2.64621
-2.78611 2.64006
-2.78302 2.63388
-2.77993 2.62769
-2.77684 2.62152
-2.77374 2.61532
-2.77064 2.60912
-2.76754 2.60292
-2.76444 2.59673
-2.76133 2.59051
-2.75822 2.58429
-2.75512 2.57808
-2.75200 2.57185
-2.74888 2.56561
-2.74576 2.55936
-2.74265 2.55313
-2.73952 2.54687
-2.73639 2.54061
-2.73326 2.53436
-2.73012 2.52809
-2.72698 2.52181
-2.72384 2.51552
-2.72070 2.50925
-2.71755 2.50294
-2.71440 2.49664
-2.71125 2.49034
-2.70809 2.48402
-2.70493 2.47770
-2.70176 2.47136
-2.69860 2.46504
-2.69543 2.45869
-2.69225 2.45234
-2.68908 2.44600
-2.68589 2.43963
-2.68270 2.43325
-2.67951 2.42686
-2.67633 2.42049
-2.67313 2.41409
-2.66992 2.40768
-2.66672 2.40129
-2.66351 2.39487
-2.66030 2.38843
-2.65708 2.38199
-2.65386 2.37557
-2.65063 2.36911
-2.64740 2.36264
-2.64418 2.35619
-2.64093 2.34971
-2.63769 2.34322
-2.63444 2.33672
-2.63119 2.33023
-2.62793 2.32371
-2.62467 2.31718
-2.62141 2.31067
-2.61814 2.30412
-2.61486 2.29756
-2.61158 2.29100
-2.60830 2.28445
-2.60501 2.27786
-2.60171 2.27126
-2.59842 2.26468
-2.59511 2.25807
-2.59180 2.25144
-2.58848 2.24480
