# sss file
-1.57080 3.14159
-0.21244 3.12468
0.22670 3.10739
0.66645 3.09010
1.10040 3.07261
1.54395 3.05550
1.97950 3.03800
2.42257 3.02106
2.86163 3.00354
3.30321 2.98678
3.74549 2.96962
4.18627 2.95245
4.63028 2.93565
5.07126 2.91788
5.51518 2.90123
5.95688 2.88323
6.39962 2.86636
6.84214 2.84851
7.28348 2.83083
7.72534 2.81332
8.16691 2.79578
8.60849 2.77822
9.05010 2.76101
9.49180 2.74319
9.93374 2.72612
10.37568 2.70824
10.81795 2.69130
11.26023 2.67335
11.70283 2.65614
12.14524 2.63792
12.31607 2.61945
12.51048 2.59364
12.63347 2.57487
12.78985 2.54830
12.95389 2.51763
13.13551 2.48079
13.30294 2.44472
13.49866 2.40128
13.61794 2.37451
13.73168 2.34925
13.83553 2.32675
13.92195 2.30850
14.01010 2.29080
14.12518 2.26885
14.09803 2.27073
14.06158 2.27325
14.02371 2.27618
13.98895 2.27890
13.93134 2.28392
13.88856 2.28767
13.83847 2.29226
13.79538 2.29643
13.75661 2.30018
13.70982 2.30497
13.67304 2.30891
13.64449 2.31182
13.69930 2.30601
13.75661 2.30018
13.81091 2.29497
13.87023 2.28934
13.90990 2.28600
13.95098 2.28224
13.98895 2.27890
14.03473 2.27534
14.07970 2.27220
14.12518 2.26885
14.05621 2.26738
14.01015 2.26570
13.96810 2.26360
13.91957 2.26066
13.87355 2.25709
13.82326 2.25267
13.76491 2.24678
13.73181 2.24277
13.70739 2.24003
13.64054 2.25772
13.59220 2.26360
13.54152 2.26276
13.50238 2.25604
13.46621 2.24298
13.44189 2.22882
13.42003 2.20973
13.40142 2.18477
13.43417 2.19225
13.47321 2.20057
13.51447 2.20867
13.56669 2.21823
13.60201 2.22438
13.64762 2.23136
13.68179 2.23623
13.71955 2.24150
13.64762 2.23136
13.56669 2.21823
13.49358 2.20484
13.44500 2.19460
13.40142 2.18477
13.33664 2.16911
13.22715 2.13890
13.14082 2.11216
13.07884 2.09092
13.00951 2.06579
12.95200 2.04359
12.87637 2.01226
12.79756 1.97788
12.72331 1.94357
12.66470 1.91560
12.61919 1.89321
12.57348 1.87064
12.53624 1.85573
12.55174 1.85952
12.56901 1.86379
12.58942 1.86875
12.60710 1.87300
12.63540 1.87960
12.65956 1.88548
12.68680 1.89181
12.73227 1.90186
12.76801 1.90979
12.80829 1.91862
12.85651 1.92858
12.91442 1.94035
12.96353 1.94955
13.00079 1.95643
13.05300 1.96580
13.01283 1.95895
12.96353 1.94955
12.91442 1.94035
12.88508 1.93505
12.84665 1.92650
12.81499 1.92001
12.78786 1.91467
12.74985 1.90629
12.70930 1.89719
12.65956 1.88548
12.62103 1.87654
12.57921 1.86639
12.55174 1.85952
12.53624 1.85573
12.56049 1.85763
12.57679 1.85881
12.59312 1.85976
12.61095 1.86071
12.63337 1.86166
12.66648 1.86284
12.69482 1.86355
12.73219 1.86402
12.77799 1.86402
12.85400 1.86260
12.89935 1.86071
12.94957 1.85786
13.02974 1.85193
13.10705 1.84431
13.12296 1.84288
13.14626 1.86047
