# sss file
-1.57080 3.14159
3.14340 3.14159
3.61034 2.20773
3.61014 2.20773
3.60904 2.20773
3.60874 2.20773
3.60854 2.20773
3.60804 2.20773
3.55728 2.20904
3.51980 2.21100
3.47478 2.21404
3.44447 2.21665
3.40873 2.22034
3.37779 2.22382
3.36593 2.22534
3.34474 2.22252
3.31191 2.21839
3.28024 2.21513
3.24327 2.21187
3.19737 2.20925
3.17701 2.20838
3.13964 2.20751
3.11325 2.20729
3.09625 2.20729
3.09065 2.20729
3.08804 2.20751
3.08654 2.20751
3.08504 2.20751
3.08808 2.20424
3.09572 2.19617
3.10379 2.18742
3.11114 2.17953
3.12373 2.16634
3.13319 2.15862
3.14057 2.15266
3.17280 2.13160
3.20069 2.11422
3.23406 2.09429
3.26525 2.07650
3.29644 2.05952
3.31781 2.04838
3.35359 2.00482
3.38620 1.96720
3.41843 1.93194
3.44832 1.90055
3.48110 1.86760
3.53583 1.81555
3.58819 1.76922
3.62941 1.73478
3.65349 1.71582
3.67960 1.67299
3.71774 1.61671
3.76434 1.55472
3.83261 1.47458
3.88668 1.41903
3.90477 1.36626
3.93688 1.29084
3.99396 1.17928
4.08488 1.02744
4.15022 0.92975
4.19399 0.86842
4.23861 0.80918
4.28355 0.75350
4.32334 0.70832
4.36373 0.66854
4.39318 0.64624
4.42294 0.63512
4.39070 0.74659
4.33287 0.86006
4.29230 0.91621
4.26147 0.95207
4.23913 0.98713
4.22685 1.01510
4.23175 1.01750
4.23265 1.01790
4.23215 1.02069
4.22948 1.02665
4.22601 1.03218
4.22155 1.03729
4.21817 1.03925
4.21664 1.03612
4.21779 1.02902
4.22235 1.01630
4.22949 1.00181
4.23446 0.99327
4.23946 0.98549
4.24937 0.97266
4.25416 0.96807
4.25833 0.96514
4.26155 0.96431
4.26351 0.96598
4.26463 0.96975
4.26431 0.97599
4.26257 0.98425
4.25986 0.99368
4.25527 1.00586
4.24975 1.01870
4.24341 1.03179
4.23634 1.04473
4.22815 1.05829
4.21991 1.07018
4.21188 1.08043
4.20452 1.08835
4.19723 1.09435
4.19123 1.09734
4.18653 1.09734
4.18353 1.09435
4.18220 1.08760
4.18301 1.07778
4.18560 1.06559
4.19023 1.05095
4.19742 1.03297
4.20615 1.01390
4.21605 0.99450
4.22702 0.97516
4.23948 0.95503
4.25185 0.93710
4.26365 0.92191
4.27471 0.90959
4.28453 0.90114
4.29255 0.89711
4.29820 0.89801
