# sss file
-1.57080 3.14159
-1.57080 3.14159
564.94143 1.09049
571.22462 1.09049
571.28377 1.10496
571.32844 1.14722
571.35953 1.21414
571.38045 1.31786
571.38672 1.44269
571.37953 1.58255
571.35887 1.73225
571.32935 1.86495
571.28679 1.99881
571.23893 2.10906
571.19311 2.21966
571.17429 2.31382
571.18213 2.39361
571.21628 2.45783
571.27686 2.50783
571.36546 2.54335
571.47815 2.56156
571.60581 2.56072
571.73650 2.54092
571.85965 2.50401
571.96889 2.45290
572.06579 2.38781
572.15201 2.30734
572.22607 2.21269
572.28974 2.10178
572.34224 1.97619
572.38432 1.83454
572.41413 1.68405
572.43046 1.53658
572.43341 1.40057
572.42255 1.28154
572.39719 1.18787
572.35649 1.12414
572.29831 1.09303
572.27182 1.09049
572.18858 1.10855
572.08902 1.16095
571.97637 1.24301
571.85037 1.35280
571.71943 1.48148
571.58836 1.62339
571.46240 1.77368
571.35492 1.91770
571.26978 2.05153
571.21225 2.16732
571.18045 2.26835
571.17464 2.35337
571.19490 2.42555
571.24165 2.48329
571.31252 2.52543
571.40840 2.55291
571.52378 2.56350
571.64909 2.55623
571.77365 2.53178
571.88900 2.49218
571.99646 2.43656
572.08713 2.37022
572.17008 2.28685
572.23961 2.19188
572.30149 2.07701
572.35165 1.94869
572.39142 1.80436
572.41794 1.65787
572.43184 1.51360
572.43268 1.38136
572.41985 1.26660
572.39299 1.17825
572.34999 1.11820
572.28923 1.09155
572.27182 1.09049
572.23171 1.10490
572.18018 1.14629
572.12180 1.20969
572.06209 1.28829
572.00683 1.37471
571.96156 1.46159
571.93113 1.54194
571.90023 1.62551
571.85764 1.70521
571.80692 1.77420
571.75104 1.82855
571.69479 1.86420
571.64162 1.87910
571.59922 1.87073
571.57346 1.84082
571.56629 1.79113
571.57875 1.72681
571.61022 1.65030
571.65827 1.56771
571.71818 1.48692
571.76698 1.43321
571.82843 1.38076
571.88115 1.35443
571.92035 1.35757
571.94315 1.38977
571.94845 1.44699
571.93638 1.52249
571.90880 1.60560
571.86964 1.68530
571.82123 1.75690
571.76718 1.81487
571.71018 1.85632
571.65570 1.87725
571.61004 1.87555
571.57898 1.85137
571.56630 1.80717
571.57308 1.74716
571.59882 1.67434
571.64278 1.59200
571.69976 1.50985
571.76353 1.43668
571.76698 1.43321
571.78527 1.41765
571.80123 1.40957
571.81354 1.40974
571.82124 1.41813
571.82375 1.43396
571.82094 1.45580
571.81305 1.48166
571.80359 1.52383
571.81285 1.54638
571.83778 1.54308
571.87069 1.51485
571.90222 1.46946
571.92456 1.41821
571.93101 1.37620
571.92390 1.35989
571.89983 1.36299
571.86558 1.39392
571.83203 1.44196
571.80938 1.49224
571.80403 1.53075
571.81707 1.54792
571.84431 1.53907
571.87754 1.50662
571.90759 1.45940
571.92727 1.40862
571.93007 1.37037
571.92390 1.35989
571.89986 1.36298
571.86563 1.39386
571.83193 1.44214
571.80934 1.49235
571.80406 1.53096
571.81732 1.54797
571.84484 1.53871
571.86801 1.51785
571.88682 1.49984
571.90426 1.48841
571.91887 1.48460
571.92947 1.48876
571.93526 1.50050
571.93582 1.51877
571.93113 1.54194
571.91019 1.59034
571.87947 1.63266
571.84639 1.65883
571.82041 1.66157
571.80955 1.64010
571.81723 1.60042
571.84144 1.55266
571.87516 1.51038
571.90824 1.48671
571.93046 1.48982
571.93582 1.51874
571.93113 1.54194
571.92154 1.56795
571.90777 1.59449
571.89089 1.61923
571.87225 1.63997
571.85347 1.65487
571.83629 1.66258
571.82237 1.66241
571.79405 1.66731
571.75895 1.69540
571.72774 1.73774
571.71016 1.78111
571.71111 1.81340
571.73035 1.82665
571.76189 1.81650
571.78633 1.79656
571.81611 1.75682
571.83420 1.71220
571.83489 1.67656
571.81778 1.66137
571.78739 1.67117
571.75211 1.70304
571.72296 1.74663
571.70889 1.78823
571.71348 1.81767
571.73559 1.82653
571.76823 1.81225
571.78633 1.79656
571.81623 1.75661
571.83430 1.71180
571.83482 1.67633
571.81758 1.66134
571.78714 1.67133
571.75189 1.70330
571.72270 1.74715
571.71258 1.77193
571.70295 1.79589
571.68889 1.81968
571.67147 1.84116
571.65211 1.85840
571.63257 1.86978
571.61471 1.87424
571.60035 1.87135
571.58775 1.84935
571.59435 1.81178
571.61866 1.76777
571.65321 1.73087
571.68697 1.71287
571.71042 1.71909
571.71730 1.74770
571.70599 1.78941
571.68036 1.83103
571.64646 1.86231
571.61368 1.87427
571.60035 1.87135
571.59097 1.86139
571.58751 1.84530
571.59027 1.82457
571.59884 1.80111
571.61229 1.77700
571.62923 1.75439
571.64804 1.73522
571.68025 1.69758
571.70339 1.65150
571.71077 1.61033
571.69993 1.58756
571.67370 1.59010
571.63922 1.61718
571.60698 1.66004
571.59351 1.68661
571.58348 1.72703
571.59218 1.75195
571.61698 1.75429
571.65011 1.73337
571.68183 1.69516
571.70406 1.64953
571.71067 1.60889
571.69906 1.58712
571.67227 1.59083
571.63762 1.61888
571.60585 1.66196
571.59351 1.68661
571.58348 1.72719
571.59235 1.75209
571.61741 1.75415
571.65075 1.73278
571.68249 1.69412
571.70457 1.64801
571.71058 1.60784
571.70335 1.59008
571.69745 1.57797
571.69745 1.55909
571.70334 1.53512
571.71454 1.50816
