# sss file
-1.57080 3.14159
-1.57080 3.14159
-4.06820 3.14140
-3.89981 3.14102
-3.73942 3.14064
-3.58324 3.14007
-3.42715 3.13969
-3.26656 3.13931
-3.09877 3.13893
-2.92938 3.13855
-2.76289 3.13817
-2.60110 3.13760
-2.44381 3.13722
-2.28902 3.13684
-2.13343 3.13646
-1.97365 3.13589
-1.89205 3.13570
-1.80986 3.13551
-1.72726 3.13532
-1.64447 3.13513
-1.56187 3.13494
-1.47948 3.13475
-1.39768 3.13456
-1.31659 3.13437
-1.23609 3.13418
-1.15640 3.13399
-1.07710 3.13380
-0.99811 3.13342
-0.91932 3.13323
-0.84042 3.13304
-0.76093 3.13285
-0.68043 3.13266
-0.59934 3.13247
-0.51784 3.13228
-0.43605 3.13209
-0.35395 3.13190
-0.27186 3.13171
-0.18976 3.13152
-0.15057 3.13133
-0.10807 3.13133
-0.02667 3.13114
0.05432 3.13076
0.13461 3.13057
0.21451 3.13038
0.29410 3.13019
0.37340 3.13000
0.45279 3.12981
0.53249 3.12962
0.61288 3.12924
0.69377 3.12905
0.77497 3.12886
0.85636 3.12867
0.93806 3.12848
1.01985 3.12829
1.10175 3.12810
1.18334 3.12791
1.26484 3.12772
1.34593 3.12753
1.42653 3.12734
1.50682 3.12715
1.58672 3.12696
1.66651 3.12658
1.69611 3.12658
1.74610 3.12639
1.82590 3.12620
1.90609 3.12601
1.98699 3.12582
2.06788 3.12563
2.14908 3.12544
2.23057 3.12525
2.31217 3.12506
2.39376 3.12487
2.47546 3.12468
2.55685 3.12449
2.63805 3.12430
2.71894 3.12411
2.79953 3.12373
2.87973 3.12354
2.95962 3.12335
3.03932 3.12316
3.09701 3.12297
3.11921 3.12297
3.19950 3.12259
3.28030 3.12240
3.36119 3.12221
3.44219 3.12202
3.52338 3.12183
3.60458 3.12164
3.68577 3.12145
3.76687 3.12126
3.84786 3.12107
3.92866 3.12088
4.00915 3.12069
4.08955 3.12050
4.16994 3.12012
4.25033 3.11993
4.26953 3.11993
4.33103 3.11974
4.41192 3.11955
4.49282 3.11936
4.57391 3.11917
4.65501 3.11898
4.73620 3.11879
4.81740 3.11860
4.89839 3.11841
4.97929 3.11822
5.05988 3.11803
5.14047 3.11765
5.22087 3.11746
5.29966 3.11727
5.30126 3.11727
5.38176 3.11708
5.46265 3.11689
5.54345 3.11670
5.62444 3.11651
5.70554 3.11632
5.78673 3.11613
5.86783 3.11594
5.94892 3.11575
6.02992 3.11556
6.11071 3.11518
6.19130 3.11499
6.22950 3.11499
6.27180 3.11480
6.35209 3.11461
6.43259 3.11442
6.51338 3.11423
6.59418 3.11404
6.67517 3.11385
6.75617 3.11366
6.83726 3.11347
6.91836 3.11328
6.99945 3.11309
7.08054 3.11271
7.08294 3.11271
7.16144 3.11252
7.24213 3.11233
7.32263 3.11214
7.40302 3.11195
7.48352 3.11176
7.56421 3.11138
7.64510 3.11119
7.72590 3.11100
7.80689 3.11081
7.87599 3.11081
7.88789 3.11062
7.96908 3.11043
8.05018 3.11024
8.13117 3.11005
8.21217 3.10986
8.29286 3.10967
8.37346 3.10948
8.45395 3.10929
8.53444 3.10891
8.61504 3.10872
8.62084 3.10872
8.69583 3.10853
8.77663 3.10834
8.85752 3.10815
8.93852 3.10796
9.01961 3.10777
9.10071 3.10758
9.18180 3.10739
9.26280 3.10720
9.32509 3.10701
9.34359 3.10701
9.42429 3.10682
9.50488 3.10644
9.58537 3.10625
9.66587 3.10606
9.74656 3.10587
9.82736 3.10568
9.90825 3.10549
9.98915 3.10530
9.99345 3.10530
10.07024 3.10511
10.15134 3.10492
10.23243 3.10473
10.31343 3.10454
10.39432 3.10435
10.47521 3.10397
10.55581 3.10378
10.63290 3.10359
10.63620 3.10359
10.71670 3.10340
10.79739 3.10321
10.87819 3.10302
10.95898 3.10283
11.03988 3.10264
11.12087 3.10245
11.20197 3.10226
11.24526 3.10207
11.28306 3.10207
11.36406 3.10188
11.44505 3.10169
11.52595 3.10131
11.60664 3.10112
11.68714 3.10093
11.76763 3.10074
11.83453 3.10055
11.84832 3.10036
11.92902 3.10017
12.00981 3.09998
12.09071 3.09979
12.17151 3.09979
12.25260 3.09960
12.33360 3.09941
12.40289 3.09922
12.41469 3.09922
12.49578 3.09884
12.57668 3.09865
12.65737 3.09846
12.73797 3.09827
12.81856 3.09789
12.89915 3.09770
12.95235 3.09770
12.97985 3.09751
13.06064 3.09732
13.14154 3.09713
13.22243 3.09694
13.30333 3.09675
13.38432 3.09656
13.46522 3.09637
13.48442 3.09637
13.54611 3.09618
13.62681 3.09599
13.70760 3.09561
13.78819 3.09542
13.86899 3.09523
13.94978 3.09504
14.00078 3.09504
14.03058 3.09485
14.11147 3.09466
14.19247 3.09447
14.27336 3.09428
14.35436 3.09409
14.43515 3.09390
14.50325 3.09371
14.51595 3.09371
14.59674 3.09333
14.67743 3.09314
14.75813 3.09295
14.83892 3.09276
14.91972 3.09257
14.99211 3.09238
15.00061 3.09238
15.08151 3.09219
15.16250 3.09200
15.24340 3.09181
15.32429 3.09162
15.40509 3.09143
15.46928 3.09124
15.48588 3.09105
15.56657 3.09086
15.64727 3.09067
15.72806 3.09048
15.80886 3.09029
15.88965 3.09010
15.93465 3.09010
15.97065 3.08991
