# sss file
-1.57080 3.14159
-1.57080 3.14159
29.94027 2.95131
31.51584 2.94176
33.09141 2.93221
34.66699 2.92266
35.71652 2.91769
36.24256 2.91310
37.15947 2.91024
37.81814 2.90353
38.63378 2.90253
39.39372 2.89396
40.14007 2.89452
40.96931 2.88438
41.69419 2.88611
42.54490 2.87480
43.20660 2.87805
44.12049 2.86521
44.74755 2.86976
45.69608 2.85562
46.26699 2.86155
47.18666 2.84852
47.27168 2.84602
47.82790 2.85317
48.68261 2.84149
48.84728 2.83641
49.35152 2.84481
50.14431 2.83547
50.42288 2.82679
50.90335 2.83639
51.65827 2.82828
51.99849 2.81717
52.46743 2.82801
53.16924 2.82128
53.57410 2.80754
53.99723 2.81936
54.64877 2.81499
55.14972 2.79790
55.56292 2.81096
56.20034 2.80729
56.68888 2.79031
56.72534 2.78826
57.12065 2.80244
57.69941 2.80066
58.19664 2.78460
58.30096 2.77860
58.68738 2.79405
59.25443 2.79306
59.74052 2.77716
59.87659 2.76894
60.22307 2.78499
60.74859 2.78646
61.25296 2.77151
61.45222 2.75927
61.79100 2.77654
62.27615 2.77929
62.76827 2.76580
63.02786 2.74959
63.35292 2.76791
63.81998 2.77194
64.32253 2.75834
64.60350 2.73990
64.92154 2.75948
65.35150 2.76467
65.84303 2.75261
66.17914 2.73020
66.49036 2.75105
66.91248 2.75721
67.39487 2.74553
67.75479 2.72049
68.05400 2.74239
68.46136 2.74984
68.92598 2.73950
69.27121 2.71659
69.33045 2.71077
69.62338 2.73396
69.99706 2.74244
70.45274 2.73371
70.78995 2.71255
70.90611 2.70104
71.19291 2.72554
71.56011 2.73504
71.98125 2.72787
72.33910 2.70592
72.48178 2.69130
72.76259 2.71712
73.12348 2.72769
73.53771 2.72103
73.88913 2.69939
74.05745 2.68155
74.32792 2.70843
74.67696 2.72029
75.07762 2.71489
75.41631 2.69500
75.63313 2.67178
75.87359 2.69822
76.19226 2.71228
76.58581 2.70978
76.94254 2.69075
77.20881 2.66201
77.44429 2.68970
77.75755 2.70489
78.14516 2.70307
78.49614 2.68436
78.78450 2.65222
79.01508 2.68118
79.32308 2.69753
79.68081 2.69707
80.02513 2.68006
80.30783 2.65006
80.36020 2.64243
80.58254 2.67232
80.88078 2.68998
81.22787 2.69078
81.56117 2.67526
81.83439 2.64749
81.93590 2.63262
82.15366 2.66379
82.42426 2.68187
82.76612 2.68466
83.09361 2.67076
83.38656 2.64162
83.51160 2.62279
83.72486 2.65525
83.99096 2.67450
84.32801 2.67812
84.65087 2.66460
84.93940 2.63582
85.08732 2.61296
85.29616 2.64671
85.55781 2.66715
85.89019 2.67164
86.20859 2.65852
86.49287 2.63010
86.66304 2.60311
86.86461 2.63780
87.11820 2.65948
87.41959 2.66555
87.75055 2.65361
88.02615 2.62719
88.23877 2.59325
88.43615 2.62924
88.68555 2.65215
88.98287 2.65912
89.28738 2.64906
89.55834 2.62446
89.79102 2.58801
89.81450 2.58337
90.00778 2.62068
90.25304 2.64484
90.54639 2.65273
90.84705 2.64315
91.11439 2.61888
91.34389 2.58285
91.39024 2.57348
91.57947 2.61212
91.82066 2.63755
92.11011 2.64639
92.40706 2.63732
92.67091 2.61337
92.89734 2.57775
92.96599 2.56358
93.14873 2.60314
93.38265 2.62986
93.66439 2.64008
93.95356 2.63237
94.23191 2.60745
94.47480 2.56808
94.54175 2.55366
94.72064 2.59455
94.95066 2.62257
95.22874 2.63382
95.51454 2.62666
95.78949 2.60208
96.02933 2.56313
96.11751 2.54373
96.29261 2.58596
96.49952 2.61360
96.75359 2.62706
97.03485 2.62310
97.30504 2.60186
97.54094 2.56674
97.69328 2.53378
97.86464 2.57736
98.06804 2.60625
98.31874 2.62076
98.59682 2.61746
98.86392 2.59660
99.09698 2.56185
99.26906 2.52382
99.43459 2.56831
99.63187 2.59840
99.87602 2.61429
100.14734 2.61239
100.40777 2.59313
100.63489 2.56047
100.84484 2.51384
101.00680 2.55969
101.20071 2.59105
101.44165 2.60805
101.71001 2.60687
101.96766 2.58800
102.19223 2.55567
102.39981 2.50949
102.42064 2.50384
102.57906 2.55105
102.76963 2.58371
103.00740 2.60184
103.27289 2.60141
103.52785 2.58294
103.74996 2.55094
103.95525 2.50521
103.99644 2.49383
104.15137 2.54241
104.33863 2.57637
104.55486 2.59488
104.79785 2.59718
105.04894 2.58200
105.28789 2.54990
105.49075 2.50634
105.57225 2.48380
105.72190 2.53329
105.90353 2.56846
106.11417 2.58830
106.35152 2.59198
106.59689 2.57829
106.83028 2.54811
107.02850 2.50691
107.14807 2.47375
107.29437 2.52461
107.47280 2.56111
107.68062 2.58209
107.91549 2.58659
108.15853 2.57339
108.38962 2.54354
108.60553 2.49769
108.72390 2.46369
108.86689 2.51593
109.04214 2.55377
109.24717 2.57591
109.47959 2.58125
109.72037 2.56856
109.94926 2.53906
110.16302 2.49360
110.29974 2.45360
110.43781 2.50674
110.60779 2.54580
110.80754 2.56931
111.03472 2.57608
111.27033 2.56488
111.49428 2.53715
111.70345 2.49404
111.87558 2.44350
112.01047 2.49803
112.17737 2.53844
112.37440 2.56316
112.59926 2.57083
112.83280 2.56017
113.05477 2.53279
113.26199 2.49003
113.45144 2.43338
113.58317 2.48930
113.74701 2.53109
