# sss file
-1.57080 3.14159
-1.57080 3.14159
628.00097 0.63512
628.01115 0.65280
628.00396 0.70184
627.98256 0.77264
627.95090 0.85441
627.91256 0.93761
627.97043 0.83220
628.03579 0.73084
628.09355 0.65804
628.12940 0.63555
628.13557 0.67152
628.11476 0.75327
628.07557 0.85674
628.03822 0.93761
628.09610 0.83220
628.16146 0.73084
628.21922 0.65804
628.25506 0.63555
628.26123 0.67152
628.24043 0.75327
628.20123 0.85674
628.16389 0.93761
628.22176 0.83220
628.28712 0.73084
628.34488 0.65804
628.38072 0.63555
628.38690 0.67152
628.36609 0.75327
628.32690 0.85674
628.28955 0.93761
628.34742 0.83220
628.41279 0.73084
628.47055 0.65804
628.50639 0.63555
628.51256 0.67152
628.49176 0.75327
628.45256 0.85674
628.41521 0.93761
628.47309 0.83220
628.53845 0.73084
628.59621 0.65804
628.63205 0.63555
628.63823 0.67152
628.61742 0.75327
628.57822 0.85674
628.54088 0.93761
628.59875 0.83220
628.66411 0.73084
628.72187 0.65804
628.75772 0.63555
628.76389 0.67152
628.74308 0.75327
628.70389 0.85674
628.66654 0.93761
628.72441 0.83220
628.78978 0.73084
628.84754 0.65804
628.88338 0.63555
628.88955 0.67152
628.86875 0.75327
628.82955 0.85674
628.79220 0.93761
628.85008 0.83220
628.91544 0.73084
628.97320 0.65804
629.00904 0.63555
629.01522 0.67152
628.99441 0.75327
628.95522 0.85674
628.91787 0.93761
628.97574 0.83220
629.04110 0.73084
629.09886 0.65804
629.13471 0.63555
629.14088 0.67152
629.12007 0.75327
629.08088 0.85674
629.04353 0.93761
629.10140 0.83220
629.16677 0.73084
629.22453 0.65804
629.26037 0.63555
629.26654 0.67152
629.24574 0.75327
629.20654 0.85674
629.16920 0.93761
629.22707 0.83220
629.29243 0.73084
629.35019 0.65804
629.38603 0.63555
629.39221 0.67152
629.37140 0.75327
629.33221 0.85674
629.29486 0.93761
629.35273 0.83220
629.41810 0.73084
629.47585 0.65804
629.51170 0.63555
629.51787 0.67152
629.49706 0.75327
629.45787 0.85674
629.42052 0.93761
629.47840 0.83220
629.54376 0.73084
629.60152 0.65804
629.63736 0.63555
629.64354 0.67152
629.62273 0.75327
629.58353 0.85674
629.54619 0.93761
629.60406 0.83220
629.66942 0.73084
629.72718 0.65804
629.76303 0.63555
629.76920 0.67152
629.74839 0.75327
629.70920 0.85674
629.67185 0.93761
629.72972 0.83220
629.79509 0.73084
629.85285 0.65804
629.88869 0.63555
629.89486 0.67152
629.87406 0.75327
629.83486 0.85674
629.79751 0.93761
629.85539 0.83220
629.92075 0.73084
629.97851 0.65804
630.01435 0.63555
630.02053 0.67152
629.99972 0.75327
629.96053 0.85674
629.92318 0.93761
629.98105 0.83220
630.04641 0.73084
630.10417 0.65804
630.14002 0.63555
630.14619 0.67152
630.12538 0.75327
630.08619 0.85674
630.04884 0.93761
630.10671 0.83220
630.17208 0.73084
630.22984 0.65804
630.26568 0.63555
630.27185 0.67152
630.25105 0.75327
630.21185 0.85674
630.17451 0.93761
630.23238 0.83220
630.29774 0.73084
630.35550 0.65804
630.39134 0.63555
630.39752 0.67152
630.37671 0.75327
630.33752 0.85674
630.30017 0.93761
630.35804 0.83220
630.42341 0.73084
630.48116 0.65804
630.51701 0.63555
630.52318 0.67152
630.50237 0.75327
630.46318 0.85674
630.42583 0.93761
630.48371 0.83220
630.54907 0.73084
630.60683 0.65804
630.64267 0.63555
630.64885 0.67152
630.62804 0.75327
630.58884 0.85674
630.55150 0.93761
630.60937 0.83220
630.67473 0.73084
630.73249 0.65804
630.76833 0.63555
630.77451 0.67152
630.75370 0.75327
630.71451 0.85674
630.67716 0.93761
630.73503 0.83220
630.80040 0.73084
630.85816 0.65804
630.89400 0.63555
630.90017 0.67152
630.87937 0.75327
630.84017 0.85674
630.80282 0.93761
630.86070 0.83220
630.92606 0.73084
630.98382 0.65804
631.01966 0.63555
631.02584 0.67152
631.00503 0.75327
630.96583 0.85674
630.92849 0.93761
630.98636 0.83220
631.05172 0.73084
631.10948 0.65804
631.14533 0.63555
631.15150 0.67152
631.13069 0.75327
631.09150 0.85674
631.05415 0.93761
631.11202 0.83220
631.17739 0.73084
631.23515 0.65804
631.27099 0.63555
631.27716 0.67152
631.25636 0.75327
631.21716 0.85674
631.17982 0.93761
631.23769 0.83220
631.30305 0.73084
631.36081 0.65804
631.39665 0.63555
631.40283 0.67152
631.38202 0.75327
631.34283 0.85674
631.30548 0.93761
631.36335 0.83220
631.42871 0.73084
631.48647 0.65804
631.52232 0.63555
631.52849 0.67152
631.50768 0.75327
631.46849 0.85674
631.43114 0.93761
631.48902 0.83220
631.55438 0.73084
631.61214 0.65804
631.64798 0.63555
631.65416 0.67152
631.63335 0.75327
631.59415 0.85674
631.55681 0.93761
631.61468 0.83220
631.68004 0.73084
631.73780 0.65804
631.77364 0.63555
631.77982 0.67152
631.75901 0.75327
631.71982 0.85674
631.68247 0.93761
631.74034 0.83220
631.80571 0.73084
631.86347 0.65804
631.89931 0.63555
631.90548 0.67152
631.88468 0.75327
631.84548 0.85674
631.80813 0.93761
631.86601 0.83220
631.93137 0.73084
631.98913 0.65804
632.02497 0.63555
632.03115 0.67152
632.01034 0.75327
631.97114 0.85674
