# sss file
-1.57080 3.14159
-1.57080 3.14159
5.96562 0.63512
-616.46376 3.13897
-614.18316 3.14159
-617.31346 3.12259
-616.93316 2.36200
-616.89264 2.33676
-616.88350 2.32034
-616.89762 2.31366
-616.91253 2.32074
-616.92616 2.31358
-616.94573 2.32510
-616.94844 2.33676
-616.93316 2.36200
-616.93378 2.36323
-616.89082 2.33646
-616.88108 2.31953
-616.89477 2.31181
-616.91191 2.31950
-616.92564 2.31181
-616.94619 2.32300
-616.94996 2.33646
-616.93378 2.36323
-616.93443 2.36454
-616.88890 2.33614
-616.87854 2.31863
-616.89181 2.30993
-616.91125 2.31818
-616.92506 2.30996
-616.94654 2.32073
-616.95156 2.33614
-616.93443 2.36454
-616.93512 2.36592
-616.88686 2.33580
-616.87587 2.31782
-616.88857 2.30800
-616.91055 2.31678
-616.92448 2.30802
-616.94687 2.31840
-616.95326 2.33580
-616.93512 2.36592
-616.93585 2.36739
-616.88470 2.33543
-616.87307 2.31689
-616.88527 2.30603
-616.90873 2.31440
-616.90981 2.31530
-616.92387 2.30598
-616.94714 2.31595
-616.95533 2.33457
-616.95505 2.33543
-616.93585 2.36739
-616.93663 2.36894
-616.88241 2.33504
-616.87013 2.31603
-616.88165 2.30403
-616.90582 2.31122
-616.90902 2.31373
-616.92318 2.30383
-616.94729 2.31332
-616.95754 2.33266
-616.95695 2.33504
-616.93663 2.36894
-616.93745 2.37059
-616.87998 2.33462
-616.86705 2.31506
-616.87791 2.30198
-616.90262 2.30795
-616.90819 2.31206
-616.92243 2.30158
-616.94731 2.31051
-616.95967 2.33035
-616.95896 2.33462
-616.93745 2.37059
-616.93833 2.37233
-616.87741 2.33417
-616.86381 2.31406
-616.87405 2.29987
-616.89915 2.30460
-616.90731 2.31029
-616.92171 2.29920
-616.94743 2.30769
-616.96171 2.32804
-616.96108 2.33417
-616.93833 2.37233
-616.93925 2.37418
-616.87468 2.33368
-616.86039 2.31293
-616.86994 2.29772
-616.89544 2.30117
-616.90637 2.30842
-616.92080 2.29671
-616.94717 2.30450
-616.96361 2.32521
-616.96333 2.33368
-616.93925 2.37418
-616.94023 2.37614
-616.87179 2.33317
-616.85683 2.31192
-616.86553 2.29555
-616.89120 2.29754
-616.90538 2.30643
-616.91989 2.29408
-616.94695 2.30124
-616.96539 2.32217
-616.96570 2.33317
-616.94023 2.37614
-616.94127 2.37822
-616.86872 2.33261
-616.85305 2.31073
-616.86105 2.29327
-616.88684 2.29390
-616.90432 2.30432
-616.91893 2.29131
-616.94666 2.29783
-616.96704 2.31892
-616.96821 2.33261
-616.94127 2.37822
-616.94237 2.38042
-616.86547 2.33202
-616.84909 2.30950
-616.85630 2.29094
-616.88209 2.29012
-616.90320 2.30209
-616.91788 2.28839
-616.94623 2.29421
-616.96852 2.31533
-616.97086 2.33202
-616.94237 2.38042
-616.94353 2.38275
-616.86203 2.33138
-616.84493 2.30823
-616.85129 2.28857
-616.87692 2.28621
-616.90202 2.29972
-616.91674 2.28533
-616.94562 2.29038
-616.96987 2.31154
-616.97367 2.33138
-616.94353 2.38275
-616.94477 2.38522
-616.85838 2.33069
-616.84057 2.30696
-616.84607 2.28610
-616.87156 2.28224
-616.90076 2.29720
-616.91560 2.28208
-616.94513 2.28645
-616.97105 2.30744
-616.97663 2.33069
-616.94477 2.38522
-616.94608 2.38783
-616.85451 2.32995
-616.83593 2.30544
-616.84061 2.28354
-616.86574 2.27813
-616.89682 2.29236
-616.89943 2.29454
-616.91425 2.27869
-616.94418 2.28217
-616.97197 2.30293
-616.98028 2.32796
-616.97976 2.32995
-616.94608 2.38783
-616.94746 2.39060
-616.85042 2.32916
-616.83111 2.30404
-616.83476 2.28104
-616.85948 2.27390
-616.89178 2.28678
-616.89802 2.29171
-616.91295 2.27508
-616.94346 2.27781
-616.97293 2.29840
-616.98393 2.32450
-616.98306 2.32916
-616.94746 2.39060
-616.94893 2.39354
-616.84607 2.32830
-616.82599 2.30245
-616.82877 2.27831
-616.85305 2.26959
-616.88631 2.28105
-616.89652 2.28871
-616.91150 2.27129
-616.94246 2.27317
-616.97354 2.29337
-616.98743 2.32055
-616.98655 2.32830
-616.94893 2.39354
-616.95048 2.39665
-616.84147 2.32738
-616.82060 2.30075
-616.82252 2.27545
-616.84633 2.26515
-616.88042 2.27516
-616.89492 2.28553
-616.90997 2.26728
-616.94114 2.26822
-616.97383 2.28790
-616.99070 2.31587
-616.99023 2.32738
-616.95048 2.39665
-616.95213 2.39994
-616.89546 2.36261
-616.83659 2.32639
-616.81493 2.29898
-616.81593 2.27251
-616.83917 2.26058
-616.87389 2.26898
-616.89324 2.28215
-616.90831 2.26307
-616.93986 2.26309
-616.97401 2.28221
-616.99373 2.31080
-616.99412 2.32639
-616.95365 2.39136
-616.95213 2.39994
-616.95388 2.40343
-616.89373 2.36384
-616.83142 2.32532
-616.80900 2.29717
-616.80897 2.26956
-616.83140 2.25589
-616.86648 2.26242
-616.89145 2.27857
-616.90648 2.25864
-616.93852 2.25771
-616.97396 2.27618
-616.99653 2.30539
-616.99821 2.32532
-616.95551 2.39434
-616.95388 2.40343
-616.95573 2.40713
-616.89189 2.36514
-616.82595 2.32416
-616.80274 2.29524
-616.80171 2.26647
-616.82331 2.25108
