# sss file
-1.57080 3.14159
-1.57080 3.14159
55.07301 2.95131
56.57301 2.95131
56.84427 2.93814
57.10379 2.90808
57.31329 2.86554
57.49671 2.80720
57.65144 2.73527
57.79635 2.64251
57.94442 2.51756
58.09504 2.35870
58.27720 2.13133
58.61176 1.66924
58.70902 1.54482
58.76735 1.48327
58.80525 1.45694
58.82220 1.45294
60.32220 1.45294
60.35964 1.46964
60.52288 1.65064
60.62321 1.71596
60.73913 1.75620
60.86136 1.77126
60.99659 1.76406
61.14718 1.73263
61.30606 1.67685
61.47963 1.59304
61.79935 1.40263
61.85540 1.38223
61.85758 1.38217
63.35758 1.38217
63.38428 1.39849
63.40370 1.45730
63.45785 1.79542
63.50779 1.92411
63.57266 2.02074
63.65487 2.09697
63.75735 2.15613
63.87586 2.19632
64.01190 2.21870
64.17129 2.22242
64.36979 2.20352
64.45115 2.19503
65.95115 2.19503
65.98763 2.20657
66.02574 2.25308
66.13281 2.45465
66.21701 2.54872
66.32120 2.62029
66.44638 2.67402
66.59864 2.71390
66.78390 2.74027
67.00450 2.75113
67.17392 2.74949
68.67392 2.74949
68.92509 2.74614
69.15173 2.72542
69.35865 2.68903
69.53951 2.64059
69.70531 2.57944
69.86825 2.50076
70.03575 2.39867
70.24845 2.24117
70.40645 2.12029
70.47418 2.08134
70.51253 2.07228
72.01253 2.07228
72.04134 2.08262
72.06236 2.12186
72.07465 2.22376
72.09346 2.44915
72.13024 2.56991
72.19256 2.66524
72.28549 2.74165
72.40493 2.79824
72.55900 2.84117
72.75628 2.87158
73.00575 2.88797
73.10391 2.88951
74.60391 2.88951
74.89823 2.88408
75.15910 2.86234
75.39483 2.82464
75.60358 2.77126
75.77761 2.70724
75.95240 2.62121
76.25505 2.44012
76.31598 2.41673
76.34187 2.41360
77.84187 2.41360
77.87972 2.42248
77.92499 2.46188
78.05363 2.62572
78.15749 2.70578
78.27975 2.76344
78.44252 2.80959
78.63694 2.84033
78.88078 2.85717
79.11940 2.85853
80.61940 2.85853
80.86443 2.84685
81.10094 2.81779
81.30888 2.77387
81.48390 2.71857
81.64039 2.65005
81.79288 2.56134
81.93929 2.45232
82.09100 2.31349
82.26477 2.12547
82.57658 1.75016
82.65650 1.66395
82.70620 1.62271
82.74129 1.60827
82.74461 1.60812
84.24461 1.60812
84.27566 1.62261
84.30748 1.67873
84.39919 1.90917
84.47283 2.01738
84.55937 2.09679
84.66227 2.15619
84.78390 2.19778
84.92735 2.22128
85.08234 2.22476
85.26496 2.20713
85.45980 2.17774
86.95980 2.17774
87.05782 2.19763
87.23619 2.23600
87.39749 2.24816
87.56384 2.23975
87.73041 2.21213
87.89817 2.16587
88.06993 2.09966
88.25600 2.00726
88.57894 1.81733
88.63980 1.79345
88.65261 1.79211
90.15261 1.79211
90.20067 1.80838
90.38377 1.93315
90.50351 1.98298
90.63616 2.01073
90.77921 2.01663
90.93271 2.00105
91.09757 1.96287
91.27244 1.90098
91.49186 1.79815
91.64597 1.72361
91.69259 1.71216
93.19259 1.71216
93.21698 1.72280
93.23389 1.76207
93.24170 1.86022
93.25118 2.14949
93.28129 2.29133
93.33086 2.39874
93.40346 2.48728
93.49581 2.55586
93.61296 2.61029
93.76277 2.65202
93.94440 2.67822
94.15738 2.68689
94.20533 2.68667
95.70533 2.68667
95.94980 2.68376
96.16194 2.66332
96.36184 2.62635
96.54219 2.57568
96.71088 2.51053
96.87814 2.42608
97.03849 2.32466
97.22025 2.18615
97.47517 1.97137
97.54622 1.92306
97.58726 1.90802
97.59493 1.90748
99.09493 1.90748
99.14209 1.92206
99.33973 2.05240
99.46645 2.10401
99.60559 2.13351
99.75387 2.14181
99.91089 2.13000
100.07689 2.09797
100.25787 2.04311
100.54654 1.93313
100.58555 1.92624
102.08555 1.92624
102.11945 1.93788
102.16246 1.99006
102.27532 2.17334
102.36142 2.26340
102.46333 2.33257
102.58112 2.38342
102.72964 2.42048
102.88830 2.43794
103.07441 2.43743
103.34187 2.41360
104.84187 2.41360
105.06459 2.41671
105.24360 2.39996
105.41522 2.36591
105.58346 2.31470
105.75144 2.24451
105.91325 2.15733
106.07719 2.04807
106.23975 1.91855
106.42627 1.74555
106.75689 1.39982
106.84025 1.32041
106.88933 1.28718
106.90727 1.28279
108.40727 1.28279
108.43423 1.29951
108.45809 1.36712
108.52582 1.65298
108.58709 1.77569
108.66411 1.86589
108.75895 1.93286
108.87315 1.97884
109.00085 2.00268
109.14184 2.00574
109.30020 1.98747
109.58065 1.92638
109.58555 1.92624
111.08555 1.92624
111.18003 1.94885
111.33215 1.98562
111.47708 1.99660
111.62367 1.98594
111.77586 1.95455
111.93523 1.90119
112.09545 1.82726
112.26098 1.73003
112.44401 1.59891
112.70625 1.37511
112.86434 1.23425
112.93214 1.18554
112.96052 1.17630
114.46052 1.17630
114.49186 1.19691
114.53444 1.29541
114.61146 1.46282
114.68946 1.55729
114.78096 1.62080
114.88809 1.65942
115.01184 1.67390
115.14663 1.66382
115.29338 1.62918
115.45884 1.56589
115.67028 1.45614
115.82920 1.36921
115.86972 1.35790
117.36972 1.35790
117.40136 1.37482
117.44441 1.45468
117.53244 1.62810
117.61462 1.72310
117.70975 1.78865
117.82033 1.83085
117.94734 1.85071
