# sss file
-1.57080 3.14159
-1.57080 3.14159
55.07301 2.95131
57.52324 2.95131
57.69530 2.94509
58.02669 2.90760
58.26635 2.90498
60.32443 2.90498
60.60272 2.89547
60.96051 2.87527
61.25764 2.87403
63.60235 2.87403
63.77087 2.86597
63.95975 2.83796
64.15846 2.80475
64.34610 2.79650
64.43067 2.79635
65.24613 2.79635
65.48511 2.80221
65.64436 2.82639
65.84931 2.86322
65.99856 2.87351
66.04190 2.87403
67.82256 2.87403
67.95436 2.86736
68.06142 2.84697
68.18225 2.80632
68.27030 2.79734
68.42811 2.79635
69.82512 2.79635
70.00018 2.78820
70.15761 2.77157
70.40841 2.78075
71.45152 2.78075
71.67738 2.77163
71.91253 2.75754
72.25766 2.76513
74.22663 2.76513
74.50171 2.76960
74.67227 2.79099
74.87093 2.81927
75.04680 2.82747
76.80929 2.82747
77.05889 2.83190
77.18495 2.85109
77.36042 2.88137
77.52811 2.88951
78.30219 2.88951
78.43761 2.88381
78.59857 2.85983
78.77926 2.82189
78.92324 2.81250
79.05086 2.81192
80.81919 2.81192
81.11111 2.81011
81.34945 2.83914
81.47174 2.84301
83.06647 2.84301
83.29707 2.83415
83.71763 2.79997
84.02259 2.79635
85.13649 2.79635
85.30609 2.78807
85.52057 2.75733
85.71793 2.72714
85.89187 2.71845
86.02120 2.71813
87.25969 2.71813
87.38180 2.71182
87.50044 2.69058
87.62209 2.65710
87.72257 2.65247
87.88252 2.65509
90.35493 2.65509
90.53579 2.64535
90.73372 2.62472
91.04415 2.63926
91.59700 2.63926
91.86256 2.63887
91.95914 2.65492
92.09867 2.68870
92.21563 2.70098
92.27622 2.70242
94.09157 2.70242
94.25439 2.69354
94.46620 2.66002
94.63770 2.63179
94.80868 2.62305
94.96075 2.62339
96.45763 2.62339
96.61089 2.61484
96.78153 2.59087
97.02085 2.60721
97.05108 2.60749
98.04184 2.60749
98.16508 2.60041
98.28623 2.57848
98.42344 2.54345
98.52661 2.53856
98.71109 2.54353
100.94906 2.54353
101.28664 2.53258
101.41539 2.54929
101.58661 2.57239
101.67863 2.57558
102.23256 2.57558
102.39105 2.56725
102.66647 2.53359
102.82755 2.53684
103.01202 2.54353
103.83540 2.54353
104.02171 2.53342
104.30245 2.50317
104.48064 2.50446
104.68888 2.51131
105.83943 2.51131
106.13819 2.50905
106.25989 2.52752
106.44618 2.56619
106.59257 2.57558
108.06099 2.57558
108.20344 2.56723
108.41952 2.53112
108.70776 2.54353
109.53451 2.54353
109.82805 2.53639
109.92083 2.55156
110.07276 2.58351
110.20577 2.59155
112.47727 2.59155
112.87893 2.58956
113.33680 2.62225
113.40900 2.62339
114.97666 2.62339
115.12523 2.61464
115.38523 2.57035
115.52083 2.57100
115.67972 2.57558
118.12324 2.57558
118.28281 2.56715
118.50622 2.54200
118.83213 2.55957
120.89537 2.55957
121.14655 2.54789
121.24018 2.57897
121.36153 2.59117
121.39083 2.59155
122.16519 2.59155
122.39083 2.58856
122.42976 2.60154
122.48322 2.63232
122.55857 2.64904
122.66403 2.65509
124.31023 2.65509
124.59827 2.65201
124.71430 2.66741
124.88174 2.69563
125.01926 2.70242
126.72068 2.70242
126.88201 2.69426
127.10028 2.66242
127.29784 2.63208
127.47349 2.62334
127.62419 2.62339
129.61351 2.62339
129.78563 2.61459
129.87129 2.60843
129.98006 2.63205
130.10956 2.63926
130.97466 2.63926
131.23424 2.62854
131.50991 2.61489
131.90306 2.62339
133.30683 2.62339
133.57921 2.61221
133.85005 2.59936
134.25270 2.60749
136.27256 2.60749
136.64974 2.60258
137.04668 2.63773
137.12233 2.63926
139.45405 2.63926
139.71582 2.64398
139.89351 2.66626
140.14587 2.70788
140.30116 2.71788
140.33002 2.71813
141.75533 2.71813
142.00728 2.71255
142.12284 2.74043
142.23407 2.74898
142.27298 2.74949
143.50110 2.74949
143.73200 2.74814
143.78789 2.76407
143.86319 2.78561
143.97976 2.79575
144.02144 2.79635
144.91524 2.79635
145.20933 2.78632
145.59330 2.76641
145.92594 2.76513
147.72744 2.76513
147.88796 2.75666
148.08312 2.72478
148.21788 2.70482
148.42725 2.70204
148.49470 2.70242
150.75922 2.70242
150.87704 2.69559
150.97406 2.67640
151.10180 2.62877
151.17693 2.62164
151.34828 2.62339
152.67004 2.62339
152.85803 2.61403
153.20999 2.57578
153.43862 2.57383
153.57608 2.57558
155.24678 2.57558
155.40862 2.56706
155.51282 2.55832
155.63723 2.58498
155.75738 2.59155
156.92227 2.59155
157.04587 2.58455
157.17209 2.56111
157.27794 2.53628
157.39069 2.53801
157.54328 2.54353
158.79239 2.54353
158.93009 2.53584
159.12451 2.50720
159.37432 2.52720
159.40059 2.52744
160.57920 2.52744
160.89539 2.52899
161.06234 2.54850
161.29982 2.58427
161.44877 2.59155
162.75810 2.59155
163.00793 2.58118
163.09742 2.61041
163.22260 2.62299
163.25341 2.62339
165.26933 2.62339
165.56095 2.62607
165.74647 2.64614
165.99476 2.68004
166.14731 2.68667
167.20034 2.68667
167.34438 2.67840
167.45278 2.65660
167.50670 2.64617
167.73405 2.65509
168.69622 2.65509
168.87045 2.64531
169.21975 2.59508
169.39206 2.58984
169.55543 2.59155
171.60555 2.59155
171.94083 2.58255
172.08574 2.60052
