# sss file
-1.57080 3.14159
-1.57080 3.14159
-1.77192 3.10650
-1.70162 2.96589
-1.56897 2.86296
-1.49285 2.77594
-1.30524 2.75518
-1.13433 2.72347
-1.01916 2.69379
-0.86406 2.73840
-0.70897 2.76292
-0.62232 2.77078
-0.61746 2.89174
-0.57561 2.95945
-0.86186 2.98244
-1.19833 2.99028
-1.52245 2.98073
-1.70162 2.96589
-1.56897 2.86296
-1.49285 2.77594
-1.30524 2.75518
-1.13433 2.72347
-1.01916 2.69379
-0.86406 2.73840
-0.70897 2.76292
-0.62232 2.77078
-0.61746 2.89174
-0.57561 2.95945
-0.86186 2.98244
-1.19833 2.99028
-1.52245 2.98073
-1.70162 2.96589
-1.59795 2.89060
-1.36245 2.87381
-1.30774 2.86762
-1.14785 2.90855
-1.09747 2.91732
-1.26654 2.98974
-1.54581 2.97927
-1.70162 2.96589
-1.42022 2.98577
-1.08382 2.98959
-0.75900 2.97624
-0.57561 2.95945
-0.82406 2.98040
-1.01565 2.98823
-1.12202 2.93204
-1.13776 2.91757
-0.93065 2.87653
-0.88730 2.86508
-0.67684 2.88262
-0.61941 2.88490
-0.57561 2.95945
-0.62182 2.87462
-0.62232 2.77078
-0.62561 2.84710
-0.83782 2.87023
-0.89462 2.87412
-0.97834 2.80582
-0.80520 2.74954
-0.62232 2.77078
-0.78981 2.75205
-0.93134 2.72222
-1.01916 2.69379
-0.88498 2.73380
-0.95688 2.81024
-1.18936 2.81165
-1.19195 2.73568
-1.01916 2.69379
-1.21739 2.74056
-1.39737 2.76705
-1.49285 2.77594
-1.28731 2.75246
-1.16374 2.80695
-1.30796 2.87661
-1.51324 2.85888
-1.55884 2.85257
-1.49285 2.77594
-1.62626 2.91468
-1.70162 2.96589
-1.42022 2.98577
-1.08382 2.98959
-0.75900 2.97624
-0.57561 2.95945
-0.42085 2.87603
-0.30211 2.77305
-0.11386 2.75679
0.06098 2.72903
0.18014 2.70188
0.29741 2.74190
0.44547 2.77261
0.57592 2.78815
0.56137 2.92717
0.58015 2.97864
0.25222 2.99618
-0.10699 2.99618
-0.41735 2.97863
-0.57561 2.95945
-0.43560 2.88619
-0.19927 2.87510
-0.14297 2.87022
0.00147 2.91540
0.04860 2.92544
-0.11799 2.98084
-0.17519 2.99396
-0.43846 2.97659
-0.57561 2.95945
-0.32310 2.98618
0.01112 2.99826
0.36850 2.99211
0.58015 2.97864
0.29468 2.99494
0.08355 2.99851
0.00751 2.92471
0.23558 2.88827
0.28372 2.87770
0.49891 2.89967
0.55925 2.90301
0.58015 2.97864
0.56182 2.85794
0.57592 2.78815
0.56100 2.86488
0.33354 2.88396
0.27353 2.88664
0.20442 2.81591
0.39012 2.76306
0.57592 2.78815
0.40556 2.76593
0.26527 2.73268
0.18014 2.70188
0.31081 2.74542
0.22538 2.82087
-0.00963 2.81671
0.00173 2.73993
0.18014 2.70188
-0.02433 2.74423
-0.20683 2.76647
-0.30211 2.77305
-0.09565 2.75450
0.01706 2.81260
-0.14628 2.87928
-0.34228 2.85629
-0.38473 2.84880
-0.30211 2.77305
-0.42085 2.87603
-0.57561 2.95945
-0.32310 2.98618
0.01112 2.99826
0.36850 2.99211
0.58015 2.97864
0.74370 2.91387
0.87156 2.82964
0.91130 2.79537
1.11149 2.78090
1.29730 2.75408
1.42316 2.72720
1.54958 2.76691
1.71032 2.79667
1.85204 2.81089
1.85850 2.93185
1.91344 2.99961
1.67477 3.01543
1.39382 3.02295
1.10562 3.02061
0.85337 3.00894
0.58015 2.97864
0.72808 2.92181
0.75612 2.90723
1.01449 2.89875
1.07633 2.89429
1.23491 2.94018
1.28817 2.95029
1.09490 3.00521
1.02464 3.01801
0.72520 2.99792
0.58015 2.97864
0.85337 3.00894
1.10562 3.02061
1.39382 3.02295
1.67477 3.01543
1.91344 2.99961
1.58831 3.01885
1.33526 3.02329
1.24180 2.94950
1.43808 2.92313
1.54618 2.90222
1.78842 2.92238
1.85611 2.92500
1.91344 2.99961
1.85318 2.91471
1.85204 2.81089
1.84860 2.88718
1.60213 2.90818
1.53609 2.91117
1.45395 2.84091
1.65016 2.78755
1.85204 2.81089
1.66693 2.79031
1.51481 2.75782
1.42316 2.72720
1.56409 2.77038
1.47699 2.84580
1.22240 2.84146
1.23444 2.76474
1.42316 2.72720
1.25266 2.76183
1.06239 2.78575
0.91130 2.79537
1.13088 2.77874
1.25119 2.83745
1.07219 2.90334
0.86131 2.87842
0.81664 2.87037
0.91130 2.79537
0.77385 2.89724
0.62969 2.96280
0.58015 2.97864
0.85337 3.00894
1.10562 3.02061
1.39382 3.02295
1.67477 3.01543
1.91344 2.99961
2.06307 2.93309
2.19422 2.83039
2.21133 2.81308
2.41973 2.79482
2.60848 2.76422
2.73398 2.73472
2.87031 2.77073
3.03931 2.79600
3.18441 2.80648
3.21753 2.90866
3.29691 2.97457
3.33211 2.99051
3.12444 3.01146
2.85935 3.02563
2.55380 3.03040
2.25618 3.02463
2.01141 3.00969
1.91344 2.99961
2.07412 2.92632
2.35019 2.91305
2.41426 2.90734
2.60525 2.94881
2.66776 2.95745
2.51777 3.01569
2.46112 3.02976
2.09676 3.01628
1.91344 2.99961
2.12570 3.01815
2.40053 3.02880
2.70913 3.02932
2.99884 3.01957
