# sss file
-1.57080 3.14159
-1.57080 3.14159
-1.51139 3.02277
-1.85188 3.03682
-2.23213 3.03682
-2.55858 3.02277
-2.60810 3.12180
-3.83633 3.14159
-1.56090 3.12180
-1.51139 3.02277
-1.45177 2.90353
-1.70611 2.92710
-1.99137 2.93555
-1.82564 2.98434
-1.63831 3.01172
-1.51139 3.02277
-1.56090 3.12180
-3.62243 3.14159
-2.60810 3.12180
-2.55858 3.02277
-2.30401 2.99875
-2.05229 2.95251
-1.99137 2.93555
-2.26818 2.92710
-2.49896 2.90353
-2.55858 3.02277
-2.60810 3.12180
-3.33409 3.14159
-1.56090 3.12180
-1.45177 2.90353
-1.39172 2.78343
-1.62129 2.81615
-1.74652 2.82610
-1.62445 2.86866
-1.45177 2.90353
-1.39172 2.78343
-1.33100 2.66201
-1.50476 2.69716
-1.59761 2.71009
-1.47177 2.76171
-1.39172 2.78343
-1.45177 2.90353
-1.62445 2.86866
-1.74652 2.82610
-1.59761 2.71009
-1.79033 2.72533
-1.88724 2.72727
-1.80603 2.79478
-1.74652 2.82610
-1.62445 2.86866
-1.45177 2.90353
-1.56090 3.12180
-3.74070 3.14159
-2.60810 3.12180
-2.49896 2.90353
-2.29140 2.86866
-2.12678 2.82610
-2.34654 2.80176
-2.43891 2.78343
-2.49896 2.90353
-2.29140 2.86866
-2.12678 2.82610
-1.95689 2.76171
-1.88724 2.72727
-2.07350 2.71956
-2.15968 2.71009
-2.12678 2.82610
-2.29140 2.86866
-2.49896 2.90353
-2.43891 2.78343
-2.24425 2.73711
-2.15968 2.71009
-2.31255 2.68104
-2.37820 2.66201
-2.43891 2.78343
-2.49896 2.90353
-2.60810 3.12180
-3.88180 3.14159
-1.56047 3.12094
-1.33100 2.66201
-1.26938 2.53876
-1.44788 2.58340
-1.48536 2.59046
-1.36109 2.65150
-1.33100 2.66201
-1.26938 2.53876
-1.20654 2.41309
-1.35851 2.45994
-1.39005 2.46774
-1.29245 2.52813
-1.26938 2.53876
-1.33100 2.66201
-1.46382 2.60370
-1.48536 2.59046
-1.39005 2.46774
-1.55181 2.49814
-1.58467 2.50240
-1.50536 2.57678
-1.48536 2.59046
-1.36109 2.65150
-1.33100 2.66201
-1.20654 2.41309
-1.14217 2.28433
-1.30333 2.34175
-1.20654 2.41309
-1.14217 2.28433
-1.07583 2.15166
-1.22093 2.21193
-1.14217 2.28433
-1.20654 2.41309
-1.30333 2.34175
-1.22093 2.21193
-1.37091 2.25668
-1.30333 2.34175
-1.20654 2.41309
-1.33100 2.66201
-1.46382 2.60370
-1.55682 2.53325
-1.58467 2.50240
-1.47196 2.38186
-1.64259 2.40256
-1.58467 2.50240
-1.47196 2.38186
-1.37091 2.25668
-1.52242 2.28433
-1.47196 2.38186
-1.58467 2.50240
-1.64259 2.40256
-1.52242 2.28433
-1.67045 2.29370
-1.64259 2.40256
-1.58467 2.50240
-1.50536 2.57678
-1.38936 2.64039
-1.33100 2.66201
-1.56047 3.12094
-3.37744 3.14159
-2.60767 3.12094
-2.37820 2.66201
-2.18708 2.60370
-2.15230 2.59046
-2.29227 2.54885
-2.31658 2.53876
-2.37820 2.66201
-2.18708 2.60370
-2.15230 2.59046
-1.99384 2.51800
-1.96492 2.50240
-2.10029 2.47500
-2.12489 2.46774
-2.15230 2.59046
-2.33762 2.65150
-2.37820 2.66201
-2.31658 2.53876
-2.15510 2.48072
-2.12489 2.46774
-2.23453 2.42345
-2.25374 2.41309
-2.31658 2.53876
-2.37820 2.66201
-2.18708 2.60370
-2.02362 2.53325
-1.96492 2.50240
-1.80717 2.40256
-1.95709 2.38186
-1.96492 2.50240
-1.80717 2.40256
-1.67045 2.29370
-1.80911 2.28433
-1.80717 2.40256
-1.96492 2.50240
-1.95709 2.38186
-1.80911 2.28433
-1.93298 2.25668
-1.95709 2.38186
-1.96492 2.50240
-2.11861 2.57678
-2.29822 2.64039
-2.37820 2.66201
-2.25374 2.41309
-2.08562 2.34175
-2.18936 2.28433
-2.25374 2.41309
-2.08562 2.34175
-1.93298 2.25668
-2.03820 2.21193
-2.08562 2.34175
-2.25374 2.41309
-2.18936 2.28433
-2.03820 2.21193
-2.12303 2.15166
-2.18936 2.28433
-2.25374 2.41309
-2.37820 2.66201
-2.60767 3.12094
-1.08501 3.14159
-1.56024 3.12048
-1.07583 2.15166
-1.00703 2.01406
-1.14028 2.07749
-1.07583 2.15166
-1.00703 2.01406
-0.93509 1.87017
-1.05957 1.93733
-1.00703 2.01406
-1.07583 2.15166
-1.14028 2.07749
-1.05957 1.93733
-1.18551 1.99077
-1.14028 2.07749
-1.07583 2.15166
-0.93509 1.87017
-0.85909 1.71818
-0.97725 1.78991
-0.93509 1.87017
-0.85909 1.71818
-0.77774 1.55548
-0.89171 1.63308
-0.85909 1.71818
-0.93509 1.87017
-0.97725 1.78991
-0.89171 1.63308
-1.00459 1.69683
-0.97725 1.78991
-0.93509 1.87017
-1.07583 2.15166
-1.14911 2.06388
-1.18551 1.99077
-1.09556 1.84811
-1.21315 1.89239
-1.18551 1.99077
-1.09556 1.84811
-1.00459 1.69683
-1.11594 1.74676
-1.09556 1.84811
-1.18551 1.99077
-1.21315 1.89239
-1.11594 1.74676
-1.22482 1.78269
-1.21315 1.89239
