# sss file
-1.57080 3.14159
-1.57080 3.14159
-2.60037 3.12259
-2.11489 2.15163
-2.10336 2.24888
-2.00406 2.14443
-2.11489 2.15163
-2.10336 2.24888
-2.07558 2.33977
-1.97937 2.23449
-2.10336 2.24888
-2.11489 2.15163
-2.00406 2.14443
-1.97937 2.23449
-1.88965 2.12491
-2.00406 2.14443
-2.11489 2.15163
-2.09755 2.27432
-2.07558 2.33977
-2.02741 2.42344
-1.93743 2.31705
-2.07558 2.33977
-2.02741 2.42344
-1.95368 2.49838
-1.87487 2.39099
-2.02741 2.42344
-2.07558 2.33977
-1.93743 2.31705
-1.87487 2.39099
-1.80079 2.28090
-1.93743 2.31705
-2.07558 2.33977
-2.10503 2.24029
-2.11489 2.15163
-1.97311 2.14032
-1.88965 2.12491
-1.85379 2.20718
-1.77396 2.09347
-1.88965 2.12491
-1.85379 2.20718
-1.80079 2.28090
-1.72927 2.16768
-1.85379 2.20718
-1.88965 2.12491
-1.77396 2.09347
-1.72927 2.16768
-1.65882 2.05075
-1.77396 2.09347
-1.88965 2.12491
-2.03474 2.14763
-2.11489 2.15163
-2.09755 2.27432
-2.06068 2.37110
-1.99741 2.45871
-1.95368 2.49838
-1.84868 2.56229
-1.78819 2.45465
-1.95368 2.49838
-1.84868 2.56229
-1.73393 2.60489
-1.70789 2.61204
-1.67467 2.50583
-1.84868 2.56229
-1.95368 2.49838
-1.78819 2.45465
-1.67467 2.50583
-1.63484 2.39754
-1.78819 2.45465
-1.95368 2.49838
-1.85966 2.55701
-1.73624 2.60421
-1.70789 2.61204
-1.56306 2.64009
-1.53140 2.64404
-1.53398 2.54202
-1.67695 2.60123
-1.70789 2.61204
-1.56306 2.64009
-1.53140 2.64404
-1.36281 2.65481
-1.32756 2.65513
-1.36992 2.56084
-1.50220 2.63081
-1.53140 2.64404
-1.68085 2.61871
-1.70789 2.61204
-1.56109 2.55448
-1.53398 2.54202
-1.36992 2.56084
-1.38495 2.46170
-1.53398 2.54202
-1.67695 2.60123
-1.70789 2.61204
-1.83740 2.56745
-1.93708 2.51090
-1.95368 2.49838
-1.80276 2.45921
-1.66175 2.40882
-1.63484 2.39754
-1.51974 2.43707
-1.49440 2.32924
-1.63484 2.39754
-1.51974 2.43707
-1.38495 2.46170
-1.38181 2.35852
-1.51974 2.43707
-1.63484 2.39754
-1.49440 2.32924
-1.38181 2.35852
-1.36585 2.25155
-1.49440 2.32924
-1.63484 2.39754
-1.77372 2.44998
-1.92281 2.49153
-1.95368 2.49838
-2.02185 2.43065
-2.07558 2.33977
-2.10503 2.24029
-2.11489 2.15163
-1.97311 2.14032
-1.82658 2.10920
-1.67965 2.05933
-1.65882 2.05075
-1.60765 2.11691
-1.54549 1.99743
-1.65882 2.05075
-1.60765 2.11691
-1.54182 2.17307
-1.48994 2.05578
-1.60765 2.11691
-1.65882 2.05075
-1.54549 1.99743
-1.48994 2.05578
-1.43466 1.93413
-1.54549 1.99743
-1.65882 2.05075
-1.59117 2.13325
-1.54182 2.17307
-1.46105 2.21828
-1.42143 2.10377
-1.54182 2.17307
-1.46105 2.21828
-1.36585 2.25155
-1.34026 2.14068
-1.46105 2.21828
-1.54182 2.17307
-1.42143 2.10377
-1.34026 2.14068
-1.30693 2.02551
-1.42143 2.10377
-1.54182 2.17307
-1.62303 2.09982
-1.65882 2.05075
-1.51500 1.98113
-1.43466 1.93413
-1.37646 1.98508
-1.32653 1.86137
-1.43466 1.93413
-1.37646 1.98508
-1.30693 2.02551
-1.26697 1.90541
-1.37646 1.98508
-1.43466 1.93413
-1.32653 1.86137
-1.26697 1.90541
-1.22087 1.77944
-1.32653 1.86137
-1.43466 1.93413
-1.57617 2.01298
-1.65882 2.05075
-1.80553 2.10319
-1.95235 2.13707
-2.09511 2.15125
-2.11489 2.15163
-2.09685 2.27706
-2.05817 2.37575
-2.00489 2.45068
-1.92776 2.51744
-1.82227 2.57399
-1.68532 2.61766
-1.51792 2.64552
-1.32756 2.65513
-1.14843 2.64740
-1.11263 2.64404
-1.18059 2.57530
-1.19093 2.56084
-1.32756 2.65513
-1.14843 2.64740
-1.11263 2.64404
-0.93786 2.61871
-0.90415 2.61204
-0.99340 2.55448
-1.00804 2.54202
-1.11263 2.64404
-1.29201 2.65481
-1.32756 2.65513
-1.19093 2.56084
-1.00804 2.54202
-1.07675 2.46170
-1.19093 2.56084
-1.32756 2.65513
-1.13214 2.64594
-0.94095 2.61929
-0.90415 2.61204
-0.74388 2.57166
-0.71361 2.56229
-0.83116 2.50583
-0.90415 2.61204
-0.74388 2.57166
-0.71361 2.56229
-0.54470 2.49838
-0.66646 2.45465
-0.71361 2.56229
-0.87096 2.60489
-0.90415 2.61204
-0.83116 2.50583
-0.66646 2.45465
-0.76270 2.39754
-0.83116 2.50583
-0.90415 2.61204
-1.09318 2.64195
-1.28876 2.65475
-1.32756 2.65513
-1.20226 2.56964
-1.07675 2.46170
-0.91733 2.43707
-0.97671 2.35852
-1.07675 2.46170
-0.91733 2.43707
-0.76270 2.39754
-0.83484 2.32924
-0.91733 2.43707
-1.07675 2.46170
-0.97671 2.35852
-0.83484 2.32924
-0.88570 2.25155
-0.97671 2.35852
-1.07675 2.46170
-1.20226 2.56964
-1.32756 2.65513
