# sss file
-1.57080 3.14159
-1.57080 3.14159
-1.56130 3.12259
-0.78615 1.60046
-0.30578 0.63512
-0.27829 0.63512
-0.79600 1.68609
-1.03140 2.14086
-1.52820 3.06673
-1.54559 3.12259
-1.52988 3.12259
-0.85030 1.84635
-0.50503 1.15128
-0.25081 0.63512
-0.22334 0.63512
-0.68035 1.57337
-0.87648 1.95762
-1.16660 2.47299
-1.50870 3.09438
-1.51417 3.12259
-1.49846 3.12259
-1.02057 2.26742
-0.80619 1.87505
-0.58261 1.42875
-0.19588 0.63512
-0.16844 0.63512
-0.58662 1.50325
-0.76371 1.85518
-0.93597 2.16477
-1.38575 2.92404
-1.48276 3.12259
-1.46705 3.12259
-1.04660 2.39690
-0.80601 1.98369
-0.63787 1.66126
-0.37888 1.12796
-0.14101 0.63512
-0.11360 0.63512
-0.49815 1.44239
-0.66730 1.78364
-0.81424 2.05130
-1.33679 2.89976
-1.45134 3.12259
-1.43563 3.12259
-1.04155 2.46494
-0.77761 2.03463
-0.62983 1.76257
-0.44865 1.39483
-0.08622 0.63512
-0.05886 0.63512
-0.41606 1.39333
-0.57972 1.72846
-0.71255 1.97400
-0.88411 2.25232
-1.25847 2.82955
-1.41992 3.12259
-1.40422 3.12259
-1.03048 2.51808
-0.73590 2.05944
-0.59764 1.81389
-0.44778 1.51544
-0.19411 0.97800
-0.03153 0.63512
-0.00424 0.63512
-0.34128 1.35843
-0.49669 1.68128
-0.62360 1.91926
-0.76376 2.14901
-1.20747 2.80717
-1.38851 3.12259
-1.37280 3.12259
-1.01106 2.55479
-0.69011 2.07579
-0.56004 1.85285
-0.42759 1.59527
-0.24575 1.21038
0.02303 0.63512
0.05025 0.63512
-0.27441 1.33952
-0.42498 1.65580
-0.54383 1.88065
-0.67204 2.09205
-1.17056 2.80741
-1.35709 3.12259
-1.34138 3.12259
-0.98766 2.58312
-0.64515 2.09210
-0.51749 1.88088
-0.39881 1.65613
-0.24804 1.33986
0.07744 0.63512
0.10458 0.63512
-0.19955 1.30222
-0.34077 1.60415
-0.45764 1.83021
-0.57835 2.03303
-0.74750 2.27756
-1.10333 2.76387
-1.32568 3.12259
-1.30997 3.12259
-0.95926 2.60253
-0.59558 2.10019
-0.47007 1.89881
-0.35722 1.68994
-0.22741 1.42050
-0.01217 0.94741
0.13167 0.63512
0.15872 0.63512
-0.13293 1.28188
-0.27500 1.58908
-0.38754 1.80823
-0.49973 1.99777
-0.64310 2.20585
-1.05790 2.75356
-1.29426 3.12259
-1.27855 3.12259
-0.93926 2.63186
-0.55226 2.11655
-0.42879 1.92579
-0.32140 1.73359
-0.20347 1.49370
-0.03421 1.12038
0.18571 0.63512
0.21265 0.63512
-0.06652 1.26102
-0.20302 1.56031
-0.31151 1.77487
-0.42025 1.96118
-0.54861 2.14933
-1.02005 2.75400
-1.26142 3.10842
-1.26284 3.12259
-1.24714 3.12259
-0.90611 2.64220
-0.50402 2.12473
-0.37703 1.93394
-0.26828 1.74270
-0.15780 1.51975
-0.01463 1.20317
0.23954 0.63512
0.26636 0.63512
-0.00036 1.23963
-0.13110 1.53049
-0.23522 1.74008
-0.34005 1.92310
-0.45859 2.09962
-0.65664 2.35268
-0.98230 2.75447
-1.22991 3.10842
-1.23143 3.12259
-1.21572 3.12259
-0.88135 2.66245
-0.45641 2.13297
-0.33158 1.95125
-0.22717 1.77329
-0.12469 1.57158
0.00106 1.29582
0.23918 0.75452
0.29312 0.63512
0.31982 0.63512
0.06553 1.21772
-0.05929 1.49961
-0.15876 1.70379
-0.25928 1.88333
-0.37349 2.05677
-0.53371 2.26396
-0.91967 2.72365
-1.19841 3.10842
-1.20001 3.12259
-1.18431 3.12259
-0.84973 2.67302
-0.40945 2.14129
-0.28098 1.95930
-0.18071 1.79250
-0.07856 1.59495
0.03584 1.34541
0.22299 0.91376
0.34644 0.63512
0.37300 0.63512
0.12269 1.21503
-0.00083 1.49659
-0.10033 1.70119
-0.19605 1.87178
-0.30622 2.03881
-0.45634 2.23204
-0.88146 2.72427
-1.16019 3.09440
-1.16860 3.12259
-1.15289 3.12259
-0.82706 2.69367
-0.36315 2.14969
-0.23706 1.97649
-0.13480 1.81137
-0.03869 1.63004
0.06488 1.40763
0.21186 1.06656
0.39948 0.63512
0.42589 0.63512
0.18787 1.19252
0.07043 1.46445
-0.02401 1.66304
-0.12080 1.83967
-0.22600 2.00242
-0.35743 2.17483
-0.86087 2.74561
-1.13540 3.10842
-1.13718 3.12259
-1.12147 3.12259
-0.79694 2.70444
-0.31084 2.14981
-0.18153 1.97539
-0.07747 1.80920
0.01935 1.62713
0.12255 1.40451
0.25793 1.08721
0.45222 0.63512
0.47846 0.63512
0.24433 1.18960
0.12818 1.46110
0.03384 1.66004
-0.05772 1.82722
-0.15813 1.98314
-0.28493 2.14992
-0.50549 2.39829
-0.82335 2.74623
-1.10390 3.10842
-1.10577 3.12259
-1.09006 3.12259
-0.76744 2.71527
-0.26574 2.15836
-0.13916 1.99264
-0.03887 1.83812
0.05254 1.67279
0.14647 1.47655
0.26131 1.20998
0.46969 0.71515
0.50463 0.63512
0.53070 0.63512
0.30867 1.16655
0.19212 1.44279
0.09745 1.64475
0.00513 1.81445
-0.09672 1.97267
-0.21895 2.13300
