# sss file
-1.57080 3.14159
-1.57080 3.14159
-1.56130 3.12259
-0.31756 0.63512
-0.28614 0.63512
-1.52988 3.12259
-1.49846 3.12259
-1.37856 2.94922
-1.07619 2.28364
-0.67294 1.46139
-0.28296 0.69046
-0.25473 0.63512
-0.22331 0.63512
-0.61199 1.40182
-1.00395 2.19861
-1.31444 2.87537
-1.44241 3.11332
-1.46705 3.12259
-1.43563 3.12259
-1.30938 3.03247
-1.08830 2.46245
-0.85999 1.95982
-0.59427 1.41738
-0.33096 0.90256
-0.19190 0.63512
-0.16048 0.63512
-0.44209 1.17860
-0.70088 1.69404
-0.94155 2.20268
-1.14683 2.68518
-1.30740 3.08252
-1.40422 3.12259
-1.37280 3.12259
-1.21716 3.06044
-0.99663 2.41805
-0.82719 2.01730
-0.63037 1.60107
-0.41738 1.18100
-0.19255 0.75456
-0.12906 0.63512
-0.09765 0.63512
-0.34331 1.09857
-0.55318 1.50702
-0.74571 1.90634
-0.91368 2.29139
-1.06017 2.68828
-1.19220 3.06999
-1.34138 3.12259
-1.30997 3.12259
-1.12960 3.07976
-1.05454 2.90154
-0.94960 2.50069
-0.83332 2.17641
-0.69391 1.85023
-0.53665 1.52168
-0.36249 1.18398
-0.16329 0.81387
-0.06623 0.63512
-0.03482 0.63512
-0.26502 1.05951
-0.45143 1.41327
-0.60789 1.73019
-0.74766 2.04293
-0.87232 2.36800
-0.97872 2.72640
-1.06754 3.04586
-1.18445 3.11183
-1.27855 3.12259
-1.24714 3.12259
-1.04345 3.08941
-0.96302 2.97725
-0.86245 2.47567
-0.77558 2.19444
-0.66748 1.91746
-0.54362 1.64478
-0.39858 1.35678
-0.22662 1.03770
-0.02193 0.66862
-0.00340 0.63512
0.02801 0.63512
-0.19703 1.04050
-0.36799 1.35650
-0.51070 1.63875
-0.63155 1.90427
-0.73642 2.17329
-0.82405 2.45897
-0.94493 3.02089
-1.04242 3.10019
-1.21572 3.12259
-1.18431 3.12259
-0.94001 3.08841
-0.85425 2.98551
-0.77213 2.42940
-0.70371 2.17270
-0.61880 1.93590
-0.51348 1.69286
-0.38816 1.43915
-0.24048 1.16517
-0.06048 0.84649
0.05943 0.63512
0.09085 0.63512
-0.12869 1.02147
-0.28514 1.30236
-0.41671 1.55419
-0.52826 1.79132
-0.62066 2.02039
-0.69664 2.25699
-0.75578 2.52456
-0.82429 2.99482
-0.90767 3.08771
-1.15289 3.12259
-1.12147 3.12259
-0.83678 3.08756
-0.74578 2.99432
-0.71684 2.68528
-0.68653 2.38734
-0.63404 2.15301
-0.56400 1.93916
-0.47395 1.72117
-0.36515 1.49614
-0.23734 1.25820
-0.08661 0.99452
0.12226 0.63512
0.15368 0.63512
-0.07083 1.02118
-0.22878 1.29787
-0.35169 1.52843
-0.45556 1.74643
-0.54055 1.95744
-0.60559 2.16446
-0.65327 2.39189
-0.68330 2.73747
-0.71305 2.99243
-0.80497 3.08692
-1.09006 3.12259
-1.05864 3.12259
-0.78021 3.09883
-0.65876 3.03847
-0.61688 2.87846
-0.61165 2.41015
-0.58078 2.19885
-0.53122 2.00893
-0.46255 1.81764
-0.37694 1.62394
-0.27611 1.42571
-0.14981 1.20003
0.01320 0.92437
0.18509 0.63512
0.21651 0.63512
0.00031 0.99846
-0.15288 1.25886
-0.27215 1.47493
-0.36691 1.66553
-0.44645 1.85203
-0.50902 2.03632
-0.55474 2.23064
-0.58002 2.45572
-0.58862 2.93200
-0.65307 3.06151
-0.83308 3.11071
-1.02723 3.12259
-0.99581 3.12259
-0.68254 3.09838
-0.54951 3.03667
-0.50761 2.88655
-0.53150 2.36900
-0.51112 2.17457
-0.46799 1.98949
-0.40851 1.81539
-0.33339 1.64084
-0.23679 1.44945
-0.12485 1.25051
0.01641 1.01522
0.22711 0.66986
0.24793 0.63512
0.27934 0.63512
0.05923 0.99666
-0.08545 1.23603
-0.19917 1.43572
-0.29678 1.62609
-0.37239 1.79865
-0.43212 1.97006
-0.47352 2.14085
-0.49597 2.33233
-0.48955 2.59400
-0.47537 2.89539
-0.51926 3.03553
-0.65182 3.09801
-0.96439 3.12259
-0.93298 3.12259
-0.58656 3.09818
-0.44196 3.03560
-0.39883 2.89619
-0.42459 2.63974
-0.45526 2.36534
-0.44717 2.17873
-0.41662 2.01205
-0.36617 1.84510
-0.29885 1.67814
-0.21759 1.51089
-0.11533 1.32583
0.01319 1.11242
0.18060 0.84516
0.31076 0.63512
0.34217 0.63512
0.12005 0.99180
-0.02582 1.22710
-0.14006 1.42306
-0.23079 1.59617
-0.30691 1.76660
-0.36245 1.92393
-0.40111 2.08171
-0.42088 2.24993
-0.41521 2.44696
-0.36668 2.83982
-0.38913 2.99792
-0.46605 3.07227
-0.65968 3.11053
-0.90156 3.12259
-0.87015 3.12259
-0.60330 3.11059
-0.39192 3.07195
-0.30573 2.98491
-0.29443 2.81790
-0.38114 2.34510
-0.38211 2.17265
-0.36043 2.02024
-0.32010 1.86880
-0.26454 1.71925
-0.19020 1.55830
-0.10385 1.39746
0.00296 1.21780
0.15031 0.98528
0.37359 0.63512
0.40501 0.63512
0.17988 0.98864
0.03217 1.22116
-0.07448 1.39965
-0.16039 1.55865
-0.23406 1.71714
-0.29264 1.87575
-0.33069 2.02337
