# sss file
-1.57080 3.14159
-0.16520 3.14159
-2.98023 3.13665
-2.80353 3.07166
-2.79162 3.05264
-2.78061 3.03362
-2.76999 3.01459
-2.75967 2.99554
-2.74954 2.97649
-2.73951 2.95741
-2.72956 2.93832
-2.71980 2.91941
-2.70994 2.90028
-2.70016 2.88113
-2.69038 2.86195
-2.68058 2.84275
-2.67086 2.82352
-2.66103 2.80427
-2.65129 2.78498
-2.64162 2.76585
-2.63184 2.74649
-2.62205 2.72709
-2.61223 2.70766
-2.60249 2.68818
-2.59263 2.66866
-2.58275 2.64909
-2.57294 2.62947
-2.56300 2.60981
-2.55324 2.59029
-2.54326 2.57051
-2.53334 2.55068
-2.52330 2.53079
-2.51332 2.51084
-2.50321 2.49082
-2.49317 2.47073
-2.48309 2.45058
-2.47287 2.43035
-2.46282 2.41024
-2.45263 2.38986
-2.44239 2.36939
-2.43202 2.34884
-2.42170 2.32819
-2.41133 2.30746
-2.40092 2.28663
-2.39035 2.26570
-2.37994 2.24488
-2.36937 2.22374
-2.35875 2.20249
-2.34806 2.18113
-2.33732 2.15964
-2.32642 2.13804
-2.31555 2.11630
-2.30461 2.09443
-2.29361 2.07242
-2.28264 2.05049
-2.27149 2.02819
-2.26026 2.00573
-2.24885 1.98311
-2.23746 1.96032
-2.22598 1.93735
-2.21440 1.91421
-2.20274 1.89087
-2.19109 1.86757
-2.17922 1.84383
-2.16724 1.81988
-2.15515 1.79569
-2.14284 1.77128
-2.13051 1.74662
-2.11805 1.72169
-2.10545 1.69651
-2.09272 1.67103
-2.08681 1.65922
-2.09106 1.67231
-2.09865 1.69651
-2.10602 1.72044
-2.11304 1.74389
-2.11997 1.76735
-2.12647 1.79034
-2.13276 1.81313
-2.13876 1.83571
-2.14455 1.85810
-2.14993 1.88007
-2.15515 1.90210
-2.15996 1.92372
-2.16459 1.94518
-2.16883 1.96626
-2.17281 1.98742
-2.17650 2.00821
-2.17983 2.02886
-2.18289 2.04938
-2.18557 2.06955
-2.18790 2.08960
-2.18987 2.10953
-2.19137 2.12914
-2.19262 2.14864
-2.19342 2.16804
-2.19376 2.18712
-2.19376 2.20611
-2.19320 2.22480
-2.19220 2.24340
-2.19066 2.26171
-2.18867 2.27994
-2.18605 2.29789
-2.18298 2.31576
-2.17928 2.33336
-2.17495 2.35090
-2.16988 2.36795
-2.16418 2.38495
-2.15775 2.40169
-2.15059 2.41817
-2.14260 2.43460
-2.13379 2.45058
-2.12405 2.46630
-2.11329 2.48179
-2.10172 2.49703
-2.08902 2.51204
-2.07520 2.52661
-2.06037 2.54094
-2.04423 2.55485
-2.02677 2.56834
-2.00810 2.58159
-1.98802 2.59443
-1.96653 2.60666
-1.94343 2.61847
-1.91893 2.62987
-1.89293 2.64086
-1.86522 2.65124
-1.83582 2.66084
-1.80491 2.67003
-1.77231 2.67862
-1.73801 2.68642
-1.70222 2.69364
-1.66464 2.69987
-1.62576 2.70552
-1.58549 2.71038
-1.54393 2.71446
-1.50119 2.71757
-1.45745 2.71991
-1.41293 2.72146
-1.36762 2.72204
-1.32193 2.72165
-1.27594 2.72049
-1.22988 2.71835
-1.18392 2.71544
-1.13817 2.71174
-1.09284 2.70707
-1.04811 2.70162
-1.00409 2.69559
-0.96088 2.68857
-0.91848 2.68096
-0.87698 2.67257
-0.83659 2.66357
-0.79719 2.65399
-0.75890 2.64399
-0.72160 2.63321
-0.68540 2.62201
-0.65020 2.61020
-0.61609 2.59798
-0.58297 2.58535
-0.55085 2.57230
-0.51961 2.55882
-0.48926 2.54492
-0.45980 2.53079
-0.43112 2.51623
-0.40332 2.50144
-0.37630 2.48641
-0.34987 2.47093
-0.32421 2.45522
-0.29913 2.43926
-0.27472 2.42304
-0.25079 2.40658
-0.22743 2.38986
-0.20474 2.37308
-0.18232 2.35583
-0.16046 2.33853
-0.13897 2.32095
-0.11795 2.30330
-0.09718 2.28517
-0.07698 2.26717
-0.05694 2.24867
-0.03735 2.23031
-0.01802 2.21164
0.00116 2.19268
0.01999 2.17362
0.03857 2.15425
0.05701 2.13478
0.07510 2.11521
0.09315 2.09531
0.11096 2.07529
0.12852 2.05515
0.14595 2.03489
0.16326 2.01428
0.18043 1.99353
0.19759 1.97242
0.21451 1.95138
0.23142 1.92997
0.24820 1.90839
0.26499 1.88641
0.28155 1.86450
0.29822 1.84216
0.31478 1.81963
0.33135 1.79691
0.34781 1.77398
0.36429 1.75083
0.38090 1.72720
0.39731 1.70359
0.41386 1.67947
0.43045 1.65509
0.43599 1.64682
0.43063 1.66333
0.42299 1.68762
0.41570 1.71140
0.40861 1.73518
0.40176 1.75848
0.39522 1.78156
0.38899 1.80443
0.38296 1.82709
0.37734 1.84931
0.37181 1.87159
0.36668 1.89345
0.36183 1.91514
0.35717 1.93666
0.35300 1.95780
0.34889 1.97902
0.34527 1.99986
0.34203 2.02034
0.33894 2.04092
0.33633 2.06114
0.33398 2.08124
0.33210 2.10101
