# sss file
-1.57080 3.14159
-1.57080 3.14159
-0.57501 3.13969
0.10305 3.13650
0.80488 3.13304
1.54892 3.13036
2.36812 3.12912
3.31379 3.12903
4.40564 3.12855
5.51805 3.12609
6.52279 3.12222
7.44381 3.11872
7.91491 3.12015
8.34917 3.11680
8.82550 3.11937
9.29712 3.11643
9.80860 3.11959
10.32028 3.11630
10.87085 3.11908
11.38709 3.11461
11.93629 3.11657
12.41964 3.11108
12.93433 3.11286
13.39007 3.10721
13.87574 3.10977
14.32881 3.10465
14.80799 3.10840
15.28046 3.10386
15.77698 3.10846
16.27806 3.10386
16.99087 3.10759
17.31786 3.10282
17.66423 3.10652
18.03887 3.10539
18.35345 3.09981
18.69086 3.10321
19.04770 3.10173
19.34743 3.09584
19.66818 3.09955
20.01112 3.09838
20.30683 3.09270
20.61758 3.09718
20.95974 3.09669
21.26342 3.09137
21.57648 3.09662
21.93031 3.09659
22.24803 3.09130
22.57375 3.09683
22.94297 3.09663
23.26939 3.09078
23.60681 3.09599
23.98031 3.09510
24.30142 3.08840
24.63715 3.09320
24.99979 3.09176
25.30846 3.08454
25.63206 3.08943
25.98133 3.08810
26.28311 3.08095
26.76906 3.08697
27.24564 3.07902
27.73215 3.08621
28.22332 3.07870
28.72406 3.08644
29.23110 3.07853
29.74750 3.08588
30.25693 3.07680
30.77451 3.08338
31.27104 3.07327
31.77498 3.07967
32.25762 3.06938
32.74709 3.07655
33.22681 3.06684
33.71224 3.07522
34.20131 3.06612
34.43083 3.07290
34.69555 3.07531
34.96267 3.07289
35.19891 3.06610
35.43523 3.07296
35.70744 3.07519
35.97970 3.07235
36.21745 3.06499
36.62061 3.07325
37.05181 3.06863
37.23454 3.06195
37.63212 3.06986
38.05219 3.06483
38.23045 3.05796
38.61725 3.06626
39.02937 3.06161
39.20666 3.05486
39.58690 3.06409
40.00029 3.06017
40.18065 3.05360
40.56322 3.06371
40.98579 3.06018
41.17080 3.05356
41.56255 3.06391
41.99457 3.05997
42.18184 3.05297
42.58117 3.06288
43.01391 3.05802
43.19892 3.05051
43.59660 3.05994
44.02098 3.05444
44.20179 3.04663
44.59066 3.05619
45.00630 3.05084
45.18504 3.04307
45.56622 3.05344
45.98009 3.04879
46.16047 3.04122
46.47133 3.05168
46.82534 3.05158
47.14552 3.04095
47.46157 3.05185
47.82346 3.05177
48.14944 3.04073
48.47229 3.05146
48.83874 3.05078
49.16437 3.03892
49.48893 3.04921
49.85216 3.04787
50.17194 3.03534
50.49155 3.04554
50.84737 3.04410
51.16183 3.03147
51.47476 3.04220
51.82588 3.04128
52.14016 3.02900
52.45024 3.04057
52.80298 3.04033
53.12218 3.02835
53.43532 3.04052
53.79457 3.04051
54.11978 3.02832
54.43918 3.04051
54.80415 3.04006
55.13110 3.02712
55.45399 3.03889
55.81836 3.03773
56.14125 3.02400
56.41154 3.03462
56.71832 3.03584
57.00983 3.02736
57.13706 3.02001
57.40218 3.03092
57.70370 3.03245
57.99238 3.02423
58.11927 3.01697
58.38073 3.02857
58.68099 3.03073
58.97155 3.02294
59.10007 3.01581
59.36220 3.02804
59.66607 3.03065
59.96166 3.02298
60.09245 3.01578
60.35891 3.02823
60.66816 3.03071
60.96761 3.02261
61.09933 3.01511
61.36977 3.02730
61.68115 3.02923
61.97965 3.02042
62.11015 3.01257
62.38026 3.02445
62.68847 3.02596
62.98238 3.01672
63.11083 3.00866
63.37672 3.02066
63.67975 3.02229
63.96995 3.01317
64.09748 3.00514
64.35917 3.01774
64.65960 3.01996
64.95011 3.01127
65.07861 3.00338
65.33953 3.01669
65.64194 3.01946
65.93645 3.01105
66.06702 3.00317
66.42455 3.01899
66.82947 3.01553
67.06918 3.00290
67.43218 3.01847
67.83993 3.01425
68.07905 3.00098
68.44307 3.01605
68.84746 3.01110
69.08334 2.99734
69.44300 3.01234
69.84134 3.00731
70.07457 2.99350
70.42866 3.00912
70.82381 3.00468
71.05731 2.99112
71.40928 3.00768
71.80663 3.00392
72.04307 2.99054
72.26921 3.00413
72.53273 3.00895
72.80105 3.00410
73.04067 2.99050
73.27025 3.00411
73.53743 3.00871
73.80815 3.00340
74.04835 2.98920
74.28001 3.00254
74.54778 3.00666
74.81711 3.00078
75.05487 2.98600
75.28519 2.99917
75.54997 3.00309
75.81563 2.99699
76.05045 2.98201
76.36189 2.99796
76.71591 2.99686
77.03574 2.97905
77.34407 2.99580
77.69781 2.99540
78.02019 2.97797
78.32947 2.99545
78.68703 2.99544
79.01376 2.97795
79.32711 2.99561
79.68929 2.99533
80.01840 2.97721
80.33515 2.99452
80.69841 2.99353
81.02577 2.97457
81.34188 2.99152
81.70172 2.99005
82.02513 2.97063
82.33723 2.98775
82.69255 2.98646
83.01360 2.96717
83.32195 2.98501
83.67562 2.98439
83.99795 2.96550
84.30588 2.98415
84.66209 2.98409
84.98827 2.96533
85.29935 2.98436
85.66008 2.98424
85.98942 2.96500
86.26941 2.98276
86.59501 2.98487
86.90508 2.97076
86.99638 2.96299
87.27717 2.98037
87.60132 2.98193
87.90839 2.96725
87.99870 2.95929
88.27686 2.97665
88.59710 2.97817
88.90100 2.96346
88.99065 2.95548
89.26520 2.97336
89.58268 2.97540
89.88606 2.96108
89.97598 2.95319
