# sss file
-1.57080 3.14159
-1.57080 3.14159
-1.55004 3.14008
-1.52928 3.13857
-2.41495 3.14159
-0.76409 3.13898
-0.73495 3.08070
-0.43077 3.06206
-0.32740 3.05099
-0.37143 3.13906
-0.96767 3.14159
0.22306 3.13577
0.28789 3.00610
0.57211 2.98778
0.65203 2.97950
0.57170 3.14015
-0.77154 3.14159
0.74732 3.13669
0.83251 2.96631
1.08487 2.94785
0.98858 3.14043
-0.60933 3.14159
1.16353 3.13678
1.26457 2.93469
1.47088 2.91958
1.36044 3.14047
0.49320 3.14159
1.52226 3.13298
1.63498 2.90755
1.81413 2.89441
1.69107 3.14053
0.87349 3.14159
1.83973 3.13336
1.96473 2.88336
2.12537 2.87156
1.99079 3.14072
1.29612 3.14159
2.12877 3.13377
2.26501 2.86129
2.41196 2.85048
2.26682 3.14076
1.36027 3.14159
2.39595 3.13419
2.54262 2.84086
2.67891 2.83082
2.52392 3.14081
1.43121 3.14159
2.64565 3.13459
2.80207 2.82174
2.92976 2.81232
2.76550 3.14085
1.83211 3.14159
2.88093 3.13498
3.04657 2.80369
3.16711 2.79479
2.99406 3.14089
1.07134 3.14159
3.10234 3.13876
3.27845 2.78656
3.39293 2.77808
3.21151 3.14093
5.81863 3.14159
3.31513 3.13892
3.49949 2.77019
3.60876 2.76210
3.41936 3.14090
5.31567 3.14159
3.52037 3.13599
3.71111 2.75451
3.81582 2.74674
3.61872 3.14094
5.18555 3.14159
3.71600 3.13627
3.91443 2.73941
4.01511 2.73193
3.81059 3.14097
5.10352 3.14159
3.90473 3.13608
4.11035 2.72485
4.20744 2.71762
3.99575 3.14100
5.12469 3.14159
4.08878 3.13246
4.29963 2.71076
4.39349 2.70376
4.17488 3.14099
5.05459 3.14159
4.26501 3.13292
4.48292 2.69709
4.57385 2.69030
4.34850 3.14102
5.02041 3.14159
4.43873 3.12785
4.66075 2.68381
4.74901 2.67722
4.51710 3.14105
5.18034 3.14159
4.60476 3.12853
4.83358 2.67089
4.91941 2.66446
4.68112 3.14103
5.33039 3.14159
4.76639 3.12917
5.00183 2.65829
5.08540 2.65202
5.07981 2.64830
4.97131 2.82891
4.80836 3.12287
4.76198 3.13798
4.84440 3.13198
4.99084 3.05956
5.16819 2.68896
5.17592 2.64091
5.16583 2.64599
5.24732 2.63987
5.27351 2.63602
5.28807 2.65866
5.26303 2.77338
5.13588 3.04024
5.03283 3.11109
4.92580 3.12605
5.00621 3.12019
5.21159 3.07633
5.32590 2.93648
5.39744 2.73219
5.39636 2.65646
5.37108 2.63242
5.33247 2.63233
5.32589 2.63397
5.40545 2.62799
5.45740 2.62647
5.49509 2.64424
5.51583 2.69435
5.49876 2.81602
5.41647 2.99070
5.31817 3.07099
5.08567 3.11440
5.16422 3.10868
5.41751 3.06585
5.54314 2.97353
5.61807 2.81192
5.62710 2.69973
5.60097 2.64703
5.55725 2.62470
5.49399 2.62096
5.48229 2.62220
5.56005 2.61635
5.63603 2.61894
5.69024 2.63787
5.72799 2.68004
5.73952 2.76372
5.69921 2.90096
5.61593 3.00678
5.45881 3.07495
5.24188 3.10302
5.31869 3.09742
5.54196 3.06996
5.69689 3.01542
5.79612 2.91853
5.84446 2.78919
5.83843 2.69868
5.80338 2.64883
5.74823 2.62167
5.66607 2.61039
5.63527 2.61068
5.71135 2.60494
5.81272 2.61353
5.88156 2.63694
5.92879 2.67913
5.95046 2.75123
5.92786 2.86320
5.84747 2.97294
5.72854 3.03776
5.53281 3.07869
5.39467 3.09189
5.46985 3.08641
5.69864 3.06027
5.87992 3.00694
5.98994 2.92219
6.04542 2.80674
6.04223 2.71379
6.00608 2.65917
5.94671 2.62500
5.85245 2.60393
5.78505 2.59938
5.85956 2.59375
5.97982 2.60837
6.06537 2.63736
6.11762 2.67913
6.14493 2.74629
6.12862 2.84734
6.06163 2.94146
5.93300 3.01589
5.77323 3.05553
5.54425 3.08099
5.61790 3.07562
5.84585 3.05086
6.01269 3.01182
6.13540 2.94970
6.21671 2.85380
6.23807 2.75710
6.21271 2.68578
6.15908 2.64065
6.07437 2.60930
5.94038 2.58883
5.93182 2.58829
6.00484 2.58277
6.14713 2.60511
6.24216 2.63871
6.29947 2.68389
6.32669 2.74824
6.31025 2.84161
6.23506 2.93462
6.12563 2.99512
5.98906 3.03349
5.82113 3.05863
5.69081 3.07030
5.76302 3.06504
5.98641 3.04164
6.16389 3.00389
6.30043 2.94290
6.38582 2.85767
6.41400 2.76634
6.39348 2.69585
6.33821 2.64558
6.24679 2.60869
6.09526 2.57958
6.07576 2.57740
6.14738 2.57197
6.31048 2.60269
6.40701 2.63777
6.46885 2.68470
6.49713 2.75048
6.47927 2.83624
6.41100 2.91691
6.30788 2.97531
6.12929 3.02486
5.95918 3.04886
5.83454 3.05983
5.90539 3.05466
6.19723 3.02059
6.38066 2.97175
6.50193 2.90294
6.56790 2.81610
6.57591 2.73568
6.54425 2.67857
6.47792 2.63312
6.36476 2.59516
6.21702 2.56669
6.28732 2.56136
6.47010 2.60093
6.57131 2.63996
6.63019 2.68558
6.65718 2.74626
6.64258 2.82223
6.57760 2.89997
6.48110 2.95634
6.32505 3.00437
6.09434 3.03924
5.97559 3.04954
6.04516 3.04447
6.32974 3.01212
