# sss file
-1.57080 3.14159
-1.57080 3.14159
63.02302 2.75927
62.91746 2.97038
62.93571 2.96713
62.97241 2.98039
62.90790 2.98899
62.82401 2.98792
62.76933 2.97879
62.75837 2.96597
62.78288 2.95319
62.88898 2.93579
63.01555 2.93356
63.12479 2.94554
63.19073 2.96763
63.18466 2.99393
63.07447 3.01658
62.97819 3.02358
62.75339 3.02443
62.59083 3.00877
62.53664 2.98414
62.56224 2.95774
62.67915 2.92373
62.83493 2.90219
62.99881 2.89552
63.15484 2.90362
63.29139 2.92491
63.39423 2.95665
63.43626 2.99500
63.40188 3.02140
63.27819 3.04504
63.02725 3.06063
62.69556 3.06186
62.43843 3.04818
62.31606 3.02557
62.29867 2.98618
62.41408 2.93593
62.58719 2.89579
62.77780 2.86946
62.96983 2.85848
63.15541 2.86303
63.32960 2.88219
63.52352 2.92399
63.67148 2.98108
63.70982 3.03330
63.59102 3.07212
63.29797 3.09304
63.03352 3.09908
62.71611 3.10009
62.42937 3.09574
62.22670 3.08733
62.03275 3.06433
61.99169 3.02495
62.12379 2.96056
62.36697 2.89514
62.58517 2.85486
62.80301 2.82974
63.01527 2.82073
63.21965 2.82780
63.41528 2.85006
63.63828 2.89455
63.91500 2.97775
64.16207 3.09170
64.13243 3.11827
63.93192 3.13122
62.05184 3.13584
61.52164 3.12368
61.52966 3.07070
61.94296 2.94738
62.28297 2.86782
62.57073 2.81794
62.80809 2.79220
63.03655 2.78313
63.25669 2.79071
63.50516 2.81944
63.78460 2.87529
64.39835 3.02611
64.70373 3.07018
64.98070 3.09037
65.48759 3.10545
66.25982 3.10740
66.85412 3.09451
67.30434 3.06434
67.69031 3.00874
68.56077 2.82704
68.86488 2.77846
69.11655 2.75334
69.35737 2.74540
69.58975 2.75460
69.84920 2.78493
70.17694 2.84864
70.72870 2.97099
71.03317 3.01740
71.41146 3.05025
71.84431 3.06719
72.39730 3.07114
72.91371 3.06007
73.29583 3.03891
73.64974 3.00371
74.02049 2.94691
74.86387 2.78390
75.17769 2.73734
75.43979 2.71372
75.69015 2.70775
75.93233 2.71933
76.20062 2.75203
76.56956 2.82322
77.09500 2.93213
77.42035 2.97969
77.80367 3.01333
78.21952 3.03062
78.70786 3.03380
79.17283 3.02160
79.55051 2.99819
79.91173 2.96071
80.34148 2.89492
81.18488 2.73927
81.50429 2.69523
81.77406 2.67375
82.03190 2.67037
82.28214 2.68486
82.55792 2.72044
82.99412 2.80533
83.45993 2.89682
83.80105 2.94485
84.19090 2.97830
84.60154 2.99471
85.05897 2.99585
85.49368 2.98130
85.92762 2.94897
86.32390 2.90093
86.80576 2.82071
87.45732 2.70332
87.78432 2.65850
88.06270 2.63604
88.32848 2.63200
88.58645 2.64626
88.86821 2.68157
89.29932 2.76295
89.78900 2.85759
90.13269 2.90631
90.51620 2.94047
90.91548 2.95747
91.35278 2.95861
91.77463 2.94350
92.20062 2.91049
92.59911 2.86173
93.11476 2.77650
93.74844 2.66469
94.08058 2.61999
94.36566 2.59747
94.63782 2.59371
94.90218 2.60860
95.18899 2.64453
95.60561 2.72181
95.44267 2.80226
95.26721 2.86066
95.09521 2.89873
94.87754 2.92906
94.61306 2.94810
94.51746 2.95131
94.53120 2.94799
94.57846 2.95459
94.55289 2.96716
94.48050 2.97275
94.40770 2.96912
94.36538 2.95885
94.35951 2.94574
94.42435 2.92202
94.53411 2.91015
94.64682 2.91241
94.73898 2.92692
94.79199 2.94991
94.78445 2.97638
94.69253 2.99983
94.51463 3.01259
94.31497 3.00931
94.18158 2.99191
94.13704 2.96702
94.18477 2.92779
94.30158 2.89554
94.44467 2.87510
94.59294 2.86821
94.73469 2.87479
94.86140 2.89364
94.98996 2.93417
95.03312 2.97222
94.98642 3.01177
94.86499 3.03500
94.63934 3.05074
94.34153 3.05370
94.08748 3.04264
93.94396 3.02198
93.88978 2.98350
93.93838 2.94397
94.07182 2.89678
94.23658 2.86018
94.41069 2.83657
94.58403 2.82698
94.75117 2.83147
94.94596 2.85565
95.11827 2.89782
95.25372 2.95401
95.30677 3.00554
95.26445 3.04530
95.13689 3.07012
94.82763 3.08947
94.57624 3.09456
94.29118 3.09496
94.03533 3.09057
93.72422 3.07199
93.60900 3.04748
93.59515 3.00781
93.71873 2.94330
93.93810 2.87633
94.17585 2.82587
94.37397 2.79871
94.56730 2.78608
94.75381 2.78813
94.96743 2.80920
95.16960 2.84866
95.42134 2.92486
95.69555 3.04608
95.72100 3.11219
95.60581 3.12528
93.27433 3.12902
93.07110 3.10287
93.27102 3.01126
93.69871 2.88413
94.00497 2.81313
94.26299 2.77019
94.47564 2.74922
94.68031 2.74346
94.87757 2.75275
95.10002 2.78158
95.34889 2.83558
95.94743 3.00367
96.26238 3.05916
96.64697 3.08933
97.15230 3.10317
97.86695 3.10408
98.41742 3.09133
98.85449 3.06161
99.17119 3.01725
99.62372 2.91898
100.16609 2.79302
100.47732 2.73802
100.73781 2.70956
100.95543 2.70136
101.16522 2.70877
101.39838 2.73547
101.65881 2.78637
102.34015 2.95548
102.61198 3.00210
102.93507 3.03586
103.29228 3.05524
103.76768 3.06439
104.27281 3.05957
104.68648 3.04288
105.07638 3.01060
105.41291 2.96418
105.84639 2.87936
106.46872 2.74553
