# sss file
-1.57080 3.14159
3.06040 3.14159
1.64116 3.04067
2.35857 3.04007
2.62054 2.57793
3.07776 1.66348
3.26899 1.08642
3.35836 0.75927
3.35675 0.83190
3.32370 0.95079
3.26899 1.08642
3.24750 0.92320
3.21499 1.03842
3.22422 1.09417
3.26899 1.08642
3.25241 1.17857
3.24205 1.26170
3.37689 0.90682
3.35312 1.01137
3.30549 1.13781
3.24205 1.26170
3.28735 1.00429
3.23517 1.13445
3.21996 1.22408
3.24205 1.26170
3.20701 1.36698
3.17703 1.46495
3.33966 1.13968
3.30173 1.25213
3.24511 1.36698
3.17703 1.46495
3.27467 1.16987
3.21204 1.29072
3.17723 1.39475
3.17703 1.46495
3.12615 1.56669
3.07776 1.66348
3.10378 1.23904
3.26853 0.85594
3.23111 0.97937
3.17347 1.11485
3.10378 1.23904
3.18542 0.93575
3.12129 1.07861
3.09349 1.18362
3.10378 1.23904
3.05874 1.35131
3.01854 1.45591
3.06571 1.20578
3.07548 1.26205
3.05874 1.35131
3.01854 1.45591
2.97670 1.31261
2.95674 1.40411
2.97225 1.45470
3.01854 1.45591
3.01170 1.53280
3.00971 1.60477
2.94194 1.48913
2.98820 1.49180
3.01170 1.53280
3.00971 1.60477
2.86707 1.60645
2.89013 1.65094
2.94214 1.65012
3.00971 1.60477
3.04176 1.63667
3.07776 1.66348
3.15367 1.40286
3.15248 1.47424
3.12615 1.56669
3.07776 1.66348
3.07093 1.47334
3.03932 1.56897
3.04176 1.63667
3.07776 1.66348
3.05896 1.74728
3.04439 1.82721
3.09618 1.59244
3.10429 1.65422
3.08665 1.73730
3.04439 1.82721
3.01176 1.65967
2.98809 1.74623
2.99967 1.80606
3.04439 1.82721
3.03421 1.90377
3.02875 1.97709
3.26004 1.45772
3.34421 1.17277
3.34002 1.24836
3.31055 1.34971
3.26004 1.45772
3.25753 1.26375
3.22373 1.36794
3.22512 1.43617
3.26004 1.45772
3.23982 1.54637
3.22427 1.63005
3.35266 1.34068
3.33059 1.43342
3.28591 1.53598
3.22427 1.63005
3.27992 1.38155
3.22978 1.48764
3.20951 1.57578
3.22427 1.63005
3.18455 1.72330
3.14742 1.81296
3.31445 1.55870
3.27609 1.65422
3.21800 1.74439
3.14742 1.81296
3.25862 1.55097
3.19639 1.64382
3.15582 1.73677
3.14742 1.81296
3.08852 1.89636
3.02875 1.97709
3.11742 1.51796
3.27787 1.20507
3.24094 1.31393
3.18504 1.42452
3.11742 1.51796
3.21444 1.22932
3.15274 1.34552
3.11788 1.44743
3.11742 1.51796
3.06618 1.61704
3.01709 1.71162
3.09470 1.45380
3.09288 1.52583
3.06618 1.61704
3.01709 1.71162
3.01258 1.51884
2.98019 1.61342
2.98162 1.68216
3.01709 1.71162
2.99706 1.79529
2.98127 1.87525
