# sss file
-1.57080 3.14159
-1.57080 3.14159
0.00968 3.13969
1.12498 3.13736
2.38510 3.13627
3.97338 3.13626
5.74880 3.13473
7.26648 3.13211
8.70593 3.13094
10.29421 3.13094
11.98368 3.12941
12.85386 3.13191
13.53627 3.12677
14.31406 3.13026
15.02676 3.12561
15.81874 3.13039
16.61504 3.12561
17.49034 3.13024
18.27082 3.12406
19.11862 3.12816
19.83305 3.12141
20.61311 3.12651
21.34760 3.12029
22.13886 3.12666
22.93586 3.12027
23.78943 3.12648
24.57368 3.11870
25.40747 3.12439
26.13987 3.11605
26.92052 3.12275
27.66844 3.11496
28.13239 3.12188
28.78644 3.12187
29.25669 3.11494
29.75254 3.12195
30.42925 3.12121
30.88330 3.11332
31.37929 3.12008
32.01915 3.11890
32.45152 3.11069
32.91774 3.11808
33.54134 3.11762
33.98928 3.10964
34.45259 3.11794
35.10663 3.11793
35.57751 3.10961
36.06749 3.11798
36.73965 3.11722
37.19646 3.10795
37.68619 3.11609
38.32729 3.11491
38.76585 3.10532
39.23042 3.11411
39.85792 3.11366
40.31012 3.10432
40.77280 3.11400
41.42683 3.11398
41.89833 3.10428
42.38392 3.11401
43.05276 3.11323
43.51170 3.10258
43.84925 3.11051
44.32326 3.11304
44.77478 3.10886
45.08183 3.09996
45.40394 3.10838
45.86160 3.11148
46.31381 3.10777
46.63096 3.09899
46.95023 3.10809
47.41930 3.11172
47.89152 3.10805
48.21916 3.09894
48.55236 3.10813
49.03782 3.11139
49.51010 3.10701
49.82826 3.09720
50.16281 3.10627
50.63535 3.10924
51.08898 3.10462
51.39889 3.09459
51.71980 3.10416
52.17809 3.10773
52.63270 3.10357
52.95180 3.09367
53.27055 3.10390
53.73941 3.10798
54.21181 3.10386
54.53997 3.09360
54.87118 3.10391
55.35427 3.10762
55.82622 3.10277
56.14570 3.09182
56.47777 3.10202
56.94907 3.10545
57.40439 3.10038
57.71670 3.08923
58.03653 3.09993
58.49529 3.10397
58.95186 3.09938
59.27264 3.08835
59.51421 3.09786
59.85909 3.10349
60.26060 3.10347
60.61042 3.09780
60.86079 3.08826
61.11087 3.09786
61.46692 3.10330
61.87396 3.10279
62.21994 3.09653
62.46378 3.08644
62.71490 3.09598
63.06537 3.10123
63.45984 3.10051
63.79553 3.09410
64.03506 3.08386
64.27769 3.09380
64.61787 3.09953
65.00785 3.09930
65.34754 3.09319
65.59349 3.08302
65.83461 3.09349
66.17923 3.09968
66.58074 3.09965
66.93079 3.09342
67.18161 3.08293
67.43052 3.09347
67.78514 3.09945
68.19131 3.09893
68.53758 3.09210
68.78233 3.08106
69.03195 3.09154
69.38124 3.09735
69.77586 3.09665
70.11284 3.08968
70.35382 3.07850
70.59566 3.08939
70.93567 3.09569
71.32646 3.09547
71.66736 3.08882
71.91433 3.07770
72.15502 3.08912
72.49938 3.09587
72.90087 3.09583
73.25117 3.08903
73.50242 3.07758
73.75027 3.08907
74.10366 3.09560
74.50910 3.09507
74.85565 3.08767
75.10122 3.07567
75.30109 3.08549
75.57188 3.09207
75.89611 3.09407
76.21536 3.09094
76.67288 3.07313
76.86697 3.08329
77.13055 3.09027
77.44949 3.09271
77.76888 3.08994
78.03506 3.08270
78.23518 3.07238
78.42830 3.08297
78.69404 3.09034
79.01985 3.09303
79.34796 3.09028
79.62028 3.08286
79.82324 3.07224
80.02168 3.08289
80.29435 3.09015
80.62542 3.09250
80.95348 3.08927
81.22186 3.08135
81.42039 3.07029
81.61925 3.08091
81.88913 3.08807
82.21302 3.09027
82.53275 3.08694
82.79580 3.07894
82.99219 3.06777
83.18567 3.07875
83.44895 3.08630
83.76812 3.08895
84.08821 3.08599
84.35519 3.07819
84.55603 3.06705
84.74877 3.07846
85.01425 3.08640
85.33995 3.08929
85.66814 3.08633
85.94071 3.07833
86.14405 3.06690
86.34175 3.07835
86.61359 3.08617
86.94397 3.08872
87.27186 3.08527
87.54060 3.07678
87.73976 3.06490
87.93769 3.07634
88.20675 3.08406
88.53034 3.08648
88.85050 3.08294
89.11439 3.07438
89.31170 3.06241
89.50460 3.07420
89.76757 3.08234
90.08694 3.08520
90.40764 3.08203
90.67536 3.07367
90.87688 3.06173
91.25110 3.08051
91.80462 3.08494
92.29429 3.07224
92.46486 3.06155
92.84791 3.08030
93.40764 3.08413
93.89211 3.07058
94.05931 3.05952
94.44084 3.07819
94.98965 3.08184
95.46539 3.06818
95.63136 3.05704
96.00412 3.07638
96.26480 3.08091
96.54732 3.08078
97.02835 3.06753
97.19773 3.05641
97.57137 3.07643
97.83612 3.08120
98.12474 3.08116
98.39362 3.07632
98.78567 3.05620
99.16754 3.07619
99.43640 3.08072
99.72641 3.08030
99.99345 3.07503
100.37900 3.05413
100.75919 3.07406
101.02368 3.07850
101.30765 3.07801
101.56955 3.07269
101.95115 3.05168
102.32313 3.07228
102.58378 3.07711
102.86660 3.07699
103.13042 3.07195
103.51858 3.05108
103.89164 3.07236
104.15624 3.07743
104.44485 3.07738
104.71386 3.07223
105.10647 3.05085
105.26988 3.06297
105.48724 3.07208
105.75558 3.07689
106.04531 3.07647
106.31242 3.07089
106.69881 3.04874
107.01876 3.06801
107.48404 3.07510
107.94685 3.06648
108.27105 3.04632
108.58435 3.06618
