# sss file
-1.57080 3.14159
-1.50185 3.03191
-1.46075 2.98430
-1.45719 2.94119
-1.41779 2.90678
-1.44042 2.92724
-1.20148 2.92476
-1.10547 2.90315
-1.21526 2.86732
-1.34545 2.84909
-1.48554 2.84948
-1.60433 2.86886
-1.66277 2.89434
-1.71403 2.93126
-1.72627 2.95474
-1.46075 2.98430
-1.40826 3.00411
-1.05889 2.99059
-0.96248 2.95436
-0.89521 2.91023
-0.94987 2.88074
-0.99760 2.84621
-1.10344 2.80388
-1.20819 2.79559
-1.31497 2.78575
-1.47124 2.77648
-1.61184 2.79867
-1.77985 2.85389
-1.90747 2.90315
-2.06060 2.96600
-2.13763 3.01725
-1.77128 3.05435
-1.01207 3.05093
-0.71068 3.01097
-0.64195 2.97610
-0.65583 2.92266
-0.73243 2.88726
-0.75562 2.84544
-0.83341 2.80561
-0.92781 2.76082
-1.01379 2.73718
-1.13824 2.72107
-1.31266 2.70571
-1.45342 2.70843
-1.56622 2.72884
-1.66960 2.75540
-1.82838 2.79636
-1.96283 2.82006
-2.11375 2.87729
-2.36827 2.94214
-2.52527 2.98773
-2.59381 3.05302
-2.50262 3.09504
-0.64496 3.11252
-0.25858 3.05816
-0.24961 3.01383
-0.33019 2.94558
-0.42960 2.89741
-0.56905 2.83891
-0.73853 2.77107
-0.78964 2.73388
-0.88116 2.69812
-0.98705 2.67491
-1.11227 2.63693
-1.27099 2.64498
-1.42242 2.66103
-1.56283 2.67686
-1.68524 2.69948
-1.79859 2.71718
-1.89635 2.74610
-2.02574 2.76488
-2.15891 2.80022
-2.37237 2.85754
-2.51718 2.89396
-2.66691 2.93641
-2.85918 2.98697
-3.06770 3.03000
-3.49839 3.08097
-4.70110 3.09941
-5.49989 3.07299
-5.78393 3.02106
-5.98587 2.98335
-6.12208 2.95837
-6.29721 2.92762
-6.42974 2.88668
-6.55433 2.85466
-6.68665 2.82429
-6.77525 2.79250
-6.94658 2.72496
-7.00670 2.68740
-7.10580 2.65359
-7.18906 2.62712
-7.28689 2.58337
-7.41744 2.57428
-7.49681 2.55862
-7.65115 2.57210
-7.77511 2.60922
-7.89827 2.61434
-7.99079 2.63478
-8.10791 2.65262
-8.20805 2.66709
-8.33139 2.71038
-8.43358 2.73117
-8.59893 2.78806
-8.75547 2.82314
-8.89806 2.85792
-9.15716 2.91252
-9.37941 2.94462
