# sss file
-1.57080 3.14159
-1.57080 3.14159
-3.06433 3.12827
-2.33406 2.42502
-1.97475 2.08715
-1.70057 1.83591
-1.47143 1.63303
-1.27472 1.46706
-1.09859 1.32875
-0.94460 1.22074
-0.81374 1.14452
-0.69677 1.09677
-0.59625 1.08230
-0.54525 1.09049
-0.30893 1.08387
-0.08203 1.11297
0.15261 1.18006
0.42772 1.29420
1.09844 1.58388
1.40030 1.67254
1.67552 1.72426
1.95109 1.74976
2.23107 1.75106
2.52083 1.72865
2.82666 1.68113
3.15519 1.60524
3.53433 1.48889
4.03109 1.29617
4.39208 1.13236
4.39418 1.13489
4.38950 1.14804
4.37137 1.17322
4.36059 1.17699
4.35808 1.16623
4.36265 1.14630
4.37257 1.12145
4.40137 1.06989
4.43187 1.03045
4.45540 1.01284
4.46757 1.01919
4.46757 1.04614
4.45681 1.08732
4.42587 1.16037
4.38521 1.22912
4.34336 1.27944
4.30795 1.30357
4.28510 1.29912
4.27862 1.26792
4.28952 1.21485
4.31619 1.14657
4.35498 1.07067
4.40101 0.99511
4.44878 0.92795
4.49276 0.87687
4.52809 0.84816
4.55140 0.84536
4.56172 0.88089
4.55017 0.95181
4.52127 1.04367
4.47975 1.14256
4.42985 1.23708
4.37559 1.31832
4.33465 1.36639
4.28357 1.40935
4.24119 1.42546
4.21226 1.41392
4.20031 1.37612
4.20696 1.31521
4.23187 1.23552
4.24148 1.21146
4.24312 1.21485
4.23832 1.22748
4.21537 1.25231
4.20932 1.24673
4.21101 1.23028
4.21874 1.20781
4.24493 1.15892
4.27466 1.12027
4.29874 1.10190
4.31240 1.10623
4.31436 1.13033
4.30564 1.16835
4.27730 1.23700
4.23830 1.30229
4.19716 1.35027
4.16171 1.37309
4.13833 1.36832
4.13100 1.33788
4.14078 1.28673
4.16601 1.22164
4.20298 1.15019
4.24683 1.08013
4.29224 1.01900
4.33405 0.97358
4.36793 0.94905
4.39089 0.94804
4.40258 0.98197
4.39377 1.04805
4.36794 1.13376
4.32912 1.22656
4.28124 1.31565
4.24176 1.37469
4.20125 1.42371
4.14921 1.46958
4.10425 1.48995
4.07146 1.48355
4.05481 1.45140
4.05639 1.39645
4.07615 1.32300
4.09174 1.28237
4.09290 1.28653
4.08792 1.29868
4.06630 1.31959
4.06089 1.31257
4.06320 1.29549
4.07137 1.27329
4.09756 1.22720
4.12624 1.19316
4.14874 1.17955
4.16084 1.18750
4.16159 1.21344
4.15210 1.25150
4.12328 1.31747
4.08446 1.37797
4.04414 1.42017
4.01019 1.43718
3.98888 1.42744
3.98384 1.39358
3.99566 1.34109
4.02218 1.27699
4.05939 1.20888
4.10233 1.14426
4.14582 1.09011
4.18509 1.05226
4.21633 1.03478
4.23709 1.03920
4.24699 1.07688
4.23764 1.14288
4.21199 1.22575
4.17359 1.31401
4.12612 1.39758
4.08694 1.45212
4.04680 1.49648
4.00787 1.52845
3.96183 1.54934
3.92734 1.54419
3.90862 1.51392
3.90794 1.46149
3.92534 1.39127
3.94269 1.34530
3.94336 1.35017
3.93817 1.36184
3.91775 1.37920
3.91305 1.37074
3.91609 1.35302
3.92480 1.33104
3.95118 1.28759
3.97896 1.25784
3.99997 1.24866
4.01048 1.26001
4.00988 1.28777
3.99937 1.32598
3.96967 1.38961
3.93072 1.44562
3.89110 1.48224
3.85873 1.49359
3.83969 1.47899
3.83720 1.44182
3.85128 1.38804
3.87931 1.32490
3.91699 1.25993
3.95928 1.20033
4.00117 1.15248
4.03825 1.12140
4.06716 1.11019
4.08585 1.11954
4.09377 1.16096
4.08333 1.22751
4.05715 1.30842
4.01847 1.39297
3.97082 1.47168
3.93163 1.52204
3.89168 1.56193
3.84118 1.59540
3.79904 1.60390
3.77037 1.58708
3.75869 1.54692
3.76530 1.48719
3.78926 1.41279
3.79437 1.40030
3.79453 1.40580
3.78909 1.41698
3.76984 1.43103
3.76593 1.42115
3.76980 1.40279
3.77914 1.38104
3.80582 1.34014
3.83276 1.31452
3.85226 1.30955
3.86111 1.32415
3.85899 1.35368
3.84725 1.39210
3.81635 1.45351
3.77709 1.50515
3.73818 1.53627
3.70757 1.54202
3.69108 1.52267
3.69140 1.48230
3.70797 1.42735
3.73767 1.36521
3.77594 1.30329
3.81772 1.24846
3.85819 1.20650
3.89325 1.18167
3.91994 1.17624
3.93975 1.19890
3.94087 1.25055
3.92478 1.32202
3.89414 1.40290
3.85209 1.48327
3.81523 1.53793
3.77582 1.58428
3.73597 1.61979
3.68629 1.64715
3.64589 1.64970
3.61980 1.62766
3.61118 1.58350
3.62082 1.52138
3.64698 1.44723
3.64660 1.45330
3.64091 1.46397
3.62282 1.47491
3.61982 1.46360
3.62461 1.44463
3.63463 1.42314
3.66167 1.38482
3.68773 1.36324
3.70566 1.36235
3.71271 1.38008
3.70890 1.41129
3.69573 1.44989
3.67544 1.49003
3.63724 1.54264
3.59769 1.57617
3.56520 1.58492
3.54620 1.56858
3.54391 1.53094
3.55817 1.47834
3.58604 1.41816
3.62304 1.35781
3.66411 1.30407
3.70440 1.26264
3.73984 1.23765
3.76741 1.23133
3.78532 1.24379
3.79311 1.28630
3.78324 1.35092
3.75783 1.42784
3.71971 1.50716
3.68478 1.56278
3.64630 1.61141
3.60629 1.65027
