# sss file
-1.57080 3.14159
-1.57080 3.14159
-0.31756 0.63512
-566.96233 2.95131
-566.72730 2.55960
-566.47531 2.18472
-566.28322 1.91922
-566.12298 1.71254
-565.97927 1.54060
-565.85108 1.40013
-565.73305 1.28432
-565.62608 1.19426
-565.52764 1.12935
-565.44071 1.09473
-565.37074 1.09473
-565.31843 1.12935
-565.28490 1.19426
-565.26799 1.28432
-565.26576 1.40013
-565.27805 1.54060
-565.30629 1.71254
-565.35271 1.91922
-565.42612 2.18472
-565.54901 2.55960
-565.70569 2.95131
-565.55116 2.56145
-565.43563 2.20103
-565.36655 1.94031
-565.32513 1.73973
-565.30324 1.58127
-565.29662 1.45321
-565.30450 1.34472
-565.32742 1.26253
-565.36721 1.20578
-565.42562 1.17890
-565.50091 1.18531
-565.58845 1.22276
-565.68987 1.29021
-565.79930 1.38236
-565.91448 1.49510
-566.04479 1.63772
-566.19115 1.81328
-566.36138 2.03448
-566.56599 2.32108
-566.82625 2.71701
-566.96233 2.95131
-566.73404 2.57454
-566.49535 2.22623
-566.30972 1.97678
-566.15635 1.78660
-566.01978 1.63163
-565.89875 1.50803
-565.78767 1.40878
-565.68289 1.33139
-565.58659 1.27954
-565.50423 1.25742
-565.43665 1.26520
-565.38455 1.30281
-565.34962 1.36672
-565.33039 1.45320
-565.32541 1.56411
-565.33498 1.69934
-565.36090 1.86661
-565.40810 2.07882
-565.48917 2.36637
-565.62727 2.76750
-565.70569 2.95131
-565.56350 2.58853
-565.45972 2.25281
-565.39910 2.00648
-565.36615 1.82061
-565.35246 1.67663
-565.35407 1.55788
-565.37048 1.46402
-565.40280 1.39245
-565.45004 1.34774
-565.51438 1.32970
-565.59337 1.34076
-565.68621 1.38093
-565.78766 1.44689
-565.89568 1.53536
-566.01388 1.64868
-566.14201 1.78714
-566.28631 1.95902
-566.46190 2.18729
-566.68177 2.49874
-566.92620 2.88423
-566.96233 2.95131
-566.74082 2.58941
-566.51528 2.26680
-566.33562 2.03222
-566.18838 1.85680
-566.05787 1.71643
-565.94264 1.60671
-565.83227 1.51705
-565.73245 1.45250
-565.63996 1.41151
-565.55692 1.39712
-565.48827 1.41151
-565.43677 1.45250
-565.40150 1.51705
-565.38079 1.60671
-565.37527 1.71643
-565.38515 1.85680
-565.41332 2.03222
-565.46824 2.26680
-565.56915 2.60086
-565.70569 2.95131
-565.57126 2.60270
-565.47712 2.28238
-565.42760 2.05958
-565.40306 1.88774
-565.39729 1.75717
-565.40665 1.65133
-565.43036 1.56938
-565.46957 1.50848
-565.52520 1.47122
-565.59478 1.46031
-565.67738 1.47559
-565.77227 1.51728
-565.87424 1.58254
-565.98163 1.66877
-566.09857 1.77904
-566.23111 1.92096
-566.38089 2.09938
-566.56408 2.33953
-566.80203 2.68413
-566.96233 2.95131
-566.75535 2.61562
-566.53526 2.30659
-566.36117 2.08583
-566.21947 1.92370
-566.09424 1.79598
-565.97880 1.69372
-565.87301 1.61582
-565.77277 1.55935
-565.67974 1.52668
-565.59908 1.52018
-565.53168 1.53972
-565.48058 1.58324
-565.44510 1.64828
-565.42377 1.73712
-565.41759 1.85081
-565.42837 1.99750
-565.45968 2.18260
-565.52445 2.44313
-565.64417 2.80726
-565.70569 2.95131
-565.57893 2.61689
-565.49634 2.32080
-565.45469 2.11103
-565.43774 1.95186
-565.43929 1.82795
-565.45588 1.73408
-565.48797 1.65998
-565.53633 1.60771
-565.59849 1.58010
-565.67676 1.57686
-565.76765 1.59964
-565.86594 1.64647
-565.96993 1.71510
-566.07826 1.80348
-566.19561 1.91539
-566.32855 2.05927
-566.48579 2.24932
-566.68631 2.51851
-566.91841 2.87152
-566.96233 2.95131
-566.76243 2.63045
-566.54841 2.33663
-566.38022 2.13041
-566.24411 1.98161
-566.12400 1.86612
-566.01307 1.77498
-565.91103 1.70674
-565.81360 1.65841
-565.72226 1.63198
-565.63904 1.62983
-565.57186 1.65207
-565.52035 1.69623
-565.48263 1.76386
-565.46076 1.85165
-565.45390 1.96356
-565.46407 2.10837
-565.49707 2.30085
-565.56788 2.57528
-565.68684 2.91117
-565.70569 2.95131
-565.58693 2.63251
-565.51329 2.35187
-565.47978 2.15634
-565.47019 2.01013
-565.47834 1.89785
-565.50205 1.81037
-565.53998 1.74602
-565.59349 1.70180
-565.66292 1.67958
-565.74471 1.68113
-565.83778 1.70649
-565.93683 1.75385
-566.04037 1.82141
-566.15286 1.91233
-566.27465 2.02830
-566.41277 2.17866
-566.58368 2.38836
-566.80115 2.68916
-566.96233 2.95131
-566.76882 2.64411
-566.56006 2.36430
-566.39699 2.17145
-566.26574 2.03480
-566.14445 1.92569
-566.03765 1.84548
-565.93430 1.78427
-565.83554 1.74366
-565.74293 1.72539
-565.66200 1.73111
-565.59674 1.75924
-565.54694 1.80773
-565.51086 1.87883
-565.49068 1.96922
-565.48585 2.08987
-565.50039 2.24686
-565.54380 2.46679
-565.63752 2.78420
-565.70569 2.95131
-565.59730 2.65672
-565.53059 2.38724
-565.50390 2.20274
-565.50064 2.06685
-565.51456 1.96389
-565.54361 1.88466
-565.58875 1.82493
-565.65028 1.78611
-565.72825 1.76986
-565.81851 1.77770
-565.91529 1.80810
-566.01677 1.85918
-566.12173 1.92946
-566.23511 2.02269
