# sss file
-1.57080 3.14159
-1.57080 3.14159
-1.75180 3.10359
-1.67565 2.95131
-1.56963 3.00432
-1.42502 3.03715
-1.14784 3.06494
-0.92614 3.07493
-0.64316 3.08048
-0.33119 3.08037
-0.04446 3.07462
0.18491 3.06450
0.48655 3.03656
0.66234 3.00367
0.82029 2.95062
0.97327 2.85825
1.10864 2.72529
1.25234 2.53021
1.43785 2.22379
1.71056 1.72213
2.04826 1.06924
2.05933 1.22450
2.09271 1.33019
2.14555 1.40982
2.21593 1.46523
2.30194 1.49717
2.40149 1.50589
2.51235 1.49145
2.63238 1.45376
2.75989 1.39248
2.89395 1.30664
3.03479 1.19404
3.20408 1.02898
3.24393 0.98543
2.92595 1.66575
2.75523 2.06615
2.65695 2.34052
2.61235 2.51995
2.60182 2.65449
2.62580 2.76595
2.67465 2.83746
2.77498 2.90510
2.91246 2.95114
3.14380 2.98928
3.37069 3.00699
3.65208 3.01535
3.95169 3.01254
4.22199 2.99923
4.43969 2.97794
4.60753 2.95131
4.77595 2.99892
4.97306 3.02572
5.27603 3.04465
5.67552 3.05069
6.06925 3.04149
6.36854 3.02046
6.57501 2.99251
6.77631 2.94405
6.94283 2.87380
7.07920 2.78186
7.21488 2.64901
7.35150 2.47280
7.52270 2.20619
7.75300 1.80103
8.11598 1.11432
8.15414 1.04035
8.15957 1.20369
8.18869 1.31523
8.23771 1.40019
8.30469 1.46071
8.38774 1.49767
8.48481 1.51141
8.59367 1.50199
8.71212 1.46936
8.83833 1.41328
8.97113 1.33298
9.11046 1.22665
9.27704 1.07065
9.31601 1.02966
8.97850 1.74509
8.80905 2.13567
8.70906 2.40634
8.65966 2.60387
8.65474 2.73748
8.68415 2.83013
8.75006 2.90159
8.84993 2.95229
9.03685 2.99783
9.24666 3.02245
9.55084 3.03853
10.11073 3.03821
10.42845 3.02181
10.66049 2.99699
10.89072 2.95131
11.11003 2.99176
11.33350 3.01154
11.62233 3.02211
11.94090 3.02104
12.23191 3.00860
12.46417 2.98751
12.71129 2.94593
12.87788 2.89784
13.03149 2.82857
13.16700 2.73760
13.30724 2.60541
13.45019 2.42911
13.60230 2.20339
13.80022 1.87041
14.08820 1.34285
14.26804 0.99954
14.26698 1.17230
14.29131 1.29024
14.33606 1.38081
14.39916 1.44657
14.47875 1.48863
14.57281 1.50741
14.67915 1.50302
14.79556 1.47545
14.92009 1.42449
15.05142 1.34952
15.18922 1.24901
15.29743 1.15489
14.66548 2.39885
14.43685 2.81320
14.30807 2.98524
14.19320 3.06088
14.03628 3.09801
13.81196 3.11558
13.02761 3.12831
11.87440 3.12165
11.54438 3.10497
11.38150 3.06813
11.33350 3.01154
11.62795 3.01548
11.92040 3.00821
12.17028 2.99134
12.44696 2.95396
12.63509 2.90832
12.80646 2.84096
12.95443 2.75135
13.08497 2.63936
13.22203 2.48468
13.36736 2.28314
13.54156 2.00411
13.77413 1.59298
14.11338 0.95297
14.10727 1.13330
14.13222 1.26892
14.17628 1.35968
14.23866 1.42540
14.31744 1.46728
14.41062 1.48582
14.51606 1.48115
14.63161 1.45325
14.75540 1.40186
14.88623 1.32627
15.02384 1.22477
15.11380 1.14663
14.63521 2.07650
14.39389 2.51452
14.22882 2.76893
14.10924 2.90259
13.96607 2.99632
13.78693 3.05069
13.51368 3.08388
13.24249 3.09745
12.80485 3.10569
12.27662 3.10483
11.87881 3.09537
11.64495 3.08123
11.42472 3.04763
11.33350 3.01154
11.62462 3.00890
11.88921 2.99599
12.10469 2.97518
12.34165 2.93447
12.50656 2.88721
12.66184 2.81880
12.80050 2.72854
12.92614 2.61603
13.06060 2.46071
13.20501 2.25815
13.37957 1.97714
13.61435 1.56113
13.96290 0.90255
13.95154 1.09105
13.97266 1.23158
14.01377 1.32555
14.07338 1.39392
14.14953 1.43820
14.24023 1.45899
14.34340 1.45651
14.45695 1.43073
14.57908 1.38138
14.70858 1.30771
14.84522 1.20794
14.55373 1.74372
14.35011 2.08985
14.18379 2.34169
14.04465 2.52042
13.91530 2.65415
13.79965 2.74645
13.64553 2.83486
13.51944 2.88486
13.34934 2.93084
13.10942 2.96977
12.89697 2.98915
12.64323 3.00068
12.37025 3.00240
12.11495 2.99398
12.00339 2.98640
12.23575 2.94276
12.39168 2.89342
12.53629 2.82317
12.66525 2.73146
12.80042 2.59862
12.93996 2.42173
13.10304 2.17411
13.31320 1.81365
13.62456 1.23574
13.82193 0.85546
13.80760 1.04894
13.82697 1.19141
13.87312 1.29590
13.94235 1.36762
14.02093 1.40564
14.11347 1.42008
14.21794 1.41114
14.33242 1.37870
14.47131 1.31350
14.61989 1.21616
14.68917 1.16159
14.39084 1.70943
14.18458 2.05934
14.01702 2.31282
13.87784 2.49228
13.75002 2.62635
13.61196 2.73695
13.45662 2.82470
13.28111 2.88986
13.09645 2.93336
12.84102 2.96854
12.62328 2.98461
12.37549 2.99244
12.12228 2.99077
12.00339 2.98640
12.19588 2.93764
12.35788 2.86726
12.49235 2.77527
12.62733 2.64236
12.76391 2.46601
12.93542 2.19905
13.15321 1.81708
13.51312 1.13806
13.67971 0.81397
13.66316 1.01139
13.68146 1.15492
13.72682 1.25924
13.79521 1.33015
13.88365 1.37009
13.98931 1.38001
14.10943 1.36010
14.24163 1.30995
