# sss file
-1.57080 3.14159
-1.29001 2.58001
-1.44451 2.58001
-1.29001 2.58001
-1.12033 2.24066
-1.31393 2.24066
-1.12033 2.24066
-0.93509 1.87017
-1.14689 1.87017
-0.93509 1.87017
-0.83269 1.66539
-1.05039 1.66539
-0.83269 1.66539
-0.44526 0.89051
5.83794 0.89051
5.96564 0.63512
-0.31756 0.63512
-0.71953 1.43906
-0.49723 1.43906
-0.71953 1.43906
-1.03024 2.06048
-0.82614 2.06048
-1.03024 2.06048
-1.20654 2.41309
-1.02814 2.41309
-1.20654 2.41309
-1.29001 2.58001
-1.13551 2.58001
-1.29001 2.58001
-1.39152 2.78305
-1.52742 2.78305
-1.39152 2.78305
-1.45177 2.90353
-0.92817 2.90353
-0.50664 2.06048
-0.71074 2.06048
-0.50664 2.06048
-0.41149 1.87017
-0.62329 1.87017
-0.41149 1.87017
-0.30909 1.66539
-0.52679 1.66539
-0.30909 1.66539
-0.19593 1.43906
-0.41823 1.43906
-0.19593 1.43906
-0.06584 1.17889
-0.59673 2.24066
-0.40313 2.24066
-0.59673 2.24066
-0.68294 2.41309
-0.50454 2.41309
-0.68294 2.41309
-0.76641 2.58001
-0.61201 2.58001
-0.76641 2.58001
-0.86812 2.78343
-1.00382 2.78305
-0.86812 2.78343
-0.92817 2.90353
-0.40457 2.90353
-0.07313 2.24066
-0.26673 2.24066
-0.07313 2.24066
0.11211 1.87017
-0.09969 1.87017
0.11211 1.87017
0.21451 1.66539
-0.00319 1.66539
0.21451 1.66539
0.45776 1.17889
0.32767 1.43906
0.54997 1.43906
0.32767 1.43906
0.01696 2.06048
0.22106 2.06048
0.01696 2.06048
-0.15934 2.41309
0.01906 2.41309
-0.15934 2.41309
-0.24281 2.58001
-0.08841 2.58001
-0.24281 2.58001
-0.34452 2.78343
-0.48022 2.78305
-0.34452 2.78343
-0.40457 2.90353
0.11903 2.90353
0.17908 2.78343
0.04338 2.78305
0.17908 2.78343
0.28079 2.58001
0.12629 2.58001
0.28079 2.58001
0.45047 2.24066
0.25687 2.24066
0.45047 2.24066
0.63571 1.87017
0.42391 1.87017
0.63571 1.87017
0.73811 1.66539
0.52041 1.66539
0.73811 1.66539
0.85127 1.43906
0.98136 1.17889
0.85127 1.43906
1.07357 1.43906
0.85127 1.43906
0.54056 2.06048
0.74466 2.06048
0.54056 2.06048
0.36426 2.41309
0.54266 2.41309
0.36426 2.41309
0.11903 2.90353
0.64263 2.90353
0.70268 2.78343
0.56698 2.78305
0.70268 2.78343
0.80439 2.58001
0.64989 2.58001
0.80439 2.58001
1.06416 2.06048
0.86006 2.06048
1.06416 2.06048
1.15931 1.87017
0.94751 1.87017
1.15931 1.87017
1.26031 1.66539
1.04401 1.66539
1.26171 1.66539
1.50496 1.17889
1.37487 1.43906
1.59717 1.43906
1.37487 1.43906
0.97407 2.24066
1.16767 2.24066
0.97407 2.24066
0.88786 2.41309
1.06626 2.41309
0.88786 2.41309
0.64263 2.90353
1.16623 2.90353
1.22628 2.78343
1.09058 2.78305
1.22628 2.78343
1.32799 2.58001
1.17349 2.58001
1.32799 2.58001
1.41146 2.41309
1.23306 2.41309
1.41146 2.41309
1.78531 1.66539
1.56761 1.66539
1.78531 1.66539
2.02856 1.17889
1.89847 1.43906
2.12077 1.43906
1.89847 1.43906
1.68291 1.87017
1.89471 1.87017
1.68291 1.87017
1.58776 2.06048
1.79186 2.06048
1.58776 2.06048
1.49767 2.24066
1.69127 2.24066
1.49767 2.24066
1.41146 2.41309
1.58986 2.41309
1.41146 2.41309
1.16623 2.90353
1.68983 2.90353
1.74988 2.78343
1.61418 2.78305
1.74988 2.78343
1.85159 2.58001
1.85159 2.58001
1.69709 2.58001
1.85159 2.58001
2.11136 2.06048
1.90726 2.06048
2.11136 2.06048
2.20651 1.87017
1.99471 1.87017
2.20651 1.87017
2.30891 1.66539
2.09121 1.66539
2.30891 1.66539
2.42207 1.43906
2.19977 1.43906
2.42207 1.43906
2.55216 1.17889
2.02127 2.24066
2.21487 2.24066
2.02127 2.24066
1.93506 2.41309
2.11346 2.41309
1.93506 2.41309
1.68983 2.90353
2.21343 2.90353
2.54487 2.24066
2.35127 2.24066
2.54487 2.24066
2.63496 2.06048
2.43086 2.06048
2.63496 2.06048
2.83251 1.66539
2.61481 1.66539
2.83251 1.66539
3.07576 1.17889
2.94567 1.43906
3.16797 1.43906
2.94567 1.43906
2.73011 1.87017
2.94191 1.87017
2.73011 1.87017
2.45866 2.41309
2.63706 2.41309
2.45866 2.41309
2.37519 2.58001
2.52959 2.58001
2.37519 2.58001
2.27348 2.78343
2.13778 2.78305
2.27348 2.78343
2.21343 2.90353
2.73703 2.90353
2.98226 2.41309
2.80386 2.41309
2.98226 2.41309
3.46927 1.43906
3.24697 1.43906
3.46927 1.43906
3.59936 1.17889
3.35611 1.66539
3.57381 1.66539
3.35611 1.66539
3.25371 1.87017
3.46551 1.87017
3.25371 1.87017
3.15856 2.06048
3.36266 2.06048
3.15856 2.06048
3.06847 2.24066
3.26207 2.24066
3.06847 2.24066
2.89879 2.58001
3.05319 2.58001
2.89879 2.58001
2.79708 2.78343
2.66138 2.78305
2.79708 2.78343
2.73703 2.90353
3.26063 2.90353
3.32068 2.78343
3.18498 2.78305
3.32068 2.78343
3.42239 2.58001
3.26789 2.58001
3.42239 2.58001
3.59207 2.24066
3.39847 2.24066
3.59207 2.24066
3.77731 1.87017
3.56551 1.87017
3.77731 1.87017
3.87971 1.66539
3.66201 1.66539
3.87971 1.66539
3.99287 1.43906
3.77057 1.43906
3.99287 1.43906
4.12296 1.17889
3.68216 2.06048
3.88626 2.06048
3.68216 2.06048
3.50586 2.41309
3.68426 2.41309
3.50586 2.41309
3.26063 2.90353
3.78423 2.90353
4.11567 2.24066
3.92207 2.24066
4.11567 2.24066
4.30091 1.87017
4.08911 1.87017
4.30091 1.87017
4.40331 1.66539
4.18561 1.66539
4.40331 1.66539
4.64656 1.17889
4.20576 2.06048
4.40986 2.06048
4.20576 2.06048
4.02946 2.41309
4.20786 2.41309
4.02946 2.41309
3.94599 2.58001
4.10039 2.58001
3.94599 2.58001
3.84448 2.78305
3.70858 2.78305
3.84448 2.78305
3.78423 2.90353
4.11610 2.91099
4.30783 2.90353
4.63927 2.24066
4.44567 2.24066
4.63927 2.24066
4.82451 1.87017
4.61271 1.87017
4.82451 1.87017
4.92691 1.66539
4.70921 1.66539
4.92691 1.66539
5.17016 1.17889
5.04007 1.43906
5.26237 1.43906
5.04007 1.43906
4.72936 2.06048
4.93346 2.06048
4.72936 2.06048
4.55306 2.41309
4.73146 2.41309
4.55306 2.41309
4.46959 2.58001
4.62399 2.58001
4.46959 2.58001
4.36808 2.78305
4.23168 2.78305
4.36808 2.78305
4.30783 2.90353
4.32085 2.90430
4.82845 2.90410
5.35503 2.90353
5.87863 2.90353
6.40223 2.90353
6.92583 2.90353
7.44943 2.90353
7.97303 2.90353
8.49663 2.90353
9.02023 2.90353
9.54383 2.90353
10.06743 2.90353
10.59103 2.90353
11.11463 2.90353
11.11717 2.91386
11.11836 2.91788
12.67836 2.91769
14.25060 2.91539
15.82155 2.91749
17.38311 2.93297
18.95391 2.93297
20.52461 2.93297
22.09541 2.93297
23.65667 2.95207
25.22747 2.95207
26.79827 2.95207
28.36907 2.95207
29.93033 2.97115
31.50113 2.97115
33.07193 2.97115
34.64273 2.97115
36.20400 2.99021
37.77480 2.99021
39.34560 2.99021
40.91640 2.99021
42.47767 3.00926
44.04847 3.00926
45.61927 3.00926
47.19007 3.00926
48.75135 3.02829
50.32215 3.02829
51.89295 3.02829
53.46375 3.02829
55.02504 3.04732
56.59584 3.04732
58.16664 3.04732
59.73744 3.04732
61.29873 3.06633
62.86943 3.06633
64.44023 3.06633
66.01103 3.06633
67.57233 3.08535
69.14313 3.08535
70.71393 3.08535
72.28473 3.08535
73.84602 3.10435
75.41682 3.10435
76.98762 3.10435
78.55842 3.10435
80.11972 3.12335
81.69052 3.12335
83.26132 3.12335
84.83212 3.12335
