# sss file
-1.57080 3.14159
3.87444 0.63512
3.34764 0.63512
3.33208 0.67585
3.33298 0.67125
3.33911 0.64178
3.34044 0.63512
3.33274 0.63512
3.32694 0.63512
3.32391 0.64837
3.31763 0.67814
3.31233 0.70614
3.30764 0.73312
3.30583 0.74574
3.29798 0.76684
3.28296 0.80747
3.28315 0.80650
3.28593 0.78294
3.28968 0.75765
3.29393 0.73153
3.29875 0.70449
3.30466 0.67527
3.31141 0.64479
3.31364 0.63512
3.30694 0.63512
3.30074 0.63512
3.29761 0.64778
3.29065 0.67871
3.28443 0.70834
3.27915 0.73630
3.27461 0.76277
3.27095 0.78790
3.26765 0.81229
3.26513 0.83554
3.26313 0.85775
3.26282 0.86276
3.25228 0.89184
3.24461 0.91319
3.24484 0.90453
3.24619 0.88343
3.24778 0.86185
3.25019 0.83882
3.25311 0.81517
3.25637 0.79087
3.26060 0.76481
3.26536 0.73788
3.27098 0.70943
3.27746 0.67928
3.28481 0.64778
3.28804 0.63512
3.28144 0.63512
3.27554 0.63512
3.27201 0.64897
3.26431 0.68099
3.25749 0.71162
3.25154 0.74051
3.24657 0.76786
3.24204 0.79431
3.23826 0.81948
3.23526 0.84347
3.23281 0.86639
3.23073 0.88875
3.22943 0.90973
3.22846 0.93027
3.22800 0.94999
3.22784 0.95991
3.22106 0.97867
3.21228 1.00345
3.21215 0.99790
3.21196 0.97908
3.21214 0.95991
3.21271 0.93997
3.21380 0.91920
3.21521 0.89798
3.21750 0.87539
3.22008 0.85225
3.22329 0.82802
3.22719 0.80262
3.23158 0.77644
3.23703 0.74835
3.24309 0.71922
3.24985 0.68891
3.25766 0.65667
3.26334 0.63512
3.25934 0.63512
3.25124 0.63512
3.24961 0.64178
3.24078 0.67585
3.23310 0.70779
3.22646 0.73788
3.22038 0.76684
3.21524 0.79431
3.21088 0.82043
3.20724 0.84533
3.20403 0.86955
3.20134 0.89272
3.19935 0.91491
3.19791 0.93619
3.19679 0.95703
3.19628 0.97665
3.19614 0.99591
3.19647 1.01445
3.19715 1.03230
3.19771 1.04418
3.19381 1.05517
3.18401 1.08277
3.18369 1.07982
3.18235 1.06270
3.18134 1.04532
3.18066 1.02729
3.18051 1.00857
3.18053 0.98953
3.18133 0.96933
3.18233 0.94874
3.18395 0.92731
3.18602 0.90496
3.18878 0.88165
3.19183 0.85775
3.19563 0.83273
3.20005 0.80650
3.20533 0.77894
3.21109 0.75042
3.21785 0.72029
3.22553 0.68834
3.23405 0.65490
3.23944 0.63512
3.23504 0.63512
3.22784 0.63512
3.22491 0.64539
3.21578 0.67985
3.20755 0.71271
3.20027 0.74365
3.19379 0.77342
3.18842 0.80116
3.18349 0.82802
3.17916 0.85408
3.17564 0.87853
3.17262 0.90235
3.17000 0.92560
3.16805 0.94749
3.16654 0.96893
3.16573 0.98913
3.16512 1.00896
3.16488 1.02845
3.16528 1.04684
3.16612 1.06457
3.16708 1.08204
3.16856 1.09889
3.17042 1.11515
3.17105 1.11910
3.16275 1.14250
3.15858 1.15405
3.15697 1.14426
3.15492 1.12837
3.15296 1.11228
3.15158 1.09524
3.15051 1.07797
3.14995 1.05969
3.14964 1.04112
3.14987 1.02186
3.15047 1.00187
3.15145 0.98150
3.15284 0.96032
3.15506 0.93787
3.15733 0.91534
3.16050 0.89140
3.16408 0.86684
3.16846 0.84068
3.17319 0.81421
3.17894 0.78592
3.18519 0.75662
3.19247 0.72567
3.20040 0.69340
3.20988 0.65844
3.21634 0.63512
3.21314 0.63512
3.20504 0.63512
3.20291 0.64238
3.19303 0.67814
3.18402 0.71216
3.17611 0.74418
3.16919 0.77443
3.16300 0.80359
3.15754 0.83132
3.15260 0.85820
3.14869 0.88343
3.14510 0.90800
3.14192 0.93197
3.13963 0.95455
3.13758 0.97665
3.13605 0.99790
3.13512 1.01836
3.13467 1.03806
3.13438 1.05743
3.13464 1.07612
3.13533 1.09415
3.13632 1.11156
3.13782 1.12837
3.13970 1.14461
3.14178 1.16065
3.14440 1.17581
3.14670 1.18741
3.14428 1.19384
3.13509 1.21963
3.13455 1.21730
3.13150 1.20260
3.12863 1.18774
3.12628 1.17203
3.12413 1.15614
3.12236 1.13969
3.12106 1.12267
3.12007 1.10506
3.11959 1.08682
3.11925 1.06831
3.11963 1.04874
3.12028 1.02883
3.12131 1.00818
3.12294 0.98673
3.12488 0.96484
3.12758 0.94165
3.13064 0.91791
3.13410 0.89360
3.13843 0.86774
3.14323 0.84115
3.14877 0.81325
3.15499 0.78443
3.16198 0.75404
3.16995 0.72191
3.17901 0.68778
3.18903 0.65194
3.19394 0.63512
3.18874 0.63512
3.18294 0.63512
3.17813 0.65135
3.16771 0.68778
3.15855 0.72191
3.15022 0.75456
3.14299 0.78542
3.13655 0.81469
3.13070 0.84301
3.12560 0.87000
3.12098 0.89623
3.11734 0.92091
3.11400 0.94499
3.11104 0.96852
3.10893 0.99073
3.10705 1.01250
3.10577 1.03346
3.10497 1.05366
3.10444 1.07352
3.10454 1.09232
3.10488 1.11084
3.10564 1.12872
3.10679 1.14601
3.10816 1.16307
3.11009 1.17923
3.11247 1.19486
3.11495 1.21031
3.11787 1.22525
3.12104 1.23972
3.12396 1.25047
3.12130 1.25760
3.11302 1.28035
3.11217 1.27685
3.10836 1.26308
3.10498 1.24885
3.10166 1.23448
3.09895 1.21929
3.09659 1.20361
3.09443 1.18774
3.09280 1.17100
3.09138 1.15405
3.09034 1.13652
3.08981 1.11838
3.08959 1.09962
3.08972 1.08056
3.09038 1.06044
3.09141 1.03998
3.09293 1.01875
3.09494 0.99671
3.09729 0.97422
3.10019 0.95082
3.10367 0.92645
3.10778 0.90104
3.11243 0.87495
3.11768 0.84764
3.12370 0.81900
3.13041 0.78938
3.13792 0.75816
3.14627 0.72567
3.15562 0.69115
3.16634 0.65431
3.17214 0.63512
3.16704 0.63512
3.16144 0.63512
3.15603 0.65254
3.14526 0.68947
