# sss file
-1.57080 3.14159
-1.56784 3.13568
-0.55160 1.10321
-0.55161 1.10282
-0.55171 1.10243
-0.55182 1.10204
-0.55241 1.10243
-0.55291 1.10282
-0.55370 1.10360
-0.55448 1.10476
-0.55546 1.10632
-0.55643 1.10826
-0.55740 1.11019
-0.55816 1.11213
-0.55864 1.11367
-0.55920 1.11560
-0.55947 1.11714
-0.55935 1.11829
-0.55883 1.11906
-0.55812 1.11945
-0.55703 1.11906
-0.55565 1.11829
-0.55407 1.11714
-0.55221 1.11521
-0.55006 1.11251
-0.54781 1.10942
-0.54556 1.10593
-0.54312 1.10165
-0.54088 1.09735
-0.53873 1.09265
-0.53677 1.08793
-0.53529 1.08359
-0.53411 1.07963
-0.53323 1.07565
-0.53293 1.07246
-0.53323 1.07006
-0.53433 1.06886
-0.53593 1.06846
-0.53793 1.06886
-0.54063 1.07046
-0.54373 1.07326
-0.54702 1.07645
-0.55091 1.08121
-0.55478 1.08635
-0.55893 1.09265
-0.56305 1.09970
-0.56705 1.10709
-0.57072 1.11444
-0.57407 1.12213
-0.57671 1.12901
-0.57883 1.13586
-0.58026 1.14191
-0.58089 1.14718
-0.58047 1.15094
-0.57937 1.15393
-0.57741 1.15543
-0.57461 1.15543
-0.57125 1.15431
-0.56696 1.15131
-0.56210 1.14681
-0.55698 1.14116
-0.55119 1.13358
-0.54530 1.12520
-0.53959 1.11598
-0.53376 1.10593
-0.52849 1.09579
-0.52339 1.08477
-0.51923 1.07446
-0.51573 1.06445
-0.51288 1.05476
-0.51131 1.04663
-0.51043 1.03926
-0.51085 1.03391
-0.51239 1.03019
-0.51516 1.02853
-0.51928 1.02936
-0.52433 1.03225
-0.53030 1.03720
-0.53688 1.04377
-0.54416 1.05233
-0.55182 1.06244
-0.55973 1.07406
-0.56757 1.08675
-0.57504 1.10009
-0.58194 1.11367
-0.58815 1.12711
-0.59360 1.14040
-0.59772 1.15244
-0.60071 1.16362
-0.60222 1.17323
-0.60217 1.18095
-0.60062 1.18643
-0.59784 1.19008
-0.59358 1.19117
-0.58824 1.19008
-0.58190 1.18680
-0.57429 1.18058
-0.56578 1.17176
-0.55691 1.16102
-0.54756 1.14831
-0.53818 1.13396
-0.52904 1.11868
-0.52002 1.10204
-0.51188 1.08517
-0.50463 1.06846
-0.49836 1.05192
-0.49329 1.03638
-0.48954 1.02187
-0.48746 1.00971
-0.48718 0.99997
-0.48856 0.99271
-0.49193 0.98885
-0.49700 0.98799
-0.50357 0.99014
-0.51175 0.99571
-0.52111 1.00422
-0.53171 1.01602
-0.54289 1.03019
-0.55461 1.04663
-0.56643 1.06485
-0.57789 1.08398
-0.58870 1.10360
-0.59863 1.12367
-0.60712 1.14304
-0.61399 1.16139
-0.61911 1.17802
-0.62249 1.19299
-0.62372 1.20564
-0.62304 1.21567
-0.62002 1.22244
-0.61510 1.22599
-0.60820 1.22599
-0.59970 1.22280
-0.58989 1.21639
-0.57886 1.20671
-0.56696 1.19371
-0.55432 1.17765
-0.54138 1.15916
-0.52864 1.13889
-0.51627 1.11714
-0.50451 1.09422
-0.49373 1.07086
-0.48412 1.04745
-0.47620 1.02521
-0.46981 1.00422
-0.46540 0.98541
-0.46328 0.96977
-0.46362 0.95744
-0.46642 0.94944
-0.47161 0.94542
-0.47913 0.94587
-0.48879 0.95078
-0.50023 0.95965
-0.51363 0.97326
-0.52818 0.99057
-0.54359 1.01098
