# sss file
2.03863 0.63512
2.02267 0.65903
2.00718 0.68190
1.99202 0.70405
1.97721 0.72545
1.96266 0.74627
1.94844 0.76634
1.93444 0.78592
1.92067 0.80495
1.90718 0.82338
1.89384 0.84143
1.88069 0.85902
1.86767 0.87629
1.85487 0.89307
1.84220 0.90947
1.82969 0.92552
1.81726 0.94131
1.80501 0.95670
1.79283 0.97186
1.78081 0.98665
1.76888 1.00115
1.75702 1.01547
1.74527 1.02945
1.73359 1.04326
1.72202 1.05676
1.71053 1.07002
1.69911 1.08307
1.68775 1.09590
1.67647 1.10853
1.66524 1.12096
1.65407 1.13319
1.64299 1.14517
1.63193 1.15704
1.62095 1.16866
1.61001 1.18012
1.59912 1.19141
1.58826 1.20254
1.57748 1.21344
1.56673 1.22420
1.55602 1.23480
1.54534 1.24527
1.53472 1.25553
1.52413 1.26565
1.51356 1.27564
1.50301 1.28550
1.49253 1.29517
1.48205 1.30471
1.47164 1.31407
1.46124 1.32331
1.45086 1.33244
1.44052 1.34139
1.43019 1.35023
1.41992 1.35890
1.40965 1.36747
1.39942 1.37587
1.38920 1.38417
1.37899 1.39236
1.37658 1.39426
1.36744 1.41081
1.36086 1.42273
1.35217 1.43906
1.34354 1.45525
1.34089 1.46021
1.33268 1.47626
1.32453 1.49218
1.32207 1.49698
1.31436 1.51272
1.30673 1.52833
1.30440 1.53310
1.29725 1.54848
1.29016 1.56375
1.28802 1.56838
1.28142 1.58345
1.27489 1.59840
1.27291 1.60295
1.26693 1.61761
1.26100 1.63221
1.25920 1.63664
1.25382 1.65096
1.24853 1.66513
1.24691 1.66949
1.24218 1.68340
1.23756 1.69716
1.23613 1.70141
1.23209 1.71487
1.22814 1.72825
1.22693 1.73234
1.22361 1.74533
1.22037 1.75824
1.21940 1.76218
1.21679 1.77471
1.21429 1.78718
1.21354 1.79098
1.21170 1.80302
1.20996 1.81496
1.20947 1.81858
1.20842 1.83006
1.20750 1.84145
1.20720 1.84498
1.20698 1.85587
1.20685 1.86672
1.20684 1.87003
1.20746 1.88030
1.20817 1.89054
1.20841 1.89368
1.20985 1.90336
1.21141 1.91295
1.21193 1.91588
1.21421 1.92492
1.21664 1.93385
1.21741 1.93657
1.22059 1.94486
1.22389 1.95308
1.22491 1.95560
1.22893 1.96320
1.23309 1.97069
1.23439 1.97297
1.23925 1.97979
1.24425 1.98651
1.24582 1.98855
1.25152 1.99457
1.25734 2.00054
1.25918 2.00230
1.26567 2.00753
1.27232 2.01262
1.27439 2.01415
