# sss file
-1.57080 3.14159
0.00272 3.13616
0.00543 3.13074
0.00815 3.12531
0.01086 3.11988
0.01358 3.11444
0.01629 3.10903
0.01900 3.10359
0.02172 3.09816
0.02443 3.09274
0.02647 3.08865
-0.02258 3.08865
-0.07123 3.08865
-0.11922 3.08867
-0.16622 3.08869
-0.21192 3.08875
-0.25616 3.08884
-0.29864 3.08899
-0.33928 3.08922
-0.37801 3.08955
-0.41472 3.08998
-0.44935 3.09053
-0.48193 3.09124
-0.51249 3.09211
-0.54111 3.09314
-0.56775 3.09435
-0.59254 3.09574
-0.61558 3.09736
-0.63684 3.09914
-0.65647 3.10116
-0.67450 3.10334
-0.69105 3.10574
-0.70612 3.10832
-0.71979 3.11108
-0.73207 3.11402
-0.74305 3.11710
-0.75275 3.12033
-0.76123 3.12368
-0.76848 3.12713
-0.77448 3.13067
-0.77938 3.13428
-0.78304 3.13793
2.35759 3.13984
2.35855 3.13793
2.36221 3.13428
2.36711 3.13067
2.37311 3.12713
2.38036 3.12368
2.38884 3.12033
2.39854 3.11710
2.40953 3.11402
2.42181 3.11108
2.43547 3.10832
2.45054 3.10574
2.46709 3.10334
2.48512 3.10116
2.50475 3.09914
2.52601 3.09736
2.54905 3.09574
2.57384 3.09435
2.60049 3.09314
2.62910 3.09211
2.65966 3.09124
2.69225 3.09053
2.72688 3.08998
2.76358 3.08955
2.80231 3.08922
2.84296 3.08899
2.88543 3.08884
2.92967 3.08875
2.97537 3.08869
3.02237 3.08867
3.07036 3.08865
3.11901 3.08865
3.16806 3.08865
3.21710 3.08865
3.26576 3.08865
3.31373 3.08867
3.36070 3.08869
3.40637 3.08875
3.45050 3.08884
3.49282 3.08899
3.53325 3.08922
3.57165 3.08955
3.60792 3.08998
3.64199 3.09053
3.67388 3.09124
3.70356 3.09211
3.73115 3.09314
3.75657 3.09435
3.77998 3.09574
3.80141 3.09736
3.82089 3.09914
3.83850 3.10116
3.85435 3.10334
3.86850 3.10574
3.88099 3.10832
3.89189 3.11108
3.90123 3.11402
3.90914 3.11710
3.91560 3.12033
3.92074 3.12368
3.92453 3.12713
3.92701 3.13067
3.92829 3.13428
3.92830 3.13793
7.06894 3.13984
7.06990 3.13793
7.06988 3.13428
7.06860 3.13067
7.06612 3.12713
7.06233 3.12368
7.05719 3.12033
7.05073 3.11710
7.04283 3.11402
7.03349 3.11108
7.02258 3.10832
7.01009 3.10574
6.99594 3.10334
6.98009 3.10116
6.96248 3.09914
6.94300 3.09736
6.92158 3.09574
6.89817 3.09435
6.87274 3.09314
6.84515 3.09211
6.81547 3.09124
6.78358 3.09053
6.74951 3.08998
6.71325 3.08955
6.67484 3.08922
6.63442 3.08899
6.59210 3.08884
6.54796 3.08875
6.50230 3.08869
6.45532 3.08867
6.40735 3.08865
6.35870 3.08865
6.30965 3.08865
6.31236 3.08324
6.31508 3.07780
6.31780 3.07236
6.32052 3.06692
6.32323 3.06151
6.32595 3.05607
6.32867 3.05063
6.33138 3.04521
6.33410 3.03977
6.33613 3.03569
6.28711 3.03569
6.23843 3.03569
6.19042 3.03571
6.14343 3.03577
6.09770 3.03587
6.05342 3.03606
6.01083 3.03638
5.97006 3.03684
5.93122 3.03746
5.89430 3.03834
5.85939 3.03946
5.82643 3.04087
5.79545 3.04258
5.76633 3.04465
5.73906 3.04707
5.71356 3.04989
5.68976 3.05308
5.66757 3.05669
5.64695 3.06069
5.62779 3.06508
5.61009 3.06987
5.59370 3.07504
5.57911 3.08042
5.57868 3.08057
5.56607 3.08597
5.56492 3.08643
5.55405 3.09185
5.55238 3.09261
5.54301 3.09802
5.54104 3.09905
5.53303 3.10448
5.53092 3.10576
5.52412 3.11119
5.52200 3.11267
5.51616 3.11809
5.51407 3.11974
5.50943 3.12518
5.50759 3.12696
5.50387 3.13238
5.50224 3.13426
5.49953 3.13967
8.64192 3.13808
8.64383 3.13426
8.64801 3.12882
8.64919 3.12696
8.65426 3.12153
8.65566 3.11974
8.66196 3.11431
8.66359 3.11267
8.67078 3.10724
8.67251 3.10576
8.68087 3.10034
8.68263 3.09905
8.69230 3.09363
8.69397 3.09261
8.70508 3.08719
8.70651 3.08643
8.71926 3.08103
8.72027 3.08057
8.73492 3.07519
8.73529 3.07504
8.75168 3.06987
8.76938 3.06508
8.78854 3.06069
8.80916 3.05669
8.83136 3.05308
8.85515 3.04989
8.88065 3.04707
8.90792 3.04465
8.93704 3.04258
8.96802 3.04087
9.00098 3.03946
9.03589 3.03834
9.07281 3.03746
9.11165 3.03684
9.15243 3.03638
9.19502 3.03606
9.23929 3.03587
9.28502 3.03577
9.33201 3.03571
9.38003 3.03569
9.42870 3.03569
9.47772 3.03569
9.52674 3.03569
9.57542 3.03569
9.62342 3.03571
9.67034 3.03577
9.71600 3.03587
9.76007 3.03606
9.80234 3.03638
9.84266 3.03684
9.88088 3.03746
9.91692 3.03834
9.95070 3.03946
9.98227 3.04087
10.01153 3.04258
10.03857 3.04465
10.06342 3.04707
10.08612 3.04989
10.10671 3.05308
10.12529 3.05669
10.14192 3.06069
10.15669 3.06508
10.16958 3.06987
10.18081 3.07504
10.19003 3.08042
10.19030 3.08057
10.19750 3.08597
10.19822 3.08643
10.20367 3.09185
10.20458 3.09261
10.20852 3.09802
10.20947 3.09905
10.21205 3.10448
10.21288 3.10576
10.21424 3.11119
10.21488 3.11267
10.21531 3.11809
10.21574 3.11974
10.21495 3.12518
10.21500 3.12696
10.21330 3.13238
10.21306 3.13426
10.21035 3.13967
7.06956 3.13808
7.07147 3.13426
7.07273 3.12882
7.07341 3.12696
7.07378 3.12153
7.07415 3.11974
7.07330 3.11431
7.07329 3.11267
7.07153 3.10724
7.07129 3.10576
7.06835 3.10034
7.06788 3.09905
7.06361 3.09363
7.06298 3.09261
7.05729 3.08719
7.05663 3.08643
7.04925 3.08103
7.04871 3.08057
7.03944 3.07519
7.03922 3.07504
7.02799 3.06987
7.01509 3.06508
7.00033 3.06069
6.98370 3.05669
6.96512 3.05308
6.94452 3.04989
6.92182 3.04707
6.89698 3.04465
6.86994 3.04258
6.84067 3.04087
6.80911 3.03946
6.77532 3.03834
6.73929 3.03746
6.70106 3.03684
6.66075 3.03638
6.61848 3.03606
6.57441 3.03587
6.52875 3.03577
6.48182 3.03571
6.43383 3.03569
6.38515 3.03569
6.33613 3.03569
6.33885 3.03025
6.34158 3.02481
6.34430 3.01937
6.34701 3.01394
6.34973 3.00849
6.35246 3.00305
6.35517 2.99762
6.35789 2.99217
6.36062 2.98672
6.36266 2.98264
6.32845 2.98268
6.31363 2.98264
6.27942 2.98268
6.26496 2.98264
6.23074 2.98270
6.21695 2.98268
6.18270 2.98278
6.16994 2.98276
6.13565 2.98291
6.12418 2.98291
6.08980 2.98318
6.07986 2.98321
6.04541 2.98360
6.03719 2.98367
6.00263 2.98426
5.99631 2.98436
5.96166 2.98523
5.95728 2.98533
5.92264 2.98655
5.92017 2.98663
5.88575 2.98826
5.88497 2.98830
5.85167 2.99042
5.82023 2.99301
5.79059 2.99611
5.76273 2.99975
5.73652 3.00396
5.71294 3.00859
5.71191 3.00878
5.69112 3.01367
5.68883 3.01419
5.67066 3.01927
5.66717 3.02020
5.65141 3.02540
5.64696 3.02681
5.63322 3.03210
5.62802 3.03400
5.61609 3.03935
5.61039 3.04174
5.59996 3.04713
5.59394 3.05004
5.58485 3.05544
5.57871 3.05884
5.57075 3.06426
5.56463 3.06810
5.55768 3.07352
5.55172 3.07778
5.54561 3.08322
5.53988 3.08784
5.53458 3.09327
5.52922 3.09819
5.52461 3.10363
5.51962 3.10882
5.51569 3.11425
5.51122 3.11963
5.50787 3.12506
5.50389 3.13050
5.50382 3.13057
5.50111 3.13601
5.49839 3.14144
2.35935 3.13631
2.36206 3.13090
2.36222 3.13057
2.36621 3.12516
2.36957 3.11972
2.36963 3.11963
2.37413 3.11421
2.37803 3.10882
2.38324 3.10338
2.38762 3.09819
2.39349 3.09278
2.39828 3.08784
2.40496 3.08242
2.41012 3.07778
2.41763 3.07236
2.42304 3.06810
2.43154 3.06268
2.43711 3.05884
2.44672 3.05344
2.45234 3.05004
2.46326 3.04465
2.46880 3.04174
2.48117 3.03640
2.48643 3.03400
2.50054 3.02871
2.50536 3.02681
2.52145 3.02159
2.52558 3.02020
2.54398 3.01512
2.54723 3.01419
2.56814 3.00931
2.57031 3.00878
2.59395 3.00417
2.59493 3.00396
2.62113 2.99975
2.64900 2.99611
2.67863 2.99301
2.71008 2.99042
2.74338 2.98830
2.77782 2.98666
2.77858 2.98663
2.81324 2.98543
2.81569 2.98533
2.85037 2.98447
2.85472 2.98436
2.88932 2.98379
2.89560 2.98367
2.93009 2.98331
2.93827 2.98321
2.97264 2.98300
2.98258 2.98291
3.01685 2.98283
3.02835 2.98276
3.06257 2.98274
3.07536 2.98268
3.10954 2.98270
3.12337 2.98264
3.15754 2.98268
3.17204 2.98264
3.20621 2.98268
3.22107 2.98264
3.25524 2.98268
3.27010 2.98264
3.30427 2.98268
3.31877 2.98264
3.35293 2.98270
3.36674 2.98268
3.40089 2.98278
3.41367 2.98276
3.44782 2.98291
3.45929 2.98291
3.49339 2.98318
3.50329 2.98321
3.53737 2.98360
3.54550 2.98367
3.57948 2.98426
3.58570 2.98436
3.61947 2.98523
3.62377 2.98533
3.65719 2.98655
3.65958 2.98663
3.69236 2.98826
3.69310 2.98830
3.72428 2.99042
3.75314 2.99301
3.77966 2.99611
3.80388 2.99975
3.82589 3.00396
3.84485 3.00859
3.84568 3.00878
3.86157 3.01367
3.86337 3.01419
3.87643 3.01927
3.87900 3.02020
3.88956 3.02540
3.89262 3.02681
3.90105 3.03210
3.90435 3.03400
3.91094 3.03935
3.91424 3.04174
3.91929 3.04713
3.92239 3.05004
3.92608 3.05544
3.92882 3.05884
3.93136 3.06426
3.93364 3.06810
3.93517 3.07352
3.93687 3.07778
3.93754 3.08322
3.93866 3.08784
3.93851 3.09327
3.93896 3.09819
3.93814 3.10363
3.93793 3.10882
3.93642 3.11425
3.93553 3.11963
3.93345 3.12506
3.93198 3.13050
3.93197 3.13057
3.92926 3.13601
3.92654 3.14144
7.07070 3.13631
7.07341 3.13090
7.07357 3.13057
7.07500 3.12516
7.07708 3.11972
7.07712 3.11963
7.07802 3.11421
7.07952 3.10882
7.07975 3.10338
7.08055 3.09819
7.08010 3.09278
7.08025 3.08784
7.07899 3.08242
7.07847 3.07778
7.07638 3.07236
7.07523 3.06810
7.07215 3.06268
7.07042 3.05884
7.06621 3.05344
7.06399 3.05004
7.05845 3.04465
7.05583 3.04174
7.04880 3.03640
7.04594 3.03400
7.03711 3.02871
7.03421 3.02681
7.02332 3.02159
7.02059 3.02020
7.00727 3.01512
7.00496 3.01419
6.98891 3.00931
6.98728 3.00878
6.96824 3.00417
6.96748 3.00396
6.94548 2.99975
6.92125 2.99611
6.89474 2.99301
6.86587 2.99042
6.83470 2.98830
6.80189 2.98666
6.80117 2.98663
6.76771 2.98543
6.76536 2.98533
6.73152 2.98447
6.72729 2.98436
6.69327 2.98379
6.68709 2.98367
6.65298 2.98331
6.64488 2.98321
6.61073 2.98300
6.60089 2.98291
6.56668 2.98283
6.55526 2.98276
6.52106 2.98274
6.50833 2.98268
6.47413 2.98270
6.46036 2.98264
6.42615 2.98268
6.41169 2.98264
6.37748 2.98268
6.36266 2.98264
6.36538 2.97719
6.36811 2.97174
6.37083 2.96630
6.37356 2.96085
6.37629 2.95539
6.37900 2.94995
6.38173 2.94449
6.38447 2.93903
6.38720 2.93357
6.38924 2.92948
6.36356 2.92955
6.34021 2.92948
6.31453 2.92955
6.29152 2.92950
6.26583 2.92957
6.24352 2.92954
6.21781 2.92965
6.19649 2.92963
6.17074 2.92982
6.15070 2.92986
6.12489 2.93013
6.10634 2.93024
6.08045 2.93066
6.06361 2.93085
6.03762 2.93148
6.02261 2.93177
5.99654 2.93267
5.98341 2.93307
5.95732 2.93431
5.94608 2.93481
5.92011 2.93647
5.91060 2.93704
5.88499 2.93922
5.87695 2.93987
5.85206 2.94260
5.84507 2.94333
5.82135 2.94661
5.81492 2.94747
5.79280 2.95129
5.78642 2.95236
5.76621 2.95661
5.75951 2.95798
5.74137 2.96262
5.73409 2.96441
5.71803 2.96930
5.71010 2.97162
5.69597 2.97671
5.68747 2.97965
5.67507 2.98487
5.66610 2.98847
5.65524 2.99377
5.64598 2.99808
5.63645 3.00343
5.62704 3.00842
5.61864 3.01381
5.60973 3.01919
5.60922 3.01950
5.60180 3.02490
5.59391 3.03031
5.59251 3.03124
5.58594 3.03665
5.57894 3.04207
5.57689 3.04359
5.57104 3.04901
5.56481 3.05445
5.56233 3.05650
5.55714 3.06194
5.55159 3.06736
5.54885 3.06991
5.54423 3.07535
5.53929 3.08076
5.53641 3.08373
5.53234 3.08917
5.52796 3.09458
5.52509 3.09789
5.52148 3.10332
5.51758 3.10876
5.51478 3.11231
5.51165 3.11775
5.50826 3.12318
5.50566 3.12691
5.50294 3.13234
5.50022 3.13777
8.64070 3.14000
8.64342 3.13456
8.64614 3.12913
8.64725 3.12691
8.65094 3.12149
8.65424 3.11606
8.65638 3.11231
8.66056 3.10688
8.66434 3.10146
8.66668 3.09789
8.67130 3.09247
8.67555 3.08704
8.67800 3.08373
8.68317 3.07829
8.68795 3.07288
8.69044 3.06991
8.69617 3.06449
8.70153 3.05905
8.70393 3.05650
8.71032 3.05108
8.71630 3.04566
8.71848 3.04359
8.72561 3.03817
8.73230 3.03274
8.73410 3.03124
8.74207 3.02584
8.74957 3.02041
8.75081 3.01950
8.75974 3.01411
8.76818 3.00872
8.76863 3.00842
8.77868 3.00309
8.78757 2.99808
8.79892 2.99278
8.80770 2.98847
8.82053 2.98327
8.82906 2.97965
8.84359 2.97458
8.85170 2.97162
8.86813 2.96674
8.87569 2.96441
8.89413 2.95980
8.90110 2.95798
8.92158 2.95373
8.92801 2.95236
8.95035 2.94856
8.95652 2.94747
8.98041 2.94422
8.98666 2.94333
9.01169 2.94063
9.01854 2.93987
9.04428 2.93773
9.05219 2.93704
9.07828 2.93542
9.08767 2.93481
9.11386 2.93362
9.12501 2.93307
9.15115 2.93225
9.16420 2.93177
9.19023 2.93124
9.20520 2.93085
9.23111 2.93053
9.24794 2.93024
9.27373 2.93007
9.29229 2.92986
9.31801 2.92978
9.33808 2.92963
9.36374 2.92963
9.38512 2.92954
9.41074 2.92957
9.43311 2.92950
9.45873 2.92955
9.48180 2.92948
9.50741 2.92955
9.53083 2.92948
9.55644 2.92955
9.57987 2.92948
9.60547 2.92955
9.62854 2.92950
9.65414 2.92957
9.67649 2.92954
9.70208 2.92965
9.72343 2.92963
9.74900 2.92982
9.76900 2.92986
9.79454 2.93013
9.81297 2.93024
9.83844 2.93066
9.85509 2.93085
9.88046 2.93148
9.89517 2.93177
9.92035 2.93267
9.93306 2.93307
9.95791 2.93431
9.96867 2.93481
9.99297 2.93647
10.00192 2.93704
10.02535 2.93922
10.03275 2.93987
10.05490 2.94260
10.06117 2.94333
10.08161 2.94661
10.08717 2.94747
10.10548 2.95129
10.11078 2.95236
10.12672 2.95661
10.13207 2.95798
10.14556 2.96262
10.15104 2.96441
10.16223 2.96930
10.16783 2.97162
10.17687 2.97671
10.18245 2.97965
10.18961 2.98487
10.19497 2.98847
10.20053 2.99377
10.20550 2.99808
10.20969 3.00343
10.21410 3.00842
10.21712 3.01381
10.22063 3.01919
10.22084 3.01950
10.22286 3.02490
10.22534 3.03031
10.22581 3.03124
10.22698 3.03665
10.22856 3.04207
10.22908 3.04359
10.22949 3.04901
10.23029 3.05445
10.23072 3.05650
10.23048 3.06194
10.23060 3.06736
10.23081 3.06991
10.22999 3.07535
10.22951 3.08076
10.22943 3.08373
10.22806 3.08917
10.22702 3.09458
10.22659 3.09789
10.22475 3.10332
10.22322 3.10876
10.22245 3.11231
10.22016 3.11775
10.21811 3.12318
10.21700 3.12691
10.21428 3.13234
10.21156 3.13777
7.06886 3.14000
7.07158 3.13456
7.07430 3.12913
7.07541 3.12691
7.07711 3.12149
7.07926 3.11606
7.08086 3.11231
7.08212 3.10688
7.08376 3.10146
7.08499 3.09789
7.08578 3.09247
7.08696 3.08704
7.08783 3.08373
7.08808 3.07829
7.08872 3.07288
7.08922 3.06991
7.08888 3.06449
7.08897 3.05905
7.08913 3.05650
7.08816 3.05108
7.08760 3.04566
7.08749 3.04359
7.08578 3.03817
7.08451 3.03274
7.08422 3.03124
7.08165 3.02584
7.07956 3.02041
7.07924 3.01950
7.07569 3.01411
7.07266 3.00872
7.07250 3.00842
7.06780 3.00309
7.06391 2.99808
7.05785 2.99278
7.05338 2.98847
7.04574 2.98327
7.04085 2.97965
7.03138 2.97458
7.02624 2.97162
7.01469 2.96674
7.00945 2.96441
6.99562 2.95980
6.99047 2.95798
6.97426 2.95373
6.96918 2.95236
6.95064 2.94856
6.94558 2.94747
6.92493 2.94422
6.91958 2.94333
6.89722 2.94063
6.89116 2.93987
6.86754 2.93773
6.86033 2.93704
6.83585 2.93542
6.82708 2.93481
6.80207 2.93362
6.79147 2.93307
6.76616 2.93225
6.75358 2.93177
6.72809 2.93124
6.71350 2.93085
6.68793 2.93053
6.67138 2.93024
6.64575 2.93007
6.62741 2.92986
6.60177 2.92978
6.58184 2.92963
6.55618 2.92963
6.53490 2.92954
6.50923 2.92957
6.48694 2.92950
6.46127 2.92955
6.43827 2.92948
6.41259 2.92955
6.38924 2.92948
6.39197 2.92401
6.39470 2.91856
6.39743 2.91310
6.40017 2.90763
6.40289 2.90217
6.40563 2.89670
6.40837 2.89122
6.41111 2.88574
6.41384 2.88028
6.41590 2.87616
6.39535 2.87624
6.37484 2.87622
6.36688 2.87616
6.34631 2.87626
6.32581 2.87622
6.31818 2.87618
6.29762 2.87628
6.27711 2.87626
6.27018 2.87624
6.24960 2.87635
6.22906 2.87637
6.22313 2.87635
6.20252 2.87655
6.18192 2.87664
6.17730 2.87664
6.15663 2.87693
6.13597 2.87710
6.13290 2.87712
6.11215 2.87756
6.09140 2.87787
6.09009 2.87789
6.06923 2.87854
6.04897 2.87906
6.02803 2.87996
6.00962 2.88067
5.98863 2.88193
5.97205 2.88285
5.95113 2.88454
5.93628 2.88567
5.91561 2.88785
5.90226 2.88921
5.88214 2.89195
5.86996 2.89354
5.85071 2.89683
5.83930 2.89873
5.82127 2.90255
5.81018 2.90483
5.79365 2.90912
5.78255 2.91189
5.76764 2.91654
5.75633 2.91994
5.74304 2.92485
5.73142 2.92900
5.71965 2.93410
5.70777 2.93905
5.69739 2.94426
5.68657 2.94949
5.68530 2.95008
5.67612 2.95541
5.66656 2.96069
5.66396 2.96211
5.65584 2.96747
5.64737 2.97282
5.64370 2.97507
5.63649 2.98047
5.62896 2.98584
5.62451 2.98891
5.61807 2.99432
5.61134 2.99973
5.60634 3.00360
5.60056 3.00903
5.59451 3.01445
5.58915 3.01906
5.58397 3.02449
5.57855 3.02991
5.57298 3.03522
5.56831 3.04064
5.56342 3.04608
5.55827 3.05150
5.55780 3.05198
5.55359 3.05742
5.54919 3.06284
5.54452 3.06827
5.54364 3.06926
5.53986 3.07470
5.53590 3.08012
5.53169 3.08555
5.53055 3.08696
5.52715 3.09240
5.52358 3.09783
5.51979 3.10325
5.51850 3.10500
5.51546 3.11043
5.51232 3.11585
5.50892 3.12128
5.50759 3.12324
5.50487 3.12867
5.50216 3.13411
5.49945 3.13952
8.64169 3.13823
8.64440 3.13280
8.64711 3.12738
8.64918 3.12324
8.65272 3.11780
8.65594 3.11239
8.65901 3.10695
8.66009 3.10500
8.66400 3.09956
8.66763 3.09413
8.67107 3.08871
8.67214 3.08696
8.67642 3.08154
8.68045 3.07611
8.68427 3.07067
8.68523 3.06926
8.68995 3.06383
8.69440 3.05841
8.69865 3.05297
8.69940 3.05198
8.70458 3.04654
8.70949 3.04112
8.71418 3.03568
8.71457 3.03522
8.72026 3.02980
8.72569 3.02435
8.73074 3.01906
8.73703 3.01364
8.74304 3.00821
8.74793 3.00360
8.75488 2.99819
8.76153 2.99278
8.76611 2.98891
8.77384 2.98352
8.78124 2.97812
8.78530 2.97507
8.79392 2.96972
8.80219 2.96436
8.80556 2.96211
8.81522 2.95680
8.82449 2.95150
8.82690 2.95008
8.83774 2.94487
8.84818 2.93964
8.84936 2.93905
8.86156 2.93397
8.87301 2.92900
8.88671 2.92411
8.89792 2.91994
8.91320 2.91533
8.92415 2.91189
8.94102 2.90764
8.95178 2.90483
8.97010 2.90104
8.98089 2.89873
9.00039 2.89547
9.01155 2.89354
9.03191 2.89084
9.04385 2.88921
9.06472 2.88707
9.07788 2.88567
9.09895 2.88404
9.11364 2.88285
9.13474 2.88166
9.15121 2.88067
9.17221 2.87986
9.19056 2.87906
9.21145 2.87852
9.23168 2.87789
9.25243 2.87758
9.27319 2.87716
9.27450 2.87712
9.29515 2.87697
9.31582 2.87668
9.31889 2.87664
9.33947 2.87658
9.36007 2.87641
9.36472 2.87635
9.38524 2.87637
9.40581 2.87628
9.41177 2.87624
9.43227 2.87628
9.45282 2.87622
9.45978 2.87618
9.48025 2.87626
9.50079 2.87622
9.50847 2.87616
9.52894 2.87624
9.54947 2.87622
9.55749 2.87616
9.57797 2.87624
9.59850 2.87622
9.60652 2.87616
9.62698 2.87626
9.64752 2.87622
9.65519 2.87618
9.67566 2.87628
9.69619 2.87626
9.70314 2.87624
9.72360 2.87635
9.74412 2.87637
9.75007 2.87635
9.77050 2.87655
9.79099 2.87664
9.79562 2.87664
9.81601 2.87693
9.83649 2.87710
9.83953 2.87712
9.85985 2.87756
9.88030 2.87787
9.88158 2.87789
9.90178 2.87854
9.92153 2.87906
9.94156 2.87996
9.95927 2.88067
9.97899 2.88193
9.99465 2.88285
10.01389 2.88454
10.02761 2.88567
10.04608 2.88785
10.05807 2.88921
10.07548 2.89195
10.08606 2.89354
10.10200 2.89683
10.11153 2.89873
10.12573 2.90255
