# sss file
-1.57080 3.14159
-0.10441 3.14102
-0.20883 3.14045
-0.31344 3.14007
-0.41785 3.13950
-0.52227 3.13893
-0.62668 3.13836
-0.73119 3.13798
-0.83571 3.13741
-0.94012 3.13684
-1.04454 3.13627
-1.14895 3.13570
-1.25346 3.13532
-1.35798 3.13475
-1.46239 3.13418
-1.56681 3.13361
-1.67132 3.13323
-1.77573 3.13266
-1.88025 3.13209
-1.98466 3.13152
-2.08908 3.13095
-2.19359 3.13057
-2.29800 3.13000
-2.40252 3.12943
-2.50693 3.12886
-2.61144 3.12848
-2.71586 3.12791
-2.82027 3.12734
-2.92479 3.12677
-3.02920 3.12620
-3.13371 3.12582
-3.23813 3.12525
-3.34254 3.12468
-3.44706 3.12411
-3.55157 3.12373
-3.65598 3.12316
-3.76040 3.12259
-3.86481 3.12202
-3.96933 3.12145
-4.07384 3.12107
-4.17825 3.12050
-4.28267 3.11993
-4.38708 3.11936
-4.49169 3.11898
-4.59611 3.11841
-4.70052 3.11784
-4.80494 3.11727
-4.90935 3.11670
-5.01396 3.11632
-5.11838 3.11575
-5.22279 3.11518
-5.32721 3.11461
-5.43172 3.11423
-5.53623 3.11366
-5.64065 3.11309
-5.74506 3.11252
-5.84948 3.11195
-5.95399 3.11157
-6.05840 3.11100
-6.16292 3.11043
-6.26733 3.10986
-6.37184 3.10948
-6.47626 3.10891
-6.58067 3.10834
-6.68519 3.10777
-6.78960 3.10720
-6.89411 3.10682
-6.99853 3.10625
-7.10294 3.10568
-7.20746 3.10511
-7.31197 3.10473
-7.41638 3.10416
-7.52080 3.10359
-7.62521 3.10302
-7.72973 3.10245
-7.83424 3.10207
-7.93865 3.10150
-8.04306 3.10093
-8.14748 3.10036
-8.25209 3.09998
-8.35650 3.09941
-8.46092 3.09884
-8.56533 3.09827
-8.66975 3.09770
-8.77436 3.09732
-8.87877 3.09675
-8.98319 3.09618
-9.08760 3.09561
-9.19211 3.09523
-9.29663 3.09466
-9.40104 3.09409
-9.50546 3.09352
-9.60987 3.09295
-9.71438 3.09257
-9.81890 3.09200
-9.92331 3.09143
-10.02773 3.09086
-10.13224 3.09048
-10.23665 3.08991
-10.34117 3.08934
-10.44558 3.08877
-10.55000 3.08820
-10.65451 3.08782
-10.75892 3.08725
-10.86344 3.08668
-10.96785 3.08611
-11.07236 3.08573
-11.17678 3.08516
-11.28119 3.08458
-11.38571 3.08401
-11.49012 3.08344
-11.59463 3.08306
-11.69905 3.08249
-11.80346 3.08192
-11.90798 3.08135
-12.01249 3.08097
-12.11690 3.08040
-12.22132 3.07983
-12.32573 3.07926
-12.43025 3.07869
-12.53476 3.07831
-12.63917 3.07774
-12.74359 3.07717
-12.84800 3.07660
-12.95261 3.07622
-13.05703 3.07565
-13.16144 3.07508
-13.26586 3.07451
-13.37027 3.07394
-13.47488 3.07356
-13.57929 3.07299
-13.68371 3.07242
-13.78812 3.07185
-13.89263 3.07147
-13.99715 3.07090
-14.10156 3.07033
-14.20598 3.06976
-14.31039 3.06919
-14.41490 3.06881
-14.51932 3.06824
-14.62383 3.06767
-14.72825 3.06710
-14.83276 3.06672
-14.93717 3.06614
-15.04159 3.06557
-15.14610 3.06500
-15.25052 3.06443
-15.35503 3.06405
-15.45944 3.06348
-15.56386 3.06291
-15.66837 3.06234
-15.77288 3.06196
-15.87730 3.06139
-15.98171 3.06082
-16.08613 3.06025
-16.19064 3.05968
-16.29515 3.05930
-16.39956 3.05873
-16.50398 3.05816
-16.60839 3.05759
-16.71300 3.05721
