# sss file
-1.57080 3.14159
0.00272 3.13616
0.00543 3.13074
0.00815 3.12531
0.01086 3.11988
0.01358 3.11444
0.01629 3.10903
0.01900 3.10359
0.02172 3.09816
0.02443 3.09274
0.02715 3.08730
0.02987 3.08187
0.03258 3.07643
0.03529 3.07101
0.03801 3.06557
0.04073 3.06014
0.04344 3.05472
0.04616 3.04928
0.04888 3.04384
0.05160 3.03840
0.05431 3.03297
0.05703 3.02753
0.05976 3.02209
0.06247 3.01666
0.06519 3.01122
0.06791 3.00577
0.07064 3.00032
0.07335 2.99490
0.07608 2.98945
0.07880 2.98400
0.08152 2.97856
0.08424 2.97311
0.08661 2.96838
0.08486 2.96600
0.07265 2.96121
0.07098 2.96052
0.05184 2.95669
0.03759 2.95363
0.03662 2.95342
0.01336 2.95064
-0.00589 2.94816
-0.01938 2.94634
-0.04473 2.94459
-0.06739 2.94285
-0.09176 2.94086
-0.09323 2.94075
-0.11952 2.93991
-0.14417 2.93899
-0.16991 2.93794
-0.17870 2.93756
-0.20537 2.93760
-0.23086 2.93752
-0.25739 2.93735
-0.26859 2.93723
-0.29534 2.93815
-0.32074 2.93890
-0.34774 2.93958
-0.35541 2.93976
-0.38183 2.94157
-0.40618 2.94310
-0.43154 2.94459
-0.45690 2.94735
-0.47901 2.94961
-0.49009 2.95071
-0.51284 2.95445
-0.52644 2.95659
-0.54142 2.96052
-0.54347 2.96111
-0.54660 2.95797
-0.55997 2.95337
-0.56407 2.95188
-0.58355 2.94827
-0.59798 2.94545
-0.60279 2.94447
-0.62574 2.94191
-0.64463 2.93968
-0.66268 2.93743
-0.68735 2.93588
-0.70919 2.93437
-0.73307 2.93261
-0.73933 2.93211
-0.76476 2.93148
-0.78824 2.93078
-0.81326 2.92994
-0.82624 2.92944
-0.85198 2.92967
-0.87606 2.92976
-0.90175 2.92978
-0.91614 2.92975
-0.94191 2.93083
-0.96571 2.93171
-0.99177 2.93259
-1.00149 2.93290
-1.02686 2.93488
-1.04941 2.93653
-1.07472 2.93827
-1.09885 2.94121
-1.11897 2.94354
-1.12915 2.94466
-1.15043 2.94861
-1.16102 2.95048
-1.17258 2.95398
-1.17364 2.95382
-1.17870 2.94989
-1.19306 2.94550
-1.20002 2.94325
-1.21972 2.93989
-1.23427 2.93725
-1.24306 2.93561
-1.26568 2.93330
-1.28419 2.93126
-1.30582 2.92877
-1.30670 2.92866
-1.33071 2.92732
-1.35175 2.92602
-1.37512 2.92449
-1.38590 2.92373
-1.41054 2.92329
-1.43292 2.92277
-1.45724 2.92212
-1.47399 2.92160
-1.49887 2.92201
-1.52163 2.92227
-1.54653 2.92248
-1.56361 2.92254
-1.58847 2.92382
-1.61076 2.92483
-1.63596 2.92590
-1.64720 2.92634
-1.67158 2.92850
-1.69244 2.93024
-1.71722 2.93219
-1.74020 2.93532
-1.75846 2.93769
-1.76740 2.93882
-1.78720 2.94294
-1.79489 2.94449
-1.80337 2.94741
-1.80404 2.94648
-1.81150 2.94180
-1.82670 2.93762
-1.83651 2.93477
-1.83691 2.93466
-1.85672 2.93152
-1.87129 2.92910
-1.88422 2.92684
-1.90648 2.92476
-1.92457 2.92294
-1.94595 2.92067
-1.95139 2.92008
-1.97478 2.91895
-1.99504 2.91784
-2.01790 2.91652
-2.03290 2.91558
-2.05680 2.91531
-2.07812 2.91499
-2.10180 2.91453
-2.12189 2.91405
-2.14597 2.91463
-2.16747 2.91505
-2.19164 2.91545
-2.21094 2.91566
-2.23496 2.91709
-2.25582 2.91824
-2.28023 2.91950
-2.29246 2.92008
-2.31592 2.92243
-2.33518 2.92424
-2.35903 2.92638
-2.38089 2.92971
-2.39738 2.93210
-2.40482 2.93315
-2.42320 2.93746
-2.42805 2.93855
-2.43390 2.94084
-2.43477 2.93909
-2.44411 2.93420
-2.44509 2.93368
-2.46094 2.92971
-2.47115 2.92703
-2.47470 2.92608
-2.49454 2.92319
-2.50909 2.92095
-2.52623 2.91820
-2.54810 2.91635
-2.56575 2.91472
-2.58688 2.91268
-2.59670 2.91168
-2.61949 2.91074
-2.63899 2.90984
-2.66137 2.90873
-2.68015 2.90768
-2.68025 2.90768
-2.70347 2.90761
-2.72378 2.90743
-2.74684 2.90717
-2.76693 2.90684
-2.76986 2.90678
-2.79322 2.90755
-2.81353 2.90808
-2.83703 2.90868
-2.85759 2.90906
-2.85805 2.90908
-2.88130 2.91069
-2.90080 2.91193
-2.92445 2.91336
-2.93722 2.91409
-2.95980 2.91661
-2.97753 2.91849
-3.00011 2.92080
-3.02087 2.92430
-3.03568 2.92671
-3.04143 2.92762
-3.05837 2.93210
-3.06057 2.93267
-3.06430 2.93424
-3.06594 2.93164
-3.07650 2.92692
-3.07950 2.92552
-3.09590 2.92180
-3.10643 2.91929
-3.11344 2.91757
-3.13323 2.91493
-3.14769 2.91287
-3.16661 2.91007
-3.16905 2.90969
-3.19051 2.90805
-3.20770 2.90661
-3.22856 2.90481
-3.24261 2.90351
-3.26484 2.90277
-3.28357 2.90202
-3.30547 2.90112
-3.32365 2.90026
-3.32792 2.90005
-3.35050 2.90014
-3.36984 2.90012
-3.39233 2.90005
-3.41156 2.89988
-3.41786 2.89982
-3.44055 2.90074
-3.45971 2.90141
-3.48258 2.90217
-3.50209 2.90271
-3.50489 2.90278
-3.52741 2.90456
-3.54562 2.90590
-3.56855 2.90753
-3.58142 2.90837
-3.60316 2.91109
-3.61943 2.91302
-3.64040 2.91541
-3.66008 2.91912
-3.67329 2.92151
-3.67721 2.92220
-3.69253 2.92678
-3.69467 2.92759
-3.69766 2.92413
-3.70929 2.91960
-3.71479 2.91736
-3.73160 2.91388
-3.74237 2.91155
-3.75309 2.90914
-3.77275 2.90671
-3.78711 2.90485
-3.80602 2.90229
-3.81262 2.90135
-3.83368 2.89989
-3.85041 2.89865
-3.87096 2.89706
-3.88687 2.89572
-3.88902 2.89555
-3.91072 2.89498
-3.92872 2.89442
-3.95016 2.89369
-3.96772 2.89300
-3.97585 2.89268
-3.99782 2.89293
-4.01624 2.89306
-4.03819 2.89316
-4.05659 2.89316
-4.06583 2.89314
-4.08788 2.89421
-4.10597 2.89501
-4.12823 2.89593
-4.14673 2.89662
-4.15141 2.89677
-4.17323 2.89873
-4.19021 2.90016
-4.21246 2.90194
-4.22501 2.90290
-4.24592 2.90581
-4.26080 2.90776
-4.27989 2.91021
-4.29848 2.91411
-4.31019 2.91648
-4.31221 2.91688
-4.32402 2.92090
-4.32513 2.92086
-4.33000 2.91656
-4.34256 2.91224
-4.34939 2.90979
-4.35099 2.90921
-4.36808 2.90596
-4.37904 2.90378
-4.39363 2.90078
-4.41314 2.89859
-4.42732 2.89689
-4.44618 2.89455
-4.45692 2.89316
-4.47758 2.89191
-4.49382 2.89084
-4.51406 2.88946
-4.52962 2.88829
-4.53593 2.88781
-4.55712 2.88743
-4.57439 2.88703
-4.59538 2.88647
-4.61234 2.88596
-4.62396 2.88557
-4.64538 2.88599
-4.66290 2.88626
-4.68434 2.88653
-4.70194 2.88666
-4.71369 2.88674
-4.73516 2.88799
-4.75220 2.88889
-4.77391 2.89000
-4.79142 2.89078
-4.79752 2.89105
-4.81870 2.89318
-4.83447 2.89467
-4.85609 2.89664
-4.86794 2.89767
-4.88804 2.90076
-4.90157 2.90275
-4.91856 2.90518
-4.93604 2.90925
-4.94633 2.91158
-4.94642 2.91160
-4.95513 2.91497
-4.95579 2.91403
-4.96287 2.90904
-4.96303 2.90893
-4.97640 2.90483
-4.98366 2.90252
-4.98809 2.90108
-5.00538 2.89808
-5.01648 2.89605
-5.03300 2.89293
-5.03504 2.89252
-5.05436 2.89055
-5.06834 2.88904
-5.08710 2.88693
-5.10023 2.88536
-5.10190 2.88515
-5.12217 2.88412
-5.13792 2.88320
-5.15783 2.88201
-5.17301 2.88101
-5.18324 2.88032
-5.20396 2.88011
-5.22052 2.87984
-5.24108 2.87948
-5.25744 2.87911
-5.27222 2.87875
-5.29312 2.87934
-5.30977 2.87973
-5.33073 2.88017
-5.34755 2.88044
-5.36140 2.88063
-5.38233 2.88205
-5.39836 2.88304
-5.41952 2.88431
-5.43607 2.88521
-5.44320 2.88559
-5.46373 2.88789
-5.47835 2.88944
-5.49935 2.89161
-5.51015 2.89266
-5.52945 2.89593
-5.54169 2.89792
-5.55636 2.90026
-5.57271 2.90453
-5.57992 2.90636
-5.58596 2.90900
-5.58677 2.90715
-5.59509 2.90233
-5.59686 2.90125
-5.61087 2.89741
-5.61850 2.89520
-5.62612 2.89296
-5.64352 2.89021
-5.65471 2.88833
-5.67143 2.88546
-5.67731 2.88440
-5.69640 2.88264
-5.71015 2.88128
-5.72875 2.87938
-5.74175 2.87798
-5.74752 2.87735
-5.76739 2.87649
-5.78265 2.87574
-5.80223 2.87473
-5.81702 2.87390
-5.83093 2.87308
-5.85118 2.87302
-5.86707 2.87290
-5.88722 2.87271
-5.90298 2.87250
-5.92055 2.87219
-5.94097 2.87294
-5.95679 2.87346
-5.97730 2.87405
-5.99333 2.87446
-6.00889 2.87480
-6.02929 2.87637
-6.04435 2.87747
-6.06501 2.87890
-6.08063 2.87992
-6.08835 2.88040
-6.10828 2.88287
-6.12177 2.88446
-6.14216 2.88682
-6.15162 2.88785
-6.17010 2.89132
-6.18109 2.89329
-6.19334 2.89545
-6.20691 2.90020
-6.21335 2.90238
-6.21646 2.90342
-6.21801 2.90064
-6.22746 2.89599
-6.23131 2.89402
-6.24589 2.89040
-6.25388 2.88835
-6.26492 2.88540
-6.28239 2.88287
-6.29365 2.88115
-6.31052 2.87850
-6.32021 2.87689
-6.33909 2.87534
-6.35264 2.87415
-6.37109 2.87246
-6.38397 2.87120
-6.39353 2.87024
-6.41308 2.86957
-6.42788 2.86895
-6.44719 2.86815
-6.46163 2.86746
-6.47875 2.86658
-6.49863 2.86671
-6.51388 2.86671
-6.53368 2.86669
-6.54890 2.86661
-6.56860 2.86644
-6.56874 2.86644
-6.58874 2.86734
-6.60380 2.86796
-6.62391 2.86872
-6.63924 2.86924
-6.65595 2.86976
-6.67589 2.87150
-6.69004 2.87265
-6.71025 2.87427
-6.72501 2.87536
-6.73277 2.87593
-6.75212 2.87858
-6.76457 2.88021
-6.78441 2.88276
-6.79212 2.88369
-6.80980 2.88735
-6.81963 2.88931
-6.82929 2.89120
-6.84336 2.89584
-6.84487 2.89632
-6.84709 2.89727
-6.84995 2.89358
-6.86041 2.88913
-6.86509 2.88707
-6.86681 2.88628
-6.88180 2.88291
-6.89008 2.88097
-6.90440 2.87750
-6.90478 2.87741
-6.92223 2.87511
-6.93350 2.87354
-6.95041 2.87110
-6.96091 2.86953
-6.96404 2.86905
-6.98266 2.86769
-6.99592 2.86665
-7.01418 2.86516
-7.02686 2.86406
-7.04025 2.86285
-7.05942 2.86234
-7.07373 2.86189
-7.09272 2.86124
-7.10672 2.86069
-7.12551 2.85992
-7.12699 2.85984
-7.14645 2.86011
-7.16106 2.86026
-7.18048 2.86040
-7.19510 2.86044
-7.21447 2.86044
-7.21705 2.86044
-7.23662 2.86149
-7.25087 2.86220
-7.27058 2.86314
-7.28516 2.86376
-7.30282 2.86447
-7.32227 2.86636
-7.33551 2.86759
-7.35526 2.86938
-7.36907 2.87055
-7.37673 2.87120
-7.39547 2.87402
-7.40687 2.87568
-7.42609 2.87841
-7.43197 2.87921
-7.44877 2.88304
-7.45747 2.88498
-7.46459 2.88653
-7.47664 2.89101
-7.47779 2.89103
-7.48251 2.88643
-7.49385 2.88222
-7.49894 2.88025
-7.50323 2.87856
-7.51853 2.87542
-7.52703 2.87361
-7.54172 2.87037
-7.54556 2.86951
-7.56294 2.86742
-7.57415 2.86600
-7.59107 2.86379
-7.60158 2.86234
-7.60859 2.86136
-7.62695 2.86019
-7.63990 2.85930
-7.65796 2.85802
-7.67042 2.85706
-7.68744 2.85570
-7.70627 2.85535
-7.72006 2.85502
-7.73874 2.85454
-7.75233 2.85414
-7.77083 2.85353
-7.77543 2.85337
-7.79450 2.85380
-7.80844 2.85405
-7.82752 2.85435
-7.84154 2.85451
-7.86060 2.85468
-7.86525 2.85472
-7.88440 2.85593
-7.89789 2.85671
-7.91721 2.85783
-7.93105 2.85854
-7.94929 2.85944
-7.96827 2.86151
-7.98060 2.86280
-7.99989 2.86473
-8.01281 2.86598
-8.02001 2.86667
-8.03814 2.86968
-8.04850 2.87133
-8.06710 2.87425
-8.07095 2.87484
-8.08687 2.87887
-8.09448 2.88074
-8.09913 2.88187
-8.10802 2.88563
-8.10869 2.88469
-8.11511 2.87973
-8.11575 2.87923
-8.12784 2.87522
-8.13331 2.87335
-8.14053 2.87081
-8.15607 2.86792
-8.16475 2.86625
-8.17972 2.86324
-8.18720 2.86170
-8.20448 2.85982
-8.21560 2.85854
-8.23247 2.85654
-8.24297 2.85524
-8.25382 2.85385
-8.27192 2.85287
-8.28453 2.85213
-8.30238 2.85101
-8.31459 2.85020
-8.33216 2.84898
-8.33503 2.84876
-8.35353 2.84857
-8.36682 2.84838
-8.38522 2.84807
-8.39834 2.84779
-8.41661 2.84736
-8.42398 2.84715
-8.44269 2.84775
-8.45600 2.84809
-8.47474 2.84855
-8.48819 2.84884
-8.50694 2.84917
-8.51328 2.84926
-8.53205 2.85063
-8.54479 2.85151
-8.56372 2.85276
-8.57682 2.85357
-8.59529 2.85466
-8.61381 2.85691
-8.62524 2.85821
-8.64408 2.86034
-8.65614 2.86165
-8.66256 2.86234
-8.68008 2.86554
-8.68942 2.86719
-8.70741 2.87030
-8.70909 2.87058
-8.72408 2.87480
-8.73065 2.87660
-8.73294 2.87724
-8.73910 2.88015
-8.73989 2.87823
-8.74748 2.87346
-8.74977 2.87195
-8.76249 2.86819
-8.76832 2.86642
-8.77877 2.86312
-8.79445 2.86046
-8.80327 2.85890
-8.81846 2.85614
-8.82662 2.85460
-8.82967 2.85401
-8.84683 2.85234
-8.85783 2.85120
-8.87463 2.84942
-8.88508 2.84825
-8.89968 2.84656
-8.91751 2.84575
-8.92980 2.84513
-8.94741 2.84419
-8.95936 2.84352
-8.97675 2.84246
-8.98300 2.84208
-9.00117 2.84204
-9.01396 2.84196
-9.03207 2.84183
-9.04477 2.84168
-9.06277 2.84141
-9.07262 2.84121
-9.09099 2.84196
-9.10367 2.84241
-9.12209 2.84302
-9.13495 2.84341
-9.15341 2.84390
-9.16110 2.84408
-9.17951 2.84561
-9.19147 2.84656
-9.21006 2.84796
-9.22245 2.84886
-9.24077 2.85013
-9.25884 2.85253
-9.26940 2.85387
-9.28781 2.85620
-9.29897 2.85754
-9.30435 2.85817
-9.32122 2.86157
-9.32958 2.86320
-9.34637 2.86640
-9.36041 2.87081
-9.36601 2.87254
-9.36605 2.87254
-9.37002 2.87459
-9.37151 2.87168
-9.38016 2.86709
-9.38321 2.86541
-9.38461 2.86464
-9.39785 2.86113
-9.40397 2.85944
-9.41666 2.85585
-9.41792 2.85547
-9.43370 2.85305
-9.44261 2.85161
-9.45794 2.84907
-9.46625 2.84765
-9.47297 2.84646
-9.48997 2.84498
-9.50082 2.84398
-9.51750 2.84239
-9.52787 2.84135
-9.54425 2.83966
-9.54611 2.83945
-9.56370 2.83881
-9.57562 2.83831
-9.59302 2.83756
-9.60467 2.83701
-9.62189 2.83614
-9.63126 2.83564
-9.64913 2.83576
-9.66142 2.83579
-9.67926 2.83581
-9.69152 2.83578
-9.70929 2.83568
-9.72127 2.83554
-9.73931 2.83643
-9.75137 2.83697
-9.76950 2.83776
-9.78176 2.83822
-9.79995 2.83889
-9.80863 2.83916
-9.82667 2.84085
-9.83789 2.84185
-9.85614 2.84342
-9.86780 2.84438
-9.88568 2.84581
-9.90330 2.84838
-9.91298 2.84976
-9.93093 2.85224
-9.94123 2.85362
-9.94533 2.85416
-9.96154 2.85775
-9.96894 2.85934
-9.98280 2.86228
-9.99583 2.86686
-9.99859 2.86782
-10.00088 2.86892
-10.00365 2.86502
-10.01324 2.86065
-10.01668 2.85904
-10.02029 2.85729
-10.03395 2.85403
-10.04036 2.85243
-10.05351 2.84907
-10.05801 2.84788
-10.07382 2.84567
-10.08277 2.84437
-10.09818 2.84204
-10.10658 2.84073
-10.11702 2.83906
-10.13386 2.83777
-10.14453 2.83691
-10.16109 2.83551
-10.17135 2.83458
-10.18763 2.83308
-10.19308 2.83256
-10.21040 2.83208
-10.22197 2.83172
-10.23915 2.83114
-10.25051 2.83070
-10.26753 2.83001
-10.27865 2.82951
-10.27977 2.82945
-10.29737 2.82974
-10.30916 2.82987
-10.32672 2.83005
-10.33853 2.83010
-10.35606 2.83016
-10.36786 2.83016
-10.36987 2.83014
-10.38761 2.83118
-10.39905 2.83180
-10.41689 2.83274
-10.42859 2.83330
-10.44649 2.83410
-10.45581 2.83449
-10.47350 2.83633
-10.48400 2.83739
-10.50190 2.83914
-10.51285 2.84016
-10.52996 2.84170
-10.54711 2.84446
-10.55594 2.84584
-10.57344 2.84851
-10.58289 2.84992
-10.58548 2.85028
-10.60100 2.85408
-10.60748 2.85562
-10.61840 2.85817
-10.63042 2.86293
-10.63061 2.86301
-10.63180 2.86310
-10.63639 2.85827
-10.64682 2.85412
-10.65060 2.85257
-10.65689 2.84994
-10.67086 2.84690
-10.67750 2.84540
-10.69102 2.84229
-10.69710 2.84083
-10.69898 2.84039
-10.71477 2.83839
-10.72375 2.83720
-10.73919 2.83510
-10.74766 2.83389
-10.76181 2.83183
-10.77846 2.83074
-10.78893 2.82999
-10.80536 2.82878
-10.81547 2.82797
-10.83166 2.82666
-10.84052 2.82591
-10.85759 2.82558
-10.86879 2.82533
-10.88574 2.82491
-10.89678 2.82458
-10.91363 2.82406
-10.92449 2.82368
-10.92848 2.82352
-10.94579 2.82395
-10.95708 2.82418
-10.97439 2.82450
-10.98576 2.82468
-11.00306 2.82489
-11.01445 2.82499
-11.01838 2.82502
-11.03582 2.82620
-11.04666 2.82689
-11.06420 2.82797
-11.07531 2.82860
-11.09297 2.82958
-11.10259 2.83008
-11.11993 2.83208
-11.12969 2.83316
-11.14726 2.83508
-11.15750 2.83616
-11.17354 2.83777
-11.19023 2.84073
-11.19821 2.84210
-11.21524 2.84496
-11.22382 2.84636
-11.22478 2.84652
-11.23955 2.85049
-11.24516 2.85197
-11.25320 2.85406
-11.26225 2.85811
-11.26291 2.85717
-11.26887 2.85226
-11.26985 2.85143
-11.28097 2.84752
-11.28509 2.84604
-11.29439 2.84258
-11.30861 2.83979
-11.31544 2.83839
-11.32923 2.83551
-11.33555 2.83414
-11.34082 2.83299
-11.35657 2.83120
-11.36553 2.83012
-11.38098 2.82824
-11.38947 2.82714
-11.40459 2.82516
-11.40726 2.82479
-11.42373 2.82385
-11.43399 2.82323
-11.45027 2.82220
-11.46021 2.82152
-11.47628 2.82039
-11.48591 2.81966
-11.48837 2.81948
-11.50519 2.81931
-11.51602 2.81915
-11.53277 2.81890
-11.54350 2.81869
-11.56014 2.81833
-11.57072 2.81804
-11.57732 2.81786
-11.59437 2.81844
-11.60517 2.81875
-11.62224 2.81923
-11.63314 2.81948
-11.65021 2.81985
-11.66119 2.82004
-11.66671 2.82014
-11.68385 2.82146
-11.69408 2.82222
-11.71137 2.82347
-11.72190 2.82416
-11.73931 2.82531
-11.74889 2.82589
-11.76589 2.82806
-11.77493 2.82918
-11.79217 2.83126
-11.80169 2.83237
-11.81639 2.83405
-11.83259 2.83718
-11.83975 2.83852
-11.85629 2.84158
-11.86319 2.84283
-11.87720 2.84702
-11.88195 2.84840
-11.88726 2.84994
-11.89356 2.85310
-11.89431 2.85113
-11.90135 2.84638
-11.90324 2.84510
-11.90403 2.84452
-11.91577 2.84087
-11.92020 2.83943
-11.93149 2.83570
-11.93282 2.83526
-11.94720 2.83270
-11.95420 2.83139
-11.96820 2.82874
-11.97471 2.82747
-11.98352 2.82572
-11.99919 2.82412
-12.00809 2.82316
-12.02349 2.82146
-12.03198 2.82048
-12.04711 2.81869
-12.05334 2.81792
-12.06964 2.81717
-12.07965 2.81665
-12.09576 2.81579
-12.10552 2.81523
-12.12147 2.81426
-12.13096 2.81365
-12.13658 2.81328
-12.15319 2.81328
-12.16362 2.81322
-12.18016 2.81311
-12.19054 2.81299
-12.20702 2.81280
-12.21731 2.81263
-12.22622 2.81245
-12.24302 2.81319
-12.25333 2.81357
-12.27016 2.81419
-12.28061 2.81453
-12.29748 2.81505
-12.30803 2.81534
-12.31480 2.81552
-12.33168 2.81700
-12.34130 2.81781
-12.35833 2.81919
-12.36828 2.81996
-12.38544 2.82127
-12.39466 2.82193
-12.41132 2.82427
-12.41964 2.82541
-12.43654 2.82766
-12.44535 2.82880
-12.45846 2.83045
-12.47416 2.83380
-12.48051 2.83510
-12.49653 2.83835
-12.50075 2.83920
-12.51265 2.84387
-12.51581 2.84508
-12.52447 2.84836
-12.52591 2.84535
-12.53397 2.84081
-12.53615 2.83954
-12.53883 2.83797
-12.55109 2.83454
-12.55583 2.83318
-12.56766 2.82970
-12.57195 2.82839
-12.58646 2.82604
-12.59363 2.82485
-12.60778 2.82241
-12.61449 2.82123
-12.62679 2.81898
-12.64239 2.81758
-12.65124 2.81673
-12.66660 2.81523
-12.67511 2.81436
-12.69022 2.81276
-12.69833 2.81186
-12.69981 2.81170
-12.71593 2.81111
-12.72571 2.81068
-12.74169 2.80999
-12.75127 2.80953
-12.76712 2.80874
-12.77648 2.80824
-12.78490 2.80777
-12.80129 2.80791
-12.81137 2.80795
-12.82774 2.80798
-12.83780 2.80797
-12.85412 2.80791
-12.86415 2.80783
-12.87493 2.80773
-12.89152 2.80860
-12.90135 2.80906
-12.91800 2.80983
-12.92800 2.81026
-12.94469 2.81093
-12.95485 2.81130
-12.96239 2.81157
-12.97903 2.81321
-12.98810 2.81407
-13.00488 2.81561
-13.01427 2.81644
-13.03121 2.81790
-13.03965 2.81860
-13.05596 2.82110
-13.06361 2.82225
-13.08018 2.82468
-13.08830 2.82583
