# sss file
0.02070 3.10021
0.01725 3.09919
-0.00625 3.09711
-0.05826 3.09475
-0.13454 3.09283
-0.22392 3.09193
-0.31276 3.09227
-0.38766 3.09362
-0.43725 3.09542
-0.45840 3.09677
-0.46102 3.09694
-0.46638 3.09570
-0.49411 3.09339
-0.55016 3.09092
-0.62926 3.08900
-0.71953 3.08827
-0.80702 3.08889
-0.87864 3.09047
-0.92406 3.09238
-0.94138 3.09373
-0.94277 3.09373
-0.95060 3.09221
-0.98253 3.08968
-1.04271 3.08709
-1.12434 3.08528
-1.21494 3.08472
-1.30111 3.08562
-1.36930 3.08742
-1.41016 3.08951
-1.42383 3.09075
-1.42477 3.09052
-1.43545 3.08872
-1.47162 3.08596
-1.53578 3.08331
-1.61962 3.08162
-1.71047 3.08134
-1.79467 3.08247
-1.85918 3.08455
-1.89564 3.08669
-1.90618 3.08782
-1.90708 3.08731
-1.92094 3.08523
-1.96160 3.08230
-2.02931 3.07959
-2.11502 3.07807
-2.20581 3.07802
-2.28777 3.07943
-2.34847 3.08174
-2.38051 3.08393
-2.38822 3.08495
-2.38974 3.08416
-2.40707 3.08174
-2.45211 3.07864
-2.52334 3.07599
-2.61063 3.07458
-2.70102 3.07481
-2.78059 3.07655
-2.83714 3.07903
-2.86480 3.08123
-2.87023 3.08207
-2.87282 3.08095
-2.89383 3.07824
-2.94325 3.07503
-3.01766 3.07244
-3.10643 3.07126
-3.19600 3.07176
-3.27277 3.07379
-3.32502 3.07644
-3.34862 3.07864
-3.35203 3.07920
-3.35628 3.07774
-3.38143 3.07481
-3.43515 3.07148
-3.51245 3.06895
-3.60218 3.06799
-3.69070 3.06884
-3.76439 3.07115
-3.81248 3.07396
-3.83197 3.07605
-3.83399 3.07633
-3.84036 3.07458
-3.86967 3.07137
-3.92753 3.06799
-4.00755 3.06557
-4.09808 3.06489
-4.18509 3.06607
-4.25546 3.06861
-4.29905 3.07154
-4.31486 3.07351
-4.31605 3.07351
-4.32494 3.07137
-4.35867 3.06793
-4.42047 3.06450
-4.50294 3.06230
-4.59382 3.06191
-4.67921 3.06343
-4.74601 3.06624
-4.78515 3.06923
-4.79758 3.07103
-4.79836 3.07064
-4.81027 3.06816
-4.84830 3.06455
-4.91391 3.06112
-4.99847 3.05909
-5.08945 3.05903
-5.17285 3.06089
-5.23590 3.06393
-5.27063 3.06698
-5.27990 3.06855
-5.28102 3.06782
-5.29624 3.06500
-5.33874 3.06117
-5.40782 3.05779
-5.49427 3.05599
-5.58495 3.05627
-5.66606 3.05847
-5.72512 3.06174
-5.75538 3.06472
-5.76207 3.06607
-5.76392 3.06495
-5.78286 3.06179
-5.82970 3.05785
-5.90221 3.05458
-5.99020 3.05300
-6.08032 3.05368
-6.15880 3.05621
-6.21374 3.05965
-6.24430 3.06382
-6.24756 3.06230
-6.27032 3.05886
-6.32149 3.05481
-6.39713 3.05171
-6.48635 3.05047
-6.57561 3.05148
-6.65118 3.05430
-6.70180 3.05790
-6.72363 3.06067
-6.72637 3.06134
-6.73146 3.05943
-6.75835 3.05571
-6.81375 3.05159
-6.89222 3.04861
-6.98233 3.04770
-7.07041 3.04911
-7.14278 3.05227
-7.18908 3.05593
-7.20699 3.05858
-7.20859 3.05886
-7.21598 3.05650
-7.24710 3.05249
-7.30653 3.04838
-7.38765 3.04562
-7.47836 3.04511
-7.56486 3.04686
-7.63391 3.05030
-7.67562 3.05407
-7.68995 3.05644
-7.69092 3.05633
-7.70107 3.05362
-7.73657 3.04939
-7.79995 3.04528
-7.88330 3.04274
-7.97425 3.04257
-8.05901 3.04477
-8.12432 3.04844
-8.16157 3.05221
-8.17258 3.05435
-8.17347 3.05379
-8.18680 3.05069
-8.22668 3.04624
-8.29381 3.04224
-8.37920 3.03998
-8.47005 3.04021
-8.55270 3.04280
-8.61412 3.04669
-8.64693 3.05041
-8.65508 3.05227
-8.65646 3.05125
-8.67316 3.04770
-8.71747 3.04314
-8.78812 3.03925
-8.87520 3.03733
-8.96579 3.03801
-9.04592 3.04094
-9.10329 3.04500
-9.13175 3.04866
-9.13740 3.05013
-9.13980 3.04866
-9.16029 3.04477
-9.20900 3.04009
-9.28288 3.03637
-9.37138 3.03479
-9.46125 3.03587
-9.53861 3.03914
-9.59174 3.04342
-9.61597 3.04691
-9.61965 3.04799
-9.62361 3.04601
-9.64808 3.04184
-9.70110 3.03711
-9.77799 3.03355
-9.86756 3.03237
-9.95637 3.03389
-10.03077 3.03750
-10.07958 3.04190
-10.09972 3.04517
-10.10191 3.04579
-10.10793 3.04336
-10.13663 3.03891
-10.19377 3.03412
-10.27334 3.03085
-10.36375 3.03006
-10.45130 3.03203
-10.52237 3.03598
-10.56671 3.04038
-10.58304 3.04342
-10.58428 3.04359
-10.59283 3.04071
-10.62583 3.03598
-10.68696 3.03124
-10.76914 3.02825
-10.85997 3.02792
-10.94579 3.03028
-11.01336 3.03451
-11.05316 3.03891
-11.06602 3.04167
-11.06690 3.04133
-11.07835 3.03801
-11.11574 3.03305
-11.18074 3.02842
-11.26500 3.02572
-11.35601 3.02583
-11.43988 3.02865
-11.50362 3.03310
-11.53904 3.03750
-11.54878 3.03987
-11.54980 3.03902
-11.56450 3.03525
-11.60636 3.03017
-11.67493 3.02566
-11.76111 3.02335
-11.85198 3.02391
-11.93358 3.02713
-11.99332 3.03181
-12.02428 3.03609
-12.03128 3.03806
-12.03304 3.03666
-12.05143 3.03254
-12.09759 3.02730
-12.16959 3.02295
-12.25741 3.02103
-12.34769 3.02211
-12.42674 3.02572
-12.48237 3.03057
-12.51376 3.03637
-12.51675 3.03446
-12.53902 3.02995
-12.58960 3.02464
-12.66480 3.02058
-12.75381 3.01906
-12.84332 3.02058
-12.91945 3.02459
-12.97079 3.02955
-12.99317 3.03344
-12.99617 3.03446
-13.00093 3.03203
-13.02730 3.02718
-13.08208 3.02188
-13.16016 3.01805
-13.25022 3.01703
-13.33852 3.01900
-13.41154 3.02335
-13.45845 3.02837
-13.47686 3.03198
-13.47857 3.03248
-13.48566 3.02955
-13.51628 3.02442
-13.57509 3.01912
-13.65587 3.01562
-13.74652 3.01506
-13.83337 3.01754
-13.90298 3.02216
-13.94535 3.02718
-13.96015 3.03051
-13.96118 3.03045
-13.97094 3.02701
-14.00586 3.02160
-14.06874 3.01647
-14.15179 3.01331
-14.24279 3.01319
-14.32788 3.01618
-14.39384 3.02109
-14.43171 3.02605
-14.44313 3.02893
-14.44396 3.02837
-14.45689 3.02442
-14.49623 3.01884
-14.56278 3.01381
-14.64789 3.01105
-14.73893 3.01150
-14.82189 3.01489
-14.88398 3.02002
-14.91741 3.02493
-14.92580 3.02735
-14.92712 3.02617
-14.94343 3.02182
-14.98715 3.01607
-15.05732 3.01122
-15.14423 3.00891
-15.23491 3.00986
-15.31547 3.01370
-15.37351 3.01906
-15.40242 3.02374
-15.40833 3.02572
-15.41061 3.02397
-15.43071 3.01917
-15.47880 3.01336
-15.55222 3.00874
-15.64061 3.00687
-15.73063 3.00834
-15.80854 3.01263
-15.86225 3.01810
-15.88696 3.02256
-15.89084 3.02402
-15.89460 3.02166
-15.91863 3.01647
-15.97104 3.01065
-16.04753 3.00637
-16.13705 3.00496
-16.22615 3.00699
-16.30100 3.01161
-16.35038 3.01714
-16.37098 3.02132
-16.37333 3.02222
-16.37907 3.01929
-16.40730 3.01381
-16.46390 3.00800
-16.54315 3.00400
-16.63350 3.00315
-16.72128 3.00563
-16.79289 3.01065
-16.83780 3.01624
-16.85458 3.02008
-16.85590 3.02036
-16.86410 3.01686
-16.89661 3.01111
-16.95724 3.00535
-17.03901 3.00174
-17.12990 3.00140
-17.21605 3.00445
-17.28415 3.00975
-17.32456 3.01528
-17.33775 3.01872
-17.33864 3.01838
-17.34977 3.01438
-17.38662 3.00840
-17.45111 3.00281
-17.53512 2.99959
-17.62621 2.99982
-17.71042 3.00332
-17.77474 3.00891
-17.81063 3.01432
-17.82064 3.01731
-17.82165 3.01635
-17.83602 3.01184
-17.87728 3.00563
-17.94544 3.00027
-18.03143 2.99751
-18.12236 2.99830
-18.20436 3.00230
-18.26465 3.00806
-18.29612 3.01336
-18.30329 3.01579
-18.30495 3.01421
-18.32294 3.00924
-18.36862 3.00292
-18.44023 2.99779
-18.52778 2.99553
-18.61827 2.99688
-18.69776 3.00134
-18.75391 3.00727
-18.78595 3.01438
-18.78882 3.01212
-18.81062 3.00676
-18.86063 3.00044
-18.93548 2.99559
-19.02439 2.99384
-19.11406 2.99576
-19.19070 3.00061
-19.24253 3.00665
-19.26534 3.01139
-19.26843 3.01269
-19.27300 3.00981
-19.29892 3.00405
-19.35319 2.99773
-19.43092 2.99322
-19.52086 2.99203
-19.60948 2.99451
-19.68294 2.99976
-19.73034 3.00586
-19.74916 3.01020
-19.75095 3.01088
-19.75778 3.00744
-19.78789 3.00134
-19.84627 2.99508
-19.92669 2.99096
-20.01736 2.99034
-20.10447 2.99333
-20.17457 2.99897
-20.21747 3.00501
