# sss file
0.02070 3.10021
0.01669 3.09919
-0.00714 3.09711
-0.05963 3.09475
-0.13637 3.09283
-0.22609 3.09193
-0.31547 3.09227
-0.39078 3.09362
-0.44110 3.09542
-0.46261 3.09677
-0.46565 3.09694
-0.47150 3.09570
-0.49944 3.09339
-0.55618 3.09092
-0.63565 3.08900
-0.72629 3.08827
-0.81440 3.08889
-0.88652 3.09047
-0.93228 3.09238
-0.95010 3.09373
-0.95209 3.09373
-0.96018 3.09216
-0.99266 3.08968
-1.05330 3.08709
-1.13535 3.08528
-1.22641 3.08472
-1.31294 3.08562
-1.38168 3.08742
-1.42295 3.08951
-1.43724 3.09075
-1.43858 3.09052
-1.44968 3.08872
-1.48639 3.08596
-1.55082 3.08331
-1.63521 3.08162
-1.72643 3.08134
-1.81113 3.08247
-1.87612 3.08455
-1.91295 3.08664
-1.92400 3.08782
-1.92539 3.08731
-1.93969 3.08523
-1.98077 3.08230
-2.04901 3.07965
-2.13518 3.07807
-2.22639 3.07802
-2.30889 3.07943
-2.36993 3.08174
-2.40252 3.08393
-2.41063 3.08495
-2.41264 3.08416
-2.43040 3.08174
-2.47588 3.07864
-2.54759 3.07599
-2.63535 3.07458
-2.72621 3.07481
-2.80622 3.07655
-2.86321 3.07903
-2.89139 3.08123
-2.89713 3.08207
-2.90015 3.08095
-2.92182 3.07824
-2.97170 3.07503
-3.04653 3.07244
-3.13575 3.07126
-3.22571 3.07176
-3.30297 3.07379
-3.35569 3.07644
-3.37973 3.07864
-3.38358 3.07920
-3.38833 3.07774
-3.41388 3.07481
-3.46799 3.07148
-3.54587 3.06895
-3.63601 3.06799
-3.72502 3.06884
-3.79914 3.07115
-3.84761 3.07396
-3.86766 3.07605
-3.87010 3.07633
-3.87693 3.07458
-3.90672 3.07137
-3.96500 3.06799
-4.04554 3.06557
-4.13645 3.06489
-4.22400 3.06607
-4.29483 3.06867
-4.33889 3.07154
-4.35512 3.07351
-4.35679 3.07351
-4.36608 3.07137
-4.40026 3.06793
-4.46253 3.06450
-4.54536 3.06224
-4.63676 3.06191
-4.72263 3.06343
-4.78985 3.06624
-4.82945 3.06923
-4.84228 3.07103
-4.84363 3.07064
-4.85596 3.06816
-4.89448 3.06455
-4.96050 3.06112
-5.04556 3.05909
-5.13696 3.05903
-5.22079 3.06089
-5.28430 3.06393
-5.31944 3.06698
-5.32923 3.06855
-5.33070 3.06782
-5.34641 3.06500
-5.38932 3.06117
-5.45898 3.05779
-5.54590 3.05599
-5.63699 3.05627
-5.71854 3.05847
-5.77809 3.06174
-5.80877 3.06472
-5.81597 3.06607
-5.81826 3.06495
-5.83765 3.06179
-5.88488 3.05785
-5.95785 3.05458
-6.04625 3.05300
-6.13687 3.05368
-6.21578 3.05621
-6.27119 3.05965
-6.30220 3.06382
-6.30587 3.06230
-6.32915 3.05886
-6.38070 3.05481
-6.45683 3.05171
-6.54652 3.05047
-6.63624 3.05148
-6.71221 3.05430
-6.76332 3.05790
-6.78560 3.06067
-6.78882 3.06134
-6.79434 3.05943
-6.82166 3.05571
-6.87751 3.05159
-6.95650 3.04861
-7.04701 3.04770
-7.13555 3.04911
-7.20841 3.05227
-7.25506 3.05593
-7.27342 3.05858
-7.27555 3.05886
-7.28335 3.05650
-7.31491 3.05249
-7.37485 3.04838
-7.45634 3.04562
-7.54751 3.04511
-7.63447 3.04686
-7.70397 3.05030
-7.74613 3.05407
-7.76086 3.05644
-7.76237 3.05633
-7.77287 3.05362
-7.80889 3.04934
-7.87270 3.04528
-7.95651 3.04274
-8.04793 3.04257
-8.13313 3.04477
-8.19882 3.04844
-8.23655 3.05221
-8.24804 3.05435
-8.24939 3.05379
-8.26317 3.05069
-8.30347 3.04624
-8.37103 3.04224
-8.45685 3.03998
-8.54822 3.04021
-8.63127 3.04280
-8.69312 3.04669
-8.72642 3.05041
-8.73499 3.05227
-8.73682 3.05125
-8.75400 3.04770
-8.79879 3.04314
-8.86981 3.03925
-8.95738 3.03733
-9.04839 3.03801
-9.12894 3.04094
-9.18671 3.04500
-9.21563 3.04866
-9.22174 3.05013
-9.22457 3.04866
-9.24560 3.04477
-9.29467 3.04009
-9.36899 3.03637
-9.45795 3.03479
-9.54825 3.03587
-9.62607 3.03914
-9.67966 3.04342
-9.70430 3.04691
-9.70844 3.04799
-9.71282 3.04601
-9.73782 3.04184
-9.79120 3.03711
-9.86851 3.03355
-9.95856 3.03237
-10.04786 3.03389
