# sss file
-1.57080 3.14159
-3.78239 3.13616
-3.77968 3.13074
-3.77696 3.12531
-3.77425 3.11988
-3.77153 3.11444
-3.76882 3.10903
-3.76611 3.10359
-3.76339 3.09816
-3.76068 3.09274
-3.75796 3.08730
-3.75524 3.08187
-3.75253 3.07643
-3.74982 3.07101
-3.74710 3.06557
-3.74438 3.06014
-3.74167 3.05472
-3.73895 3.04928
-3.73623 3.04384
-3.73351 3.03840
-3.73080 3.03297
-3.72808 3.02753
-3.72535 3.02209
-3.72264 3.01666
-3.71992 3.01122
-3.71720 3.00577
-3.71504 3.00147
-3.72649 3.00259
-3.73809 3.00375
-3.74987 3.00493
-3.76186 3.00617
-3.77405 3.00745
-3.78647 3.00872
-3.79915 3.01006
-3.81205 3.01139
-3.82523 3.01272
-3.83870 3.01409
-3.85242 3.01544
-3.86647 3.01681
-3.88080 3.01817
-3.89547 3.01952
-3.91042 3.02085
-3.94130 3.02344
-3.95720 3.02470
-3.97342 3.02591
-3.98992 3.02709
-4.00674 3.02822
-4.02381 3.02930
-4.04113 3.03033
-4.05870 3.03130
-4.07647 3.03221
-4.09441 3.03305
-4.11252 3.03383
-4.13074 3.03455
-4.14906 3.03518
-4.16742 3.03575
-4.18582 3.03625
-4.20416 3.03665
-4.22244 3.03699
-4.24065 3.03725
-4.25869 3.03743
-4.27656 3.03754
-4.29423 3.03758
-4.31167 3.03754
-4.32883 3.03743
-4.34570 3.03725
-4.36225 3.03701
-4.37851 3.03670
-4.39439 3.03634
-4.40990 3.03590
-4.42506 3.03543
-4.43988 3.03490
-4.45432 3.03432
-4.46840 3.03372
-4.48213 3.03305
-4.49554 3.03235
-4.50861 3.03162
-4.52140 3.03088
-4.53387 3.03010
-4.54606 3.02930
-4.55803 3.02848
-4.56975 3.02765
-4.58127 3.02681
-4.59262 3.02595
-4.60384 3.02511
-4.61490 3.02426
-4.62585 3.02340
-4.63674 3.02256
-4.64756 3.02173
-4.65833 3.02089
-4.66912 3.02007
-4.67995 3.01927
-4.69077 3.01847
-4.70166 3.01771
-4.71262 3.01695
-4.72371 3.01622
-4.73488 3.01550
-4.74620 3.01482
-4.75765 3.01415
-4.76927 3.01348
-4.78108 3.01285
-4.79306 3.01225
-4.80526 3.01166
-4.81765 3.01110
-4.83028 3.01055
-4.84312 3.01002
-4.85620 3.00952
-4.86951 3.00903
-4.88306 3.00853
-4.89686 3.00808
-4.91090 3.00762
-4.92520 3.00718
-4.93973 3.00676
-4.95448 3.00632
-4.96948 3.00590
-4.98472 3.00549
-5.00017 3.00507
-5.01584 3.00465
-5.03170 3.00423
-5.04778 3.00379
-5.06403 3.00335
-5.08046 3.00291
-5.09704 3.00246
-5.11377 3.00198
-5.13064 3.00151
-5.14760 3.00099
-5.16469 3.00048
-5.18185 2.99992
-5.19907 2.99937
-5.21635 2.99878
-5.23368 2.99817
-5.25101 2.99752
-5.26836 2.99688
-5.28565 2.99617
-5.30295 2.99547
-5.32020 2.99472
-5.33737 2.99394
-5.35448 2.99314
-5.37148 2.99230
-5.38839 2.99145
-5.40519 2.99055
-5.42185 2.98964
-5.43837 2.98868
-5.45475 2.98771
-5.47098 2.98672
-5.48703 2.98569
-5.50290 2.98462
-5.51861 2.98354
-5.53412 2.98243
-5.54942 2.98129
-5.56455 2.98015
-5.57947 2.97896
-5.59419 2.97774
-5.60872 2.97652
-5.61555 2.97771
-5.62240 2.97891
-5.62930 2.98011
-5.63626 2.98135
-5.64329 2.98259
-5.65041 2.98382
-5.65764 2.98508
-5.66504 2.98636
-5.67259 2.98764
-5.68034 2.98893
-5.68829 2.99023
-5.69649 2.99152
-5.70499 2.99284
-5.71380 2.99413
-5.72292 2.99545
-5.73244 2.99674
-5.74235 2.99804
-5.75273 2.99933
-5.76356 3.00061
-5.77489 3.00187
-5.78678 3.00312
-5.79924 3.00436
-5.81231 3.00556
-5.82598 3.00674
-5.84032 3.00789
-5.85535 3.00901
-5.87105 3.01007
-5.88747 3.01110
-5.90462 3.01209
-5.92246 3.01303
-5.94104 3.01388
-5.96032 3.01470
-5.98030 3.01544
-6.00095 3.01613
-6.02224 3.01674
-6.04413 3.01727
-6.06658 3.01773
-6.08954 3.01809
-6.11296 3.01839
-6.13675 3.01860
-6.16089 3.01874
-6.18524 3.01878
-6.20981 3.01876
-6.23446 3.01864
-6.25916 3.01847
-6.28382 3.01822
-6.30841 3.01792
-6.33283 3.01758
-6.35703 3.01716
-6.38096 3.01672
-6.40459 3.01626
-6.42787 3.01577
-6.45081 3.01527
-6.47332 3.01478
