# sss file
-3.57641 3.04307
-3.58801 3.04357
-3.59976 3.04401
-3.61160 3.04445
-3.62351 3.04489
-3.63557 3.04538
-3.64773 3.04582
-3.66000 3.04626
-3.67239 3.04671
-3.68491 3.04720
-3.69755 3.04764
-3.71027 3.04808
-3.72315 3.04852
-3.73614 3.04896
-3.74928 3.04940
-3.76253 3.04985
-3.77590 3.05029
-3.78943 3.05073
-3.80307 3.05117
-3.81681 3.05155
-3.83075 3.05199
-3.84482 3.05243
-3.85898 3.05282
-3.87336 3.05326
-3.88777 3.05365
-3.90247 3.05409
-3.91717 3.05447
-3.93205 3.05486
-3.94708 3.05524
-3.96231 3.05563
-3.97764 3.05601
-3.99312 3.05634
-4.00873 3.05673
-4.02454 3.05706
-4.04044 3.05744
-4.05649 3.05778
-4.07269 3.05811
-4.08912 3.05844
-4.10556 3.05877
-4.12227 3.05904
-4.13911 3.05937
-4.15601 3.05965
-4.17308 3.05992
-4.19030 3.06020
-4.20773 3.06042
-4.22520 3.06069
-4.24285 3.06091
-4.26055 3.06113
-4.27849 3.06135
-4.29657 3.06157
-4.31470 3.06174
-4.33300 3.06191
-4.35141 3.06207
-4.36992 3.06224
-4.38855 3.06240
-4.40727 3.06251
-4.42611 3.06262
-4.44507 3.06273
-4.46406 3.06279
-4.48320 3.06284
-4.50230 3.06290
-4.52160 3.06295
-4.54097 3.06295
-4.56031 3.06295
-4.57983 3.06295
-4.59929 3.06290
-4.61882 3.06284
-4.63841 3.06279
-4.65806 3.06273
-4.67763 3.06262
-4.69735 3.06251
-4.71697 3.06235
-4.73664 3.06218
-4.75634 3.06202
-4.77595 3.06185
-4.79554 3.06163
-4.81516 3.06141
-4.83475 3.06113
-4.85428 3.06091
-4.87378 3.06064
-4.89312 3.06031
-4.91247 3.05998
-4.93176 3.05965
-4.95106 3.05932
-4.97021 3.05893
-4.98921 3.05855
-5.00814 3.05811
-5.02706 3.05772
-5.04582 3.05728
-5.06446 3.05678
-5.08300 3.05629
-5.10145 3.05579
-5.11974 3.05530
-5.13794 3.05475
-5.15599 3.05420
-5.17387 3.05359
-5.19168 3.05304
-5.20932 3.05243
-5.22685 3.05177
-5.24413 3.05117
-5.26141 3.05051
-5.27843 3.04979
-5.29534 3.04913
-5.31208 3.04841
-5.32869 3.04770
-5.34512 3.04693
-5.36141 3.04615
-5.37760 3.04544
-5.39353 3.04461
-5.40932 3.04384
-5.42505 3.04302
-5.44055 3.04219
-5.45582 3.04131
-5.47102 3.04048
-5.48609 3.03960
-5.50095 3.03872
-5.51562 3.03778
-5.53018 3.03690
-5.54461 3.03596
-5.55889 3.03503
-5.57301 3.03404
-5.58694 3.03310
-5.60067 3.03211
-5.61436 3.03111
-5.62790 3.03012
-5.64123 3.02908
-5.65446 3.02808
-5.66748 3.02704
-5.68046 3.02599
-5.69374 3.02665
-5.70722 3.02731
-5.72079 3.02797
-5.73445 3.02864
-5.74835 3.02930
-5.76232 3.02996
-5.77648 3.03062
-5.79077 3.03128
-5.80516 3.03189
-5.81982 3.03255
-5.83454 3.03315
-5.84942 3.03381
-5.86452 3.03442
-5.87964 3.03503
-5.89506 3.03563
-5.91055 3.03618
-5.92627 3.03679
-5.94207 3.03734
-5.95811 3.03795
-5.97432 3.03850
-5.99059 3.03905
-6.00711 3.03954
-6.02381 3.04010
-6.04060 3.04059
-6.05759 3.04109
-6.07474 3.04158
-6.09210 3.04208
-6.10957 3.04252
-6.12726 3.04296
-6.14501 3.04340
-6.16305 3.04384
-6.18116 3.04428
-6.19946 3.04467
-6.21791 3.04505
-6.23645 3.04538
-6.25525 3.04577
-6.27416 3.04610
-6.29317 3.04638
-6.31234 3.04671
-6.33162 3.04698
-6.35110 3.04726
-6.37060 3.04748
-6.39029 3.04770
-6.41012 3.04792
-6.43002 3.04808
-6.45003 3.04825
-6.47015 3.04841
-6.49035 3.04852
-6.51063 3.04863
-6.53097 3.04869
-6.55143 3.04874
-6.57194 3.04880
-6.59251 3.04880
-6.61311 3.04880
-6.63371 3.04880
-6.65444 3.04874
-6.67508 3.04863
-6.69577 3.04852
-6.71650 3.04841
-6.73713 3.04825
-6.75789 3.04808
-6.77858 3.04792
-6.79923 3.04770
-6.81977 3.04742
-6.84035 3.04715
-6.86083 3.04687
-6.88129 3.04654
-6.90164 3.04621
-6.92197 3.04582
-6.94218 3.04544
-6.96229 3.04500
-6.98227 3.04456
-7.00217 3.04412
-7.02196 3.04362
-7.04165 3.04313
-7.06117 3.04257
-7.08063 3.04202
-7.09985 3.04142
-7.11897 3.04081
-7.13797 3.04021
-7.15683 3.03954
-7.17548 3.03883
-7.19404 3.03817
-7.21240 3.03745
-7.23054 3.03668
-7.24860 3.03596
-7.26647 3.03514
-7.28411 3.03437
-7.30167 3.03354
-7.31899 3.03266
-7.33609 3.03178
-7.35308 3.03089
-7.36990 3.03001
-7.38652 3.02908
-7.40292 3.02814
-7.41924 3.02720
-7.43528 3.02621
-7.45117 3.02516
-7.46690 3.02417
-7.48243 3.02312
-7.49780 3.02208
-7.51296 3.02103
-7.52800 3.01993
-7.54280 3.01882
-7.55749 3.01772
-7.57199 3.01656
-7.58631 3.01541
-7.60040 3.01425
-7.61448 3.01309
-7.62828 3.01188
-7.64192 3.01067
-7.65542 3.00945
-7.66875 3.00824
-7.68197 3.00697
-7.69497 3.00570
-7.70784 3.00443
-7.72059 3.00311
-7.73316 3.00184
-7.74562 3.00052
-7.75790 2.99920
-7.77004 2.99787
-7.78208 2.99649
-7.79393 2.99511
-7.80568 2.99379
-7.81729 2.99241
-7.82881 2.99098
-7.84017 2.98960
-7.85135 2.98816
-7.86443 2.98893
-7.87752 2.98965
-7.89073 2.99037
-7.90413 2.99114
-7.91758 2.99186
-7.93114 2.99258
-7.94483 2.99329
-7.95864 2.99395
-7.97253 2.99467
-7.98653 2.99533
-8.00068 2.99605
-8.01495 2.99671
-8.02932 2.99737
-8.04380 2.99804
-8.05840 2.99870
-8.07312 2.99931
-8.08793 2.99991
-8.10287 3.00052
-8.11794 3.00113
-8.13314 3.00173
-8.14850 3.00234
-8.16390 3.00289
-8.17943 3.00344
-8.19513 3.00399
-8.21088 3.00455
-8.22676 3.00504
-8.24279 3.00554
-8.25890 3.00603
-8.27514 3.00653
-8.29146 3.00697
-8.30791 3.00741
-8.32449 3.00785
-8.34116 3.00824
-8.35792 3.00868
-8.37479 3.00907
-8.39172 3.00940
-8.40885 3.00978
-8.42598 3.01011
-8.44327 3.01039
-8.46059 3.01072
-8.47804 3.01100
-8.49556 3.01122
-8.51313 3.01144
-8.53079 3.01166
-8.54854 3.01188
-8.56636 3.01204
-8.58422 3.01221
-8.60221 3.01237
-8.62020 3.01249
-8.63821 3.01254
-8.65637 3.01265
-8.67448 3.01271
-8.69268 3.01271
-8.71085 3.01271
-8.72913 3.01271
-8.74737 3.01265
-8.76565 3.01260
-8.78395 3.01249
-8.80226 3.01237
-8.82056 3.01226
-8.83884 3.01210
-8.85714 3.01188
-8.87544 3.01171
-8.89367 3.01144
-8.91189 3.01122
-8.93016 3.01094
-8.94831 3.01061
-8.96642 3.01028
-8.98451 3.00995
-9.00256 3.00956
-9.02055 3.00918
-9.03844 3.00874
-9.05631 3.00829
-9.07413 3.00780
-9.09182 3.00730
-9.10947 3.00681
-9.12704 3.00625
-9.14451 3.00565
-9.16189 3.00510
-9.17920 3.00443
-9.19640 3.00383
-9.21345 3.00317
-9.23046 3.00245
-9.24734 3.00173
-9.26413 3.00102
-9.28075 3.00024
-9.29736 2.99947
-9.31376 2.99870
-9.33011 2.99787
-9.34628 2.99699
-9.36234 2.99616
-9.37834 2.99528
-9.39411 2.99434
-9.40979 2.99340
-9.42538 2.99247
-9.44080 2.99147
-9.45612 2.99048
-9.47130 2.98949
-9.48637 2.98844
-9.50123 2.98739
-9.51605 2.98634
-9.53066 2.98524
-9.54518 2.98413
-9.55960 2.98303
-9.57381 2.98187
-9.58793 2.98071
-9.60194 2.97950
-9.61579 2.97834
-9.62953 2.97712
-9.64310 2.97585
-9.65658 2.97464
-9.66990 2.97337
-9.68309 2.97210
-9.69618 2.97077
-9.70913 2.96950
-9.72196 2.96818
-9.73462 2.96680
-9.74723 2.96547
-9.75968 2.96409
-9.77203 2.96271
-9.78422 2.96133
-9.79633 2.95989
-9.80828 2.95846
-9.82016 2.95702
-9.83190 2.95558
-9.84353 2.95409
-9.86647 2.95138
-9.87889 2.95249
-9.89140 2.95359
-9.90405 2.95470
-9.91678 2.95580
-9.92967 2.95691
-9.94262 2.95796
-9.95572 2.95906
-9.96893 2.96011
-9.98226 2.96116
-9.99570 2.96221
-10.00930 2.96332
-10.02296 2.96431
-10.03681 2.96536
-10.05072 2.96636
-10.06483 2.96740
-10.07903 2.96840
-10.09336 2.96939
-10.10781 2.97039
-10.12242 2.97138
-10.13712 2.97232
-10.15200 2.97326
-10.16700 2.97420
-10.18214 2.97514
-10.19738 2.97602
-10.21283 2.97696
-10.22839 2.97784
-10.24409 2.97872
-10.25989 2.97955
-10.27582 2.98038
-10.29193 2.98121
-10.30823 2.98204
-10.32454 2.98281
-10.34109 2.98358
-10.35778 2.98435
-10.37456 2.98507
-10.39149 2.98579
-10.40855 2.98651
-10.42572 2.98717
-10.44304 2.98783
-10.46052 2.98849
-10.47811 2.98910
-10.49584 2.98971
-10.51364 2.99026
-10.53158 2.99081
-10.54967 2.99131
-10.56786 2.99180
-10.58618 2.99230
-10.60456 2.99274
-10.62312 2.99318
-10.64170 2.99357
-10.66044 2.99395
-10.67920 2.99429
-10.69811 2.99462
-10.71709 2.99489
-10.73610 2.99517
-10.75523 2.99539
-10.77443 2.99561
-10.79366 2.99578
-10.81299 2.99594
-10.83232 2.99605
-10.85168 2.99611
-10.87116 2.99616
-10.89058 2.99622
-10.91009 2.99622
-10.92955 2.99616
-10.94903 2.99605
-10.96857 2.99600
-10.98809 2.99583
-11.00757 2.99566
-11.02708 2.99550
-11.04648 2.99522
-11.06593 2.99500
-11.08526 2.99467
-11.10459 2.99434
-11.12391 2.99401
-11.14311 2.99357
-11.16227 2.99318
-11.18136 2.99269
-11.20038 2.99224
-11.21933 2.99169
-11.23812 2.99114
-11.25690 2.99053
-11.27553 2.98993
-11.29407 2.98926
-11.31253 2.98860
-11.33084 2.98789
-11.34901 2.98711
-11.36711 2.98640
-11.38505 2.98557
-11.40289 2.98474
-11.42054 2.98386
-11.43812 2.98297
-11.45551 2.98204
-11.47276 2.98110
-11.48988 2.98010
-11.50690 2.97911
-11.52368 2.97806
-11.54035 2.97701
-11.55687 2.97591
-11.57323 2.97480
-11.58945 2.97364
-11.60548 2.97249
-11.62140 2.97127
-11.63715 2.97006
-11.65266 2.96879
-11.66811 2.96752
-11.68337 2.96625
-11.69847 2.96492
-11.71342 2.96359
-11.72821 2.96221
-11.74283 2.96083
-11.75728 2.95940
-11.77159 2.95796
-11.78574 2.95652
-11.79978 2.95509
-11.81365 2.95359
-11.82731 2.95205
-11.84086 2.95050
-11.85425 2.94895
-11.86751 2.94740
-11.88063 2.94580
-11.89357 2.94420
-11.90642 2.94259
-11.91908 2.94093
-11.93161 2.93928
-11.94401 2.93762
-11.95627 2.93590
-11.96837 2.93419
-11.98179 2.93551
-11.99529 2.93684
-12.00892 2.93811
-12.02272 2.93944
-12.03660 2.94071
-12.05063 2.94199
-12.06479 2.94326
-12.07910 2.94453
-12.09355 2.94574
-12.10810 2.94702
-12.12283 2.94823
-12.13766 2.94945
-12.15267 2.95061
-12.16781 2.95183
-12.18310 2.95299
-12.19850 2.95409
-12.21407 2.95525
-12.22979 2.95636
-12.24566 2.95746
-12.26168 2.95857
-12.27783 2.95962
-12.29412 2.96067
-12.31062 2.96172
-12.32721 2.96271
-12.34398 2.96370
-12.36085 2.96464
-12.37792 2.96558
-12.39512 2.96652
-12.41249 2.96740
-12.42997 2.96829
-12.44763 2.96917
-12.46541 2.97000
-12.48334 2.97077
-12.50137 2.97155
-12.51962 2.97232
-12.53795 2.97304
-12.55641 2.97376
-12.57503 2.97442
-12.59370 2.97502
-12.61259 2.97569
-12.63154 2.97624
-12.65065 2.97679
-12.66981 2.97729
-12.68909 2.97779
-12.70847 2.97823
-12.72800 2.97867
-12.74760 2.97905
-12.76724 2.97939
-12.78698 2.97972
-12.80681 2.97999
-12.82669 2.98027
-12.84660 2.98043
-12.86664 2.98066
-12.88664 2.98077
-12.90673 2.98088
-12.92684 2.98093
-12.94698 2.98099
-12.96713 2.98093
-12.98729 2.98093
-13.00743 2.98082
-13.02760 2.98071
-13.04769 2.98055
-13.06782 2.98032
-13.08790 2.98010
-13.10794 2.97983
-13.12791 2.97950
-13.14784 2.97911
-13.16775 2.97872
-13.18759 2.97828
-13.20730 2.97779
-13.22692 2.97729
-13.24652 2.97674
-13.26600 2.97613
-13.28535 2.97552
-13.30465 2.97486
-13.32377 2.97414
-13.34282 2.97342
-13.36176 2.97265
-13.38052 2.97182
-13.39913 2.97094
-13.41766 2.97006
-13.43604 2.96917
-13.45422 2.96818
-13.47225 2.96718
-13.49020 2.96619
-13.50794 2.96509
-13.52553 2.96398
-13.54298 2.96288
-13.56022 2.96172
-13.57734 2.96050
-13.59427 2.95928
-13.61101 2.95801
-13.62761 2.95674
-13.64402 2.95542
-13.66029 2.95404
-13.67637 2.95271
-13.69226 2.95127
-13.70797 2.94984
-13.72356 2.94840
-13.73893 2.94691
-13.75412 2.94536
-13.76917 2.94381
-13.78405 2.94226
-13.79872 2.94066
-13.81322 2.93900
-13.82760 2.93740
-13.84177 2.93568
-13.85581 2.93402
-13.86968 2.93231
-13.88339 2.93054
-13.89690 2.92877
-13.91028 2.92700
-13.92351 2.92522
-13.93659 2.92340
-13.94950 2.92152
-13.96226 2.91969
-13.97487 2.91781
-13.98729 2.91587
-13.99964 2.91393
-14.01181 2.91199
-14.02383 2.91005
-14.03570 2.90806
-14.04745 2.90607
-14.05910 2.90407
-14.07057 2.90202
-14.08193 2.90003
-14.09314 2.89792
