# sss file
-1.57080 3.14159
-1.56890 3.13779
-1.27026 3.13742
-1.27425 3.14158
-0.97528 3.14156
-0.96848 3.13703
-0.67296 3.13663
-0.67214 3.14151
-0.37651 3.14146
-0.37116 3.13621
-0.07249 3.13577
-0.07238 3.14138
0.22325 3.14128
0.22933 3.13531
0.52486 3.13484
0.52477 3.14117
0.82011 3.14104
0.82670 3.13435
1.12540 3.13384
1.12500 3.14089
1.42034 3.14073
1.42726 3.13331
1.72284 3.13277
1.72205 3.14055
2.01748 3.14035
2.02473 3.13221
2.32348 3.13163
2.32239 3.14013
2.61783 3.13991
2.62538 3.13103
2.92101 3.13043
2.91954 3.13965
3.21501 3.13939
3.22294 3.12980
3.52173 3.12915
3.51991 3.13910
3.81535 3.13880
3.82366 3.12848
4.11933 3.12781
4.11712 3.13848
4.41261 3.13815
4.42128 3.12711
4.71696 3.12640
4.71441 3.13779
5.01303 3.13742
5.02204 3.12565
5.31770 3.12491
5.31478 3.13703
5.61028 3.13663
5.61966 3.12414
5.91534 3.12337
5.91207 3.13621
6.21070 3.13577
6.22046 3.12255
6.51615 3.12174
6.51251 3.13531
6.80803 3.13484
6.81814 3.12090
7.11385 3.12006
7.10985 3.13435
7.40853 3.13384
7.41901 3.11917
7.71473 3.11830
7.71037 3.13331
8.00593 3.13277
8.01676 3.11738
8.31251 3.11647
8.30778 3.13221
8.60650 3.13163
8.61769 3.11552
8.91346 3.11457
8.90837 3.13103
9.20396 3.13043
9.21552 3.11359
9.51130 3.11261
9.50585 3.12980
9.80459 3.12915
9.81652 3.11159
10.11231 3.11058
10.10650 3.12848
10.40212 3.12781
10.41441 3.10952
10.71022 3.10848
10.70405 3.12711
11.00284 3.12639
11.01548 3.10738
11.31131 3.10630
11.30478 3.12566
11.60044 3.12491
11.61344 3.10518
11.90929 3.10407
11.90239 3.12414
12.20122 3.12336
12.21459 3.10290
12.51045 3.10175
12.50319 3.12255
12.79888 3.12174
12.81261 3.10056
13.10849 3.09938
13.10087 3.12090
13.39973 3.12005
13.41382 3.09814
13.70972 3.09692
13.70174 3.11917
13.99746 3.11830
14.01192 3.09566
14.30784 3.09441
14.29949 3.11739
14.59838 3.11647
14.61320 3.09311
14.90913 3.09182
14.90042 3.11552
15.19619 3.11458
15.21137 3.09049
15.50732 3.08917
15.49825 3.11359
15.79717 3.11261
15.81272 3.08780
16.10868 3.08644
16.09925 3.11159
16.39504 3.11058
16.41095 3.08504
16.70693 3.08366
16.69714 3.10952
16.99610 3.10847
17.01237 3.08221
17.30837 3.08079
17.29822 3.10738
17.59404 3.10630
17.61068 3.07932
17.90669 3.07786
17.89617 3.10518
18.19202 3.10407
18.20901 3.07636
18.50820 3.07486
18.49732 3.10290
18.79317 3.10175
18.81054 3.07332
19.10659 3.07180
19.09534 3.10056
19.39122 3.09938
19.40894 3.07022
19.70816 3.06865
19.69656 3.09814
19.99245 3.09693
20.01053 3.06704
20.30662 3.06545
20.29465 3.09567
20.59056 3.09442
20.60901 3.06381
20.90826 3.06216
20.89593 3.09311
21.19186 3.09182
21.21067 3.06049
21.50679 3.05883
21.49410 3.09049
